gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3791349784965681,0.02831103075229873,-0.30912616267462817,0.2149008820085722,6090.850466215982,26005.084382675388,72695.67633615469,250.68384880952374,0.9667441896187708,1,0.7204836584186778,0.5102878568906414,144408.64656249998,744.6876102950029,2036218.9444444443,0,(((((8)*(3))*((0)+(3)))*(((8)+(3))*((x)*((3)*(4)))))*(((5)*((0)-(9)))+(((x)+(x))-((x)-((x)*(x)))))),(((1)*((7)+(5)))/((0)/(x))),DeleteTerminalR|DeleteMaliciousR|AddXD|MutateNonTerminalR|AddXD|AddTreeWithSub|SubXD|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddXD|SubXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR,SubXD|AddTreeWithSub|MutateTerminalR|AddRandomSubTreeR|AddTreeWithAdd|DeleteTerminalR|ReplaceBranchXR|DivXD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithMult|DivXD,AddXD,DeleteTerminalR,0,0,1,1,2
1,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3740671040571272,0.0501443788202526,-0.1813434465609092,0.34392117156196406,110739.8109106656,1268519.41075298,2157462.243251462,75.94966666666666,0.9993387556437457,1,0.682306264157232,0.5102752405574956,5224588.029814094,744.6691963872263,102407091.22222222,0,((((x)*((7)-(x)))*(((1)+(6))*((x)+(8))))*(((3)*((x)-(0)))*((x)*((2)-((x)*(x)))))),(((0)*((7)*(8)))/((0)/(x))),DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|SubXD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|SubXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR,SubXD|SkipD|AddXD|DeleteNonTerminalR|SkipD|MultXD|ReplaceBranchXR|DivXD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithMult|DivXD,AddTreeWithMult,DivXD,1,1,2,2,2
2,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3390630799197519,0.11466849888659927,0.03600774628662439,0.3862458466309511,4145729.5887865545,664.9735415723251,63538162.17474448,18.627555555555556,0.9999745508025432,1,0.7802943335860151,0.4896550692817733,180277807.1808333,474.2983854166667,2660834834.811111,0,(((((x)*(2))*((x)+(4)))*(((3)*(9))*((3)*(3))))*(((5)+((4)*(4)))*(((9)*(x))-((x)-((x)*(x)))))),(((x)/(8))/((0)*(0))),AddTreeWithMult|AddTreeWithMult|MultXD|SubXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|SubXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR,FellTreeD|MultXD|DivXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|DeleteTerminalR,ReplaceBranchXR,DeleteTerminalR,2,2,3,3,2
3,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.33865151234647706,0.18935000094640114,0.11894493774928062,0.4,384883.0103813979,292.86023833696333,7297229.1908175135,0,0.9997505676387145,1,0.7877205705403735,0,13705317.048434574,0,271480856.6222222,0,((((x)*((x)*(x)))+(((2)+(9))*((8)*(4))))*(((8)*((6)*(x)))+((0)-((x)-((x)*(x)))))),(((5)/((0)-(x)))/((x)/(x))),DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|SubXD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|SubXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR,SubXD|SkipD|AddXD|AddRandomSubTreeR|AddTreeWithMult|MultXD|ReplaceBranchXR|DivXD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|SubXD|DivXD|DivXD,AddRandomSubTreeR,DivXD,3,3,4,4,2
4,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3128536474026888,0.18369445175827395,0.2903301703806283,0.4,15918516.550396042,9115.992736755348,316250761.31777453,0,0.9999952421945113,1,0.8646299041817727,0.4704980124627284,714471042.3077071,406.58702777777773,14232635460.01111,0,(((((x)*(x))*((x)+((5)*(3))))*(((3)*((1)+(7)))*((9)+((3)*(7)))))*((((8)*(x))+((5)-(7)))+(((x)-(1))-((9)-((x)*((7)*(8))))))),(((6)/(0))/((2)+(9))),AddTreeWithMult|AddTreeWithMult|MultXD|SubXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|SubXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR,FellTreeD|MultXD|DivXD|MultXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|DivXD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,4,4,5,5,2
5,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.2560354029460858,0.20846103901996557,0.28027257032250785,0.3799878651722243,95976476.83996183,259.410907058612,1839606373.9137058,27.10288888888889,0.9999982882300558,1,0.6103113488946468,0.36392892847082325,1980823125.7694447,201.7955,39559119110.48889,0,(((((x)*(5))*((6)*(7)))*(((x)+(2))*((x)*((9)*(x)))))*(((4)+((0)+(0)))*(((x)-(0))*((2)-((x)*(x)))))),(((7)/((0)-(x)))/((x)-(x))),DeleteTerminalR|DeleteMaliciousR|AddXD|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|DeleteMaliciousR|SubXD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|SubXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|DivXD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|DeleteTerminalR,MutateNonTerminalR,DeleteTerminalR,5,5,6,6,2
6,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.21095519231740728,0.26666421869330464,0.3517617957711982,0.4,962211090.2222749,180.58341518627995,17132000229.453125,0,0.9999999204749658,1,0.932994070788998,0.30780528921767475,47836704369.80961,135.43740740740742,851506845975.289,0,(((((x)+(x))*((9)*((6)*(9))))+(((x)*(7))*((x)*((4)+(6)))))*((((x)*(9))*((x)+(9)))*(((x)-(7))*((9)-((x)-((x)*(x))))))),(((0)-(0))/((0)/(7))),AddTreeWithMult|AddTreeWithMult|MultXD|SubXD|AddTreeWithAdd|SubXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|SubXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR,FellTreeD|MultXD|DivXD|MultXD|AddTreeWithAdd|AddXD|ReplaceBranchXR|DivXD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,6,6,7,7,2
7,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.16399855090454626,0.2979398480648021,0.3989706718384794,0.4,466814152.2532526,138.22371111875876,9312078954.766682,0,0.9999998298224968,1,0.8028543866708501,0.22355726593382458,19897120885.687843,67.7011111111111,397914588173.2778,0,(((((x)*(x))*((x)*((6)+(4))))+(((2)*(x))-((x)+((1)*(2)))))*((((7)+(4))*((x)*(2)))*(((3)*(x))-((x)*((x)-((x)*(x))))))),(((4)/(0))-((0)/(x))),AddTreeWithMult|AddTreeWithMult|MultXD|SubXD|AddTreeWithAdd|SubXD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|SubXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MultXD|AddTreeWithSub|AddXD|ReplaceBranchXR|DivXD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteMaliciousR|SubXD|DivXD|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,7,7,8,8,2
8,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.15735060904859238,0.30505199929499094,0.3887613931538827,0.4,295613546.4308468,128.59033610044867,5821296217.839573,0,0.9999997029688112,1,0.913276095193271,0.2235517623986963,11399798223.188875,67.69944444444445,227976433714.4556,0,(((((x)*(x))*((x)+((2)*(0))))-(((9)*((4)-(6)))-((9)*((x)*(9)))))*((((2)*(x))*((1)-((6)+(9))))*(((x)-(3))+((3)-((x)-((x)*(x))))))),(((1)-(5))/((0)/(0))),AddTreeWithMult|SkipD|MultXD|SubXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|SubXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR,FellTreeD|MultXD|DivXD|MutateTerminalR|AddTreeWithMult|MultXD|ReplaceBranchXR|DivXD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,8,8,9,9,2
9,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1446419657372651,0.3091182650946324,0.39514295824731716,0.4,70609217.73000856,123.08347803593331,980469341.2621815,0,0.9999966589448771,1,0.9444951473027748,0.22355726593382452,1866970645.2646232,67.7011111111111,20267882037.255554,0,(((((7)+(x))*((8)+((6)*(x))))*(((5)-((3)*(5)))+((0)*((9)*(x)))))*((((5)+(9))*((0)+(8)))*(((x)+(9))*((x)-((x)-((x)*(x))))))),(((3)/(0))-((0)/(x))),AddTreeWithMult|AddTreeWithMult|MultXD|SubXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|SubXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MultXD|AddTreeWithAdd|MultXD|ReplaceBranchXR|DivXD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteMaliciousR|SubXD|DivXD|DeleteTerminalR,AddTreeWithMult,AddTreeWithAdd,9,8,10,10,2
