gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3833078588109457,0.030752989191309813,-0.2954946906625666,0.18301831994683687,113568.6925221701,13418.073449863094,2175868.827209383,293.86311111111104,0.998994539375843,1,0.4852599383324963,0.43247177379050505,3372229.1056565656,776.4354861111112,67348347.1,0,((((x)*((8)*(2)))*(((9)+(0))*((x)*(2))))-(((5)*((x)/(7)))-((9)-((0)*((x)*(x)))))),((((7)*((0)*(0)))+(((2)/(0))+((0)*(6))))*(((x)/((x)*(x)))/((x)+((x)+((x)*(x)))))),ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|DeleteTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|MultXD|AddTreeWithSub|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR,AddToLeafR|AddTreeWithAdd|DeleteTerminalR|DeleteTerminalR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithMult|DivXD|MultXD|ReplaceBranchR|DeleteMaliciousR|AddXD|AddXD|AddTreeWithAdd|MultXD,AddTreeWithAdd,AddTreeWithAdd,0,0,1,1,4
1,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3793630603644224,0.03523009160076426,-0.25059726058627496,0.28066224187580496,17314.849054803428,42534.9827292806,313143.55373055546,161.62177777777777,0.995222022245089,1,0.6358590360024906,0.5127614564205225,759453.8670259259,676.8522383610373,14172546.333333334,0,(((((x)*(x))*((9)+(x)))-(((0)-(9))+((x)/(2))))*(((0)*((8)*(x)))/(((1)-(7))*((x)*((x)-(x)))))),((((0)+(x))*((3)+((0)*(4))))/((x)+((4)/((x)/(0))))),AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|MultXD|MultXD|SubXD|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR,DeleteNonTerminalR|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|DivXD|DivXD|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DeleteTerminalR|ReplaceBranchXR|DivXD|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithMult,AddTreeWithDiv,DivXD,1,1,2,2,4
2,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.34122587924818826,0.04171303939502484,-0.0019879388847855385,0.36611064164936946,126715.95220191235,515604.738806368,2329899.450836244,45.89711111111111,0.9991971033078267,1,0.7166092213829967,0.5123542380983288,4417724.551111111,925.1778191491816,84339756,0,(((((x)*(x))*((6)-(4)))+(((0)*(x))*((2)*((3)*(0)))))+((((6)-(9))+((2)*(4)))-(((x)+(6))*((x)*((x)-(x)))))),((((5)+((6)*(6)))-(((8)*(7))/((0)*(7))))*(((1)+((x)*(3)))/((x)*((8)*((4)-(x)))))),AddTreeWithDiv|AddTreeWithAdd|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddToLeafR|SubXD|AddRandomSubTreeR|MultXD|MultXD|SubXD|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR,DeleteNonTerminalR|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|DivXD|DivXD|AddTreeWithDiv|MutateNonTerminalR|SkipD|AddTreeWithMult|MultXD|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,2,2,3,3,4
3,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3297328761857943,0.06260007216342992,0.05528423347828257,0.4,283301.2112140227,4182490.1498098243,5452838.695389929,0,0.999600343136021,1,0.4512476105552045,0.48999493116555176,8474354.945132617,591.8002714736533,169435626.44444445,0,(((((0)-(x))*((x)*(x)))*(((9)+(8))-((1)*(1))))+(((0)-((8)/(6)))-(((8)*(x))*((x)*((x)-(x)))))),(((((9)+((1)*(0)))+((3)*((4)+(0))))*(((x)/((0)*(4)))-(((2)+(8))*((4)*(0)))))*((((x)*(8))*((3)*((x)-(x))))*(((x)/((x)*(x)))/((x)+((x)+((x)*(x))))))),DeleteMaliciousR|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|MultXD|SubXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult,AddToLeafR|AddTreeWithAdd|DeleteTerminalR|DeleteTerminalR|MultXD|MutateNonTerminalR|AddTreeWithMult|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|SkipD|MultXD,MultXD,MultXD,2,1,4,4,4
4,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.28710985212256473,0.09880629196195143,0.32236706993263403,0.4,484185.17217641935,13782503.975802327,8724851.770055588,0,0.9995942324005193,1,0.8548120966123053,0.46265523124730124,9155177.8758427,448.85026035141635,166883977.91682538,0,(((((x)*(9))*((7)+(4)))*(((x)+(0))*((x)/((5)*(0)))))+((((1)*(5))-((7)+(9)))*(((x)*(x))*((x)*((x)-(3)))))),((((x)+((0)+(7)))/((0)/((8)+(x))))*(((x)/(5))*((8)+((x)+(0))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|MultXD|SubXD|DeleteTerminalR|MutateTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithSub|FellTreeD|ReplaceBranchXR|AddToLeafR|DivXD|DivXD|AddTreeWithDiv|MutateNonTerminalR|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,4,4,5,5,4
5,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.27844224458121136,0.13989819360604008,0.3016395194660102,0.4,712501.3819944352,39382.42788862738,9867850.051956426,0,0.9996343879873155,1,0.8646134912058427,0.303400443858205,18113766.95881782,133.49420288711116,185213036.66666666,0,((((x)*((0)-(6)))*(((3)*(5))-((6)+(2))))*(((1)+((8)*(x)))*((x)*((x)*((x)-(x)))))),((((x)+((4)/(6)))*((0)*((0)/(x))))/(((0)*(x))/((x)+((x)+(x))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|MultXD|SubXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchR|ReplaceBranchR,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DivXD|DivXD|AddTreeWithDiv|MutateNonTerminalR|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,5,5,6,6,4
6,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.2708203425754952,0.18651685795387485,0.27200512247176417,0.4,7584391.443474535,17184.619305694294,138184818.6786996,0,0.9999879693812309,1,0.8263071345714456,0.36209032479045566,281883346.9839388,200.78759322054663,5628647404.622222,0,((((x)-((4)*(x)))*(((x)+(7))-((0)*(9))))+(((7)*((x)*(8)))*((x)*((x)*((x)-(x)))))),((((9)+((8)*(1)))+((0)+((x)/(4))))*(((0)*(x))/((x)+((x)+(0))))),MultXD|AddTreeWithSub|MutateNonTerminalR|AddToLeafR|MutateTerminalR|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|MultXD|SubXD|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult,AddTreeWithSub|FellTreeD|ReplaceBranchXR|AddToLeafR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,6,6,7,7,4
7,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.2596960055211906,0.20389080340110585,0.3120902031251259,0.4,1072686.5957284262,16253.549041743208,16455161.306195183,0,0.9998522759709639,1,0.7691783738215068,0.3615443285085289,23595220.70441336,205.62180589529635,458396048.0429878,0,(((((5)*(x))*((5)*(4)))-(((0)*(8))*((x)+((0)+(9)))))*((((x)/(3))*((x)+(4)))+(((7)*(6))*((x)*((x)*(x)))))),((((x)+((6)-(8)))*((3)+((x)/(8))))*(((0)*(0))/((0)+((x)+(x))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|MultXD|DeleteMaliciousR|MultXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithSub|FellTreeD|ReplaceBranchXR|AddToLeafR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,AddToLeafR,DivXD,7,7,8,8,4
8,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1385048978287332,0.2676610445563946,0.3587383506746752,0.4,5905724.446750091,471.7338823889562,88700966.39660214,0,0.9999785278274586,1,0.8539252746307129,0.29794846730764235,192137785.69989324,131.06848213595913,3153668357.5222225,0,(((((9)*(7))*((x)*((x)+(2))))*(((5)-(9))*((5)+((4)/(3)))))*((((0)-(6))+((9)-(0)))+(((2)*(5))+((7)*((x)*((x)*(x))))))),((((2)*((0)*(9)))*((3)+((0)/(0))))/(((x)*(x))/((x)+((x)+(x))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteTerminalR|FellTreeD|AddTreeWithMult|DeleteTerminalR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,8,8,9,9,4
9,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.058856782207205006,0.3040138071685233,0.39724426850645195,0.4,4099760.996114526,129.9962339781763,51225827.605573416,0,0.9998969245757736,1,0.9490221960943894,0.3005510688268014,39545069.39259026,132.23508446379392,656956899.4686868,0,(((((x)*(0))-((5)*((8)*(8))))+(((x)-(0))*((x)/((3)*(4)))))+((((5)+(7))-((5)*(x)))*(((x)*(x))*((8)*((9)-(x)))))),((((4)/((x)+(6)))+((0)/((5)*(8))))/(((x)/(0))*((x)/((x)+((x)+(x)))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|SubXD|DeleteTerminalR|MutateTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithSub|SubXD|ReplaceBranchXR|AddToLeafR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,9,9,10,10,4
10,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.016489301710726503,0.30597172200012446,0.39916903337279913,0.4,36489991.431323096,127.35174235722322,433784013.7256307,0,0.9999935500833993,1,1.0022228261706014,0.22355971404099212,1047900103.5212269,67.70185248524928,10498757627.822224,0,(((((9)-(0))*((x)*((x)+(2))))*(((9)*(8))/((3)*((8)-(7)))))+((((2)-(1))*((x)*(x)))*(((x)*(x))*((x)-((x)+((x)*(2))))))),((((x)*((2)-(7)))/((3)/((7)*(0))))/(((0)/(x))*((x)/((0)+((x)+(x)))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|MultXD|MultXD|MultXD|MultXD|SubXD|DeleteTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult,AddTreeWithSub|FellTreeD|ReplaceBranchXR|AddToLeafR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,10,10,11,11,4
11,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.069696614530268,0.32285440596687365,0.3986228296383106,0.4,18600048.82408993,104.47999234559707,259116062.26677883,0,0.999978922967187,1,0.893034525726803,0.22092657614251046,183443711.06180635,66.90444444444444,3212791464.1493826,0,(((((x)*(3))-((x)*((x)*(x))))+(((9)*(x))/((3)*((9)+(0)))))+((((9)*(1))-((x)*(3)))-(((7)*(9))*((x)*((x)*((9)+(5))))))),((((0)*((0)/(x)))/((0)/((7)/(x))))*(((0)/(5))*((9)+((x)+(x))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteTerminalR|FellTreeD|AddTreeWithMult|DeleteTerminalR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,11,8,12,12,4
12,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.05810184732326178,0.2999354317766017,0.3995712374982569,0.4,106281496.89181967,135.52343602123585,1774055428.1089857,0,0.9999988067585943,1,0.9599336904620985,0.3041041955834676,2976044627.700646,133.80888888888887,56749716184.78889,0,(((((8)*(3))*((x)*(x)))+(((3)-(1))*((x)-(5))))*(((5)*((x)*(3)))-(((5)*(x))*((x)*((x)*(x)))))),((((0)*((0)/(x)))/((0)/((4)/(3))))*(((8)*(x))/((x)+((x)+(x))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|MultXD|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddTreeWithMult,DeleteTerminalR|FellTreeD|AddTreeWithMult|DeleteTerminalR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,12,12,13,13,4
13,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.11678485108040236,0.32364539744977017,0.39977786268788484,0.4,32419106.751670532,103.40873500272185,358900108.1244872,0,0.9999927643851749,1,0.9198687556914935,0.22092657614251043,896572280.2645481,66.90444444444444,9358722478.63866,0,(((((x)-(0))-((7)-((6)*(x))))*(((x)+(3))*((x)+((4)*(x)))))/((((3)*(x))+((2)*(x)))*(((9)*(8))+((2)*((x)*((x)*(x))))))),((((7)*((0)/(0)))/((5)/((x)/(1))))*(((x)*(0))/((x)+((0)+(x))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|MultXD|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteTerminalR|FellTreeD|AddTreeWithMult|DeleteTerminalR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DivXD|AddTreeWithMult,MultXD,DivXD,13,12,14,14,4
14,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.09590134344152476,0.32681418963078174,0.3998822241231867,0.4,42551875.71099678,99.11716933437384,693932376.1418254,0,0.9999950622898298,1,0.8932445202755852,0.22092657614251043,724366114.1966282,66.90444444444444,13714071660.183332,0,(((((4)*(7))*((7)-((x)*(x))))*(((7)*(4))-((x)+((2)*(x)))))/((((3)*(0))-((7)+(0)))+(((4)+(5))*((x)*((x)*((x)*(x))))))),((((8)*((0)/(x)))/((7)*((7)/(0))))/(((x)*(0))/((x)+((x)+(x))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithSub|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|DeleteTerminalR|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,13,14,15,15,4
15,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.07128192906328149,0.31992776121407057,0.3996739935547211,0.4,10927926.431737574,108.44361237086837,144065800.2838283,0,0.9999765879407144,1,0.8938431365197477,0.2209265761425105,165595139.93950218,66.90444444444444,2892360312.4848485,0,(((((x)-(1))*((8)-((1)*(x))))*(((9)+(x))+((7)*((6)*(x)))))/((((3)*(x))+((0)-(6)))*(((x)*(x))*((8)+((3)*((9)*(x))))))),((((x)-(2))/((0)/((x)/(0))))*(((x)/(0))+((x)+((x)*(5))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithSub|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|DeleteTerminalR|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,15,15,16,16,4
16,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.09256480249919496,0.3287242611260656,0.36022800002844796,0.4,14383401.173341881,96.53032318112837,187929472.98422337,0,0.9999826869702914,1,0.9700494041999607,0.22091102012215827,254408439.5637436,66.89973352682826,3911280246.767877,0,(((((7)*(3))*((x)*((x)+(6))))-(((2)*(2))-((2)*((x)*(8)))))*((((9)-(4))/((3)*(x)))+(((2)*(4))+((8)*((x)*((x)*(x))))))),((((6)*((6)*(7)))/((0)/((x)/(x))))/(((0)*(x))/((x)+((x)+(x))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithSub|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,16,16,17,17,4
