gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.38204787954376973,0.03251454805348824,-0.27031488270100823,0.29001192613231164,1401.1678715494027,744401.266054748,11783.29667518202,148.9592926184296,0.5713483194669525,1,0.5266728757226774,0.49254538792023594,20102.329796626982,772.663521562991,157974.67777777778,0,((((x)*((x)*(2)))*((2)*((1)+(0))))*(((0)-(8))+((8)-((2)*((x)*(x)))))),(((((x)*((0)+(x)))-((2)-((0)/(x))))-(((0)-((7)*(x)))+((0)*((x)*(x)))))/((((0)/(6))*((8)*((0)-(x))))*(((x)/(x))-((x)-((x)*((x)/(x))))))),AddTreeWithAdd|MutateTerminalR|SkipD|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|SkipD|MultXD|AddTreeWithAdd|ReplaceBranchXR|MultXD|DeleteMaliciousR|MutateTerminalR|DeleteMaliciousR|AddRandomSubTreeR,MultXD|DeleteMaliciousR|SkipD|AddTreeWithMult|DivXD|SkipD|MutateNonTerminalR|SubXD|AddTreeWithDiv|DeleteNonTerminalR|SubXD|DeleteTerminalR|MultXD|MutateNonTerminalR|DivXD,ReplaceBranchXR,DivXD,0,0,1,1,6
1,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.37128849763791844,0.03491627583479723,-0.1818046170053279,0.3098873565293012,145520.13063339458,13154.897369849956,2856334.518083583,122.04155555555555,0.999481755405848,1,0.5458467019123531,0.5067388649711814,6544763.052355878,819.0883119751403,130664384.87777777,0,(((((x)*(x))*((9)-(0)))+(((2)*(8))+((4)-((3)*(x)))))+((((0)*(x))*((x)+(x)))+(((3)+(4))*((7)*((x)-(x)))))),(((((x)*((6)*(5)))*((6)-((5)*(7))))/(((6)+((2)*(6)))/(((1)/(0))*((0)-(0)))))*((((0)-((x)+(0)))+((8)+((x)/(x))))+(((x)-((1)*(3)))-((x)+((x)/((x)/(x))))))),MultXD|MultXD|AddXD|AddXD|DivXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|DeleteTerminalR|MutateTerminalR|DeleteTerminalR|AddToLeafR|MutateNonTerminalR|SubXD,AddTreeWithAdd|DeleteTerminalR|ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|SubXD|AddXD|DeleteTerminalR|DivXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,1,1,2,2,6
2,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.36349529270271996,0.08486200498834041,-0.042945876774751514,0.38092937016465805,43935.099116178506,478.1375005122118,845613.6174108427,25.82777777777778,0.9980344027899802,1,0.4436320626137533,0.5084919908126934,1724087.4,670.4469862794853,34450654.87777778,0,(((((x)*(x))*((x)+(2)))*(((6)-(0))*((x)*(x))))+(((0)-((0)/(1)))*((x)/((x)*((x)-(x)))))),(((x)*((4)-(1)))/((x)-((x)/(0)))),MultXD|MultXD|AddXD|AddTreeWithSub|DivXD|MultXD|SkipD|MutateTerminalR|DivXD|AddRandomSubTreeR|MultXD|DeleteMaliciousR|MutateTerminalR|DeleteMaliciousR|SubXD,ReplaceBranchXR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchR|AddTreeWithMult,MultXD,DeleteTerminalR,2,2,3,3,6
3,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3173551297968106,0.11009982011969538,0.1475593151528707,0.4,181583.3843619671,6190.635104808294,3134229.411993472,0,0.9986947327722032,1,0.7196863168677863,0.5091575008438851,3402180.8754164306,549.0003469825564,51879116.91111111,0,(((((x)*(x))*((5)-(4)))-(((5)*(x))+((0)+(x))))+(((9)*((x)*(x)))*(((x)+(x))/((x)*((x)-(x)))))),(((((x)-(1))-((0)+((x)+(x))))+(((8)+((x)*(x)))/((3)+((5)-(3)))))+((((1)*(8))/((9)*((0)+(x))))*(((0)-(x))+((x)/((0)-((x)/(x))))))),MultXD|MultXD|AddXD|AddXD|DivXD|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|DeleteTerminalR|MutateNonTerminalR|MutateNonTerminalR|SubXD,AddTreeWithAdd|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv,MutateNonTerminalR,DeleteTerminalR,3,3,4,4,6
4,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.23015428697140672,0.148678039749167,0.2963189529454995,0.4,30948175.347202297,429.14633555415605,544596007.8624004,0,0.999993477023882,1,0.8919141649651409,0.4441845342654643,534638922.3671719,338.5217735220317,10381168025.9,0,(((((x)*(x))*((x)+(2)))*(((x)-(8))*((8)-((3)+(x)))))+((((9)/(9))-((6)*(9)))*(((x)*(x))*((x)*((x)-(x)))))),((((6)*(0))*((9)/((7)/(1))))+(((1)*(2))/((x)/((0)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithDiv|DivXD|SkipD|AddTreeWithMult,MutateNonTerminalR,DivXD,4,4,5,5,6
5,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.16065197144311033,0.18724930845556706,0.3943512213722486,0.4,96794683.2543837,3900.4540531538823,1886177635.8987427,0,0.999998603548276,1,0.9048700269566736,0.3670554273092004,2494461442.146768,203.54220826687862,48491551800.48889,0,(((((x)*(2))-((6)/(2)))*(((x)+(6))*((5)-((0)*(x)))))*((((3)*(x))+((9)*(x)))+(((5)*(x))*((x)*((x)-(x)))))),((((0)+(4))/((x)/((0)*(9))))*(((1)/(x))/((x)-((x)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|SubXD|AddTreeWithMult|DivXD|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,DivXD,4,5,6,6,6
6,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.15569149152476397,0.19206971873171264,0.3977032590757079,0.4,80170507.75820695,30468.465895104226,1569093898.2421987,0,0.9999989766077632,1,0.9150339734478316,0.41040340721581864,3309290929.2121205,270.87241924004303,66168286877.25555,0,(((((x)*(x))*((x)*(0)))+(((x)*(x))*((9)-((1)*(x)))))*((((8)/(2))+((9)*(2)))-(((5)*(7))+((x)*((x)-(x)))))),((((5)/(0))-((9)+((0)/(6))))*((1)/((6)*((5)/(x))))),MultXD|MultXD|AddXD|DeleteNonTerminalR|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|MultXD|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DivXD,5,6,7,7,6
7,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1274551057563202,0.25883012996993143,0.3569129011841386,0.4,14048977.136919824,192.29502703759314,239882876.09305382,0,0.9999911418435443,1,0.8873312936852112,0.22360679774997907,397354127.78350437,67.7161111111111,7644492558.822223,0,(((((x)*(x))*((x)*(1)))+(((4)*(x))*((3)*((2)*(1)))))+(((9)*((9)*(4)))/(((4)*(x))+((x)*((x)-(x)))))),((((9)+(3))*((0)/((4)*(3))))/(((0)/(0))*((6)/((5)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|AddXD|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,7,7,8,8,6
8,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.15163078857151346,0.2626424436059404,0.395062687030575,0.4,114859633.74655579,263.766700329889,2178112374.9986253,0,0.9999989915907858,1,0.9117370637610565,0.22355481782665698,3485833739.1190352,67.70036973697295,67151420430.3,0,(((((x)*(3))*((1)-(x)))*(((x)+(9))-((7)*((x)*(8)))))*(((4)*((x)+(9)))*(((x)*(x))+((x)*((x)-(x)))))),((((x)+(2))/((0)+((1)*(2))))/((1)*((0)/((x)/(0))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,AddRandomSubTreeR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|SkipD|AddTreeWithMult,MultXD,DivXD,8,8,9,9,6
9,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.08269846578217863,0.29294462623348044,0.399569752080388,0.4,82201957.50345835,144.98852059110183,1482779271.1861396,0,0.9999983981441639,1,0.9397716157134628,0.3077580684375044,2302901087.0100145,135.41662598580984,42273536475.833336,0,(((((x)*(x))*((x)+((2)*(x))))*(((x)*(0))-((9)*((3)*(x)))))+((((9)*(4))+((8)*(2)))-(((x)+(9))/((1)+((x)-(x)))))),((((0)/(7))+((2)*(9)))*((0)/((0)/((4)/(8))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|AddTreeWithAdd|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|SubXD|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,9,8,10,10,6
10,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.11630312659199736,0.2880352862027074,0.3986513398369885,0.4,89599722.4858711,151.6363242853736,1686937435.2596276,0,0.9999974896980559,1,0.9357516446832189,0.30754120202272606,1389827554.5804443,135.3211791478904,26975285291.733334,0,(((((x)*(x))*((x)*(3)))*(((2)*(x))*((3)*((x)+(4)))))-((((0)-(6))-((2)*(x)))*(((x)-(5))/((x)*((x)-(x)))))),((((3)+(0))-((9)/((0)/(1))))*(((6)*(2))/((5)/((8)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,10,10,11,11,6
