gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3839884424653288,0.015673451115882184,-0.2979568297604559,0.20018984485884694,2083.2126432886994,6305.220745268046,20173.668115484325,270.6073333333333,0.8759737946030227,1,0.5503410467726327,0.3061290528761826,40841.790777742484,1165.6433333333332,545982.2857142858,0,((((7)*((x)*(x)))*(((7)+(3))-((x)*(8))))-(((2)*((x)*(x)))/((x)+((7)+((9)/(7)))))),(((3)*((5)/(0)))+((x)*(x))),MutateNonTerminalR|ReplaceBranchXR|SubXD|MultXD|MultXD|DeleteNonTerminalR|MultXD|DivXD|MutateTerminalR|AddXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithDiv,AddXD|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithDiv|MultXD|DeleteNonTerminalR|DivXD|AddToLeafR|DeleteNonTerminalR|AddXD|DeleteNonTerminalR|MultXD|DeleteTerminalR|AddTreeWithMult,MultXD,DeleteNonTerminalR,0,0,1,1,7
1,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.35880801561306624,0.05932623849034144,-0.21570278875059523,0.31654718637448825,250676167.05057395,468.8999572352381,5013237562.792978,113.022,0.999999729844098,1,0.5830172830591566,0.5389156344554427,12532822509.944653,676.4042765884171,250655679295.3222,0,((((8)*((x)*(x)))+(((2)*(x))*((5)+(2))))*(((9)*(7))*((x)*((x)*((x)*(x)))))),(((((9)/(0))*((0)/(3)))+(((0)+(1))*((x)/(x))))+(((4)*((2)-(5)))-((8)+((x)-((x)*(x)))))),AddTreeWithAdd|SubXD|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|MutateNonTerminalR|MultXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteTerminalR|AddToLeafR|DeleteTerminalR|AddToLeafR|DeleteMaliciousR|DeleteMaliciousR|DeleteMaliciousR|AddXD|SubXD|DeleteTerminalR|MultXD|ReplaceBranchR,MultXD,DeleteMaliciousR,1,1,2,2,7
2,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.287708768020409,0.0769893546862487,-0.14363813013536947,0.3871699661167128,11942141.77678319,27750.283951231897,237723177.11847445,17.376,0.9999942977167352,1,0.8758733066211977,0.4760293449960477,595098174.6617554,512.5313194444444,11875262586.266666,0,(((((x)*(x))*((x)+(2)))*(((6)*(x))-((0)-((x)*(1)))))*((((9)*(5))*((5)+(x)))*(((x)*(6))/((1)*((x)+(x)))))),(((((x)+(9))/((0)+(0)))-(((0)*(x))*((7)+((5)*(0)))))*(((x)*((x)-(9)))/(((3)+(6))*((7)+((x)*(x)))))),MutateNonTerminalR|ReplaceBranchXR|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|MultXD|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithDiv,AddXD|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithDiv|DeleteTerminalR|AddToLeafR|DeleteMaliciousR|DeleteMaliciousR|DivXD|AddXD|DeleteNonTerminalR|MultXD|DeleteTerminalR|AddTreeWithMult,MultXD,AddXD,2,2,3,3,7
3,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1480929724649256,0.11657534401776617,0.057084433778840926,0.3861436224761874,2840901576.371144,33999.27199731085,41426935505.705376,18.766000000000002,0.9999999671583255,1,0.7162784441033022,0.4431872612953044,141484128820.03433,337.75898148148144,2061895809672.1174,0,(((((x)*(x))*((x)+(2)))-(((1)/(x))-((6)-(x))))*(((x)*((4)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),(((0)/((8)*(0)))+((x)*(x))),MutateNonTerminalR|ReplaceBranchXR|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|MultXD|MutateTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult,MultXD,DeleteTerminalR,3,3,4,4,7
4,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.02712599234775338,0.1856921243201252,0.39543671291191024,0.4,64816285553.42044,2004.0916647508598,669083138219.2067,0,0.9999999978724312,1,0.9831573156204848,0.44424197869669285,3122079937667.1104,338.56555555555553,31827928970522.56,0,(((((9)*(8))*((x)*(8)))*(((5)+(2))*((x)+(0))))-(((x)*((7)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((9)*((8)/(0))),MutateNonTerminalR|ReplaceBranchXR|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|MultXD|MutateTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateNonTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DivXD|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR|AddToLeafR,MultXD,DivXD,4,4,5,5,7
5,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.07882280393018845,0.2078699377684912,0.39635711481599906,0.38907054779348427,2023989.7558888888,272.4972804018052,28416728.48688889,14.801999999999998,0.999879356914559,1,0.8939040409436239,0.4109512416141871,29582015.312222224,271.2344444444444,561292931.6555556,0,((((x)+(5))*((x)*((5)*(x))))*((x)*((x)*((x)*(x))))),(((0)/((0)+(x)))-((x)*(7))),FellTreeD|MutateNonTerminalR|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchXR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateNonTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|AddXD|SubXD|AddXD|DeleteTerminalR|AddTreeWithMult,MultXD,AddXD,3,5,6,6,7
6,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.09191738362268911,0.27033135633086947,0.39731617459360563,0.4,8681601.64331111,175.61713929221315,143394046.92488885,0,0.9999815091228589,1,0.8152064792626572,0.22360679774997907,195822533.05555552,67.7161111111111,3662136230.4333334,0,((((0)+((x)*(x)))*((7)*((6)*(x))))+(((x)+(x))*((x)*((x)*((x)*(x)))))),(((5)*((6)/(0)))+((x)-(0))),FellTreeD|MutateNonTerminalR|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|AddXD|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|FellTreeD|MutateNonTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|DeleteTerminalR|DivXD,MultXD,DeleteTerminalR,6,6,7,7,7
7,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.08049011061626068,0.29792054545059754,0.3977272638186002,0.4,8530019.735999996,138.25096012677275,128104491.51266664,0,0.999953029783883,1,0.6799147707128439,0.22355726593382458,102704395.97111112,67.7011111111111,1441681914.8222222,0,((((0)+((8)*(5)))*((x)*((7)*(x))))+(((x)*(x))*((x)*((x)*(x))))),(((0)/((0)*(1)))+((0)-(x))),FellTreeD|MutateNonTerminalR|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|AddToLeafR|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteTerminalR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult,MultXD,DeleteTerminalR,7,7,8,8,7
8,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.14721911004044996,0.27897613918797576,0.399575208631269,0.4,533943761.9353804,163.91124444153283,10256168712.957556,0,0.9999998611547747,1,0.7168327610816141,0.30598294073836596,25137847915.157356,134.63555555555553,487709324824.8111,0,(((((x)*(x))-((1)*((x)+(2))))+(((0)/(4))+((2)*((2)*(1)))))+((((9)*(x))-((x)*(x)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),(((0)/((0)+(9)))*((0)-(x))),AddToLeafR|MultXD|SubXD|MultXD|SubXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|FellTreeD|MutateNonTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteTerminalR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult,MultXD,DeleteTerminalR,7,8,9,9,7
9,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.13455497321717358,0.2870762460883663,0.39952917028042445,0.4,2148902651834.4722,152.93665833063477,42951310774507.914,0,0.9999999999684683,1,0.664791253976423,0.22250975974774342,107444287404948.97,67.38388888888889,2147555483259543.2,0,(((((x)*(x))*((7)*((x)+(2))))*(((x)+(1))-((x)+((8)*(x)))))+((((9)*(x))-((x)*(x)))*(((x)+(0))*((x)*((x)*((x)*(x))))))),(((5)/((0)*(5)))+((x)-((1)*(5)))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult,MultXD,DeleteTerminalR,9,9,10,10,7
10,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.12326441196442993,0.29698793074173535,0.39923300310556104,0.4,10027036548463.273,139.51443615674597,198666540378827.53,0,0.9999999999926972,1,0.4367956000164041,0.22360679774997905,467395623448309.6,67.7161111111111,9272614113890564,0,(((((x)*(x))*((x)+((2)*(x))))-(((7)*(9))*((8)*((x)+(x)))))*((((x)-(x))*((x)*(x)))+(((0)*(x))*((x)*((x)*(x)))))),(((6)*((0)/(0)))+((x)-(x))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|FellTreeD|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteTerminalR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult,MultXD,DeleteTerminalR,10,10,11,11,7
