gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3800416690533487,0.011997375314688325,-0.2200480482849298,0.23563619358596755,5867.95510345468,43537.40939082632,102514.73730657724,222.60155555555556,0.9829578290599941,1,0.44643480464534824,0.49050478017907784,203974.75753357337,882.2637034610689,3973443.9555555554,0,(((((x)*(x))*((x)+(5)))-(((9)+(1))*((8)+(8))))*(((5)/((5)+(x)))+(((6)-(x))+((x)*((x)*(x)))))),(((((6)+(x))+((0)-((0)*(0))))/(((x)/(0))+((6)+((0)-(1)))))-((((0)-(4))*((x)+(6)))*(((7)+(1))+((8)/((x)+(x)))))),AddXD|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchR|MultXD|AddToLeafR,DeleteMaliciousR|AddTreeWithSub|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|DivXD|AddXD|DeleteTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd,0,0,1,1,9
1,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.34304764655983094,0.06024804630129564,-0.012450282375703763,0.30761036680914605,1032310.5634832677,637.1102707771374,18619863.247002646,125.12533333333333,0.999877369914391,1,0.8278778466601333,0.4773861641824339,32491249.72943186,622.1237238887695,552198188.3555557,0,(((((x)*(x))*((x)-(x)))+(((2)-(x))*((x)-(8))))*(((3)*((0)+(9)))*(((5)+(5))+((x)*((x)*(x)))))),((((0)*((x)+(2)))-((8)+((1)/(0))))/(((0)-(3))/((x)+((x)*(x))))),ReplaceBranchXR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddXD|DivXD|DeleteNonTerminalR|AddTreeWithSub|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|SkipD|DeleteMaliciousR|AddXD|MultXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd,MultXD,DivXD,1,1,2,2,9
2,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.26489695471586633,0.10375216017525635,0.2038297406287014,0.39262148348087195,1959827.0470045137,482.54821362127257,33438271.474170435,9.992888888888888,0.9999420934782172,1,0.866854412752642,0.46446928537690046,64812523.56197274,615.4712782167719,1169403877.6,0,(((((x)*(x))*((7)+(1)))*(((x)+(6))+((x)+((6)*(x)))))-(((5)-((8)+(8)))/(((7)*(x))+((5)*((x)*(x)))))),(((((1)+((0)-(9)))+((0)*((x)/(x))))*(((3)+((7)-(x)))/((0)+((9)-(0)))))+((((7)*(5))-((7)/((1)*(0))))*(((x)+((x)/(x)))/((x)/((x)+((x)*(x))))))),SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithDiv|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddXD|DivXD|DeleteNonTerminalR|AddTreeWithSub|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|SkipD|DeleteMaliciousR|AddXD|MultXD|DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd,MultXD,DivXD,1,2,3,3,9
3,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.23570170577501126,0.14265299722097835,0.36136126586311934,0.4,1371298.0230961991,15427.537252746664,24307760.16135868,0,0.9998379077913168,1,0.8108132397279816,0.46660111338891497,21630114.21774631,451.8380098362751,417762899.65555555,0,(((((x)*(x))*((x)+(3)))/(((9)+(3))*((8)*(2))))*(((5)-((2)*(x)))-(((9)+(2))+((x)*((x)*(x)))))),((((0)*(x))/((9)-((1)-(5))))-(((2)/(7))/((0)-((x)+(x))))),SubXD|MultXD|ReplaceBranchR|SubXD|MutateTerminalR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithDiv|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|MultXD|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|SkipD|DeleteMaliciousR|AddXD|MultXD|DeleteMaliciousR|AddXD|AddTreeWithSub,MultXD,MultXD,3,3,4,4,9
4,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.16097390402942122,0.13289327315399624,0.3916273149166611,0.4,1215250660.3070893,466.6238159349026,24233690619.431786,0,0.999999944021782,1,0.9071109716748917,0.5080794201153285,60621943805.5131,606.6436679763325,1209686795814.5554,0,(((((x)*(4))+((x)*(x)))*(((5)+(2))*((x)*(8))))*(((x)*((x)*(7)))+(((9)+(0))+((x)*((x)*(x)))))),((((2)+(6))/((2)*((9)-(6))))+(((0)/(7))+((3)/((0)+(x))))),SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddXD|DivXD|FellTreeD|MultXD|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|AddXD|DeleteTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithAdd,MultXD,AddTreeWithAdd,4,4,5,5,9
5,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.15417092251670192,0.15984128135488887,0.37809780304189794,0.4,9849223.953096027,8846.832225592301,178953984.50462696,0,0.9999827757746013,1,0.8177712788200037,0.4194329683880933,209170387.06409115,340.5172775788068,3931445945.6777782,0,(((((x)*(6))*((5)*(x)))+(((2)*(x))*((0)/((5)+(x)))))+(((6)-((x)*(x)))-(((0)+(4))+((x)*((x)*(x)))))),((((7)-(6))/((0)+((0)/(x))))+(((x)*(x))*((x)+((6)-(3))))),SubXD|MultXD|ReplaceBranchXR|SubXD|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithDiv|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|MultXD|DivXD|AddRandomSubTreeR|AddTreeWithAdd|DivXD|SkipD|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithSub,MultXD,MultXD,5,5,6,6,9
6,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.09318475259855266,0.15537356899403132,0.3232766028354135,0.4,137910513.89943486,5988.89761951702,2625011621.4539394,0,0.9999994702458095,1,0.7829973407722944,0.48117880025206416,6577921598.586327,456.77906872607247,127825531780.6111,0,(((((x)*(x))+((9)+((0)*(x))))+(((2)*(x))*((3)*((x)+(9)))))-((((x)*(x))-((3)+(x)))*(((7)+(4))+((x)*((x)*(x)))))),((((8)-((x)/(8)))+((5)+((0)/(0))))+(((x)*(x))*((x)+((1)-(2))))),SubXD|MultXD|ReplaceBranchXR|SubXD|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddXD|MultXD|AddXD|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteNonTerminalR|SkipD|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithSub,MultXD,AddXD,6,6,7,7,9
7,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.07522467251235586,0.1633398090180455,0.36645912300973726,0.4,222862401.17737138,16588.85385813888,4031219952.953729,0,0.9999989983922744,1,0.7589140985549393,0.33010131799166514,3445359722.7117414,207.5111173780434,67607416938.15555,0,(((((5)+(3))*((x)*(x)))*(((7)*(4))+((7)+((3)*(x)))))*(((5)*((6)+(9)))+(((0)+(5))*((x)*((x)*(x)))))),((((8)+((0)-(6)))/((4)*((0)/(3))))-(((4)+(x))*((x)*((x)+(x))))),ReplaceBranchXR|MultXD|ReplaceBranchXR|DeleteMaliciousR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddTreeWithAdd|DivXD|SkipD|DeleteMaliciousR|AddXD|FellTreeD|MultXD|AddXD|AddTreeWithSub,MultXD,AddTreeWithSub,7,7,8,8,9
8,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.02625285156754214,0.12279680889971695,0.39971004525686765,0.36206187596911943,77730404.48512292,2700.0634234298964,1417024575.065795,51.38044444444445,0.9999955680192275,1,0.8991910132644106,0.48159918437699006,765894314.3321431,549.0981909501604,15278972222.033333,0,(((((x)*(x))*((x)+(0)))*(((x)*(8))+((x)*(6))))*(((3)+((8)+(9)))+((4)*((6)*((x)*(x)))))),((((3)-((4)*(8)))/((0)/((x)+(x))))+(((5)-(2))*((x)*((x)+(x))))),ReplaceBranchXR|MultXD|ReplaceBranchXR|DeleteMaliciousR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|AddXD|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithSub,MultXD,AddXD,8,8,9,9,9
9,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.053678894801759525,0.1574900413714359,0.399167044134953,0.4,233223316.35419667,1186891.0671052549,3830953218.7374434,0,0.9999993525847006,1,0.8395169165351936,0.44243615970981576,5230779702.147951,337.1885185185185,104594548783.72221,0,(((((x)*(x))*((4)+((9)*(4))))*(((7)*(x))*((3)*((x)+(9)))))-((((2)+(1))*((x)+(1)))-(((x)+(x))*((8)+((7)*(x)))))),((((0)*(x))/((6)+((8)/(0))))*(((5)+(9))+((0)/((x)+(x))))),SubXD|MultXD|ReplaceBranchR|SubXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|MultXD|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|AddTreeWithSub|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithAdd,MultXD,DivXD,9,9,10,10,9
10,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.10525373058876354,0.1752768198823875,0.36845203131336857,0.4,360472524.2313398,3557.5859812771173,5949278037.648942,0,0.9999996417657816,1,0.8578530403645009,0.3915556248195605,9753994802.683594,287.8662396127408,189027478746.9889,0,(((((4)*(x))*((x)*(x)))*(((9)*(8))+((9)+((0)*(6)))))*((((3)*(8))+((3)+(9)))-(((0)*(x))+((8)*((x)*(x)))))),((((4)*(6))-((8)/((x)/(0))))+(((2)-(x))*((x)*((x)+(x))))),SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithSub|DivXD|SubXD|MutateTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithSub,MultXD,AddTreeWithMult,10,10,11,11,9
