A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithSub,DivXD,AddTreeWithSub,DivXD,0,0,0,0
AddTreeWithAdd,ReplaceBranchR,AddTreeWithAdd,ReplaceBranchR,0,0,1,0
SubXD,AddTreeWithAdd,AddXD,AddTreeWithAdd,0,0,2,0
MultXD,AddRandomSubTreeR,MultXD,AddRandomSubTreeR,0,0,3,0
MultXD,DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,4,0
DeleteMaliciousR,DeleteNonTerminalR,AddTreeWithAdd,DeleteNonTerminalR,0,0,5,0
AddRandomSubTreeR,AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,0,0,6,0
AddTreeWithAdd,DivXD,AddTreeWithAdd,DivXD,0,0,7,0
AddRandomSubTreeR,DeleteTerminalR,AddXD,DeleteTerminalR,0,0,8,0
DeleteMaliciousR,DeleteTerminalR,DeleteTerminalR,DeleteTerminalR,0,0,9,0
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,10,0
AddTreeWithMult,AddTreeWithDiv,AddTreeWithSub,AddTreeWithDiv,0,0,11,0
AddToLeafR,DeleteTerminalR,AddToLeafR,DeleteTerminalR,0,0,12,0
MultXD,DivXD,MultXD,DivXD,0,0,13,0
AddToLeafR,DeleteMaliciousR,AddToLeafR,DeleteMaliciousR,0,0,14,0
