A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
MutateNonTerminalR,DivXD,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,0,0
MutateNonTerminalR,ReplaceBranchR,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,1,0
SubXD,AddTreeWithAdd,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,2,0
MultXD,AddRandomSubTreeR,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,3,0
MultXD,DeleteMaliciousR,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,4,0
AddTreeWithMult,DeleteNonTerminalR,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,5,0
MutateNonTerminalR,AddTreeWithDiv,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,6,0
AddXD,DivXD,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,7,0
SubXD,DeleteTerminalR,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,8,0
AddToLeafR,DeleteTerminalR,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,9,0
MultXD,DeleteNonTerminalR,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,10,0
MultXD,AddTreeWithDiv,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,11,0
MultXD,DeleteTerminalR,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,12,0
SkipD,DivXD,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,13,0
MultXD,DeleteMaliciousR,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((3)/((0)/(x))),0,0,7,0,14,0
