generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.8753232600321491,0.11971756051050261,0.017350767669225237,0.34602747337924816,StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyMultXD|StrategySkipD|StrategyAddTreeWithMult,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyDivXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyMultXD|StrategyAddTreeWithDiv,StrategyAddTreeWithSub,StrategyAddTreeWithDiv,0,0,31235827.7,31235827.7,(((((((x)+(9))*(((8)*(x))-(4)))*(((((5)/(x))-(4))-(7))*(x)))*(x))*(x))*(x)),((((((x)*(1))-((9)+((9)+(8))))+((9)+((8)+(((0)+(6))*((4)/(0))))))/(((8)/(8))*(0)))*(x)),5*x*x*x,1
2,-0.9210740634464942,0.11992395262859086,-0.6180695191733389,0.45958509883874676,StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategySubXD|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd,StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyAddXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategySkipD|StrategySkipD,StrategyAddToLeafR,StrategySkipD,1,0,429682,429682,(((((5)*(((9)+(5))*((2)+(6))))*((x)*(((3)+(9))+(8))))*(x))-(x)),((((8)-(((9)/(9))+(4)))+((6)-((8)/((7)*((0)/(7))))))+(x)),5*x*x*x,1
3,-0.9214004133415126,0.13693332902190664,-0.6314275689565448,0.3322623612700192,StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithDiv|StrategySubXD|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd,StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategySkipD|StrategyAddXD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyDivXD,StrategySkipD,StrategyMutateNonTerminalR,2,1,2317138,2317138,((((((7)*(((6)+(9))*(x)))*(x))*((x)*(x)))*(x))-((8)+(4))),(((((1)*(1))+(((9)+(x))/(((9)/(0))-(x))))+(7))/(x)),5*x*x*x,1
4,-0.9297970351661909,0.09760266096961635,-0.6284645023160799,0.39625058500767946,StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategySubXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySkipD,StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategySkipD,StrategySkipD,StrategyAddToLeafR,2,3,405053,405053,(((((((2)-(0))*(6))*((6)+(8)))*((x)*((8)*(x))))*(x))+(x)),((((((2)+(8))*(4))/((9)*(((6)-(1))-(5))))-((((4)-(7))*(x))*((((7)/(x))-(3))*((5)+((2)-(x))))))+(x)),5*x*x*x,1
5,-0.9616827448458215,0.10836367626726551,-0.7957515023598297,0.20626490379021897,StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMultXD,StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddXD|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddXD|StrategyReplaceBranchR|StrategyMutateTerminalR,StrategyMutateTerminalR,StrategyMutateNonTerminalR,4,2,195607.5,195607.5,((((5)*(((1)+(7))*((9)+(7))))*((x)*((2)*(4))))*(x)),((((((9)*((7)+(2)))+((0)-(9)))+(0))*(x))+(x)),5*x*x*x,1
6,-0.9341048900888642,0.16536821862054837,-0.6022605237129094,0.2945771043771044,StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMultXD,StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategySkipD|StrategyAddXD|StrategyAddToLeafR|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddTreeWithAdd,StrategyAddXD,5,4,3281644.3,3281644.3,(((((((x)*(6))/(1))*((9)+(9)))*(x))*(((9)+(3))*(x)))*(x)),((((((x)*((0)*(0)))*((3)*((8)+((7)+(3)))))-((0)+(((9)/((3)*(0)))+((6)*(x)))))+(x))+(x)),5*x*x*x,1
7,-0.8928278914327652,0.12793351416878018,-0.4352914352772145,0.34457439394044387,StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMultXD,StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddXD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyDivXD,StrategyAddTreeWithAdd,StrategyMutateTerminalR,6,6,293863.9,293863.9,(((((3)+((0)+((8)+(7))))*(x))*((x)*((1)+((3)+((6)*(x))))))*(x)),((((((x)+(((5)+(0))*(0)))/((4)*((0)/(4))))-((6)+((5)*((3)-(7)))))+(x))/(x)),5*x*x*x,1
8,-0.889026042457368,0.11310216211187904,-0.46101020862636516,0.2521851319095016,StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMultXD,StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategySkipD|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyReplaceBranchR|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyMutateTerminalR,7,7,797208.5,797208.5,(((((5)*((5)+(2)))*((x)*((((8)*(x))+(3))*(9))))+(x))*(x)),(((((((x)/(0))*(x))*((7)+((8)*(9))))*((1)+(((9)-(2))-(((5)+(x))-(x)))))+(x))+(x)),5*x*x*x,1
9,-0.8949098684309794,0.1529161214220391,-0.5434323973604233,0.31999815511272617,StrategySkipD|StrategyAddToLeafR|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMultXD,StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategySkipD|StrategyAddXD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyDivXD,StrategyAddToLeafR,StrategyAddTreeWithAdd,8,8,442007.5,442007.5,(((((7)-(2))*((2)*(6)))*((((3)*(7))*(4))*((5)+((2)+(9)))))*(x)),((((((x)*(3))*(((9)+(6))-(((1)+(7))+(8))))*((x)*((x)-((((3)/(0))-(7))*(x)))))+(x))/(x)),5*x*x*x,1
10,-0.9666628776003842,0.19170114473936642,-0.9229256891643711,0.28978598256457566,StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyReplaceBranchR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategySkipD|StrategyAddXD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddToLeafR,StrategySkipD,StrategyAddToLeafR,9,8,54450,54450,((((5)*((0)+((4)-(9))))*((x)*((7)*(x))))*(x)),(((8)*(((2)*((6)-(3)))*((2)-(x))))+((1)+((2)/(0)))),5*x*x*x,1
11,-0.9576659616434304,0.17918878529133525,-0.8613018347371891,0.2714556925691536,StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyReplaceBranchR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySkipD,StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddXD|StrategyAddToLeafR|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddToLeafR,StrategySkipD,StrategyMutateTerminalR,9,10,151255.5,151255.5,((((8)*(x))*((((x)*(7))+(7))*((0)+(8))))*(x)),(((((0)/((7)/(0)))*(((8)+((x)*(9)))*(0)))*((8)+(6)))+((3)-(9))),5*x*x*x,1
