generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9558757152845321,0.14159736614358787,-0.6437231952936093,0.41705651611377015,StrategyMultXD|StrategyAddTreeWithMult|StrategyDivXD|StrategyAddToLeafR|StrategyMultXD|StrategyReplaceBranchR|StrategyAddXD|StrategySkipD|StrategyAddTreeWithDiv|StrategyMutateNonTerminalR,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyDivXD|StrategyAddTreeWithDiv,StrategyMultXD,StrategyReplaceBranchXR,0,0,578158.625,578158.625,(((((((5)*(x))*((x)*((7)/(4))))*((x)*(3)))*(x))*(x))+(x)),((((((5)/((1)/(0)))*((8)-(9)))+((x)-((x)-(3))))/(x))/(x)),5*x*x*x,3
2,-0.9704814992764443,0.13804359723028561,-0.9157601223271676,0.352102440920805,StrategyMultXD|StrategyAddTreeWithMult|StrategySubXD|StrategySkipD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithSub|StrategySkipD|StrategyAddTreeWithDiv|StrategyMutateNonTerminalR,StrategyMutateNonTerminalR|StrategySkipD|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddToLeafR|StrategyDivXD,StrategySkipD,StrategySkipD,1,1,34793,34793,(((((5)*(x))*((((2)*(4))*((4)-(1)))*(x)))*(x))+(x)),((((((4)-((1)*(1)))*((((1)-(3))+((2)/(2)))-(x)))-((x)/((x)-(x))))*(x))/(x)),5*x*x*x,3
3,-0.9713643004382231,0.17147674136043614,-0.8279635448873162,0.36842305158227223,StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategyMutateTerminalR,StrategyDivXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyMultXD|StrategyReplaceBranchXR|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyDivXD|StrategyDivXD,StrategyAddTreeWithMult,StrategyDivXD,2,2,107804.4,107804.4,(((((5)*((9)*(4)))*((((3)+(9))*(8))*((7)-((7)*(4)))))/(x))-(x)),(((((((((6)-(3))+((2)+(4)))-((9)-((x)/((x)-((x)-(0))))))/(x))*(9))*(8))/(x))/(x)),5*x*x*x,3
4,-0.9637094903303648,0.21087112548394676,-0.8562868067176634,0.4531675974209328,StrategyReplaceBranchR|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyDivXD|StrategySkipD|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyDivXD|StrategyDivXD,StrategyAddTreeWithSub,StrategyMutateTerminalR,3,3,68040.5,68040.5,(((((8)*((x)*(9)))*(7))*((x)*((6)-((5)*((4)+(2))))))/(x)),(((((((1)+((0)*(3)))+((6)*((x)*(9))))*(((6)-(4))+(((6)*(x))/((x)-(x)))))/(x))/(x))/(x)),5*x*x*x,3
5,-0.9731220811983912,0.12610587172313056,-0.785284191051441,0.3747496666644819,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyDivXD|StrategyDivXD,StrategyAddTreeWithAdd,StrategyReplaceBranchR,4,4,1545732.5,1545732.5,(((5)-(((9)*(6))*(7)))*(((((7)*(6))+(3))*((x)+(6)))*((3)+(5)))),(((((6)*(1))*((9)/(0)))/(x))/(x)),5*x*x*x,3
6,-0.9732577988314874,0.1863197036863251,-0.9538334017137462,0.5516007227213431,StrategyMutateNonTerminalR|StrategySkipD|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyDivXD|StrategyDivXD|StrategyMutateTerminalR,StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithSub,StrategyAddTreeWithSub,5,5,24499.042857142857,24499.042857142857,(((((5)*((5)-(((9)*(7))*(7))))*(((9)-(1))*(9)))/(2))/(x)),(((((((9)-(3))-((x)/(0)))*((9)+(1)))/(((5)+(0))-((9)/((x)-((5)+((0)-(9)))))))*(x))/(x)),5*x*x*x,3
7,-0.9737821808668589,0.16988723945239007,-0.9461177685950414,0.44882773316703106,StrategyMutateNonTerminalR|StrategySkipD|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyMultXD|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyDivXD|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithSub,StrategyAddTreeWithMult,6,6,28818,28818,((((5)*(((4)*(2))*(((9)*(4))-(1))))*((x)-((5)*(((1)+(4))-(0)))))-(x)),(((((((((0)*(x))*((7)*(3)))-((0)*((((0)*(3))/(0))*(7))))-(((8)+(6))/((8)/((8)/((8)*(3))))))*(x))*(x))/(x))-(x)),5*x*x*x,3
8,-0.9652296355668796,0.10836622331382892,-0.8185220557766956,0.38526815791095825,StrategyMutateNonTerminalR|StrategySkipD|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategySkipD|StrategyAddRandomSubTreeR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddRandomSubTreeR,6,7,101117.5,101117.5,(((((5)*((7)*(9)))-(4))*((((9)*(7))+(8))-((4)+(x))))*((x)+(0))),(((((((x)+(((5)*(1))-(9)))+((3)-(0)))*(((2)+(4))/((x)/((x)-(x)))))+(x))-(x))/(x)),5*x*x*x,3
9,-0.9664382946109514,0.09719187763553824,-0.8828594214876034,0.28533736207007554,StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategySubXD|StrategySkipD|StrategyMutateTerminalR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithSub,StrategyAddTreeWithDiv,7,8,52767,52767,((((((9)*((3)*((5)-(3))))-(7))*(x))*((x)*((6)*(5))))-(x)),((((((3)-(8))*(((6)/(8))/((2)-(7))))*(((7)*((((5)*(6))*(4))+((5)/(2))))+(((7)-(3))/((x)-(x)))))*((3)-(2)))-(x)),5*x*x*x,3
10,-0.9725782013055548,0.18974043308505822,-0.962374214876033,0.5718291470937719,StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategySubXD|StrategySkipD|StrategyMutateTerminalR,StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithSub,StrategyAddTreeWithSub,9,7,12837,12837,(((((7)*(3))*(x))*((((3)-(2))-((9)*(x)))-((4)*(9))))-(x)),(((((x)-(7))*((4)-((((x)-(1))/((8)*(0)))+(7))))/(x))-(x)),5*x*x*x,3
11,-0.970240820407702,0.24102075721595556,-0.9493226591953435,0.5811451496665043,StrategyDivXD|StrategySkipD|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategyDivXD,StrategyAddTreeWithSub,10,10,15295.866666666665,15295.866666666665,((((((((9)-(5))-(((2)*(6))*(7)))*(x))*(((3)+(9))*((7)*(7))))/(x))/(x))-(x)),(((((7)+(6))+((3)*((1)-(1))))*(((7)/((6)-(6)))*(((8)*(x))/((x)-((x)*(4))))))*((9)-(5))),5*x*x*x,3
