generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9163784803842414,0.16668993818160147,-0.5825196426274504,0.5018355022356831,StrategySkipD|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddXD|StrategyMultXD|StrategyMultXD|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR,StrategyAddXD|StrategyDivXD|StrategyDivXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddXD,StrategyMultXD,StrategyDivXD,0,0,800002.5,800002.5,((((((((9)*(8))*(8))*(((0)/(5))+(9)))*(x))+(x))*((0)-(4)))*(x)),((((((6)-(0))/((6)/(0)))/(x))/((7)+(9)))+(x)),5*x*x*x,4
2,-0.8595913805672775,0.15616584903115244,-0.3420161405713811,0.4975791866172547,StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyAddToLeafR|StrategySkipD|StrategyAddRandomSubTreeR|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithAdd,StrategySkipD|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMutateTerminalR,StrategyAddTreeWithDiv,1,1,1199110,1199110,(((((9)*(1))*(7))*((8)+(3)))*((((x)*(x))*(9))*(5))),(((3)-((x)/(0)))-((x)*(5))),5*x*x*x,4
3,-0.821343377143633,0.06651721327746385,0.09637075065791874,0.3943624859642688,StrategyMultXD|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyDivXD|StrategyAddTreeWithDiv,StrategyMultXD,StrategyMutateTerminalR,2,1,311597275,311597275,(((((((5)*(x))*((x)*((8)-(1))))*((9)*(x)))*((x)*(5)))*(x))*(x)),((((((4)*((((4)*(3))*(7))-((0)+(8))))*((4)+((1)/(x))))*(x))/((7)/(0)))/(x)),5*x*x*x,4
4,-0.688613539290271,-0.07338415943532543,0.3738377727919775,0.33221786116581464,StrategyMultXD|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategySkipD|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddXD,StrategyMultXD,StrategyDivXD,2,3,189925367.5,189925367.5,(((((((5)*(x))*(((8)*(8))*(x)))*((x)*((8)-(5))))*(x))*(x))*(x)),(((((5)*(((x)/(0))+(4)))-(5))/(x))+(x)),5*x*x*x,4
5,-0.5744924330924958,-0.02352653179931884,0.27844183803212114,0.2776806726421827,StrategyMultXD|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategySubXD|StrategyAddTreeWithMult|StrategySubXD|StrategyAddTreeWithAdd,StrategyMultXD,StrategyDivXD,2,4,357738012.5,357738012.5,(((((((5)*(x))*((9)*((8)-((6)*(8)))))*(x))*((9)*(x)))*(x))*(x)),((((((5)*(7))/((9)-(4)))/(((x)+(6))*(0)))-(x))-(x)),5*x*x*x,4
6,-0.5324682681492972,-0.007756634173061189,0.3252365878169455,0.3037782891749816,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategySkipD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategySkipD|StrategyDivXD|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddXD,StrategyMutateTerminalR,StrategyDivXD,5,3,7155472.5,7155472.5,((((((5)*((x)+(4)))*((x)*(((x)*(x))*((1)-(6)))))+(x))*(x))*(x)),((((((((5)*((6)+(8)))*((x)*((x)*((5)/(0)))))-(((2)+(1))/(((1)+(5))*((5)*(x)))))/(x))/(x))/(x))+(x)),5*x*x*x,4
7,-0.6960206314500852,0.1342486961475009,0.05364950145960701,0.38394213021024926,StrategyMultXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategySkipD|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyAddTreeWithSub|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddToLeafR,StrategyMultXD,StrategySkipD,6,6,70221563.5,70221563.5,((((((5)*(x))*((((4)*(9))*((4)+((3)*(6))))*(x)))*(x))*((8)-(1)))*(x)),((((((9)-(6))-(1))*(2))/(((3)/(0))+((1)-((2)+(0)))))/(x)),5*x*x*x,4
8,-0.8022223898628384,0.19280771342145597,-0.2772403080714096,0.4506413116731175,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddTreeWithAdd,StrategyAddTreeWithMult,7,7,913440,913440,((((((2)+((7)*((8)-(2))))*(x))*(((6)+(6))*((2)+(7))))+(x))*((7)*(5))),((((((((7)/((5)*(x)))+(7))-(((0)*(1))*((6)+(x))))+((4)+(((9)/(0))-(4))))/(x))+(x))-(x)),5*x*x*x,4
9,-0.7477868582439603,0.1645422782288964,-0.08427102679449903,0.3248089830506557,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddXD,StrategyAddTreeWithAdd,StrategyDivXD,8,8,2006251.5,2006251.5,(((((5)*((4)+((9)-(0))))*((6)*(((8)*(9))*((8)+(5)))))+(8))*(x)),(((((((((9)+(1))*((0)+(2)))*((x)-((8)+(5))))+((x)/((2)-(((2)/(0))+(x)))))-(x))/(x))+(x))+(x)),5*x*x*x,4
10,-0.8056266577936834,0.24471997542612275,-0.11505671253718457,0.41900004740727415,StrategyMultXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddToLeafR|StrategyMutateTerminalR|StrategyMultXD|StrategyMutateTerminalR,StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddXD,StrategyMultXD,StrategyAddTreeWithDiv,9,9,24029995,24029995,((((((7)*((2)+(9)))*(((x)+(6))*((9)*(5))))*(x))*((4)+(9)))*(x)),(((((((((x)/(1))*(x))+((x)*((x)-((x)/(0)))))-(((0)-((0)-(5)))*(((2)+(0))*((9)/(x)))))/(x))+(x))/(x))+(x)),5*x*x*x,4
11,-0.6797138251689789,0.20367809467271686,0.4942112368103402,0.3984667271783999,StrategyMultXD|StrategyMultXD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddTreeWithMult,StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddTreeWithDiv,10,10,439927713.5,439927713.5,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((((x)*(6))*((4)-(((4)-((x)+(3)))*(x))))*((x)+((x)/((6)+((2)/((4)-(2)))))))/((9)/(0)))/(x))*(x)),5*x*x*x,4
