generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9438293783980919,0.15734502847880322,-0.6723647490934723,0.4097149225654223,StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithSub,StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithMult|StrategyAddXD,StrategyMutateTerminalR,StrategyDivXD,0,0,371415,371415,(((((((3)*(2))*(((3)-(3))-(5)))*(((8)*(5))*(8)))-(x))*(x))*(x)),(((((((x)-((1)*(7)))-(((4)-((6)+(7)))/((0)/(2))))*((1)/(5)))/(x))-(x))+(x)),5*x*x*x,5
2,-0.9278912199731797,0.15777271060229775,-0.578084226039544,0.3812644459252003,StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyReplaceBranchXR,StrategyDivXD|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateNonTerminalR|StrategyMutateTerminalR,StrategyAddTreeWithSub,StrategyDivXD,1,1,2001670,2001670,(((((((6)*(7))-((5)+(2)))*((3)*(8)))*((x)*(x)))-(x))*((1)-((x)*(8)))),(((((((5)*(0))-((0)-((3)/(6))))+((9)/((3)/((x)/((9)+(6))))))/((7)*(0)))/(x))-(x)),5*x*x*x,5
3,-0.9458553789433928,0.17619252913810118,-0.8101604195432006,0.25253316206066845,StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyReplaceBranchXR,StrategyReplaceBranchR|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyReplaceBranchXR,StrategyAddTreeWithSub,StrategyAddTreeWithAdd,1,2,151165,151165,(((((5)*((9)*(4)))*(((9)*(((5)+(9))-((x)+(8))))*(x)))-(x))*(x)),((((((8)+(3))-((x)+(3)))*((2)*(7)))*((x)+(((9)/(0))+((1)+(8)))))+(x)),5*x*x*x,5
4,-0.9169781064856487,0.15809489097566365,-0.5085949353413164,0.41291634566339186,StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyReplaceBranchXR,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyDivXD|StrategySkipD|StrategyAddToLeafR|StrategyMultXD|StrategyDivXD|StrategyDivXD,StrategyAddTreeWithSub,StrategyDivXD,3,3,274785.5,274785.5,(((((5)*(((x)+(1))-(0)))*((x)*((9)*(9))))-((1)-(9)))*((x)+(x))),((((((((3)+((8)/(0)))*(((8)*(3))*((4)-(9))))*(((x)/(x))+(((4)*(x))/((5)/((7)-(x))))))/(x))*(x))/(x))/(x)),5*x*x*x,5
5,-0.950910878540314,0.1865352057672596,-0.6906548277487998,0.30449050309702275,StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMultXD|StrategyReplaceBranchXR|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategySkipD|StrategyAddTreeWithAdd,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyDivXD|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyAddToLeafR|StrategyMultXD,StrategySkipD,StrategyReplaceBranchR,3,4,330646,330646,(((((5)*(x))*((x)*(((x)-(8))*(9))))*(x))*((9)+(8))),(((((9)-(7))/((8)*(0)))*(x))*(x)),5*x*x*x,5
6,-0.9582716035869273,0.17667827216648985,-0.7820130171031734,0.354976504680594,StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyReplaceBranchXR,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategySkipD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyMultXD,StrategyAddTreeWithSub,StrategyReplaceBranchR,5,5,623559.2,623559.2,(((((x)*(9))*(x))*(((x)-((4)*(9)))*(x)))*(x)),(((3)-(((1)/(0))-(5)))*(x)),5*x*x*x,5
7,-0.9705347776507832,0.17119863833148216,-0.9444470247933886,0.26529122939500105,StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategySkipD|StrategyAddTreeWithAdd,StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyAddToLeafR|StrategyReplaceBranchXR,StrategyAddTreeWithSub,StrategyMultXD,6,6,30772,30772,(((((5)*(((1)+(2))*(x)))*(((x)-(2))*((x)+(1))))-(x))*(x)),((((((1)-(4))+(4))/((x)/((x)*(0))))+(x))*(x)),5*x*x*x,5
8,-0.974445161747776,0.19595144346189813,-0.9645956902794175,0.40799579124579133,StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyDivXD|StrategyMutateNonTerminalR,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategySubXD|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyMultXD,StrategyMutateNonTerminalR,StrategyMutateNonTerminalR,7,6,14822.5,14822.5,(((((x)*(9))*(6))*(x))*(x)),(((((x)+(((x)/(0))+(7)))*((x)-((8)-(5))))-(x))*(x)),5*x*x*x,5
9,-0.9686698841101838,0.14175025385575638,-0.8791810413520679,0.2559780327917659,StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyReplaceBranchXR,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategySubXD|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyMultXD,StrategyReplaceBranchXR,StrategyMutateNonTerminalR,8,7,302483.5,302483.5,(((((5)*(x))*((x)*(x)))*((3)*(8)))*(x)),(((((0)/(0))+(6))-(x))*(x)),5*x*x*x,5
10,-0.973725849096043,0.16749971051142049,-0.9592560330578511,0.3017243170662082,StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddToLeafR|StrategySubXD|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyMultXD,StrategyAddTreeWithSub,StrategyMultXD,9,9,20568.9,20568.9,(((x)*(x))*((x)*((x)-(((x)*(9))-(4))))),((((((8)*((5)/(0)))+((x)*(2)))+(6))-(x))*(x)),5*x*x*x,5
11,-0.9748635116356594,0.18191257133517985,-0.9675230578512396,0.3344433479819844,StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategySubXD|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddTreeWithSub,StrategyMutateTerminalR,StrategyMutateNonTerminalR,10,9,12347.5,12347.5,(((x)*(8))*(((5)*(9))*(x))),(((((x)-(x))*(((x)-(9))*(x)))*(((1)-(7))-((8)-((9)/(0)))))-(x)),5*x*x*x,5
