generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9102423809950796,0.1227928304033831,-0.386483443415701,0.30140826118326125,StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddXD,0,0,5291027.5,5291027.5,(((((6)*((9)*((9)-(3))))*(x))*(((0)+((6)*(9)))*(x)))*(x)),((((((0)-(6))-(8))+(((x)+(8))+((7)+((7)*((8)/(0))))))+((1)/(3)))+(x)),5*x*x*x,6
2,-0.9223195874396127,0.20421444766168828,-0.6544755468426173,0.5355069596291232,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyAddTreeWithMult,StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,1,1,311630,311630,(((5)*(x))*((((x)*(1))*(3))*((3)+(((4)*(5))*((3)*(((0)-(9))-(0))))))),(((((((7)+((3)/(((4)-(4))/(7))))/(x))+((5)+(x)))*((x)/(3)))+(x))+((6)/(8))),5*x*x*x,6
3,-0.939364334725085,0.16478801529154083,-0.14001355392267892,0.5532470497531198,StrategyMutateTerminalR|StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMultXD|StrategySkipD,StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddXD,2,1,9891486,9891486,(((((((7)*(8))*((x)*(x)))*(x))*((8)*(x)))+(x))*(x)),((((((((((x)+(2))*(x))-((5)/((8)-(5))))-(((2)/(0))*((x)/((8)-(x)))))/((6)/((0)-(3))))+(x))*((0)/(9)))+(x))+(x)),5*x*x*x,6
4,-0.9727924748108174,0.2909847862351109,-0.8753625813687937,0.5399690867530851,StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddRandomSubTreeR|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategySkipD|StrategyAddXD|StrategyAddTreeWithDiv,StrategyAddRandomSubTreeR,StrategyAddTreeWithDiv,3,3,275687.50000000006,275687.50000000006,(((5)*(((7)/(3))*(5)))*((x)*((4)*((6)*((6)*(6)))))),((((((((4)/(6))+(((8)/(x))*(((1)/(8))+((3)/(5)))))*(((0)-(2))+((5)+((x)*(0)))))/(x))+((4)/(0)))-(x))+(x)),5*x*x*x,6
5,-0.961948795328739,0.2994048659317182,-0.8797443912754878,0.5281245757557251,StrategySubXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyReplaceBranchR,StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,3,4,956074.9,956074.9,((((9)*(x))*((((x)*(7))*(6))*(x)))*((x)*(1))),((((((((9)-(2))*(9))+((7)*((4)+(((9)/(0))/(4)))))-(((3)*(x))-(((1)/((x)/(2)))/(((7)/(x))*(0)))))/(x))-(x))+(x)),5*x*x*x,6
6,-0.9594913094711435,0.28040575528427025,-0.8582491202081941,0.5307875267025024,StrategyAddTreeWithSub|StrategyMultXD|StrategyReplaceBranchR|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyReplaceBranchR,StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,5,5,208309.2,208309.2,((((((6)*(9))*((7)+(6)))-(x))*((x)*(x)))*(x)),((((((5)*((1)/((x)/((7)/(0)))))+(((9)/(5))*((5)*(5))))-((4)*((((5)-(0))/(6))-((4)-(2)))))*(x))-(x)),5*x*x*x,6
7,-0.9441027494204508,0.21804506164543386,-0.7341457131668905,0.6243156142882953,StrategySubXD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,6,6,189755.5,189755.5,((((((5)*(5))*(8))+(7))*(((1)*(3))*(x)))*((x)*(8))),(((((5)-((1)-(8)))*((1)-(((((4)/(0))/(4))/((3)/(0)))*(0))))-(x))/(x)),5*x*x*x,6
8,-0.9596622562295141,0.2314463011859375,-0.8142171495606789,0.5303502982990896,StrategySubXD|StrategyMultXD|StrategyReplaceBranchR|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddTreeWithMult,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,7,7,68068,68068,((((((5)-(((5)*(3))*(4)))*((x)*((2)*(2))))*(x))*(x))-(x)),(((((((9)+(7))/(((7)-(x))*((2)-((1)/(2)))))-(((5)/(3))/(((3)*(6))-((x)*(((8)*(5))/(0))))))*(x))-(x))/(x)),5*x*x*x,6
9,-0.9197031191191615,0.1734648129880914,-0.5096920564454821,0.6617239203351051,StrategySubXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithMult|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddTreeWithMult,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,8,8,840235,840235,((((((3)*((9)*(2)))*(x))*((x)*((1)*(9))))-(x))*((9)*(5))),(((((((3)-(6))*((8)*(((0)/(x))/(9))))-(((6)-((x)/(1)))+((2)/(0))))*(x))-(x))/(x)),5*x*x*x,6
10,-0.9329558470535211,0.2172227208899952,-0.7621972497001752,0.5283476612789428,StrategyAddTreeWithSub|StrategyMultXD|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithMult,9,9,1075871.5,1075871.5,(((((8)+((9)*(5)))*(((2)+(9))*(x)))*((6)*(x)))*((7)+(1))),(((((x)*((1)/(9)))*(x))*(((8)-(1))-((((7)-((6)*(4)))/((5)*(0)))*(1))))+((6)-((7)/((7)*(2))))),5*x*x*x,6
11,-0.9488922817800265,0.17469694877113823,-0.7394483985043065,0.4447233852262508,StrategySubXD|StrategyAddRandomSubTreeR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddToLeafR,StrategyAddTreeWithDiv,10,10,548752.6,548752.6,((((((4)+(x))*(7))*(x))*(((2)+(5))*(x)))*((3)*(x))),((((((8)-(((7)/(1))*(0)))*((2)*((6)*((9)-(2)))))*((x)+(7)))*(x))*((((4)/(0))*(9))-(1))),5*x*x*x,6
