generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9225436777004902,0.14657834257581376,-0.42549596710145127,0.29475244221270497,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyMultXD,StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithSub,0,0,1958687.5,1958687.5,((((((9)*(6))*(x))*(((4)+(6))*(x)))*((4)*(3)))*(x)),(((((4)+((8)+((x)-(2))))+(((6)/(0))+(((9)*(4))-((5)-(5)))))/(x))+(x)),5*x*x*x,7
2,-0.849960121192842,0.06264159754523775,-0.37071970972592466,0.24268260753899912,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyMultXD,StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithSub,0,0,6663167.5,6663167.5,((((((6)*(9))*(x))*(((8)+(9))*((3)*(8))))*(x))*(x)),((((((2)-(6))+(1))*((8)+(1)))*(((8)-(3))*((((1)-((6)/(0)))-(0))/(x))))/(x)),5*x*x*x,7
3,-0.8951635882439992,0.07469261378635841,-0.15737305333766322,0.23970000087543486,StrategySubXD|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategySkipD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyReplaceBranchXR,StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,2,2,4326355,4326355,(((((((7)*(7))*(x))*((x)*((x)*(4))))-(x))*(x))*(x)),((((((1)/(4))-(((4)*((8)*(4)))*(6)))+(((5)+(4))-((1)/(5))))+(((2)*((4)*((4)/(0))))-((0)*(((0)/(7))+(8)))))+(x)),5*x*x*x,7
4,-0.9379726051045401,0.13087990135495486,-0.7658447438900604,0.3438137818119268,StrategySubXD|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddToLeafR,StrategyMutateTerminalR|StrategyAddToLeafR|StrategySkipD|StrategyReplaceBranchXR|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddToLeafR,StrategyAddXD,3,3,834037.6,834037.6,(((((((x)/(x))*((7)*((7)+(x))))*((x)*(x)))-((6)-((9)-(8))))*(x))*((3)*(x))),((((((5)*((9)-(8)))*((1)*((((0)/((0)/(3)))-((0)*(2)))-(4))))-((2)+((x)+(8))))+(x))+(x)),5*x*x*x,7
5,-0.9353170752144168,0.051599221398289305,-0.6943803218734159,0.26664307264004233,StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyMultXD,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyDivXD|StrategyAddXD|StrategyReplaceBranchR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategySkipD,StrategyAddXD,3,4,159854.75,159854.75,((((((5)*(x))*((x)*((x)*((x)+(4)))))+((8)*(x)))-((x)/(2)))*(x)),((((((((2)-(8))/((8)*(1)))*(((7)/(0))*((x)*((3)-(x)))))*(x))/(x))+(x))+((4)-(x))),5*x*x*x,7
6,-0.9218708464393737,0.024978881072151498,-0.721053519136406,0.25844649301862327,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddToLeafR|StrategySubXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyDivXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyAddTreeWithAdd,StrategySkipD,StrategyAddTreeWithAdd,5,5,150942,150942,(((((9)*((5)+(9)))*(x))*((x)*((x)*(4))))-(x)),(((((((0)*(x))*((2)*((4)/(((2)-(8))+(6)))))*(((9)+(7))*((8)-((8)-(x)))))*(x))*(x))+(x)),5*x*x*x,7
7,-0.9014074246358392,-0.008350949239510042,-0.576244187264388,0.2951240410613455,StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyMultXD,StrategyReplaceBranchXR|StrategyAddXD|StrategyMultXD|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategySkipD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,StrategyMutateTerminalR,6,6,344602.5,344602.5,((((((x)+(8))*(((6)*((3)/(1)))-(0)))*((x)*((9)*((7)/(2)))))-(x))*(x)),((((((x)*(8))/((0)*((9)-((9)-(x)))))+(6))*((1)*(2)))+(x)),5*x*x*x,7
8,-0.9036265318187631,-0.028360679429361203,-0.7047116847086434,0.19064757204075386,StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyMultXD,StrategyReplaceBranchXR|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyDivXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,StrategyAddTreeWithSub,6,7,172902.6,172902.6,(((((((8)+(0))/(1))*((0)+((9)*(x))))*((((4)/(x))-(x))*(x)))-(x))*(x)),(((((x)*((x)+(x)))+((x)-((4)-(5))))+(x))*(x)),5*x*x*x,7
9,-0.9515924280239366,0.034643656724671616,-0.8284683480971788,0.267693327211509,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddXD|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateTerminalR|StrategySkipD,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyDivXD|StrategyAddXD|StrategyAddToLeafR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyReplaceBranchXR,StrategyAddToLeafR,8,8,135285.7,135285.7,(((((((x)*(9))*(x))*((x)*(x)))+(x))-(x))*(6)),(((((1)*((4)-(6)))/((5)-(5)))-(x))+(x)),5*x*x*x,7
10,-0.9288841006639004,0.0238702412139,-0.7922634874105943,0.3231845235200674,StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyMultXD|StrategySkipD|StrategyReplaceBranchXR,StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddXD|StrategyAddToLeafR|StrategyMutateNonTerminalR,StrategyReplaceBranchXR,StrategyAddXD,9,9,193823.8,193823.8,(((((x)-(3))*((((x)*(5))*((3)*(8)))*(x)))-(x))*(x)),(((((((6)/((0)*(0)))*((5)*((7)+(4))))-((x)*(8)))+(((8)-(2))-(8)))+(x))+((8)*(0))),5*x*x*x,7
