generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9642977156761516,0.16103142326276504,-0.8347847745054547,0.3597380716859958,StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyAddXD|StrategySubXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult,StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithDiv|StrategyDivXD|StrategySkipD|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddXD|StrategyMutateTerminalR|StrategyAddTreeWithSub,StrategyReplaceBranchXR,StrategySkipD,0,0,132786.5,132786.5,((((((1)+(8))*((6)*((x)+(1))))*(((x)-((9)*(7)))*(x)))+(x))-(x)),(((((((5)*(3))+((1)*(4)))-((((8)/(6))*(3))/(x)))/((3)-(9)))/(0))+(x)),5*x*x*x,8
2,-0.9576968896864534,0.18416091763041886,-0.7919187387931077,0.4555328951525451,StrategySubXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategySubXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategySkipD|StrategyReplaceBranchXR,StrategySkipD|StrategySkipD|StrategyAddTreeWithDiv|StrategyDivXD|StrategySkipD|StrategyAddRandomSubTreeR|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithDiv,StrategySkipD,StrategySkipD,1,1,399041.5,399041.5,((((((((x)*(3))*((3)-(9)))*(x))*((x)*(x)))-(x))*(x))-(x)),(((((x)+((4)-(0)))*((0)+(((0)+(5))-(2))))+(((5)/(0))-((7)+((x)-(x)))))/((8)/(0))),5*x*x*x,8
3,-0.9450324227888123,0.21256993881641928,-0.6650495421171608,0.4985837296005652,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategySkipD|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,2,2,1594653.5,1594653.5,(((((((9)/(2))*(x))*(((x)*(4))*(((0)+(x))*(x))))+(x))*((7)*(5)))-(x)),(((((((3)*(8))/((0)*(x)))*(((9)/(3))*(x)))+((2)-(((2)/(4))+(1))))+(x))/((x)/(9))),5*x*x*x,8
4,-0.9260275001126214,0.22750286711389872,-0.6182202936261216,0.5069695713539154,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategySubXD|StrategyDivXD|StrategySkipD|StrategyAddRandomSubTreeR|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,3,3,122663.2,122663.2,(((((((9)+((5)*(8)))*(x))*((x)*(x)))+(x))*(x))+(x)),(((((((2)+((x)*((1)/(4))))*((x)*((((x)-((2)*(2)))/(9))/(0))))*((5)+(5)))-(x))/((2)+(4)))/(x)),5*x*x*x,8
5,-0.9275336591633238,0.16612293211974366,-0.44952557017876976,0.299130981016686,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyAddXD|StrategyDivXD|StrategyAddTreeWithMult|StrategyMultXD,StrategyAddToLeafR,StrategyAddTreeWithMult,4,3,1027625.5,1027625.5,((((((6)*(7))*(x))*((((9)*(((4)+(4))/(1)))+(9))*(x)))+((6)+(0)))*(x)),(((((((((8)+((x)+((2)/(6))))-((x)*((0)*(1))))*(((3)+(0))/((x)*((4)/(((0)*(0))*((8)-(x)))))))-(x))/(x))+(x))/(x))*(x)),5*x*x*x,8
6,-0.8813722652887886,0.12519162366981706,-0.511483672783329,0.4201005032223934,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategySubXD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,5,5,1205922.5,1205922.5,(((((((7)*(8))*(x))*(((7)*(5))*(x)))+(x))*((2)*(8)))-((4)+(9))),((((x)-(5))-(((6)*(1))/(0)))+((8)/((4)/(7)))),5*x*x*x,8
7,-0.8972305439689986,0.14813231630592963,-0.5206635905293273,0.4060425377349447,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithMult,StrategySkipD,StrategyAddTreeWithDiv,5,4,549846,549846,(((((5)*((7)*((x)+((5)*(3)))))*((8)*((9)+(x))))+(x))*(x)),(((9)*(8))+((5)/(0))),5*x*x*x,8
8,-0.8988849714587497,0.1570572378679432,-0.7359217868942711,0.29202734607062036,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyReplaceBranchR,StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,7,6,207825.2,207825.2,(((((((((7)+(2))+((x)*(x)))+(4))*(x))*(((5)+((8)*(8)))*(x)))+(x))*(x))/(x)),((((((9)/((((9)+(0))/(0))-(2)))+(5))+((8)*((8)+(7))))-(x))+(x)),5*x*x*x,8
9,-0.9077305439165844,0.16643777563516127,-0.6145283603053757,0.3046123811520391,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyReplaceBranchR,StrategyAddTreeWithAdd,StrategySkipD,8,8,252689.8,252689.8,((((((((x)*(7))+((2)+(4)))*(x))*((x)*(x)))+(x))*((3)+((1)+(9))))+(x)),(((((x)*(9))+(((3)/((0)/((0)*(0))))*((x)*(7))))*(((1)+(x))*(((8)+(2))+(0))))+(x)),5*x*x*x,8
10,-0.8556257328244132,0.15287031779916277,-0.48306470082451225,0.3360906043258814,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyReplaceBranchR,StrategySkipD,StrategyAddToLeafR,9,9,625124.5,625124.5,(((((((3)*(8))*(x))*((x)*(8)))+(x))*(((9)+(5))+((x)*(9))))+(x)),(((((5)*((x)-(6)))/((8)+((3)+((2)+(9)))))*((((7)*((2)+((x)+(2))))*(x))/((3)/((7)*(0)))))+((1)/(1))),5*x*x*x,8
11,-0.8230878589177845,0.16012150968564764,-0.4171936294985925,0.3724265324896848,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithMult,StrategySkipD,StrategyReplaceBranchR,10,10,1162727.5,1162727.5,(((((5)*(x))*(((9)+(3))*((7)*(x))))+(0))*((8)*((4)+(5)))),(((((x)-(5))+((((2)+(3))/(0))+(6)))+((9)+((9)*(8))))+(x)),5*x*x*x,8
