generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.8931266309001133,0.12674618621996217,-0.25582178072423994,0.3428123893995132,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithMult|StrategyAddXD|StrategySkipD,StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithDiv|StrategyMutateNonTerminalR|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyMutateTerminalR|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,0,0,194810,194810,((((((((9)*(7))-(4))*(x))*((x)*(((4)+(6))+((3)-(2)))))*(x))-(x))+(x)),(((((((9)+(1))*((8)/((1)+(1))))-(7))*((2)-(((x)-(9))+(9))))-((0)*((x)/((x)-(x)))))-(8)),5*x*x*x,9
2,-0.9501369339743319,0.1620910395531476,-0.7634261499021999,0.3191854665520725,StrategyAddXD|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyMultXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithDiv,StrategySubXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategySubXD|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv,StrategyMultXD,StrategySubXD,0,1,168594.75,168594.75,((((((((7)+(7))*((5)*(8)))*((x)*(x)))-((8)/(8)))*(((5)/(4))-(9)))*(x))/(x)),(((((x)-((8)/((x)*(0))))+((x)*(((6)+(4))+(x))))-(((8)-(3))-((1)/(8))))+(x)),5*x*x*x,9
3,-0.9400811987838402,0.1552539738296443,-0.5168537714162084,0.38735411250744545,StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyDivXD|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyMultXD,StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyDivXD|StrategyAddRandomSubTreeR,StrategyAddTreeWithAdd,StrategyAddTreeWithSub,0,2,1467702.5,1467702.5,(((((5)*(x))*(((x)*((6)+(9)))*((((9)-((x)+(7)))-(9))+(8))))*(x))*(x)),((((((((5)+((x)*(8)))+((5)/(((6)-((1)-(x)))*(9))))-(((7)-(0))/((0)*((6)/((7)+(0))))))*((2)+(8)))+(x))-(x))/(x)),5*x*x*x,9
4,-0.9603341082085738,0.15587590235628854,-0.7578979360793733,0.4860016223152793,StrategyMultXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMultXD|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR,StrategySubXD|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategyMutateNonTerminalR|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategySubXD|StrategyAddToLeafR|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddToLeafR,3,3,419391.5,419391.5,((((((6)+(3))*((7)+((x)-((x)*((8)+(3))))))*((2)*(x)))*(x))*(x)),((((((2)/(1))*((x)-((2)-(0))))*((1)*(((7)*((9)*(2)))/(((8)-(3))+(((6)+(2))/((0)/(x)))))))-(x))-(x)),5*x*x*x,9
5,-0.9684308489211084,0.1241935995155189,-0.8671634781115974,0.28755414475770735,StrategyMultXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategySubXD|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyAddTreeWithSub|StrategyAddTreeWithDiv,StrategyMutateTerminalR,StrategySubXD,4,3,599087.5,599087.5,((((5)*(5))*((x)*((9)+(5))))*(((7)+(x))*((x)*(3)))),(((((((8)/((4)-(2)))+((2)*(1)))-(((1)+(2))*((5)-(8))))/(((4)-(1))*((0)/(((7)/(8))+(x)))))-(x))-((1)*(1))),5*x*x*x,9
6,-0.9619708651704499,0.11886445590619914,-0.8811649078186203,0.31388469568087485,StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithSub|StrategyDivXD|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategySubXD|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySubXD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyAddTreeWithAdd,StrategySubXD,5,5,283343.5,283343.5,(((((4)+(9))*(x))*(((6)*(8))*((1)-(((1)+(1))-((x)+((1)*(5)))))))*(x)),(((9)*((2)-(8)))+((x)/(0))),5*x*x*x,9
7,-0.9489116819862344,0.127865207324097,-0.7703887090610788,0.3099945537627356,StrategyAddTreeWithMult|StrategyAddXD|StrategyDivXD|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyAddTreeWithSub|StrategyAddTreeWithDiv,StrategyDivXD,StrategyAddXD,6,6,548575.6571428571,548575.6571428571,((((((((7)*((6)*(4)))*(x))*(((6)-(9))*(x)))+(x))/((7)/(3)))*(x))*(x)),((((((4)*(1))*(((8)-(8))*((9)+(4))))+(((x)-((6)*(0)))/(((x)/(9))/((x)+((x)*(0))))))*((5)/(0)))-(x)),5*x*x*x,9
8,-0.9360155072101806,0.09944557355803112,-0.7477338401809115,0.32236932341604274,StrategyAddToLeafR|StrategyAddXD|StrategyDivXD|StrategyAddToLeafR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyMutateNonTerminalR|StrategySkipD,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyDivXD,StrategyAddXD,StrategySubXD,6,7,109378.5,109378.5,(((((((5)*(x))*(((0)+((4)*((2)*(x))))*((9)*(8))))+(x))-(x))+(x))+(x)),(((((((5)*((x)*(x)))+((2)/((x)*(1))))+((7)+(((3)/(0))*(8))))-(x))-(x))/(x)),5*x*x*x,9
9,-0.9664441843618367,0.18980862432874215,-0.8719936547098467,0.3786406301745927,StrategyAddToLeafR|StrategyAddXD|StrategyDivXD|StrategyAddToLeafR|StrategyAddXD|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyMutateNonTerminalR|StrategyAddRandomSubTreeR,StrategyAddXD|StrategyMutateTerminalR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyDivXD,StrategyAddXD,StrategyAddXD,8,7,2749010,2749010,((((((((9)*((5)+(9)))*(x))*(((7)*((9)*(9)))*(x)))+((6)*(0)))-(x))+(x))+(x)),((((((((1)+(7))-(x))*((x)*(((8)/(0))*(2))))*((1)+(((2)-(3))+(((7)*(0))+(4)))))+(x))+(x))/(x)),5*x*x*x,9
10,-0.96444584636037,0.16590274682259892,-0.912552273171344,0.38650625509368247,StrategyAddTreeWithMult|StrategyAddXD|StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategySubXD|StrategyReplaceBranchXR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategySubXD|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategySubXD,8,9,76769,76769,(((((5)*(x))*((x)-((x)*((4)*((7)*((9)+(5)))))))+(x))+(x)),((((((((4)*(x))-((x)-(4)))+(((x)/((5)/(0)))*((7)*(1))))*((x)*(2)))-(x))-(1))-(x)),5*x*x*x,9
11,-0.9647303696901559,0.18490336851629346,-0.8956434179403677,0.4283190302151726,StrategyAddTreeWithMult|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyReplaceBranchXR|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyMultXD,StrategyAddXD,StrategyReplaceBranchXR,10,10,97592,97592,(((((((5)-((9)+(9)))*(((8)*(4))*((6)*(x))))*(x))+(x))+(x))+(x)),((((((6)+((7)/(0)))+((1)*(7)))+(x))-(x))*(x)),5*x*x*x,9
