generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.955266550799099,0.1697332489247935,-0.6489976996254615,0.4071912607439193,StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyMultXD|StrategySubXD|StrategySkipD|StrategySkipD|StrategySkipD,StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD,StrategySkipD,StrategySkipD,0,0,218801.4,218801.4,((((((5)*(x))*((x)*((9)-((3)*(x)))))*(x))*(x))-(x)),((((((x)-((0)/(7)))+((6)*((x)+(5))))-(((8)*((4)+(((6)+(6))*(1))))/((7)/((9)/((x)-(x))))))/(x))+(x)),5*x*x*x,10
2,-0.9286684319622014,0.1746982432310983,-0.5280639052348477,0.36386383491156243,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithAdd|StrategyDivXD|StrategyMultXD|StrategyMultXD|StrategySubXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategySubXD|StrategyDivXD|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithAdd,StrategyDivXD,1,1,71247,71247,((((((((9)+(6))*((5)+(4)))*((x)*((9)+(5))))/(x))*(x))*(x))-(x)),(((((((((6)*((x)*(x)))-((x)*((((7)-(9))+(8))-(x))))*(((1)-(x))*((x)/((x)-(x)))))/(x))+(7))-(x))/(x))/(x)),5*x*x*x,10
3,-0.9009288774989569,0.1506969721511736,-0.451156475885537,0.2983176193224812,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyMultXD|StrategyAddTreeWithMult|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD,StrategySkipD|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategySubXD|StrategyAddXD,StrategyAddTreeWithMult,StrategyDivXD,2,2,454470.5,454470.5,((((((((5)*(x))*((((1)*(x))*(4))*((x)*(9))))*(x))-(x))*(x))/(x))-(x)),(((((((4)+(x))+((3)+(2)))*((x)/((x)-(x))))/(x))-(x))+(x)),5*x*x*x,10
4,-0.8910986928786739,0.2014810408775179,-0.45998404949043836,0.337084577327652,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyMultXD|StrategyAddTreeWithMult|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddTreeWithDiv|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,2,3,1661676.5,1661676.5,((((((((5)*(((4)*(5))*(9)))*((x)*(x)))*((8)*(6)))-(x))*(x))/(x))-(x)),((((((((x)*((8)+(x)))/(((0)+(9))*(3)))*((7)/((x)-(x))))-((6)/((9)-(9))))*(x))+(x))-(x)),5*x*x*x,10
5,-0.8947413941195821,0.17687010981209894,-0.41969288133073057,0.328775482093664,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyMultXD|StrategyDivXD|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD,StrategyAddXD|StrategyAddXD|StrategyAddXD|StrategyAddTreeWithDiv|StrategyDivXD|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyMultXD|StrategySubXD|StrategyMultXD,StrategySubXD,StrategyAddXD,4,3,568716.5,568716.5,((((((((5)*(8))*((x)*((8)*(3))))*(((3)*(9))*(4)))-(x))*(x))/(x))-(x)),(((((x)*(5))*(x))-(x))*(x)),5*x*x*x,10
6,-0.8438060559153975,0.16020607739173004,-0.39120817035816946,0.39298868848229207,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyMultXD|StrategyDivXD|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD,StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyMultXD,StrategyMutateNonTerminalR,4,5,2666416.5,2666416.5,((((((((5)*((6)*(2)))*(((7)*(x))*(x)))*(x))-(x))*((7)*(6)))/(2))-(x)),((((((((4)*(x))+(x))*((8)*((x)-(2))))/(((4)-(4))/((1)/(((0)+(1))+(0)))))*(x))+(x))+(x)),5*x*x*x,10
7,-0.8165093812687216,0.13673111924848408,0.24065018482375974,0.4372847942416258,StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyDivXD|StrategyAddToLeafR|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySkipD,StrategyAddXD|StrategyAddXD|StrategyAddXD|StrategyAddTreeWithDiv|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyAddXD,6,6,20195115.6,20195115.6,(((((((((6)*(8))*((4)+(9)))*((x)*(x)))*((x)*(8)))*((x)+(5)))*(x))/(x))-(x)),((((((((((6)+((3)/(0)))-((9)*(9)))*(x))+(x))+((5)-(x)))*(x))+(x))+(x))*(x)),5*x*x*x,10
8,-0.8658974998268691,0.15672283856127397,-0.16778345237328857,0.32645660408193483,StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyDivXD|StrategyAddToLeafR|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySkipD,StrategySkipD|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMultXD|StrategyReplaceBranchR,StrategyMultXD,StrategyMutateNonTerminalR,6,6,4254426,4254426,(((((((((3)*(x))*(x))*(((8)*(1))*(((9)*(7))+(7))))*(x))*(x))*(x))/(x))-(x)),((((((5)*((x)*(2)))*((((6)-(0))*(0))*((x)*((7)-(3)))))*(((0)+((4)*(4)))*((x)-((x)/((x)-(x))))))-(x))*(x)),5*x*x*x,10
9,-0.8337779708957559,0.18180417634255588,0.0892990876099977,0.41755347159126976,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyDivXD|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyMultXD,StrategyMutateNonTerminalR,8,8,4838487.5,4838487.5,(((((((5)*((x)*(8)))*((x)*((0)+(5))))*(x))*(((x)*(x))+(7)))/(x))*(x)),((((1)+(((0)+((2)-(9)))*(0)))/(0))+(x)),5*x*x*x,10
10,-0.865409534527158,0.1778161885668265,-0.5457733701189749,0.3249876295429269,StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySkipD,StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategySubXD|StrategyMutateTerminalR,StrategyAddTreeWithMult,StrategyMutateNonTerminalR,9,9,12543762,12543762,(((((((6)*((8)+(1)))*(((8)*(2))*(x)))*(x))*(x))/((1)/((6)*(8))))-(x)),((((((1)-((9)*(x)))+((x)*((5)-(2))))*((((7)-(5))*(x))/(((8)*((8)/(x)))*(0))))/(x))-(x)),5*x*x*x,10
11,-0.8798345249915565,0.18193122379750204,-0.5587197363400362,0.2856828665390652,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyDivXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyMultXD,StrategyAddTreeWithSub,10,10,653284.5,653284.5,(((((((5)*((7)/(1)))*((9)*(x)))*((6)*(9)))-(x))-(((5)*(1))+(4)))*(x)),(((((((x)+(7))-(2))*((x)*(8)))+((x)*((7)/((1)-(1)))))-(x))-(9)),5*x*x*x,10
