averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,topAntagonistEquation,topProtagonistEquation
-0.9206873991577453,0.14826729619278387,-0.4719637527934847,0.37223266902264346,(((((((x)+(9))*(((8)*(x))-(4)))*(((((5)/(x))-(4))-(7))*(x)))*(x))*(x))*(x)),((((((x)*(1))-((9)+((9)+(8))))+((9)+((8)+(((0)+(6))*((4)/(0))))))/(((8)/(8))*(0)))*(x))
-0.922453596320327,0.1527442799291896,-0.6314905768035157,0.3987083660929446,(((((((x)+(9))*(((8)*(x))-(4)))*(((((5)/(x))-(4))-(7))*(x)))*(x))*(x))*(x)),((((((x)*(1))-((9)+((9)+(8))))+((9)+((8)+(((0)+(6))*((4)/(0))))))/(((8)/(8))*(0)))*(x))
-0.9194869011983778,0.14855876894783618,-0.4617130037623439,0.3794712511622417,(((((((5)*(x))*((x)*((8)-(1))))*((9)*(x)))*((x)*(5)))*(x))*(x)),((((((x)*(1))-((9)+((9)+(8))))+((9)+((8)+(((0)+(6))*((4)/(0))))))/(((8)/(8))*(0)))*(x))
-0.914589045627704,0.15959820693510168,-0.5942089383695729,0.4220335380343575,(((((((5)*(x))*((x)*((8)-(1))))*((9)*(x)))*((x)*(5)))*(x))*(x)),((((((x)*(1))-((9)+((9)+(8))))+((9)+((8)+(((0)+(6))*((4)/(0))))))/(((8)/(8))*(0)))*(x))
-0.908211464061543,0.1456610178301231,-0.611920974892143,0.33357731679657016,(((((((5)*(x))*((9)*((8)-((6)*(8)))))*(x))*((9)*(x)))*(x))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.888168628742179,0.1475296377667849,-0.5530158851022648,0.3966413743153924,(((((((5)*(x))*((9)*((8)-((6)*(8)))))*(x))*((9)*(x)))*(x))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.896508061153231,0.14545946538176388,-0.541240445458317,0.4100853179828512,(((((((5)*(x))*((9)*((8)-((6)*(8)))))*(x))*((9)*(x)))*(x))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9092083163643764,0.14191139281601567,-0.6321548322848431,0.35993179198239106,(((((((5)*(x))*((9)*((8)-((6)*(8)))))*(x))*((9)*(x)))*(x))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9049249517100391,0.15042574645995982,-0.5338966663982941,0.37146251014876,(((((((5)*(x))*((9)*((8)-((6)*(8)))))*(x))*((9)*(x)))*(x))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9214650015215318,0.174225512540046,-0.7246857860988399,0.38332580921702814,(((((((5)*(x))*((9)*((8)-((6)*(8)))))*(x))*((9)*(x)))*(x))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9032499425468371,0.17664345555707478,-0.6054437004786517,0.3975042195657628,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9099121560157355,0.16800540508413442,-0.6440990466246163,0.3713510443244582,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9196752546266543,0.16624409645212795,-0.671903183378654,0.3423806907650221,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9181091539714702,0.16519806641781848,-0.7374826479877875,0.360785708892024,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9216370241311524,0.18599617518470474,-0.7061146536673623,0.3760490193091384,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9130103893162123,0.17254785947112578,-0.6059448652705492,0.3700448512992525,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9250724315217113,0.17801317042475967,-0.7006911676992725,0.3624117629723643,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9211228786472565,0.18564772446676084,-0.6604577474045326,0.3547143214955795,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((x)*(5))*(x))-(x))*(x))
-0.9114086756097988,0.17168380718516993,-0.704366150867583,0.32043079774382693,((((((((((x)*(9))*(x))-(8))+(x))*(x))*((x)*(x)))*(x))*((9)*((1)-(4))))*(x)),(((((x)*(5))*(x))-(x))*(x))
