gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+100,100,1,-0.23851226693598765,-0.16698659653036407,-0.08307131342020987,0.019820824463578243,NaN,NaN,23841439.267051462,229787.1872201626,0.9436883140587062,0.37974512660553716,0.6011037094127563,2.448569363867707,69925448.018,1194518.2378040163,679428778.6,791027.1666666667,((((x)+((3)*(x)))+((0)*((8)*(4))))+(((3)+(1))+((6)*((5)*((x)*(x)))))),(((((6)*((7)*(x)))*(((1)/(9))*((1)+(4))))*(((x)*((6)+(2)))*(((x)/(x))/((8)+(1)))))0((((9)+((0)-(6)))*((8)*((x)/(x))))/(((x)/((6)+(5)))/(((x)/(x))/((x)+((x)-(x))))))),ReplaceBranchR|AddXD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD|AddTreeWithMult|SkipD,DivXD|AddTreeWithAdd|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|MutateTerminalR|DivXD|AddTreeWithMult|SkipD|AddTreeWithDiv|DivXD|DivXD|AddXD|SubXD|AddTreeWithAdd,AddTreeWithMult,DivXD,0,0,1,1,1
1,5*x*x*x+2*x+100,100,1,-0.1821117049162519,-0.07761831635466898,-0.06864964554575861,0.0278370051713962,57732499.99658678,2384923.7492990023,513463079.59159994,219563.9435429251,0.9979264952927736,0.8004968925592358,0.6230050765167957,1.627830556188012,1846139808.432,1167116.782222222,18451744945,254431.5,((((5)*(x))*((5)*((3)*(x))))*(((x)+(x))+((x)*((6)*(x))))),(((((x)*(4))*((x)*(x)))+(((4)*(1))+((3)-(8))))+(((1)+((8)-(9)))-((x)+((8)-((2)*(7)))))),ReplaceBranchR|AddXD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD|AddTreeWithMult|SkipD,ReplaceBranchXR|AddTreeWithSub|SkipD|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|SubXD|ReplaceBranchXR|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithSub|SkipD,AddTreeWithMult,AddRandomSubTreeR,0,0,2,2,1
2,5*x*x*x+2*x+100,100,1,-0.18387758186517822,-0.00039119079535219494,-0.04503507890680724,0.019919854408917543,1903604.5929321456,292366.39783730305,15710407.971223677,229660.89175609284,0.889700919597106,0.3730557759916542,0.5876837143048756,0.11805775924639127,37433213.010000005,1228055.2873014424,346873064.22,799558.2694276676,((((9)*((2)*(x)))*(((2)-(x))-((6)-(9))))+(((2)*(x))-((x)-((x)*((x)*(x)))))),(((((x)+((1)*(x)))-((9)+((6)*(9))))+(((7)*((x)*(6)))+((5)+((x)*(x)))))+((((9)*(4))-((2)+((3)+(4))))*(((x)-(9))-((7)+((x)/((x)+(x))))))),ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD|AddTreeWithMult|SkipD,AddToLeafR|SkipD|AddTreeWithMult|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithSub|SkipD|DivXD|ReplaceBranchR|AddXD,AddTreeWithMult,SkipD,1,2,3,3,1
3,5*x*x*x+2*x+100,100,1,-0.14530963712029799,-0.0005340745268639113,0.09235822771710106,0.02814097697373064,1475823414.7609024,1127089834.007439,14357577567.7528,219176.2804,0.9999099551812064,0.16711258141055702,0.8067843367363712,0.05273507225519866,42527592035.866,1253600.448,424897073619.7,1062202.98,((((6)*((x)*(x)))-(((3)*(5))*((3)*(x))))*(((x)+(x))*((9)*((x)*((x)-(x)))))),((((7)*(x))*((9)*(x)))+((0)+((x)+((x)+(x))))),ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|SkipD,SkipD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|MutateNonTerminalR|AddXD|AddRandomSubTreeR|AddXD|AddXD|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|SkipD,AddTreeWithMult,AddXD,3,3,4,4,1
4,5*x*x*x+2*x+100,100,1,-0.14346196379718093,-0.008767309137511052,0.15605890876191883,0.017517709824782048,1566174966.0762942,3374066.938030997,15547951391.485998,232724.40920000002,0.99994826509918,0.17147391333666834,0.7182736689541798,0.05396557598923182,73961590573.03717,1252454.47,739535195653,1056640.86,((((5)*((x)*(x)))*((x)+((2)*(8))))-(((7)*(x))+((x)*((x)*((x)-(x)))))),(((((1)*(6))*((3)+(x)))+(((x)-(5))*((6)*(4))))+(((1)*((x)-(1)))+((1)-((9)+((x)+(x)))))),AddToLeafR|DivXD|MutateTerminalR|SkipD|AddXD|SkipD|ReplaceBranchXR|MultXD|MultXD|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|SkipD|MutateNonTerminalR,SkipD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|MutateNonTerminalR|AddXD|AddRandomSubTreeR|AddXD|AddXD|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|SkipD,SkipD,AddXD,1,4,5,5,1
5,5*x*x*x+2*x+100,100,1,-0.12133103089779812,-0.006276435046247264,0.15667888378139705,0.037190095394375705,589885410.31628,114524987.48439777,5736377903.7184,207635.7044010724,0.9998305078824843,0.16607636008361784,0.7949043372727334,0.052160486660310715,22597842319.858,1250936.2179999999,225731913441,1063524.5,((((5)*((x)*(8)))+(((x)*(4))*((x)*(6))))*(((1)+(3))-((6)*((x)*((x)-(x)))))),(((((6)*(x))*((4)*(8)))*(((7)-(4))*((8)-((x)*(0)))))*((((7)*(0))+((9)+(x)))*(((3)-(0))+((x)+((x)+(x)))))),ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|SkipD,SkipD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|MutateNonTerminalR|AddXD|AddRandomSubTreeR|AddXD|AddXD|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|SkipD,AddTreeWithMult,AddXD,3,4,6,6,1
6,5*x*x*x+2*x+100,100,1,-0.14904542394163842,-0.0057575560811424795,0.04020910533990892,0.03067618883328655,483147038.9291998,2877535.6834000004,3752174746.9171996,215943.0588,0.9997726325473241,0.35847422541373736,0.8190799490514458,0.11290425556621267,22152504290.322,1227704.3699999999,168272897240.66,818154.5,((((9)+((5)*(x)))*((7)*((x)*(x))))+(((2)+(0))*((9)*((x)*((x)-(x)))))),(((((x)*(4))*((x)+(2)))+(((5)-(2))+((7)+(6))))*(((x)+((x)-(x)))*(((x)-(x))+((x)+((x)+(x)))))),ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|SkipD,SkipD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|MutateNonTerminalR|AddXD|AddRandomSubTreeR|AddXD|AddXD|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|SkipD,SkipD,AddXD,5,4,7,7,1
7,5*x*x*x+2*x+100,100,1,-0.1295055560088146,-0.009325512259727619,0.13284378786207685,0.04169602501634876,391471938045.4762,25216683.41172,3914504042114.4595,201889.1752,0.9999997892292944,0.7841493233886865,0.6593527359423568,0.2477473613608987,18152329948120.832,1174503.398,181523233463917.53,275279.98,(((((5)*(x))*((x)*(6)))*(((7)*(3))*((9)*(6))))*(((0)*((6)+(9)))+(((3)*(x))*((x)*((x)-(x)))))),((((x)+(1))*((x)*((x)-(0))))*(((5)+(1))+((x)+((x)+(x))))),ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|SkipD,SkipD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|MutateNonTerminalR|AddXD|AddRandomSubTreeR|AddXD|AddXD|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|SkipD,SkipD,AddXD,7,7,8,8,1
8,5*x*x*x+2*x+100,100,1,-0.10770651419708704,-0.007732353998524238,0.17345886149703596,0.047316515777142486,5581274044.42116,883655345.29124,54503732232.4096,194721.2172,0.9999817163807725,0.7915936787927166,0.8169951090623706,0.2677194217725484,209279693699.878,1211271.45,2092571471974.5,265786,((((6)*((2)-(8)))*(((5)*(x))*((9)*(x))))*(((5)+((0)*(9)))*((9)*((x)*((x)-(x)))))),(((((2)*(8))*((x)*(6)))*(((x)*(4))+((5)-((0)*(x)))))+(((8)-((0)*(x)))*(((2)*(0))+((x)+((x)+(x)))))),ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|SkipD,SkipD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|MutateNonTerminalR|AddXD|AddRandomSubTreeR|AddXD|AddXD|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|SkipD,AddTreeWithMult,AddXD,8,4,9,9,1
9,5*x*x*x+2*x+100,100,1,-0.10945268110079881,-0.005098575939360088,0.12898528789631822,0.036316568469552106,16160408265.992321,412268.04607999994,161326930846.2296,208749.736,0.9999948847926704,0.1565374657146487,0.9754960995776284,0.04931550548532277,748833937622,1254598.6199999999,7479614712463.5,1075689.7,(((((5)*(x))*((x)*(1)))+(((4)*(6))*((8)*(8))))*(((1)+((9)+(7)))*((4)*((x)*((x)-(x)))))),((((x)*((x)*(9)))*(((7)-(7))+((3)-(6))))-(((0)*((4)*(x)))+((4)+((x)+((x)+(x)))))),ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|SkipD,SkipD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|MutateNonTerminalR|AddXD|AddRandomSubTreeR|AddXD|AddXD|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|SkipD,SkipD,AddXD,7,9,10,10,1
10,5*x*x*x+2*x+100,100,1,-0.1201806218298789,-0.0051303733455645,0.18673931265594543,0.05087267224223454,27959475006.339,8061255.8488,279542301479.59436,190185.95840000003,0.9999971964731219,0.72368553609038,0.8182525507696742,0.24598158069193646,1364774868727.0142,1134302.42,13647017369103.5,352391.02,((((4)*((8)*(4)))+(((8)*(9))*((2)*(9))))*(((x)*((x)*(4)))*((4)*((x)*((x)-(x)))))),(((((5)+(4))*((9)*(2)))+(((9)+(6))*((x)*(x))))-(((7)+((x)*(6)))+((x)+((x)+((6)-(7)))))),ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|ReplaceBranchR|MultXD|MultXD|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|SkipD,SkipD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|MutateNonTerminalR|AddXD|AddRandomSubTreeR|AddXD|AddXD|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|SkipD,SkipD,AddXD,9,8,11,11,1
