gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+100,100,1,-0.19458658929931588,-0.1255307661974449,-0.12407188498129428,0.041708840334587764,3806292.9293076415,31522466.591236204,35810475.506390065,201872.83149145156,0.9777451233656392,0.00016028449996421276,0.6141965762850238,1.5811464935440485,173219969.2027778,1275295.097025794,1719163877.14,1275121.5850097986,(((((1)*(1))*((x)*(x)))*(((x)+(6))+((2)-(0))))-(((5)*((x)+(1)))+(((0)*(x))-((x)*((x)-(x)))))),((((x)*((4)-(1)))+((5)+((0)*(2))))+(((x)+(2))*((2)*((5)/((x)-(0)))))),AddTreeWithAdd|AddTreeWithDiv|AddTreeWithAdd|SkipD|AddXD|AddToLeafR|SkipD|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SubXD|MultXD|SubXD|MutateNonTerminalR,MutateNonTerminalR|DivXD|MutateNonTerminalR|AddTreeWithMult|AddXD|MutateTerminalR|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|DivXD|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,AddToLeafR,AddTreeWithMult,0,0,1,1,3
1,5*x*x*x+2*x+100,100,1,-0.1805621701750023,-0.11628612288433708,-0.015523489957627416,0.06833838549279482,2504481.784939595,48885025138.23462,21522703.181314282,167911.48018301598,0.9410132738728125,0.8979491518247098,0.6053242309103666,1.6732297282228177,65797110.39,1028906.2466666667,648616773.84,130148.1,((((2)-((4)*(x)))*((x)+((9)*(9))))+(((7)*(x))-((8)-((5)+((6)*(x)))))),(((((x)-(4))-((6)*((1)*(7))))+(((x)*(7))-((6)+((3)*(7)))))+((((0)*(9))/((2)-(0)))-(((x)-(x))-((x)*((x)-(x)))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|AddTreeWithDiv|AddTreeWithDiv|SubXD|ReplaceBranchXR|SkipD|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|SkipD|MultXD|ReplaceBranchXR|SubXD,AddToLeafR,AddTreeWithDiv,1,1,2,2,3
2,5*x*x*x+2*x+100,100,1,-0.182456155259487,-0.06005108358712023,-0.06831873734512178,0.0783036559927983,NaN,NaN,14710709.64782857,155202.51161732854,0.9294204622314672,0.5592642665483178,0.8163114198136912,0.08321858350456182,81312948.74,1233865.1484378674,542080342.4,562081.74,((((4)-((x)*(x)))*((9)-((4)*(x))))*(((6)+(9))*((5)*((4)-((6)*(3)))))),(((((x)*(9))*((0)*(5)))+(((5)*(x))+((0)+(x))))*(((7)*((3)*(x)))*((2)/((x)*((x)-(x)))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|SubXD,AddToLeafR,AddRandomSubTreeR,1,2,3,3,3
3,5*x*x*x+2*x+100,100,1,-0.1939575218153411,-0.07396426711162536,-0.059944786442083745,0.13758311741468454,NaN,NaN,577832391.7872,79601.8732,0.9986548999026081,0.005016207620639779,0.6347237813322189,0.0029091338666134645,2850267939.896,1274956.6202959649,28443816244,1268928.7,((((7)*((0)+(5)))*((2)+((2)*(9))))*(((9)*(9))*((x)*((x)+((7)*(x)))))),(((((5)*(5))*((9)-((3)-(4))))*(((6)-(3))+((8)-((9)+(8)))))*((((1)+(3))-((5)-(x)))*(((4)-(x))*((x)/((x)*((x)-(x))))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|SubXD,AddToLeafR,AddRandomSubTreeR,3,3,4,4,3
4,5*x*x*x+2*x+100,100,1,-0.2105538081300869,-0.06898970617119651,-0.14548895864476424,0.10561458488824522,NaN,NaN,2085580.4498222223,120372.17391281374,-0.3978829256205864,0.9170435637633044,0.19669196407792566,0.23579996218629928,6104657.594,1322296.4720631125,23036866.8,105796.5,((((x)*(9))-((1)+(x)))*((x)+((4)*(x)))),(((((5)*(x))-((8)*(8)))+(((x)-(0))*((x)+((0)-(6)))))+(((x)*((0)*(1)))-(((8)*(x))/((x)*((x)-(x)))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|SubXD,AddToLeafR,AddRandomSubTreeR,3,4,5,5,3
5,5*x*x*x+2*x+100,100,1,-0.17506700622329827,-0.080852277051308,0.07645417536247055,0.057902384802003576,27015821.89724808,24459943.46790458,253265998.0736,181220.7832,0.9957025607110035,0.14171283264043866,0.8170763892721054,0.043558454431066956,953654370.12675,1260331.1696883575,8902925074,1094595.94,(((((5)*(x))*((9)*(4)))*(((0)+(9))*((3)*(4))))+(((0)*((3)*(9)))*((6)+((x)+((6)*(x)))))),(((((x)*(8))+((1)+(1)))*(((3)*(9))*((6)+((8)*(3)))))+(((4)-((x)-(x)))-(((x)*(x))/((x)*((x)-(x)))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|SubXD,AddToLeafR,AddRandomSubTreeR,4,3,6,6,3
6,5*x*x*x+2*x+100,100,1,-0.19756319436467515,-0.01692175089754251,-0.002713286379104285,0.06628362975427458,NaN,NaN,687304052.955,170531.9636,0.9967026027366204,0.8862745682280452,0.6210153563405812,0.27692210047633775,1161434608.7221525,1140187.342,11603024126,145037,((((5)*((8)*(9)))*(((x)*(4))*((5)*(x))))+(((1)+(3))*((1)-((0)-((7)*(x)))))),(((((5)*((x)*(x)))*((6)-((5)-(9))))+(((7)-((6)+(2)))+((2)*((1)-(9)))))+((((2)*(7))*((3)*((1)+(7))))+(((x)-((5)-(x)))*((x)/((x)*((x)-(x))))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|SubXD,AddToLeafR,AddRandomSubTreeR,4,6,7,7,3
7,5*x*x*x+2*x+100,100,1,-0.18901876702859555,-0.06183352090267416,-0.028149976400580104,0.06265245130193449,47216500976.570694,64756186943132960,472160211312.3069,175162.89989090912,0.9999983775864519,0.23176544663874177,0.620044156390108,1.5744978062007011,2358203801442.234,2252884.388888889,23582014614514,979749.5,((((9)*((x)*(x)))*(((3)+(1))*((5)+(x))))*(((9)+((6)/(3)))*((x)*((8)*((9)*(x)))))),((((x)+(5))+((5)+(1)))*((x)+((x)*((x)-(x))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|SubXD,AddToLeafR,AddRandomSubTreeR,7,6,8,8,3
8,5*x*x*x+2*x+100,100,1,-0.1913735336862935,-0.0653165953779256,0.07027941132393913,0.06866966908853109,NaN,NaN,195066560.1788,167488.98559999999,0.9948435672345002,0.5919462945160688,1.5040748117789227,0.18717533954918245,829144608.7333333,1198873.4788757348,7419815546.9,520401.5,(((((3)+(2))*((x)-(3)))*(((x)+(2))-((8)/(3))))*(((x)-((3)*(x)))+((x)-((4)+((x)*(x)))))),((((3)*(x))+((5)-(8)))*((x)*((x)+((x)-(x))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|SubXD,AddToLeafR,AddRandomSubTreeR,8,6,9,9,3
9,5*x*x*x+2*x+100,100,1,-0.19310676484076728,-0.02390825326548632,0.05433119447251705,0.07529410612696376,277613594.1441098,51106251271.78557,2761254909.1257997,159040.6688095238,0.9997136062476972,0.27155880143586814,0.800433352042929,0.10432844972462944,13378913646.762001,1185624.6331666666,133591531562.3,929000,((((9)*((x)*(9)))-((5)*((9)*(x))))*(((x)*(9))+((x)-((9)-((6)*(x)))))),((((x)+(4))*((7)+((x)-(x))))*((x)-((x)*((x)-(x))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|SubXD,AddToLeafR,AddRandomSubTreeR,8,6,10,10,3
10,5*x*x*x+2*x+100,100,1,-0.2063788861294505,-0.060732474824350825,-0.025274626332419264,0.11611727448511204,NaN,NaN,5392272451.6628,106977.8208,0.9998564719491482,0.9998027955205179,0.6219048365342184,0.31835520191042843,26657800825.066666,1043132.7805,266566568506.5,251.5,((((5)+((5)*(9)))/(((x)*(x))*((x)*(x))))*(((x)*(4))*((x)*((7)+((7)-(4)))))),((((1)*(7))+((0)-((5)-(1))))*(((3)*(x))*((x)*((x)-(x))))),MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|SkipD|AddToLeafR|SkipD|SkipD|AddToLeafR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|SubXD,AddToLeafR,AddRandomSubTreeR,8,10,11,11,3
