gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+100,10,1,-0.2065869543178626,-0.229391874182918,-0.10109499609166389,0.048847765672373006,NaN,NaN,418111.4630785714,245.3956524309024,0.8736588657079734,0.21681552202032645,0.5787320078882648,0.33036676579969504,41360.490000000005,8902.08,385503.9,1271.5,(((((3)*(3))*((0)+(8)))+(((9)*(x))*((x)+((9)-(7)))))*(((x)+((0)*(6)))-(((8)-(6))*((x)*((x)+(x)))))),(((x)+((1)*(5)))+((3)*(x))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithSub|MutateTerminalR|AddTreeWithMult|MultXD|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|AddXD|ReplaceBranchR,SkipD|AddToLeafR|AddToLeafR|MutateTerminalR|SkipD|SkipD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|SkipD|ReplaceBranchR|MultXD|ReplaceBranchXR|MutateTerminalR,SkipD,SkipD,0,0,1,1,3
1,5*x*x*x+2*x+100,10,1,-0.1964005732818062,-0.10129711527686144,-0.0617113875068948,0.024272116143169202,1569.2901542131062,20586.907827472984,12566.571772486772,285.29421944156474,0.7499249081568996,0.45796119494918386,0.5423010852318206,0.1541126608349575,21036.54,1578.1997611832612,194761.5,880,(((((6)*(5))+((7)*(x)))*(((4)-(9))+((2)+((4)-(9)))))*(((x)+((8)*(x)))*(((3)*(9))*((x)+((x)+(x)))))),(((9)+((6)*(x)))*((4)+(7))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddXD|ReplaceBranchR,AddRandomSubTreeR|SkipD|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddTreeWithMult|DivXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,AddTreeWithMult,SkipD,1,1,2,2,3
2,5*x*x*x+2*x+100,10,1,-0.200385719206754,-0.12948304778120587,-0.10493575126668846,0.08562467663894119,NaN,NaN,4869.887267951579,185.68833747667898,0.33113605932639817,0.7347089621188789,0.40734180773294065,0.45739077721173294,9708.789999999999,3311.7600000000007,72817.5,430.7,(((((0)*(9))*((9)-(3)))-(((9)*(x))*((x)*((x)+(4)))))+((((6)+(2))*((0)+(5)))*(((7)+(6))+((5)+((x)+(x)))))),(((x)*((5)*(6)))+((2)*(x))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddXD|ReplaceBranchR,AddRandomSubTreeR|SkipD|AddTreeWithAdd|SkipD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,AddTreeWithMult,SkipD,1,2,3,3,3
3,5*x*x*x+2*x+100,10,1,-0.19687964224831042,-0.08875110386577154,-0.09518075404916021,0.1356440866049736,4760.870244685316,33208.12852256249,36271.326,104.4818253968254,0.970416618201266,0.9272559285494303,0.8316324264234329,0.09636563793764744,202661.03999999998,1540.7322023809525,1646363.5,118.1,(((((x)+(7))*((0)+(x)))*(((5)*(6))*((6)+((6)+(2)))))*((((8)-(8))+((3)*(2)))+(((1)*(x))*((8)+((x)+(x)))))),(((((2)*((5)-(x)))+((9)*((x)*(x))))*(((2)*((5)-(8)))+((3)+((7)+(2)))))0((((5)*(3))+((0)+((0)*(x))))/(((7)*((1)*(x)))-((x)*((x)/((x)*(x))))))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddXD|ReplaceBranchR,AddRandomSubTreeR|SkipD|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddTreeWithMult|DivXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,AddTreeWithMult,SkipD,1,1,4,4,3
4,5*x*x*x+2*x+100,10,1,-0.16695254947778945,-0.09711813308112367,-0.014834124040638113,0.09637573144441022,10852.992791587298,24591.834720225626,100987.08042619046,168.234,0.988585112976445,0.47182014166923314,0.743285105968997,0.26211155110936646,442165.38,1790.111683222797,4266796.5,857.5,(((((x)+(7))*((3)*(5)))*(((0)-(4))*((x)*(x))))*(((7)+((8)+(0)))*(((4)*(8))*((x)+((x)+(x)))))),(((((9)*(8))-((1)-(7)))-(((5)+(3))*((7)*(9))))-(((4)*((2)-(7)))*(((x)*(2))/((x)/((1)*(x)))))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddXD|ReplaceBranchR,AddRandomSubTreeR|SkipD|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddTreeWithMult|DivXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,AddTreeWithMult,SkipD,1,1,5,5,3
5,5*x*x*x+2*x+100,10,1,-0.15952468356478736,-0.11157584704723736,-0.015553479007880773,0.07139236218047429,65552.36920000002,17338.105126035418,644442.718,208.79449999999997,0.7414467198690273,0.7867570064675085,0.6224652346356643,0.5076249904236741,40888.65,6941.275701388889,188375.1,346.2,(((((9)+(8))-((8)*(3)))*(((x)*(x))*((6)*(x))))-(((8)+((4)*(3)))-(((2)*(2))*((7)+((x)-(x)))))),(((((1)+(x))*((x)*((3)+(3))))-(((2)*(x))+((0)*((x)*(3)))))+((((7)0(0))*((x)/(2)))+(((x)*(2))+((7)/((x)*(x)))))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|MutateNonTerminalR|ReplaceBranchR,AddRandomSubTreeR|SkipD|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddTreeWithMult|DivXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,MultXD,SkipD,5,1,6,6,3
6,5*x*x*x+2*x+100,10,1,-0.1180174079138607,-0.08373716191941742,0.08331976766955602,0.068142835144529,40877.2486,20871.486109732792,319101.67600000004,214.07010714285715,0.9350648484913127,0.2564829072990453,0.8898975065377857,0.31075456237594407,182721.41,2213.3698897058825,750056,1207.1,(((((5)*(x))+((3)-(2)))*(((x)*(9))*((7)-(3))))-(((0)-((7)+(8)))-((4)*((x)+((x)*(x)))))),(((1)*((4)+(8)))*((9)*(x))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|MutateNonTerminalR|ReplaceBranchR,AddRandomSubTreeR|SkipD|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddTreeWithMult|DivXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,ReplaceBranchR,SkipD,4,6,7,7,3
7,5*x*x*x+2*x+100,10,1,-0.1254957165586285,-0.052530645588274964,0.16817684972906627,0.10941922547219746,3974541.4092,14707.921109570056,39715038.248,147.05788744588745,0.9924879980325819,0.6322451493686481,0.8140309921775509,0.039077129277331216,671570.35,1635.5533333333333,6483624.5,597.05,(((((5)*(8))*((0)+(8)))*(((8)+(0))*((x)*((x)+(7)))))*(((1)+((1)-(7)))+(((2)-(4))*((x)+((x)*(x)))))),((((x)+((9)*(3)))+((8)*((8)+(8))))-(((5)/(x))/((2)-((0)*(x))))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|MutateNonTerminalR|ReplaceBranchR,AddRandomSubTreeR|SkipD|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddTreeWithMult|DivXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,AddTreeWithAdd,SkipD,4,6,8,8,3
8,5*x*x*x+2*x+100,10,1,-0.1292699706502843,-0.08170426947630981,0.08660134757486697,0.07858823529411764,25052.923800000004,31893.654436575365,179575.546,197.112,0.9714562833683988,0.7208500153988296,0.8677095768766863,0.22711545698864685,373585.92000000004,1442.99375,1706330,453.2,(((((5)+(4))*((x)*(8)))+(((5)*(6))*((3)+(5))))+(((2)*((x)*(5)))*((3)*((x)+((x)*(x)))))),(((((9)+(3))*((3)-((0)*(0))))-(((8)/((5)-(8)))*((3)*((0)+(1)))))+((((x)+(4))*((6)+((8)*(7))))-(((5)-(x))*((1)*((x)/((x)*(x))))))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|MutateNonTerminalR|ReplaceBranchR,AddRandomSubTreeR|SkipD|SubXD|MutateTerminalR|MultXD|AddTreeWithMult|DivXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,ReplaceBranchR,AddRandomSubTreeR,8,7,9,9,3
9,5*x*x*x+2*x+100,10,1,-0.13471098318959757,-0.09720450221529991,0.1295008947308806,0.10324009561939959,20099.329,107290.38370352788,159519.438,157.08970476190473,0.9703754282652902,0.4268555589775177,0.7819713946610479,0.18102416862908788,205327.86000000002,1585.985888888889,1644074.4,930.5,((((6)+((3)*(x)))*(((1)*(6))+((x)*(6))))*(((7)+((2)*(9)))*((3)*((x)-((x)*(x)))))),(((6)*((x)*(3)))*((x)/((x)*(x)))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|MutateNonTerminalR|ReplaceBranchR,AddRandomSubTreeR|SkipD|SubXD|MutateTerminalR|MultXD|AddTreeWithMult|DivXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,AddTreeWithAdd,SkipD,9,9,10,10,3
10,5*x*x*x+2*x+100,10,1,-0.12521547656436108,-0.07545993557093761,0.1208656606793342,0.07634205933682374,847316.1159999999,38972.49929634606,8399846.398,200.7586666666667,0.9961806876260043,0.8726516784724361,0.9655421758049464,0.4499129209935343,1463471.44,4362.568214285714,12752295.5,206.75,(((((8)*(x))*((7)*(4)))-(((7)*(7))*((x)+(7))))+(((x)*((6)+(9)))*((5)-((3)*((x)*(x)))))),((((x)-((2)+(6)))*(((3)+(5))-((0)*(5))))-(((1)-(3))*((x)/((2)/((3)*(x)))))),AddTreeWithAdd|SkipD|ReplaceBranchR|AddTreeWithSub|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|MutateNonTerminalR|ReplaceBranchR,AddRandomSubTreeR|SkipD|SubXD|MutateTerminalR|MultXD|AddTreeWithMult|DivXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|MultXD|SkipD|AddToLeafR,ReplaceBranchR,SkipD,10,10,11,11,3
