gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+100,10,1,-0.24061376453327465,-0.12461517444994849,-0.17969804361535188,0.0667842940188294,NaN,NaN,988.8067857142856,216.2756986604305,-0.4834777890213678,0.51967970434247,0.1533924081393237,0.18327641260046817,4246.3613888888885,1584.6799999999998,25157.214285714283,779.8,((((7)+((3)+(2)))/(((7)*(x))*((7)+(9))))*(((2)*(2))*((3)/((x)-((6)*(x)))))),((((8)-(0))*((5)-((5)*(x))))*((9)-((3)*((1)+(x))))),MutateTerminalR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|SkipD|ReplaceBranchR|AddRandomSubTreeR|MultXD|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR,MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|AddTreeWithMult|AddXD|AddToLeafR|AddTreeWithSub|MutateNonTerminalR|MutateTerminalR|AddToLeafR|MutateNonTerminalR,AddTreeWithAdd,MutateTerminalR,0,0,1,1,4
1,5*x*x*x+2*x+100,10,1,-0.2357824238592461,-0.0726840799593778,-0.13261001162711378,0.031599367474350604,NaN,NaN,3284.8510796024966,273.3984269053918,-0.5485473770660096,0.4215583615645211,0.13181120623250664,0.1470853726861578,3766.6699999999996,1521.5601851851852,21988,939.1,((((5)*((9)+(x)))*(((x)+(6))*((4)+(x))))*(((2)-(8))-((8)*((1)+((1)*(x)))))),((((9)+((0)*(x)))-((0)*((7)+(7))))-(((2)+(x))-((8)*((6)*(1))))),MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|MutateNonTerminalR|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub,MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddToLeafR|AddTreeWithSub|MutateNonTerminalR|MutateTerminalR|AddToLeafR|MutateNonTerminalR,ReplaceBranchXR,MutateNonTerminalR,1,1,2,2,4
2,5*x*x*x+2*x+100,10,1,-0.16698868487338425,-0.004085356980587595,-0.006889851252591958,0.08007579646169112,5461.146524518062,2531.260087530216,46040.67700555555,194.69694444444445,0.9273826519011641,0.7400677548506314,0.7556765075109143,0.23406483619547047,89028.85,1469.4945024840956,670707.5,422,((((5)*((8)*(x)))-(((5)*(2))+((8)*(4))))-(((7)-((x)+(x)))-((3)*((x)-((8)*(8)))))),(((((8)-(5))*((x)+((2)*(x))))-(((2)-(x))-((x)-((x)*(x)))))+((((7)+(7))+((6)-(x)))+(((0)*(5))*((x)+((x)/((x)-(x))))))),MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub,AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|MutateNonTerminalR|DivXD|DivXD|AddToLeafR|SubXD|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|AddToLeafR|MutateNonTerminalR,AddTreeWithMult,AddTreeWithAdd,2,2,3,3,4
3,5*x*x*x+2*x+100,10,1,-0.19451390943349026,-0.018241662409372354,-0.06458569236151533,0.04950538421302203,1231.9532827757134,1403034.848926326,8385.409188095238,244.32800873015873,0.6602502171175854,0.06639975361872495,0.5113160873524606,0.0221254064486508,17865.769999999997,1589.3042301587302,143355.5,1515.7,(((((5)*(5))*((x)+(1)))*(((2)+(8))+((7)*((x)+(3)))))*((((x)+(3))-((7)-(x)))*(((x)+(6))-((7)+((x)-(x)))))),(((((3)*(6))-((3)-((x)-(7))))*(((x)-(4))-((5)*((9)-(3)))))+((((2)+(x))*((3)/(7)))-(((9)+(9))*((1)-((x)-(x)))))),SubXD|SubXD|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|AddXD|AddXD|SubXD|AddToLeafR|AddTreeWithAdd|AddToLeafR,AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|DivXD|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR,SubXD,MutateNonTerminalR,3,2,4,4,4
4,5*x*x*x+2*x+100,10,1,-0.15682455253812752,-0.028690072192270558,0.01500093095718084,0.04630886711675168,16771.0438,1132.0762219199391,156528.626,249.5175542359536,0.9394369708662049,0.7284262396057899,0.7416230439986564,0.24759781655411442,100169.64,1549.4046251526252,804203.5,440.9,(((((2)+(9))*((8)*(x)))*(((6)*(x))*((5)+((7)-(6)))))+((((5)*(3))-((x)-(x)))+(((8)*(x))+((x)+((x)-(x)))))),(((((6)+(2))-((9)+((2)/(2))))-(((3)+((9)+(x)))*((x)-((1)*(x)))))+((((9)-(2))0((7)-((7)+(2))))-(((2)-(0))-((6)+((x)-((x)*(x))))))),SubXD|SubXD|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|AddXD|AddXD|SubXD|AddToLeafR|AddTreeWithAdd|AddToLeafR,AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|DivXD|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,4,2,5,5,4
5,5*x*x*x+2*x+100,10,1,-0.14879517173977924,-0.005584138013157635,0.07205696214779629,0.019205485405331412,5965.9202000000005,558.4427220653106,47181.87,293.51989444444445,0.6304123476650833,0.24391746227286726,0.6324939751804328,0.08076257492856194,37217.22,1590.5682420634919,131782,1227.5,(((((9)*(6))*((x)*((x)*(x))))+(((7)*(8))*((4)-((7)+(4)))))-((((1)+(1))*((4)+(x)))-(((x)-(x))*((x)+((x)+((x)-(x))))))),(((((0)*(4))-((0)*((4)-(6))))-(((2)*(0))/((2)+((x)+(2)))))*((((7)+(x))*((9)*(7)))*(((0)+(8))*((x)-((0)/(x)))))),SubXD|SubXD|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|AddXD|AddXD|SubXD|AddToLeafR|AddTreeWithAdd|AddToLeafR,AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,5,5,6,6,4
6,5*x*x*x+2*x+100,10,1,-0.15800518187838836,-0.03529772727085583,0.04970771309169379,0.029051424269533284,16020.444400000002,405.14259053051785,151912.88199999998,277.5350126984127,0.9056141234835859,0.16902967818890208,0.6201803573408956,0.06291135699104233,61505.31,1611.937503968254,516020,1349.0803174603175,(((((5)*(8))+((6)*(6)))*(((x)*(8))*((4)+((1)+(7)))))*(((9)-((x)-(7)))-(((5)*(7))*((x)+((x)-(x)))))),(((((2)*(5))+((2)*(8)))*(((1)*(9))*((x)*(3))))+(((6)+((8)+(8)))+((2)-((3)+((5)/(x)))))),SubXD|SubXD|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|MutateNonTerminalR|AddXD|SubXD|AddToLeafR|AddTreeWithAdd|AddToLeafR,AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,6,5,7,7,4
7,5*x*x*x+2*x+100,10,1,-0.15745727818280336,-0.0032185561329336736,0.025645095739408826,0.03555240001759866,4571.6014,55666.022838509234,33858.084,266.9806785714286,0.7947013949598676,0.1656155132209952,0.7933971580884992,0.0528511423882102,56102.36,1563.8265277777778,237239.8,1354.6232142857143,(((((7)+(x))*((x)*(x)))*(((6)*(x))+((2)*((3)-(5)))))+((((2)+(x))-((1)*(5)))-(((x)*(x))+((x)-((7)*(3)))))),((((5)*((3)*(x)))-(((1)*(0))+((7)/(5))))-(((4)+(5))*((4)-((0)*((6)/(x)))))),SubXD|SubXD|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|MutateNonTerminalR|AddXD|SubXD|AddToLeafR|AddTreeWithAdd|AddToLeafR,AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,7,5,8,8,4
8,5*x*x*x+2*x+100,10,1,-0.1488789083482154,-0.004458839041063066,0.04694007542814831,0.027291756493173183,54322.895399999994,835.167329126984,503546.342,280.39183333333335,0.9572750977549799,0.12251611988599967,0.841402740437965,0.041086393492129204,195653.11000000002,1593.8675515873015,1139967.5,1424.5950793650795,(((((5)*(8))+((2)*((5)*(4))))+(((x)*(x))*((5)+((5)+(2)))))*((((x)+(8))-((4)*(6)))+(((x)-(x))*((x)+((x)-(x)))))),((((4)*(9))*((x)*((7)-(2))))-((6)+((0)*((1)/(x))))),SubXD|SubXD|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|MutateNonTerminalR|AddXD|SubXD|AddToLeafR|AddTreeWithAdd|AddToLeafR,AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|ReplaceBranchR,AddToLeafR,ReplaceBranchR,8,8,9,9,4
9,5*x*x*x+2*x+100,10,1,-0.14265760578313608,-0.023247763969679616,0.039656602082063966,0.009270663029609754,13427.8612,566.2007992328042,110144.162,309.64907857142856,0.986232300287085,0.06342130220325481,0.9045835216067418,0.022459421200303344,405302.81999999995,1598.1837182539682,3537628,1520.5355158730158,(((((8)*(4))*((x)*((5)*(x))))*(((x)+(2))*((x)+((9)+(0)))))*((((0)+(8))*((x)-(x)))+(((9)*(x))+((4)-((8)-(x)))))),((((6)*((6)*(5)))*(((0)+(x))*((3)+(3))))+(((2)-((x)*(x)))-((1)-((1)*((3)/(x)))))),SubXD|SubXD|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|MutateNonTerminalR|AddXD|SubXD|AddToLeafR|AddTreeWithAdd|AddToLeafR,AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,8,8,10,10,4
10,5*x*x*x+2*x+100,10,1,-0.14667512647232137,-0.009629644525424001,0.0992263145054433,0.030768273522323416,13896.739599999999,637.1064049319729,126698.36600000001,274.7477079365079,0.9895379424383843,0.4983061287342162,0.7203149326115565,0.21954920753793253,482400.07,1604.7883696145125,4655394,814.5,(((((5)*(7))-((2)-(x)))*(((4)*(9))*((7)*((8)*(7)))))+(((3)*((7)-(x)))-(((2)*(x))+((x)-((6)+(8)))))),(((((5)*(x))*((x)*((4)+(x))))*(((x)+(x))-((6)-((1)0(2)))))*((((9)-(x))-((6)-(4)))*(((4)+(6))+((2)+((1)-((x)/(x))))))),SubXD|SubXD|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|SkipD|MutateNonTerminalR|AddXD|SubXD|AddToLeafR|AddTreeWithAdd|AddToLeafR,AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|ReplaceBranchR,AddToLeafR,ReplaceBranchR,8,10,11,11,4
