gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-0.22705772277426042,-0.1549755998532593,-0.11432464439109126,0.07590621567574347,NaN,NaN,31372.17061460052,189.92553690827458,0.9535136635557938,0.9558967657628226,1.817610223344279,0.3655582439316171,266563.3191358025,1183.5731250000001,987709.5833333334,67.5,(((((5)*(6))+((4)+(8)))*(((6)*(x))*((x)+((2)*(x)))))+(((1)+((8)-(2)))/(((5)+(7))*((x)-((x)*(x)))))),((((x)*(5))*((x)-(x)))*((x)-((x)-(x)))),SkipD|AddTreeWithAdd|AddTreeWithSub|SubXD|SkipD|SkipD|MultXD|AddTreeWithDiv|AddToLeafR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR,ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithAdd|MultXD|ReplaceBranchR|MutateNonTerminalR|MultXD|SubXD|SubXD,SkipD,AddRandomSubTreeR,0,0,1,1,1
1,5*x*x*x+2*x+7,10,1,-0.15153333229748361,-0.06007396978385174,0.11898767032946311,0.12524345711278087,29438.688491305755,138263.36784677507,159984.62931184805,114.4148888888889,0.9606140316640368,0.8899052597190461,0.941656745358272,0.6887055549440818,426067.6385714286,31646.510185006784,1165770.5,168.5,((((7)*((4)*(1)))*(((1)-(7))*((2)*(x))))+(((7)*((4)+(5)))*((9)*((5)/((9)*(x)))))),((((9)+((5)+(3)))+((4)-((4)*(x))))*(((x)-(x))*((x)-((x)-(x))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithAdd|MultXD|ReplaceBranchR|MutateNonTerminalR|MultXD|SubXD|SubXD,AddRandomSubTreeR,ReplaceBranchR,1,0,2,2,1
2,5*x*x*x+2*x+7,10,1,-0.13654399300024309,-0.032621790409413015,0.19570264689574995,0.07967943871439463,705279.2510704756,161812.40583662697,5841681.431666667,184.15061904761905,0.9946775057063364,0.46912773603397584,0.9048528279576152,0.34751749566106505,979497.8433333334,1579.8998128304443,8626594.5,812.5,(((((4)*(9))*((5)*(9)))*(((4)+(9))*((9)+(2))))*(((2)+((8)-(3)))*(((x)+(7))*((x)+((1)*(x)))))),((((4)+((0)*(4)))*((4)-((x)-(6))))*(((x)-(x))*((x)-((x)-(x))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddTreeWithMult|SkipD|AddTreeWithAdd|MultXD|ReplaceBranchR|SubXD|MultXD|SubXD|SubXD,AddRandomSubTreeR,SubXD,2,2,3,3,1
3,5*x*x*x+2*x+7,10,1,-0.11653776023164042,-0.06887935567069936,0.16021910623058974,0.12185429598170533,726461.6522282803,7008473.198661263,7181565.712285715,119.602,0.9225573693624708,0.6553413917020582,0.7355331640128163,0.5016271581845883,102983.00672619048,18945.78,592890.5,527.5,(((((8)*(5))*((x)-(5)))+(((4)+(7))-((7)*((8)/(3)))))*(((2)*((6)-(9)))*(((8)-(1))*((5)*((2)*(x)))))),((((7)+(0))-((0)*((9)*(0))))+(((4)*(x))*((x)-((x)-(x))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddTreeWithMult|SkipD|AddTreeWithAdd|MultXD|ReplaceBranchR|MutateNonTerminalR|MultXD|SubXD|SubXD,AddRandomSubTreeR,SkipD,2,3,4,4,1
4,5*x*x*x+2*x+7,10,1,-0.15713946783868982,-0.06919432786013364,0.14688444668961395,0.058333877817706645,341836.6294024672,55093854.55557782,2597911.8835833333,216.82,0.9895082042732063,0.22391375367526956,0.8014555380731023,0.0945881517527968,474053.1854166668,1444.1556825396826,4376276.5875,1187.8,(((((6)*(x))+((0)*(8)))*(((x)*(7))-((3)*(1))))*(((8)*((9)+(1)))/(((8)*(x))*((7)*((x)*(x)))))),(((((x)*((1)-(4)))-((1)+((0)+(3))))+(((2)*((x)*(x)))+(((6)-(0))+((0)*(2)))))-((((x)*((x)+(3)))/((3)*((3)-(1))))*(((x)*((x)-(x)))-((x)/((x)-((x)-(x))))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|AddToLeafR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddTreeWithAdd,SubXD,0,3,5,5,1
5,5*x*x*x+2*x+7,10,1,-0.1703442234738923,-0.09885440963520949,0.14620583161369757,0.06957403898508113,NaN,NaN,631175.721,199.61693333333332,0.952851718835438,0.00914733747141457,0.8342942388365486,0.031462073070293486,130542.58742857142,1554.9404365079365,973842.5,1516.5,(((((5)*(x))*((6)*(x)))*(((0)-(8))*((3)+(0))))-(((3)*((5)*(4)))*(((4)+(1))+((x)/((3)*(x)))))),((7)*(2)),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|AddToLeafR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,5,3,6,6,1
6,5*x*x*x+2*x+7,10,1,-0.11992761822827411,-0.06295646668029016,0.17546049238257055,0.08205184438163148,1292249.36989258,13144145.8217469,12290502.402,180.51965217391304,0.7263144091007985,0.8011107481215288,0.706767607207225,0.6454185219822859,60104.05923076923,22251.13,167765.5,304.4,(((((5)*(1))+((2)-(x)))*(((8)*(9))+((x)*(6))))*(((0)*((0)+(6)))-(((7)*(x))+((4)+((8)*(x)))))),((((6)*(5))+((6)+((8)*(x))))-((x)*((x)-((x)-(x))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddTreeWithMult|SkipD|AddTreeWithAdd|MultXD|ReplaceBranchR|SubXD|MultXD|SubXD|SubXD,AddRandomSubTreeR,SubXD,6,5,7,7,1
7,5*x*x*x+2*x+7,10,1,-0.1356794622744368,-0.07143774224273768,0.17739357356841115,0.03994968964390721,108355.19805476369,362598.3924684934,890256.2082285716,244.95699999999997,0.9762485025390466,0.08467820973538054,1.8317595429133386,0.023488674034893294,522571.0940476189,1525.5649622561127,1933141.2714285708,1400.9,(((((0)+(7))-((0)-(x)))*(((0)+(5))*((x)*((2)*(8)))))/((((7)*(9))+((6)*(x)))+(((5)*(4))+((2)*((4)*(x)))))),((((x)-(0))-((5)*(4)))*((4)-((x)-(x)))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,5,6,8,8,1
8,5*x*x*x+2*x+7,10,1,-0.14493796576991566,-0.06915583418925178,0.18346105165221435,0.044432538386148315,NaN,NaN,101996927.42971428,238.09599999999998,0.9844739215817224,0.03639333551127086,0.902962982020788,0.007963126802330153,599518.54,1536.8693047508048,2957282.5,1474.8,(((((x)/(1))*((4)+(x)))*(((3)+(7))-((8)*((6)*(x)))))+((((2)*(8))*((3)-(7)))*(((4)+(2))-((1)*((9)*(x)))))),((9)*((7)+(x))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,8,6,9,9,1
9,5*x*x*x+2*x+7,10,1,-0.13664406755195224,-0.044188295059326116,0.18958908066385172,0.054354423287337375,NaN,NaN,407754.49233333336,222.91055515873018,0.991733520805683,0.5624305782424044,0.8396448517358921,0.07888412729376741,628594.8633333334,1458.107753968254,5554359.833333334,669.7,(((((3)-(x))*((x)*(x)))*(((7)*(1))/((2)+((7)*(6)))))*((((x)+(2))+((7)-(x)))+(((8)*(8))*((8)*((7)*(x)))))),(((((4)*(5))+((7)*((8)-(1))))-(((x)*((x)+(x)))/((1)-((0)+(4)))))-((((2)-(3))-((2)*((x)*(x))))-(((x)-(x))/((x)-((8)*((4)-(x))))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|ReplaceBranchR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,8,6,10,10,1
10,5*x*x*x+2*x+7,10,1,-0.115984053181956,-0.022743344810997268,0.1804723501675617,0.03021983582030472,67522.19149819425,56422.978611495506,362139.60800000007,259.8485412770236,0.9908571162311127,0.1473374714145704,0.9281106204751576,0.04980521802546604,855906.1243160174,1479.8000555555554,5021938.5,1305,(((((5)*(1))*((6)*(7)))+(((x)*(4))*((x)+((0)*(6)))))*(((2)+((7)+(2)))*(((x)+(2))-((2)*((x)*(x)))))),(((((5)*((7)+(0)))*((3)*((x)*(x))))*(((6)-((2)*(8)))+((1)+((4)-(3)))))*((((2)-(6))+((3)+((9)*(x))))*(((x)*((x)-(x)))-((x)/((x)-((x)-(x))))))),MultXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,AddTreeWithMult|MultXD|SubXD|SubXD|DivXD|SkipD|AddTreeWithMult|SkipD|SubXD|AddToLeafR|ReplaceBranchXR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR,SubXD,8,9,11,11,1
