gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-0.21333600813289652,-0.11300006339009575,-0.09538752580652016,0.059608189720038646,NaN,NaN,31017.593149677185,214.86966563348085,0.9540975084289531,0.49454426657954914,0.8596370122103892,0.4698040765389714,160951.95,2782.5575047619045,1000272.5,773.6,(((((6)-(3))*((7)+(2)))*(((9)*(9))+((4)+(7))))*(((x)*((x)/(3)))/((4)-((x)-((x)*(x)))))),(((((x)*((9)+(2)))-((7)-((2)-(x))))*(((6)+((4)/(0)))*((6)-((4)/(2)))))+((((3)-(x))+((2)+((0)+(2))))*(((7)*(9))+((x)/((x)+((x)*(x))))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|SubXD|AddTreeWithMult|SubXD|MultXD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|MutateTerminalR,MultXD,ReplaceBranchR,0,0,1,1,3
1,5*x*x*x+2*x+7,10,1,-0.2758701044544025,-0.11265963737243148,0.07966345678337888,0.08282273632103294,NaN,NaN,1110663.9516642857,179.33980206065908,0.5766952748074178,0.2469781117281934,0.4886132168590804,0.2235200580832946,12153.799762896826,1722.3139971724825,108467.96,1152.5,(((((5)*(x))*((x)*(x)))-(((2)+(9))*((x)*(x))))-(((x)+((x)*(x)))/((x)+((1)/((5)+(x)))))),(((8)*((8)+(9)))+((5)+((0)*(x)))),MultXD|AddTreeWithAdd|AddRandomSubTreeR|MutateNonTerminalR|MultXD|SubXD|AddXD|MultXD|AddToLeafR|DivXD|ReplaceBranchR|AddXD|AddTreeWithDiv|AddXD|SkipD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|MutateTerminalR,AddXD,AddTreeWithMult,1,0,2,2,3
2,5*x*x*x+2*x+7,10,1,-0.22326440137936188,-0.1914967992462001,0.040583834089391174,0.04641036361330057,NaN,NaN,124662.32750476192,235.06893848984345,0.9897270863965346,0.24371120548840247,0.845605466185399,0.25792222083408023,529039.243154762,1936.1353203853203,4469520.7,1157.5,(((((4)*(7))*((7)*(6)))*(((x)*(x))*((x)+((7)*(2)))))*((((x)+(5))+((6)+(2)))*(((3)/(2))*((x)/((x)*(x)))))),(((x)+((7)*(6)))*((3)*(3))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|SkipD|AddTreeWithAdd|AddTreeWithMult|MultXD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|MutateTerminalR,MultXD,AddTreeWithAdd,1,0,3,3,3
3,5*x*x*x+2*x+7,10,1,-0.18222249507544708,-0.129553639835654,0.13886299924313833,0.08349899685079375,NaN,NaN,1099188.3334476193,178.30478531986012,0.9990928314354576,0.5175432865076772,0.8833076240361516,0.29721819557042767,5170466.186928571,1574.7476605655065,50613526.3,738.4,((((6)+((1)*(x)))*(((8)*(x))*((x)+(0))))-(((4)+((4)*(x)))*((x)/((2)/((x)*(x)))))),(((0)+((7)*(0)))+((3)*((x)*(x)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|SkipD|AddTreeWithAdd|AddTreeWithMult|MultXD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,AddTreeWithAdd,AddTreeWithMult,1,3,4,4,3
4,5*x*x*x+2*x+7,10,1,-0.16328743221552863,-0.1414752744563402,0.18119304416957704,0.12006038979895564,NaN,NaN,2974669.2288,122.34757341269842,0.9995289183835787,0.8405258260605778,0.9035823917233213,0.18111673257490674,14537748.08988839,1533.2239354399776,97467187,244.07522321428573,(((((5)*(x))*((8)-(2)))*(((4)+(5))*((6)+((6)+(7)))))*((((9)+(1))+((2)*(5)))*(((x)*(x))/((8)/((3)*(x)))))),(((((8)-((2)+(3)))+((1)*((7)+(9))))/(((7)*((1)+(7)))*(((0)+(2))*((x)+(x)))))*((((1)-((x)+(7)))*((x)*((x)/(x))))*(((8)+((2)*(8)))-((x)*((1)-((3)-(2))))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|SkipD|AddTreeWithAdd|AddTreeWithMult|MultXD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,AddTreeWithAdd,AddTreeWithMult,4,4,5,5,3
5,5*x*x*x+2*x+7,10,1,-0.17002232008603527,-0.194446751076801,0.18435720612213188,0.12253642600457366,NaN,NaN,3549898.2059535687,118.55799999999999,0.9927622539983592,0.8680169879124469,0.7870058620273037,0.44470842847082265,686462.2626780517,257022.86000000002,6343825.825,202,(((((7)+(5))+((8)*(x)))/(((6)*(x))*((8)*(6))))*(((x)-((8)-(x)))*(((x)*(x))/((1)+((3)*(x)))))),(((((1)-(x))*((x)*(6)))/(((0)-(9))+((7)+((0)/(6)))))+((((4)+(2))*((3)*(1)))*(((2)+(0))-((1)*((7)*(x)))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|SkipD|AddTreeWithAdd|AddTreeWithMult|MultXD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,AddTreeWithAdd,AddTreeWithMult,4,5,6,6,3
6,5*x*x*x+2*x+7,10,1,-0.15835480067250363,-0.10279121762226921,0.18852983318762312,0.08485437518353502,NaN,NaN,2141625.0331999995,176.23037878159965,0.9967730540688478,0.4943482522051617,0.8865396764799848,0.44917562665974686,1542390.2021877142,43283823.71,14228623.9,773.9,(((((8)+(x))*((6)*(7)))*(((8)*(x))*((x)+((2)*(8)))))+(((3)/((1)+(9)))-(((8)*(x))*((x)/((x)*(x)))))),(((((4)-(7))*((0)+((0)*(0))))*(((x)+(4))-((7)+((x)*(6)))))+((((4)+(9))-((x)*(x)))*(((x)/(7))-((5)+((6)*((2)*(x))))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|SkipD|AddTreeWithAdd|AddTreeWithMult|MultXD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,AddTreeWithAdd,AddTreeWithMult,6,3,7,7,3
7,5*x*x*x+2*x+7,10,1,-0.1678997918730476,-0.1465387494142868,0.17257612957595353,0.08905008139468368,NaN,NaN,2042459.768952381,169.80885042543665,0.8981519923191614,0.49908993326177253,0.8568491905934522,0.3649772314981322,100675.20553946805,101496.51701302252,450818.8333333334,766.6428571428571,(((((3)*(9))-((3)/(9)))*(((x)*(x))*((8)+((2)*(9)))))-(((8)+((x)+(0)))*(((x)*(1))+((6)/((x)*(x)))))),(((((2)-(6))+((2)+(7)))*(((6)*(0))/((0)*(7))))-(((7)/((8)*(x)))*((3)+((x)*((9)+(7)))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|SkipD|AddTreeWithAdd|AddTreeWithMult|MultXD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,AddTreeWithAdd,AddTreeWithMult,7,6,8,8,3
8,5*x*x*x+2*x+7,10,1,-0.20621573639865318,-0.20896902247858112,0.13331646801194594,0.09982940837883665,NaN,NaN,2170833.256464286,153.31109047619046,0.9917149409705817,0.26938908853315907,0.8134938420536494,0.4069994233973106,783950.1616666667,4500.641206948394,5541903.785714285,1118.2,(((((5)*(x))*((5)*(4)))+(((0)*(6))*((8)+((0)+(1)))))*(((4)/((7)-(4)))*(((x)*(6))*((5)/((x)*(x)))))),(((((1)+((5)*(5)))-((3)+((4)*(0))))+(((x)-((2)*(1)))*((7)+((5)-(3)))))+((((1)-(3))*((0)*((x)*(x))))/(((6)/((3)+(1)))*((4)*((x)+((x)*(x))))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|SkipD|AddTreeWithAdd|AddTreeWithMult|MultXD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,AddTreeWithAdd,AddTreeWithMult,5,8,9,9,3
9,5*x*x*x+2*x+7,10,1,-0.1631812746941735,-0.11145931516805664,0.19878962093648403,0.07250898399215942,NaN,NaN,77470686.09978022,195.125,0.9997873308536014,0.45024501796798433,0.8773511112338161,0.5514276742451208,21780494.497857142,751100.5186545496,215898736.5,841.4,(((((5)*(x))*((x)*(x)))+(((8)*(x))+((3)+((5)*(9)))))*((((5)*(x))+((x)+(7)))*(((6)/(9))*((x)/((x)*(x)))))),((((8)+(9))*((7)-((2)+(9))))*((x)+((5)+((8)*(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchR|MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|SkipD|AddTreeWithAdd|AddTreeWithMult|MultXD,AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,MultXD,AddTreeWithMult,9,9,10,10,3
