gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.907069166905708,0.03199678487017808,-0.6482114828897251,0.2713505200257895,SkipD,MutateTerminalR,MultXD|AddTreeWithSub|SkipD|SkipD|MutateTerminalR|AddTreeWithMult|AddXD|SkipD|AddTreeWithAdd|SkipD,MutateTerminalR|AddTreeWithDiv|SubXD|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|SkipD|MutateTerminalR|AddTreeWithDiv,0,0,95649,95649,(((((((9)*((7)+(7)))*(5))*((x)*((4)-(0))))+((2)*((x)+(7))))*(x))+(x)),(((6)-((3)/(0)))-(((4)+(9))*(9))),5*x*x*x+2*x+7,1
2,-0.6571275580795664,0.1448485362630202,0.07268693081314544,0.25483981741225153,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,MutateTerminalR|AddTreeWithDiv|SubXD|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|SkipD|MutateTerminalR|AddTreeWithDiv,1,0,388854,388854,((((((((4)+(6))*(x))*((6)*((9)+((2)+(2)))))+(((0)/(8))*((x)+((8)*(7)))))*((8)+(5)))*(x))-(x)),((((4)-(x))+((((1)/(5))*(6))*((9)+(((6)/(0))*(((3)+(9))-((6)+(2)))))))-(x)),5*x*x*x+2*x+7,1
3,-0.49499682104181497,0.12007042442860867,0.009853749783307464,0.39038390462988254,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,MutateTerminalR|AddTreeWithDiv|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|SkipD|MutateTerminalR|AddTreeWithDiv,1,2,1543065.4125,1543065.4125,(((((((((3)/(8))-(x))*(x))*(((5)+(((9)+(8))*(4)))*(x)))+((2)*((x)+(7))))*(x))*(x))-(x)),(((((((((6)*(4))-(8))*((9)+(3)))*(((x)*(x))+(((x)-(9))*(7))))+(((9)+((0)+((3)/(0))))*((x)*((x)-((4)/((3)-(2)))))))-(x))/(x))+(x)),5*x*x*x+2*x+7,1
4,-0.2524729468705213,0.08862975878131796,0.4516149774566034,0.404814817284244,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,DivXD|SubXD|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|SkipD|MutateTerminalR|AddTreeWithDiv,3,3,2940128,2940128,((((((((1)+((1)+((4)/(6))))*(x))*((x)*((x)+(2))))+((2)*((x)+(7))))*((5)*((x)*(8))))*(x))-(x)),((((((1)/((5)*(x)))*(((0)/(0))+((8)+(1))))+(((6)*(x))+(((4)+(1))*((6)*(4)))))/(x))-((6)-(5))),5*x*x*x+2*x+7,1
5,-0.13933589013001035,0.0705038323813988,0.5362776683239715,0.18242645978021396,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|DivXD|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv,4,4,10446475.2,10446475.2,((((((((((2)+((4)*(9)))*(9))+((5)/(3)))*((8)+(4)))*((x)*(x)))+((2)*((x)+(1))))*(x))*(x))-(x)),(((((((6)*(x))*(5))+(((9)*(x))*(x)))*(((x)*(3))+((6)+(5))))/(((9)*((7)+((5)/(0))))*(((x)+(7))*((9)-(2)))))/(x)),5*x*x*x+2*x+7,1
6,-0.07354351021168659,0.18161580429157517,0.383651882183228,0.41522062169117857,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,MutateTerminalR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|DivXD|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv,3,5,2684400,2684400,(((((((5)*((8)*((5)/(3))))*(((3)+(7))*(x)))+(((5)+(1))*((x)+(7))))*(((x)+(5))*(8)))*(x))-(x)),((((((8)*(9))*((1)*(2)))/(((0)*(0))*((x)-(5))))*((8)+(((4)/(0))*(2))))/(x)),5*x*x*x+2*x+7,1
7,-0.040989990675268075,0.1672626744105866,0.6368812466989728,0.3332127349942822,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|DivXD|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv,5,6,4444669.5,4444669.5,(((((((((8)+(x))+(7))*((7)*(9)))*((x)*((4)+(1))))+((2)*((x)+((3)/(6)))))*((8)+(x)))*(x))-(x)),(((((9)*((2)/(9)))*(((x)*(4))+((1)*(6))))+((((9)*(2))+((0)+(0)))-((1)+(3))))/((4)/(0))),5*x*x*x+2*x+7,1
8,-0.21786027129119817,0.08251455795252906,-0.005124645422880025,0.27607413456466146,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|MutateNonTerminalR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|DivXD|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv,7,7,1610936.4000000001,1610936.4000000001,(((((((5)*(x))*(((6)+(4))*((9)+(2))))+((2)*((x)+(7))))*((7)*(((9)/(5))+(9))))*(x))-(x)),(((((((2)/(0))*(5))+(((8)-(x))+(1)))*(((5)+(5))+((0)*(2))))*(((4)/(((8)*(5))+(7)))*((5)+((8)-(0)))))/(x)),5*x*x*x+2*x+7,1
9,-0.10794655175265253,0.22451786969786078,0.23038944212663517,0.4651847577718188,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|DivXD|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv,8,7,1406090,1406090,((((((((1)+(8))*(8))*((((7)*(9))+((7)/(5)))*(x)))+((2)*((x)+((9)+((6)*(8))))))*(x))*(x))-(x)),(((((((4)-(5))*(8))/(((7)/(2))*(x)))*(((x)*(2))+(((9)/(0))+(6))))*(((3)*((8)+(2)))+(((1)*((5)*(9)))+((x)*(5)))))/(x)),5*x*x*x+2*x+7,1
10,-0.06597169977630842,0.16769791313372248,0.19113645529116918,0.48311521995803586,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,AddToLeafR|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|DivXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,9,9,588464.4,588464.4,(((((((5)*(x))*((((1)-(8))+((x)+(9)))*((4)*(x))))+((0)*((x)+(7))))*(((7)/(5))+(8)))*(x))-(x)),(((((4)-((5)/(7)))+((7)-(0)))*((x)*((x)-(((5)*(8))*(1)))))/((2)/(0))),5*x*x*x+2*x+7,1
11,-0.17429908010309084,0.14692822263728328,0.2787352936700824,0.49668502407956866,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv,MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|DivXD|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv,10,9,1367579,1367579,((((((((1)+((5)*(6)))*(x))*(((x)+((0)+(x)))*(x)))+(((0)/(4))*((4)*(0))))*(x))*(x))-(x)),(((((7)+(x))+((((8)*(4))*((5)*(2)))/((0)*(0))))*(((6)+(((7)/(6))*(x)))+((8)-(8))))/(x)),5*x*x*x+2*x+7,1
