gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.8872565718819582,0.18404172100215663,-0.5100441671928914,0.41079535202796674,AddToLeafR,AddTreeWithDiv,SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR|AddToLeafR|MutateTerminalR,MutateNonTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddRandomSubTreeR|SubXD|AddTreeWithDiv|AddTreeWithDiv,0,0,564246.5,564246.5,(((((3)*((3)-(9)))*((((x)*(7))+(1))*(x)))*((2)*(((6)/((6)*(4)))+(7))))*(x)),(((((3)/(0))-(((0)/((x)/(9)))+(0)))-((2)+((x)*(9))))-(x)),5*x*x*x+2*x+7,2
2,-0.905950718536818,0.16119920018491013,-0.6860733420450832,0.3349615107070155,AddTreeWithMult,AddTreeWithDiv,SkipD|AddTreeWithMult|AddTreeWithMult|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddToLeafR|MutateTerminalR,MutateNonTerminalR|AddToLeafR|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithDiv,1,1,49567.5,49567.5,(((((5)*((7)-(0)))*(((9)*((1)-(5)))*(x)))+((2)+(((7)*((6)+(6)))+((0)*(4)))))*(x)),(((((6)-(((3)-(5))/(0)))*((4)/(2)))*(5))/((2)/(5))),5*x*x*x+2*x+7,2
3,-0.732499062480467,0.20077920888818065,-0.261913609510417,0.5330788170997567,MutateNonTerminalR,AddToLeafR,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|AddToLeafR|DivXD|MutateTerminalR|AddToLeafR,2,1,1742279.4,1742279.4,((((((((5)-(3))*((3)+(2)))-((x)*(((2)+(9))*((2)*(x)))))*((2)*((x)+(7))))-(x))*(x))*(x)),((((((5)+(x))*(((2)/(0))*((7)-(7))))-((((x)-(9))-(x))+(((2)*((9)/(8)))*(0))))+(((2)*((x)+(7)))-((x)/((7)-(((2)*(5))*(x))))))/(x)),5*x*x*x+2*x+7,2
4,-0.6210017652283032,0.17914376954386524,-0.1333020884771324,0.5913485054452151,MultXD,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithDiv,2,3,2227538.1,2227538.1,(((((((5)*(x))+((((5)-(0))+(4))*(x)))*((((x)*(3))-(x))*((x)+(7))))-(x))*((x)*(2)))*(x)),(((((5)*((x)-(1)))*(((2)*(x))+((((0)/(0))*(x))*(6))))-(((8)*((7)-(5)))*(((3)/(3))-((x)*((((0)-(9))/(2))*((7)/(9)))))))/(x)),5*x*x*x+2*x+7,2
5,-0.5734786392249531,0.3504984617486624,-0.23149423237496003,0.5780240715119278,MultXD,AddToLeafR,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithMult,MutateNonTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithDiv,4,4,16560042,16560042,(((((((5)*(x))*(((6)*(x))*(x)))*(((5)*(1))*(((((4)-(x))*(0))-(2))+(7))))-(x))*(x))*(x)),((((((2)-(1))*((0)-(4)))*(((x)*(1))*((3)+(3))))-(((5)+(((4)/(6))+((2)*((x)*(2)))))+((7)*((x)*((x)*(((9)/(0))/(5)))))))/(x)),5*x*x*x+2*x+7,2
6,-0.38527505760883873,0.20157755434312316,0.028500703710953274,0.47120370605744777,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithDiv,5,5,12863259.9,12863259.9,(((((((((2)*(5))*(7))*(x))*((x)*(x)))+(((8)+(3))*(((8)-((6)*(x)))*(7))))*(x))*(x))*(x)),(((((5)-((x)-((x)/(2))))*(((x)+(2))*(((3)*((0)-((7)/(6))))-(0))))+((((2)-(8))*(((5)/(0))+(1)))+((2)-((x)*((7)-(6))))))/(x)),5*x*x*x+2*x+7,2
7,-0.1919439183954113,0.2316112631049272,0.4424310485480074,0.4895572785027655,MultXD,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithMult,MutateNonTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|SubXD|AddTreeWithDiv|AddTreeWithDiv,6,6,6083777.3,6083777.3,(((((((5)*(x))*((((3)*(3))*(6))*(x)))+((2)*((x)*((6)+(((3)*(9))-(x))))))*(x))*(x))*(x)),((((((9)-((3)/(8)))+(((5)/(8))+((2)/(0))))*(((x)*(x))*((x)+(3))))*(((x)+((4)*((4)+(x))))-(((9)-(9))*((3)+((1)*(x))))))-(x)),5*x*x*x+2*x+7,2
8,-0.20015300417386944,0.15696962189471267,0.25771030135271616,0.5483362545352091,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|SkipD|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|SubXD|AddTreeWithDiv|AddTreeWithDiv,7,7,22079542.5,22079542.5,(((((((5)*(x))*((x)*((3)*(7))))*((2)-((((9)*(4))*(2))+((7)+(6)))))-(x))*(x))*(x)),((((((7)*((7)/(0)))+((9)*(x)))*((((8)/(0))*((1)+((5)-(7))))*((x)-(2))))+(((1)*((9)+(x)))+(((0)/(5))-(0))))/(x)),5*x*x*x+2*x+7,2
9,-0.03304855422608412,0.22032721731718294,0.3430645357850981,0.4411752399809665,AddTreeWithMult,AddToLeafR,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|SubXD|AddTreeWithDiv|AddTreeWithDiv,8,8,2816030.4,2816030.4,((((((((8)*(2))*((1)*(8)))*((x)*(x)))+(((9)-(7))-((x)+((3)*(5)))))-(x))*(x))*((x)*(x))),(((((((9)+((9)/(0)))*(x))+((1)+(3)))-(((x)-((5)-(5)))-((x)+((2)/(2)))))*((((3)/(0))*((5)-(x)))*((x)+((x)*((9)*(x))))))-(x)),5*x*x*x+2*x+7,2
10,-0.03178160589560967,0.1617306176644035,0.5141458760597875,0.40445589209749055,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|SubXD|AddTreeWithDiv|AddTreeWithDiv,9,9,2294576.5,2294576.5,(((((((5)*(x))*(((8)*(8))-(x)))+(((4)*(1))*((x)+((3)-(3)))))-(x))*(((3)*(x))*(9)))*(x)),((((((1)-(8))-(((8)/(0))*(3)))*(((x)+((4)-(2)))*((x)+(3))))*(((0)*(((0)/(6))+(7)))-((x)+(((1)/(5))-((x)+((x)*(0)))))))-(x)),5*x*x*x+2*x+7,2
11,0.001160714407033081,0.18730479781278703,0.23061661349037546,0.4015044614346728,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|SubXD|AddTreeWithDiv|AddTreeWithDiv,10,10,26460867,26460867,(((((((5)*((((9)*(3))*(4))*(9)))*((x)*((6)-(5))))*((2)*(((2)+(0))+(7))))-(x))*(x))*(x)),((((((5)*(x))*((x)+(x)))+(((((2)/(7))*((4)/(1)))*((4)/(0)))*((0)*(8))))-(((6)*((6)+(((6)-(9))+(5))))-((1)-(8))))-(x)),5*x*x*x+2*x+7,2
