gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.9256043536942163,0.09854250472857329,-0.44397346960090206,0.4923576377649005,AddToLeafR,AddXD,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|AddToLeafR|MultXD|SkipD|AddRandomSubTreeR,AddXD|AddXD|AddTreeWithAdd|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD,0,0,879968.3,879968.3,((((((5)*(((6)+(8))/(2)))*((x)*((3)+(0))))*((2)*((x)+((x)-(1)))))*((x)-(1)))*(x)),((((((((x)+(8))+((0)+(((9)+(7))+(x))))*(((2)*(8))-((x)+(((7)+(8))/((5)-(3))))))+(2))+(x))/((9)/(0)))/(x)),5*x*x*x+2*x+7,3
2,-0.7027142125301665,0.055803785201123876,-0.11892701514249074,0.25280316243619194,AddToLeafR,AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|AddToLeafR|MultXD|SkipD|AddRandomSubTreeR,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|DivXD|AddTreeWithMult|AddXD|SkipD|ReplaceBranchXR|AddTreeWithMult,1,1,835267,835267,((((((5)*((x)-(0)))*((x)*(x)))+((2)*(((4)*(8))*((7)/((2)+(2))))))*((9)*(7)))*(x)),((((((5)+((x)*((x)+((3)*(7)))))*((((4)/(0))*(x))+((2)*(6))))/(((1)+((7)/(0)))/((x)-(((8)*(7))+((5)*(x))))))/(x))+(x)),5*x*x*x+2*x+7,3
3,-0.6781032208078674,0.2548391879750642,-0.32993895164724907,0.4986730817719501,SkipD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithAdd|AddTreeWithMult|SkipD|MutateTerminalR|AddTreeWithMult|AddToLeafR|MultXD|SkipD|AddRandomSubTreeR,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,2,2,2421461.5,2421461.5,(((((((0)*(2))+(8))*(((4)-(1))*(5)))*((x)*(x)))*((2)*(((5)*(5))+(x))))*(x)),((((((1)-(x))*((x)*(2)))-((((7)/(0))+(5))-((6)/(3))))-(((3)*(3))*(((6)/(8))+((7)*((6)*(x))))))/(((4)*(1))+(6))),5*x*x*x+2*x+7,3
4,-0.43764160989835704,0.008675950747333256,-0.1390368787007731,0.3986805635996234,MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|DivXD|AddTreeWithMult|AddRandomSubTreeR|SkipD|ReplaceBranchXR|AddTreeWithMult,3,2,17243230.8,17243230.8,(((((((((3)/(2))+(x))*((x)*(x)))*((2)*((x)+((9)*((7)-((5)*(9)))))))*(x))-(x))*(x))+(x)),((((((5)*(x))*((x)*(9)))/(((x)*(0))*(((6)+(0))+(0))))+(((2)-((7)*(((2)*(9))/(1))))-(((4)/((5)*(9)))*((9)*((x)-(9))))))/(x)),5*x*x*x+2*x+7,3
5,-0.3952864283622274,0.1683475628970148,-0.04763544162115982,0.25782570019578716,MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,3,3,4520839,4520839,((((((((5)*(x))*((x)*(x)))*(((0)+(1))*(((x)+((5)+((5)*(4))))+(7))))*(x))-(x))*(x))+(x)),(((((((5)+(x))*((x)*(8)))-((x)+(x)))+((((5)*(2))*(((x)/((2)*(0)))+(7)))*((x)-(((5)-(0))*((x)+((x)/(6)))))))-((x)*(3)))/(x)),5*x*x*x+2*x+7,3
6,-0.26090809304506546,0.22357424684031382,0.355663560502509,0.40814568321636885,AddToLeafR,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|AddToLeafR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithMult,5,5,12704599.75,12704599.75,(((((((((x)*(8))*(x))*(((7)+(1))*(x)))+(((x)/(2))*(((9)-(4))*(7))))*(x))*(x))*(x))+(x)),((((((5)+(x))*((x)*((8)-(5))))/(((((7)*(0))/(9))*((2)*(x)))*((x)+(2))))*(((2)-((2)+(7)))*(((1)/(5))*((x)*((x)-(8))))))-(x)),5*x*x*x+2*x+7,3
7,-0.2535312642597236,0.2029449713794425,0.4299331763676092,0.4730684200180715,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SubXD|AddToLeafR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,6,6,987722.2857142857,987722.2857142857,(((((((((5)*(x))*((x)*(x)))+(((((2)-(5))+(6))-(9))+(((1)/(7))+(7))))*(x))-(x))*(x))*(x))+(x)),((((((((4)*((1)-(8)))-(6))-(((7)/(1))*(x)))*(((x)/(0))+((2)*(x))))+(((x)*(1))*(((2)*(x))-((x)*(((0)*(1))+(x))))))-(x))/(x)),5*x*x*x+2*x+7,3
8,0.04003219467227581,0.09941256086953688,0.559765544091002,0.5169576632943363,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,6,7,4755948.6,4755948.6,(((((((((x)*(3))*(x))*((((x)+(0))*(7))+(x)))+((2)*((x)+(7))))*(x))*(x))*(x))+(x)),(((((((x)*(0))+(((4)*(9))-(4)))*((((5)/((2)-(9)))+((8)/(4)))*((4)/((x)*(3)))))+(((1)-((2)+(0)))*(((x)-(x))*(((8)/(0))*((x)+(x))))))-(x))/(x)),5*x*x*x+2*x+7,3
9,-0.07544791723255113,0.09413620668325891,0.24477399504306882,0.33375839543202634,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,8,8,63596075,63596075,((((((((5)*(x))*((x)*((9)+(7))))*((2)+((((9)*(6))/(2))+(7))))*(x))*(x))*(x))+(x)),((((((x)-(7))*(((x)*(2))*((7)/((0)/(2)))))+(((2)*((x)+((9)*(8))))*((((2)-(7))/(3))*((x)*(((x)+(6))+(x))))))-(x))/(x)),5*x*x*x+2*x+7,3
10,0.0977003559505742,0.057512880777395206,0.5247281945719656,0.359891298724725,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,9,9,17619375,17619375,((((((((5)+(((4)*(5))*(1)))*((x)*(x)))*((2)*(((x)/(1))+(7))))*(x))*(x))*(x))+(x)),(((((((9)*(x))*((x)*(1)))*((((5)/(0))*((5)-(0)))+((7)+(8))))*((((5)*(8))*(((5)/(6))+(0)))*((x)*((x)*((x)+(x))))))-(x))/(x)),5*x*x*x+2*x+7,3
11,0.12135672874876793,0.13229802904702087,0.46490005349784924,0.3828776265445829,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,10,10,1523956.65,1523956.65,(((((((((9)*(7))*(x))*(((7)+(0))+((5)/(2))))+((2)*((x)+(7))))*(x))*(x))*(x))+(x)),((((((5)-(((5)-(7))*((3)*(1))))*((((8)/((9)*(6)))/(2))*(((x)-(7))+((3)/(0)))))*((x)+(9)))-(x))/(x)),5*x*x*x+2*x+7,3
