generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9311468870321041,0.07949336173881898,-0.5676757000645446,0.5506921719374012,StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateTerminalR|StrategyMultXD,StrategyAddToLeafR|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategySkipD|StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyAddTreeWithDiv,StrategyMutateTerminalR,StrategyAddTreeWithDiv,0,0,1320141.5,1320141.5,((((((((x)*(6))+(8))*((3)*((5)*(5))))*((x)*(x)))+((2)*((x)+(7))))+(6))*(x)),(((((((2)/(5))*((3)+((8)/(1))))-(((x)*((6)+(x)))+(((x)+(x))*(4))))+((((5)/(2))/(0))-((1)+((7)/((0)+(4))))))-(x))-(x)),5*x*x*x+2*x+7,3
2,-0.9548831776983091,0.1844826475333335,-0.9202894478928453,0.5014356244230489,StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyReplaceBranchR,StrategyAddTreeWithDiv,1,1,15774.4,15774.4,(((((((x)+(8))*(x))*((0)-(3)))+((2)*(((9)/(9))+(7))))*(x))*(x)),(((((((7)/(9))*(0))-((((7)-(9))+(0))*((x)*((9)/(0)))))-((((5)*(6))+(4))+((1)*(9))))-(x))/(x)),5*x*x*x+2*x+7,3
3,-0.885512887104816,0.2666021543669074,-0.6890935784670228,0.41343860744849675,StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyDivXD|StrategySkipD|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyReplaceBranchR,StrategySkipD,2,2,129113.75,129113.75,((((((5)*(x))*(((x)+((3)/((5)-(3))))*(x)))+((2)*((9)+(7))))*(x))*(x)),((((((5)/((2)-((8)/(5))))*(6))*(((0)*(8))/(0)))-(x))/(x)),5*x*x*x+2*x+7,3
4,-0.840243929306421,0.3612665689204101,-0.3323643981254119,0.5213690292835723,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategySkipD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,3,3,352939,352939,(((((((1)+(9))*((2)*(7)))*((x)*(x)))+((3)-(8)))*(x))*(x)),((((((6)/((8)/((3)/(0))))*(((2)*(7))+(8)))+((x)*((0)*((1)*(x)))))-(((4)/(x))/(0)))-(x)),5*x*x*x+2*x+7,3
5,-0.7483183390881931,0.2879370522344748,-0.4811819332862254,0.46309764788058005,StrategyAddTreeWithSub|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,4,4,265159,265159,((((((5)*(x))*((((8)*(2))+(5))*(x)))+((2)*((2)+(7))))*(x))*(x)),(((((8)/((1)/(5)))-((4)/(x)))*((((3)/(0))-(7))*(x)))-((2)*(4))),5*x*x*x+2*x+7,3
6,-0.7657029894759153,0.25839563017849587,-0.2439102577279094,0.47397281999763663,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategySkipD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,5,5,1303053,1303053,(((((((5)+((6)*(9)))*(x))*((x)*(x)))+(((3)+(0))*((x)+(7))))*(x))*(x)),((((((7)/(0))-((0)-(1)))*((x)*((x)*((0)/(x)))))-(x))/(x)),5*x*x*x+2*x+7,3
7,-0.6291502058476821,0.2882012426273591,-0.14405804683701542,0.5202777782619483,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,6,6,607847.5,607847.5,((((((5)*((8)*(6)))*((x)*(x)))+(((7)+((2)-(5)))*((4)+(5))))*(x))*(x)),((((((4)/(4))+((3)/(0)))*((2)*(((5)-(6))+(3))))+(((2)*((8)*(7)))+((8)*(((0)/((1)/(5)))*(x)))))-(x)),5*x*x*x+2*x+7,3
8,-0.3487541119780707,0.17710960492689237,0.26826572544412086,0.4878331848601204,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,7,7,2885986,2885986,((((((5)*((5)*(9)))*((x)*(x)))+(((x)+(5))*((x)+(7))))*((5)*(x)))*(x)),((((((2)/(6))*(((6)/(6))*(5)))*((x)*((x)+(3))))*(((8)+((1)/(7)))+((3)+((9)*((x)*((1)/((5)-(5))))))))-((x)*(6))),5*x*x*x+2*x+7,3
9,-0.28142013600188537,0.27742452677145457,-0.07552160015826062,0.6005125692200652,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,7,8,190188.5,190188.5,((((((5)*(x))*(((1)+(5))*((3)*(7))))+((2)*((x)+(7))))*(x))*(x)),((((2)+(8))*(((((7)*(8))-(1))/((5)/(3)))*(x)))-(((3)/(0))/(1))),5*x*x*x+2*x+7,3
10,-0.3306324737662817,0.182198021577258,-0.05407018931118559,0.5489978568490085,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategySkipD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,8,9,1306413.5,1306413.5,(((((((6)+(3))*(x))*(((3)*(5))*((8)*(4))))+((2)*((x)+(7))))*(x))*(x)),(((((6)*((6)*((9)/(2))))*((5)+((4)+(2))))*((((4)/(x))+(2))*(((2)/(0))*(((6)-((4)*(8)))*((5)/(9))))))-(x)),5*x*x*x+2*x+7,3
11,-0.4156368394538659,0.21397343502616706,-0.25922882612790665,0.5226289282819011,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,10,10,609148.5,609148.5,(((((((1)-(9))*(x))*((x)*((6)*(5))))+((2)*((x)+((1)-(4)))))*(x))*(x)),(((((5)*(((5)-(x))+((0)*(5))))*((2)+((3)+((5)/(0)))))-(((0)*(((4)/(4))/((1)/(0))))+((7)*((x)*(x)))))-(x)),5*x*x*x+2*x+7,3
