generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9611608280738426,0.1074010710456322,-0.8830068141247024,0.2519108784734234,StrategyDivXD|StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD,StrategyDivXD,StrategyAddTreeWithAdd,0,0,52980,52980,(((((((((5)*((6)*(6)))*((x)*(x)))+((2)*(((5)+((0)-(7)))+(7))))/((1)+(0)))/(x))*(x))*(x))+(x)),(((((((5)*((x)*(x)))+((4)+(((x)+((x)-(0)))-(0))))-(((9)+((6)+(7)))+((2)*((((9)/(0))+(7))+(2)))))+(x))/(x))/(x)),5*x*x*x+2*x+7,5
2,-0.87927799441344,0.27768520611277536,-0.24854105778325347,0.5045654141360296,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,1,0,1729153.4,1729153.4,(((((((x)*(8))*((x)*(x)))+(((8)+((5)+(x)))*((3)+(7))))*(x))*((9)*(9)))+(x)),((((((8)*(8))-(((6)/(3))+(2)))*(((5)-((0)-(6)))*(((9)/(0))+(7))))/(((x)/(x))+((x)*((1)+(2)))))+(x)),5*x*x*x+2*x+7,5
3,-0.7222769473304786,0.20541773309383576,-0.20998570621773852,0.3517870579195487,StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddTreeWithDiv,2,2,18399798.6,18399798.6,(((((((((x)*((7)*(3)))*(x))*(((x)*(9))+(8)))+((2)*((x)+(7))))*(x))*(4))*(x))+(x)),((((((1)*(0))-((0)*(4)))+(((3)*((2)-(x)))+(((3)/(0))*(7))))*((((4)-(6))+(4))+((x)*(((9)/(8))-((x)+((4)*((4)/(1))))))))+(x)),5*x*x*x+2*x+7,5
4,-0.5166414776049689,0.18587352300526241,0.29602352150718303,0.6247389730092544,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddTreeWithDiv,3,3,480537545,480537545,((((((((5)*(x))*((x)*(((6)*(9))+(5))))*(((5)+(5))*((x)+((1)+(1)))))*(x))*(x))*(6))+(x)),(((((((0)-((4)-(1)))*((1)/(x)))*((x)-((0)*(0))))*(((9)+(5))*((5)+(5))))*(((x)+((1)+(1)))*((x)*(((4)*(1))*((6)+(x))))))+((4)/((6)/(0)))),5*x*x*x+2*x+7,5
5,0.010467470814231628,0.10793383622940911,0.3985660856914658,0.4163342220931042,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD,StrategyMultXD,StrategyAddTreeWithDiv,4,4,7935690,7935690,((((((((5)*(x))*(((x)*(8))*(x)))+(((0)+(6))*(((6)+(0))+(7))))*(x))*(x))*(x))+(x)),(((((((x)*(8))+((0)-(((8)-(3))-((9)/(0)))))*(((x)-(1))*((x)*((2)+(x)))))+(((7)/(8))+(9)))/(x))/(x)),5*x*x*x+2*x+7,5
6,0.19351861415098584,0.06587169075679958,0.7964636489897599,0.3274989066258641,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithMult|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,5,5,8855675,8855675,((((((((5)*((9)+(5)))*((x)*((3)+((x)+(6)))))+((2)*((x)+(7))))*(x))*(x))*((3)*(8)))+(x)),((((((4)+((2)*((9)/(x))))-(((8)*(9))*(((7)/(0))+((3)-(4)))))+(((2)*(x))*(((x)/(x))-(6))))+(x))/(x)),5*x*x*x+2*x+7,5
7,0.08257991911267834,0.19471273279412937,0.5484767277339724,0.4669398886739692,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,5,6,18007375.8,18007375.8,((((((((5)*((6)+((x)+(3))))*((x)*(x)))+((2)*(((4)+(2))+(7))))*(x))*(x))*((x)*(x)))+(x)),(((((((5)*((6)*(1)))-((2)+(((9)/(4))*(3))))+(((2)*(3))-(((5)/(0))*((((6)/(4))-(0))+(x)))))+(x))/(x))/(x)),5*x*x*x+2*x+7,5
8,0.2898691470799447,0.2513293582301276,0.7294748544805868,0.3780338732190986,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithMult|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,6,7,7529779,7529779,((((((((5)*((5)+(((7)*(9))+(0))))*((x)*(x)))+(((3)+(2))*((x)+(7))))*(x))*(x))*(x))+(x)),((((((8)+((9)/((x)-(x))))*(((x)-(8))-(7)))+((6)/(0)))/(x))/(x)),5*x*x*x+2*x+7,5
9,0.3435108305200466,0.2878383186948499,0.6674170580559107,0.6308753032492616,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithMult|StrategyDivXD,StrategyMultXD,StrategyAddTreeWithDiv,8,8,2927610.6,2927610.6,(((((((((x)+(3))*(x))*((x)*((2)+(x))))+((2)-(4)))*(x))*(x))*(x))+(x)),(((((x)-((3)*(9)))+((((5)/(0))+((2)/(4)))*((x)*(((8)-(3))*((x)+(x))))))+(x))/(x)),5*x*x*x+2*x+7,5
10,0.31300486364122926,0.025433622134157195,0.6223136557658544,0.29745100351847226,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithMult|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,9,8,4163344.5,4163344.5,((((((((((x)+(4))+(8))*((6)+(3)))*((x)*(x)))+((7)-(9)))*(x))*(x))*(x))+(x)),((((x)*((3)/(4)))+((9)/((0)*(2))))/(x)),5*x*x*x+2*x+7,5
11,0.3629223035287401,0.14708584610614744,0.8598070253724049,0.3688271328940665,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddXD,StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithMult|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,10,9,5214514.4,5214514.4,(((((((((9)+(x))*((7)+(6)))*((x)*(x)))+(((2)+((5)+(6)))*((x)+(7))))*(x))*(x))*(x))+(x)),((((((7)+((4)+(9)))*(((x)*(x))*((x)*(0))))-((((8)/(9))+(((8)*((7)*(6)))+((x)/(6))))*((x)*((x)*(((2)/(0))+(x))))))+(x))/(x)),5*x*x*x+2*x+7,5
