gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.9183536988585719,0.0338530197793295,-0.7877327862694928,0.25032066326839275,ReplaceBranchR,DivXD,ReplaceBranchR|MutateNonTerminalR|SkipD|SubXD|AddXD|AddTreeWithMult|AddXD|ReplaceBranchXR|MultXD|ReplaceBranchR,AddXD|ReplaceBranchXR|AddRandomSubTreeR|SubXD|AddTreeWithMult|DivXD|ReplaceBranchR|ReplaceBranchR|MultXD|DivXD,0,0,724508,724508,(((((((((3)*(5))*(x))*((x)*(8)))*((2)*((4)+(6))))-(x))+(x))+(x))*(x)),((((((((5)+(5))-(((3)/(0))+(((0)*(3))+((x)-(9)))))+(x))-(x))/(x))*(x))/(x)),5*x*x*x+2*x+7,4
2,-0.9496470577957903,0.12846287696594708,-0.7687261659661229,0.24187595917439322,AddTreeWithMult,AddXD,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithDiv|SkipD|AddTreeWithMult|AddXD|ReplaceBranchXR|MultXD|ReplaceBranchR,AddXD|ReplaceBranchXR|AddRandomSubTreeR|SubXD|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|DivXD,1,1,545634.8,545634.8,(((((((x)+(x))*(x))*(((x)*(9))*((5)+((1)*(7)))))+((2)-((x)+(7))))+(x))*(x)),((((((((x)+(4))-(((9)*(x))*((6)+((x)-(3)))))+(((2)/(0))*((x)*((5)+((x)-(x))))))+(x))-(x))+(x))/(x)),5*x*x*x+2*x+7,4
3,-0.9024004460046712,0.20853525885078836,-0.6840398474221584,0.2481339944115711,SkipD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithDiv|SkipD|SkipD|MultXD|SkipD|SkipD|AddTreeWithSub,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,2,0,289799,289799,(((((5)*(x))*((x)*(x)))*((2)*((((6)-(2))-((1)/(2)))+((4)*(2)))))*(x)),(((((((9)*((x)*(x)))*(((x)*(x))+((x)-(1))))*(((x)+(6))+((x)-((0)/(((4)-(4))*(x))))))+((5)/(8)))+(x))+(x)),5*x*x*x+2*x+7,4
4,-0.8508068366645061,0.06476021679818653,-0.5608995768160219,0.18641996945935066,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithDiv|SkipD|AddTreeWithMult|AddXD|ReplaceBranchXR|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,3,3,7329392,7329392,((((((5)*((x)+(8)))*((x)*(x)))*(((4)+(4))*(((6)*(2))+((5)*(5)))))+(x))*(x)),((((((3)+(6))+((((2)-(7))/(0))*(7)))+(x))+((5)+(3)))+(x)),5*x*x*x+2*x+7,4
5,-0.7813850089535526,0.15027908189226832,-0.28809786734193404,0.34065955423150773,AddTreeWithMult,AddXD,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,4,3,581205.5,581205.5,((((((((4)*(6))*(x))-(x))*((x)*((6)+(4))))+((9)-(7)))*(x))*(x)),(((((((2)-(7))+(8))+((x)*((3)/(0))))+(1))+(x))+(x)),5*x*x*x+2*x+7,4
6,-0.5315457871873348,0.0772837538550544,-0.031230645275065284,0.3696276783348428,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,5,5,23438501.5,23438501.5,((((((5)*(6))*(((1)*(4))*(x)))*(((6)*(7))*((x)+(7))))*(x))*(x)),(((((((3)+((5)*((3)/(0))))*(((9)-(4))*((x)+(2))))*(((0)*(3))+((7)*((x)*(3)))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
7,-0.5176978404143233,0.07538054083992075,-0.15367478085408037,0.3307225319804628,MultXD,AddXD,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,6,6,370895.7,370895.7,((((((5)*((7)*(5)))*((((5)*((7)-(x)))+(6))*(x)))+((2)*((x)+(x))))*(x))*(x)),(((((((5)*(x))*((((1)-(7))/(0))-((6)-(2))))*(((x)-(9))/((6)*((x)*(3)))))+(x))+(8))+(x)),5*x*x*x+2*x+7,4
8,-0.5144078407065726,-0.018574292251748288,-0.12055298170413595,0.15967028397201546,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,7,7,653503,653503,((((((5)*(x))*((x)*(((8)+(9))*(3))))+((2)+((x)+(((5)*(9))*(5)))))*(x))*(x)),((((((x)*(0))+(((5)-((x)/(7)))*(((4)-(8))+((7)*((x)*(8))))))+(x))+(2))+(x)),5*x*x*x+2*x+7,4
9,-0.45688765872822507,-0.04765757194136126,-0.15140029251512765,0.17747477825202462,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,8,8,9577404.5,9577404.5,(((((((7)*(9))*(x))*((x)*((5)*((2)-(5)))))*((8)-(4)))*(x))*(x)),(((((((3)*((2)/(9)))-((x)-(1)))+((8)*((5)*((x)*(x)))))+((4)-(4)))+(x))+(x)),5*x*x*x+2*x+7,4
10,-0.4530259885147408,0.0031914231896051195,-0.22236239145455436,0.18525299217080624,AddTreeWithMult,AddXD,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,9,9,23051499.5,23051499.5,((((((5)*((5)*(((2)-(0))*(7))))*((x)*(x)))*((2)*((6)+(7))))*(x))*(x)),(((((((2)+(1))*((x)*(((2)/(0))*(x))))+(((2)*(2))+((7)*((x)*(x)))))+(x))+((x)-(6)))+(x)),5*x*x*x+2*x+7,4
11,-0.40308243169605007,0.012471709438645895,-0.2116262520589954,0.17453989317005555,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,10,10,304851.5,304851.5,((((((3)-(7))*((x)*(x)))*(((9)-((1)*(x)))*(((7)-(6))+((3)*(9)))))*(x))*(x)),(((((3)+((x)-(8)))+(((3)-(6))/(0)))+(x))+(x)),5*x*x*x+2*x+7,4
