gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.8752670814527477,0.05210160720199817,-0.032016942354603284,0.2900382563688254,SkipD,ReplaceBranchXR,AddXD|AddTreeWithAdd|MultXD|SkipD|SkipD|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|SkipD,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD|ReplaceBranchR|AddTreeWithDiv,0,0,326324.5,326324.5,(((((((5)*(((9)*(4))+(0)))*((x)*(x)))+((2)*((x)+(7))))+(x))*(x))*((7)-(1))),(((((((6)/(0))+(5))*((7)/(x)))*((7)+(x)))*(((x)*(9))+((x)/((5)-((6)*(x))))))*(x)),5*x*x*x+2*x+7,5
2,-0.7906380577866512,0.15033268607008712,0.4057511498345681,0.32507801894386296,SkipD,AddTreeWithSub,AddXD|AddTreeWithAdd|MultXD|SkipD|SkipD|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,0,1,3319919.5,3319919.5,(((((((5)*(((7)*(4))+(2)))*((x)*(x)))+((2)*(((8)*(1))+(7))))*(x))*(x))*(x)),(((((6)*(1))*((1)/(0)))*((8)+(6)))/((6)-(2))),5*x*x*x+2*x+7,5
3,-0.3672803767676724,0.06716294951727639,0.41016810898704537,0.28866000397127883,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddToLeafR|SkipD|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,2,2,5945237.8,5945237.8,((((((((5)*(x))*((1)*(x)))*((2)*((x)+(((9)+(x))+((2)-(2))))))+(x))*(x))*(x))*(x)),(((3)-((3)/(0)))/(((1)+((3)+(x)))*((5)-(4)))),5*x*x*x+2*x+7,5
4,-0.1258332239534327,-0.02267352227327376,0.6036645188437306,0.13239660630668465,MultXD,AddTreeWithSub,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,3,3,753608472.8,753608472.8,((((((((5)*(x))*((x)*(x)))*(((6)*(7))*(((2)*(1))+((x)+(7)))))+(x))*(x))*(x))*(x)),(((((6)*((2)/(0)))-(((8)*((7)-(2)))-((0)+((2)+(5)))))-((((9)-(6))*((7)+(7)))+((7)*((4)*(4)))))/(x)),5*x*x*x+2*x+7,5
5,0.30577926868147703,0.08242037972539587,0.7749595978010259,0.25808558430087336,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|SkipD|MultXD|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult,DivXD|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,4,4,36235599,36235599,((((((((5)*((7)*(1)))*((x)*(x)))*((2)*((x)+(7))))+((2)+(x)))*(((8)*(1))+(5)))*(x))*(x)),((((4)/(0))-(0))*((9)-(x))),5*x*x*x+2*x+7,5
6,0.280339828719698,-0.026880426108148402,0.7415094632546216,0.2671915409866533,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,4,5,18460433.3,18460433.3,((((((((7)*(x))*((x)*((x)+(8))))+((2)*((x)-((7)*(8)))))+(x))*((7)*(9)))*(x))*(x)),((((((0)*(8))*(((0)-(5))-(x)))*(((x)*(6))*((4)+((8)/(0)))))+((2)-(9)))/(x)),5*x*x*x+2*x+7,5
7,0.6744990952575851,0.0562661935391072,0.9745908086673113,0.23903921744945916,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MultXD|SkipD,DivXD|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,6,6,1300683308.8,1300683308.8,(((((((((5)*(x))*((x)*(x)))*((2)*(((7)*(x))+(7))))+((1)+(0)))*(x))*(x))*(x))*(x)),((((((3)/(5))*(6))*((((3)-(x))*(3))*((7)*(x))))+(((4)+(2))*((x)*((x)*((x)*(x))))))/(x)),5*x*x*x+2*x+7,5
8,0.8462205868295204,0.02572558279412921,0.9988629674334343,0.2437444823012061,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MultXD|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,6,7,604514923.8,604514923.8,((((((((((x)*(x))*(((6)*(6))*(x)))+((2)*(((4)+(0))+(7))))+(x))*(x))*(x))*(x))*(x))*(x)),(((((8)/(0))+(7))*((8)*(4)))/((x)+(7))),5*x*x*x+2*x+7,5
9,0.8572085271186023,0.011513246250878018,0.9434146366401575,0.2541573814207289,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,8,8,13253563.8,13253563.8,(((((((((5)*(4))*((x)*(x)))*((2)*(((7)+(1))+(7))))+(x))*((5)-(6)))*(x))*(x))*(x)),(((((5)-((0)*(0)))*(((x)+(2))*((3)*(2))))-(((1)*(2))*(((5)+(5))*((x)*((x)*(x))))))/(((0)-((7)/(0)))-(1))),5*x*x*x+2*x+7,5
10,0.739068573665311,0.0375557489510178,0.9690412415342975,0.18530902459081564,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|SubXD|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,9,9,12973199.4,12973199.4,(((((((((5)*((6)+(7)))*((x)*(x)))+((2)*((x)+(7))))+((8)+(6)))*(x))*(x))*(x))*(x)),(((((0)*(7))+(((7)*(6))+((2)*(x))))+(((7)-((6)-(7)))*(((5)/(1))*((x)-(((2)-(8))*(x))))))/(x)),5*x*x*x+2*x+7,5
11,0.7378534069678018,0.03335901785903714,0.9651850861896563,0.2836845071247017,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,10,10,1661873869.3,1661873869.3,(((((((((5)*(x))*((x)*(x)))*(((7)+(7))*(((7)+(6))+(7))))+(x))*(6))*(x))*(x))*(x)),((((1)+(x))+(((7)+((1)-(3)))*((((5)/(0))-(2))*((x)*((x)*(((0)-(x))+(5)))))))+(x)),5*x*x*x+2*x+7,5
12,0.7962652372128467,-0.03228784991703545,0.9604498294230049,0.2999306527849079,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,9,11,18329355.7,18329355.7,(((((((((5)*(x))*((x)*(x)))+((2)*((x)+((7)+((9)-(0))))))*(2))*(x))*(x))*(x))*(x)),((((((6)-(5))*((8)*(6)))*((((4)-(0))*((8)-(8)))+((2)-((2)/(0)))))+(((x)+(x))*((3)+((x)*((x)*(x))))))/(x)),5*x*x*x+2*x+7,5
