averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,topAntagonistEquation,topProtagonistEquation
-0.9253197355256265,0.09515187162869053,-0.6247083912096875,0.4136448099944451,((((((((7)*(6))/(7))*((5)-(7)))*((x)*((7)+(5))))*((((5)*(5))*(7))*((4)*(x))))*(x))*(x)),(((((((((9)-(x))-(4))-(7))-(((4)*((6)-(1)))-((2)/((0)*(0)))))+((8)-((x)*(2))))-((1)/(9)))-(x))*(x))
-0.882264139440266,0.1151026387285228,-0.5679191451369009,0.38250323988683815,((((((((7)*(6))/(7))*((5)-(7)))*((x)*((7)+(5))))*((((5)*(5))*(7))*((4)*(x))))*(x))*(x)),(((((((((9)-(x))-(4))-(7))-(((4)*((6)-(1)))-((2)/((0)*(0)))))+((8)-((x)*(2))))-((1)/(9)))-(x))*(x))
-0.7712972700611826,0.1533752180966939,-0.3937120152168883,0.3402633403207946,((((((((7)*(6))/(7))*((5)-(7)))*((x)*((7)+(5))))*((((5)*(5))*(7))*((4)*(x))))*(x))*(x)),(((((x)*((9)+(5)))*(((6)*(2))+(5)))/(x))+(x))
-0.5769837628796101,0.1558154377098973,-0.07419367403814969,0.40235928757283695,((((((((5)*(x))*((x)*(((6)*(9))+(5))))*(((5)+(5))*((x)+((1)+(1)))))*(x))*(x))*(6))+(x)),(((((x)*((9)+(5)))*(((6)*(2))+(5)))/(x))+(x))
-0.34452336661415417,0.1273370189150766,0.048591776205611704,0.3901853771954714,((((((((5)*(x))*((x)*(((6)*(9))+(5))))*(((5)+(5))*((x)+((1)+(1)))))*(x))*(x))*(6))+(x)),(((((x)*((9)+(5)))*(((6)*(2))+(5)))/(x))+(x))
-0.26501799004277377,0.11709993003187599,0.1745110991255628,0.35525159329352984,((((((((5)*(x))*((x)*(((6)*(9))+(5))))*(((5)+(5))*((x)+((1)+(1)))))*(x))*(x))*(6))+(x)),(((((x)*((9)+(5)))*(((6)*(2))+(5)))/(x))+(x))
-0.2617116110340117,0.168071011652185,0.15865832276446112,0.4461600018010678,((((((((5)*(x))*((x)*(((6)*(9))+(5))))*(((5)+(5))*((x)+((1)+(1)))))*(x))*(x))*(6))+(x)),(((((x)*((9)+(5)))*(((6)*(2))+(5)))/(x))+(x))
-0.1452309219704517,0.12609022200789594,0.28268208677093365,0.30859225533913914,((((((((5)*(x))*((x)*(((6)*(9))+(5))))*(((5)+(5))*((x)+((1)+(1)))))*(x))*(x))*(6))+(x)),(((((x)*((9)+(5)))*(((6)*(2))+(5)))/(x))+(x))
-0.09033025697731194,0.1730289888021943,0.16839277141998438,0.41807505795846095,((((((((5)*(x))*((x)*(((6)*(9))+(5))))*(((5)+(5))*((x)+((1)+(1)))))*(x))*(x))*(6))+(x)),(((((((((5)*((9)*(x)))*(((1)*(2))*((x)+(1))))+(((x)+(x))+((7)+((8)*((x)*(x))))))/(x))/((7)-(2)))+(x))+(x))*(x))
-0.06283789238895725,0.12784950290721658,0.19555306367614939,0.3680589278555451,((((((((5)*(x))*((x)*(((6)*(9))+(5))))*(((5)+(5))*((x)+((1)+(1)))))*(x))*(x))*(6))+(x)),(((((((((5)*((9)*(x)))*(((1)*(2))*((x)+(1))))+(((x)+(x))+((7)+((8)*((x)*(x))))))/(x))/((7)-(2)))+(x))+(x))*(x))
-0.07125124498590471,0.15582472204020797,0.22005817156470045,0.43132004990899225,((((((((5)*(x))*((x)*(((6)*(9))+(5))))*(((5)+(5))*((x)+((1)+(1)))))*(x))*(x))*(6))+(x)),(((((((((5)*((9)*(x)))*(((1)*(2))*((x)+(1))))+(((x)+(x))+((7)+((8)*((x)*(x))))))/(x))/((7)-(2)))+(x))+(x))*(x))
