gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.8598490798179064,-0.02320413215939301,-0.48200094184939435,0.39302043765063716,MultXD,AddTreeWithDiv,MultXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchR|SkipD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddRandomSubTreeR|AddTreeWithSub|DivXD|AddTreeWithDiv|MutateNonTerminalR,0,0,914945.5,914945.5,((((((((5)*(x))*(((6)-((x)*(x)))*(x)))+((2)-(((2)-(2))+(7))))*(x))/(x))*(x))*(x)),((((((7)*(((9)/((6)*(0)))+(5)))-(((9)*((8)-(6)))+((4)*((8)/(6)))))+(((5)-(1))+((2)*(9))))+(x))/(x)),5*x*x*x+2*x+7,1
2,-0.6061709736178947,0.09926132541208302,0.3929067286558289,0.33712838544974094,MultXD,AddRandomSubTreeR,AddTreeWithMult|MultXD|MultXD|MutateNonTerminalR|MultXD|SkipD|AddTreeWithSub|SkipD|SkipD|AddTreeWithDiv,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddRandomSubTreeR|AddTreeWithSub|DivXD|AddTreeWithDiv|MutateNonTerminalR,1,0,19175157.5,19175157.5,(((((((5)*(x))*((x)*((1)*(9))))*((2)*((x)+((6)/(x)))))*(x))*((0)-(x)))*(x)),((((((5)*((x)*(x)))*(((4)/(0))+((3)-(9))))/((((x)-(3))*(7))+(((1)-(8))*((x)-((3)/((2)/(7)))))))+(x))/(x)),5*x*x*x+2*x+7,1
3,-0.41337726161834165,0.1882165301915085,0.7248692545371485,0.4583498057649863,MultXD,ReplaceBranchXR,AddTreeWithMult|MultXD|MultXD|MutateNonTerminalR|MultXD|SkipD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddToLeafR,2,2,8245271417.5,8245271417.5,((((((((((1)*(x))*((6)+(9)))*((x)*(x)))*((2)*((x)+(7))))*(x))*(x))*(x))*(x))*(x)),(((((0)/(((x)+(x))*(0)))-((9)*(((4)/(0))*(x))))+((x)-((6)*(4))))+(x)),5*x*x*x+2*x+7,1
4,-0.08289122205751812,0.14909389569698686,0.7999252063689752,0.37797023469510554,MultXD,AddRandomSubTreeR,AddTreeWithMult|MultXD|MultXD|MutateNonTerminalR|MultXD|SkipD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddRandomSubTreeR|AddTreeWithSub|DivXD|AddTreeWithDiv|MutateNonTerminalR,3,3,1627633302.5,1627633302.5,(((((((((5)*((x)*(1)))*((x)*(((5)*(4))*(9))))+((2)+((x)+(7))))*(x))*(x))*(x))*(x))*(x)),((((((x)*(((9)/(0))-(0)))*((((8)/(1))*(x))+((2)*(8))))*((x)*(1)))+(x))/(x)),5*x*x*x+2*x+7,1
5,0.4505623042350332,-0.13101096991398112,0.9146968972893287,0.09478752058684313,MultXD,AddTreeWithDiv,AddTreeWithMult|MultXD|MultXD|MutateNonTerminalR|MultXD|SkipD|SubXD|SkipD|AddTreeWithMult|MultXD,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|ReplaceBranchR|DivXD|AddTreeWithDiv|MutateNonTerminalR,4,4,1341027351,1341027351,(((((((((5)*((1)*(6)))*((x)*(x)))*((2)*((x)+(7))))*((7)*(x)))*(x))*(x))-(x))*(x)),(((((((0)/(6))-(9))*(((x)+(1))-((5)*(x))))-((((1)-(5))*((4)*(3)))*((x)*(((4)/(0))*((x)*(x))))))+((8)*(1)))/(x)),5*x*x*x+2*x+7,1
6,0.48210723353266244,-0.06502957821145108,0.9655111542683967,0.21687805867108687,MultXD,AddTreeWithDiv,AddTreeWithMult|MultXD|MultXD|MutateNonTerminalR|MultXD|SkipD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|ReplaceBranchR|DivXD|AddTreeWithDiv|MutateNonTerminalR,5,5,1065078423.9,1065078423.9,((((((((((6)*(2))*(x))*((x)*(x)))+(((x)*(0))+((x)+(7))))*(x))*(x))*(x))*((7)*(7)))*(x)),((((((5)*((4)+(9)))-(((8)*(x))+(((4)-(4))+(x))))+(((x)*((3)*(x)))*((x)*((x)*((x)*(((0)/(2))-(6)))))))+((0)/(0)))/(x)),5*x*x*x+2*x+7,1
7,0.5399779118621734,0.05432971162126047,0.7990159878683152,0.476531195727104,MultXD,AddTreeWithDiv,AddTreeWithMult|MultXD|MultXD|MutateNonTerminalR|MultXD|SkipD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|ReplaceBranchR|DivXD|AddTreeWithDiv|MutateNonTerminalR,6,6,994994669.5,994994669.5,(((((((((5)*(x))*(((3)*(7))*(x)))-((2)*((x)+((0)*(x)))))*(x))*(x))*((8)*(6)))*(x))*(x)),(((((((7)*(2))-(3))*((3)*(5)))*(((1)/(0))+(1)))+((0)+(2)))/(x)),5*x*x*x+2*x+7,1
8,0.5999360563456437,0.05052363576281795,0.9946691941769563,0.21109699865782483,MultXD,AddTreeWithDiv,AddTreeWithMult|MultXD|MultXD|MutateNonTerminalR|MultXD|SkipD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|ReplaceBranchR|DivXD|AddTreeWithDiv|MutateNonTerminalR,7,7,3189699614.9,3189699614.9,((((((((((6)*(x))*((7)*(6)))*((x)*(x)))+((2)+((x)+(7))))*(x))*((7)+(0)))*(x))*(x))*(x)),(((((((1)*(6))*((x)-(x)))*(((x)+(2))*((x)-(5))))*(((((6)/(5))/(1))*((x)*(6)))*((1)-(7))))+(x))-((5)/(0))),5*x*x*x+2*x+7,1
9,0.5805579380450199,0.1339673462019414,0.7811984073349406,0.4326173925594049,MultXD,AddTreeWithDiv,AddTreeWithMult|MultXD|MultXD|MutateNonTerminalR|MultXD|SkipD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|ReplaceBranchR|DivXD|AddTreeWithDiv|MutateNonTerminalR,8,8,670127933.1,670127933.1,(((((((((5)*((x)*(8)))*((x)*(x)))+(((2)-(1))*((x)-((9)*(5)))))*(x))*(x))*(x))*(x))*(x)),(((((((5)-(x))*(((4)/((4)/(0)))*(x)))+(((2)*(0))*((x)*(9))))*(((6)*(((0)/(9))*((9)+(3))))+((x)*((x)*((x)*(x))))))+(x))/(x)),5*x*x*x+2*x+7,1
10,0.5561699761407921,0.08551463605755459,0.7796049668649985,0.3385327457256845,MultXD,AddTreeWithDiv,AddTreeWithMult|MultXD|MultXD|MutateNonTerminalR|MultXD|SkipD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|ReplaceBranchXR|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|ReplaceBranchR|DivXD|AddTreeWithDiv|MutateNonTerminalR,9,9,3017971812.5,3017971812.5,(((((((((5)*((6)*((x)*(6))))*((x)*(x)))-((2)*((x)+((6)*(3)))))*(x))*(x))*(x))*(x))*(x)),((((((8)/((5)/(0)))-(7))*(((x)-(3))-((0)+(4))))+(x))/(x)),5*x*x*x+2*x+7,1
