gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-0.19517951254258997,-0.08106639025974874,-0.14074289792429906,0.047021257745458254,NaN,NaN,20912.444903968255,280.96075802469136,0.9377125817593585,0.5808559294348252,0.6014603067830312,0.20277831858460482,100398.7577267574,1492.7454166666666,982863.0200000001,769.8,(((((9)*(3))*((2)*(x)))*(((7)+(5))+((9)/(9))))*(((x)+((7)*(7)))*(((4)*(9))*((6)/((x)+(x)))))),(((((6)*(3))*((8)+(5)))+(((4)-(8))-((4)*(0))))*(((x)*((4)/(5)))*((x)-((x)-((x)+(x)))))),DivXD|AddTreeWithAdd|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithSub|MultXD|AddRandomSubTreeR|DivXD|SkipD|AddTreeWithMult|SkipD|AddRandomSubTreeR|AddXD|SkipD|MutateNonTerminalR,AddToLeafR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|MultXD|MutateNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddTreeWithSub|AddXD|AddRandomSubTreeR|AddTreeWithMult,AddRandomSubTreeR,MutateNonTerminalR,0,0,1,1,1
1,5*x*x*x+2*x+7,10,1,-0.20022682836145247,0.00028849546226481057,-0.17788249770538728,0.043322948053918314,-2041694079831173000000000000000000000,4763952852939404000000000000000000000,1354.0334904761903,287.75307360417355,-0.720449355174935,0.19699444625939233,0.10251503740160378,0.007108555209315375,5727.268559523809,17014117331926443000000000000000000000,17114.090476190475,1474.8,(((((5)*(x))*((x)*(x)))+(((4)-(4))-((5)*(0))))+(((4)+((x)+(x)))-((x)*((6)*((4)/(x)))))),((x)+((9)*(7))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,DivXD,1,0,2,2,1
2,5*x*x*x+2*x+7,10,1,-0.19889363069987276,0.013209167889342698,-0.1651027605357726,0.04684311751055095,753.6849739682541,3175968568626269000000000000000000000,2136.409,281.2879303801221,-0.4902074485462267,0.4346741318607345,0.15374106622338304,0.08527233331953792,4233.9698624338625,11342744887950962000000000000000000000,31209.5,1038.277489424575,(((((3)*(4))*((0)+(9)))*(((x)*(x))+((2)*(6))))*(((x)+((2)+(2)))+((x)-((x)*((x)/(x)))))),((((7)+((3)*(3)))+(((4)+(3))+((5)/(x))))+(((x)+((9)*(7)))+((x)*((x)-((x)+(x)))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|MultXD|MutateNonTerminalR|MutateNonTerminalR|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,MutateNonTerminalR,2,2,3,3,1
3,5*x*x*x+2*x+7,10,1,-0.1733394036190294,0.01080334692269204,-0.04997824585729569,0.06454075154749409,1514.5938275396825,2892399946427495600000000000000000000,27046.17011111111,248.78445570787235,0.35335315868814177,0.5340847217684852,0.5101293296221161,0.11400346597491469,8421.42669642857,17014117331926443000000000000000000000,94673.00555555554,855.7,(((((5)*(x))*((9)*(x)))+(((4)+(2))*((x)+(7))))*(((x)+((1)*(4)))+(((x)-(x))*((7)*((5)/(x)))))),(((((x)+(4))*((x)+(x)))*(((2)+(4))+((5)*(1))))-(((5)+((0)+(x)))+((x)*((x)+((x)/(x)))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithDiv|SubXD|AddToLeafR|AddXD|AddTreeWithSub|AddXD|MultXD|AddXD|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchR|DivXD|ReplaceBranchXR,SkipD,AddXD,3,3,4,4,1
4,5*x*x*x+2*x+7,10,1,-0.16280829913508948,0.004416272691131471,0.020578307734165722,0.08653125340302732,-1088903509243292300000000000000000000,2722258773108231500000000000000000000,20691.045,208.39669999999998,0.768519481305169,0.35533050201459215,0.6724131760710134,0.08309322160565107,-6805646932770577000000000000000000000,6805646932770577000000000000000000000,264471.5,1184,(((((5)*(0))+((x)*(3)))*(((7)*(x))*((x)+(x))))-(((7)*((x)+(x)))+((x)-((x)*((x)/(x)))))),(((9)+((1)*(x)))-((x)*(x))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,AddTreeWithAdd,2,0,5,5,1
5,5*x*x*x+2*x+7,10,1,-0.16678447755570244,0.013108981569918602,-0.013391500081457891,0.04793204835021233,-453709795518038460000000000000000000,1587984284313134600000000000000000000,26608.577687301586,279.288,0.3923199679662691,0.30877708809757154,0.5359604790851592,0.03636302411339711,24653.849649470896,5671372443975481000000000000000000000,100743.80722222221,1269.5,(((((x)*(7))*((x)*(3)))*(((9)+(2))*((x)+(7))))*(((x)+((x)+(9)))+(((4)-(x))*((8)+((6)/(x)))))),(((((4)-(4))*((2)+(8)))*(((x)*(3))*((1)+((2)+(4)))))*(((x)+((x)*(8)))-(((x)+(x))-((x)-((x)/(x)))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|MutateNonTerminalR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|MultXD|AddXD|ReplaceBranchR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,AddTreeWithAdd,4,5,6,6,1
6,5*x*x*x+2*x+7,10,1,-0.17564405383666026,0.010049615865901213,-0.05082688775385013,0.05980326742479633,NaN,NaN,11184.768033333332,257.48531904761904,0.45548099030948286,0.3171076990090384,0.5841934474418126,0.04974679307247475,-4861176380550412000000000000000000000,4861176380550412000000000000000000000,112429.5,1254.2,(((((5)*(x))*((x)*(x)))*(((8)+(x))+((2)*(0))))-(((1)*((4)*(x)))+(((x)+(x))-((x)*((x)/(x)))))),(((((2)+(9))-((x)*(5)))+(((3)*(0))+((x)-(x))))-(((7)*((x)+(x)))+(((x)-(x))*((x)+((x)/(x)))))),MultXD|SkipD|ReplaceBranchR|AddXD|SubXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|MultXD|AddXD|ReplaceBranchR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,ReplaceBranchXR,5,5,7,7,1
7,5*x*x*x+2*x+7,10,1,-0.1598776263231539,0.01922277867002502,-0.04408579324442269,0.08778191326623212,-510423519957793260000000000000000000,NaN,11466.379038888892,206.0997380952381,0.6126833854331752,0.5662092997930959,0.5826772921883547,0.14189792649296298,23743.975371031745,4253529332981611000000000000000000000,158061.9,796.7,(((((8)+(1))*((x)*(x)))*(((7)*(x))+((1)+(4))))-(((x)*((x)+(x)))+((x)-((x)*((x)/(x)))))),(((((2)*(4))*((2)+(0)))*(((x)+(2))*((x)+((7)+(6)))))*((((0)*(x))+((x)-(4)))+(((x)-(x))*((x)+((x)-(x)))))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|MultXD|AddXD|ReplaceBranchR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,AddTreeWithAdd,7,5,8,8,1
8,5*x*x*x+2*x+7,10,1,-0.17563853422146322,0.013398036444059555,-0.058089970364214934,0.06566211205111146,-756182992530064100000000000000000000,NaN,9518.952000000001,246.72496500692873,0.5232551348194295,0.41522378307742563,0.4621436011430321,0.0771428617750662,-3780914962650320700000000000000000000,NaN,128412.5,1074,(((((5)*(9))*((x)*(4)))+(((1)*(7))+((8)+(2))))*(((2)*((0)*(x)))+(((x)+(x))-((x)*((x)/(x)))))),(((x)*(4))+((x)*(x))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,MutateNonTerminalR,7,7,9,9,1
9,5*x*x*x+2*x+7,10,1,-0.16437060848316493,0.019274966322587614,0.02877353035401995,0.06053684209532932,-680564693277057600000000000000000000,NaN,26862.506,256.13803580771815,0.8068145062677995,0.35533050201459215,0.5634390989802956,0.06076061196244963,-3402823466385288500000000000000000000,NaN,316897.5,1184,(((((8)*(x))*((x)*(x)))*(((x)+(2))*((2)-(5))))*(((7)+((x)+(x)))+(((x)-(8))*((5)*((x)/(x)))))),(((x)*(3))+((6)*(x))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,ReplaceBranchXR,7,9,10,10,1
10,5*x*x*x+2*x+7,10,1,-0.1722947434325638,0.019727811904350682,-0.04236990084417011,0.07217808614607046,-618695175706416000000000000000000000,NaN,11040.77433968254,234.75772698412698,0.3717675067728429,0.40928890340847207,0.4748581604864057,0.07651515890624998,-3093475878532080300000000000000000000,3093475878532080300000000000000000000,97448,1084.9,(((((5)*(x))*((8)*(x)))+(((2)*(x))+((4)+(3))))+(((3)*((9)*(7)))+(((x)+(x))-((x)*((x)/(x)))))),(((x)*(6))*((8)+(8))),MultXD|SkipD|ReplaceBranchR|AddXD|AddXD|AddTreeWithAdd|SubXD|SkipD|MultXD|AddToLeafR|SkipD|DivXD|SkipD|AddTreeWithMult|SkipD,AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR|SubXD|ReplaceBranchR|DivXD|SubXD|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,SkipD,SubXD,9,0,11,11,1
