gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-0.19650858154576817,-0.04436018633696042,-0.06760585549876423,0.07697567083237755,NaN,NaN,28930.228794696402,225.9464829492554,0.7649191117459806,0.5568408195613357,0.711870157065077,0.12322258852798004,-34028234663852886000000000000000000000,1456.7670319663725,260421,813.9061507936509,((((5)-((9)+(9)))*(((7)*(x))*((2)+(7))))*(((x)*((2)*(2)))+((1)*((4)/((2)+(x)))))),(((((4)*(5))+((x)-((0)-(x))))+(((3)*(1))*((x)*((3)*(x)))))+((((7)+(0))-((9)-(7)))*(((4)*(2))+((x)+((x)/(x)))))),MultXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|DivXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR,AddXD|AddXD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|DivXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithAdd,0,0,1,1,4
1,5*x*x*x+2*x+7,10,1,-0.17968676513151466,-0.03383033377621067,-0.041516256805317175,0.07796489848137861,NaN,NaN,124362.08419625908,224.12966744910003,0.9892358755152388,0.16993357290645755,0.786218492793624,0.22433807465390423,-17014117331926443000000000000000000000,1843.9501064970082,5687411,1524.5,((((x)+((x)+(6)))*(((x)*(3))*((6)+(9))))*(((7)+((9)*(7)))*((6)*((3)*((4)+(x)))))),(((6)-((4)-(4)))/((4)-(0))),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|MutateTerminalR|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,MultXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithSub|MutateTerminalR|SkipD|AddTreeWithSub,AddTreeWithMult,AddTreeWithSub,0,1,2,2,4
2,5*x*x*x+2*x+7,10,1,-0.18787102292655156,-0.01088703622774765,-0.11684298086529576,0.07384979692749485,NaN,4083388159662346000000000000000000000,168840.27851815405,231.68746296296297,0.9926242323484881,0.6277360339758249,0.9473901644217247,0.1526872865491455,-11342744887950962000000000000000000000,22685489775901924000000000000000000000,8300153,683.7,(((((5)*(8))+((4)*(5)))*(((1)-(4))+((5)*(x))))*(((x)*((x)*(7)))*(((x)+(7))*((x)/((x)+(x)))))),(((((8)+(1))*((x)*((1)*(6))))*(((5)*(x))-((2)+((0)-(0)))))*((((1)+(8))*((6)/(7)))*(((2)+(x))+((x)+((x)/(x)))))),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|MutateTerminalR|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,AddXD|AddXD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|DivXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,AddTreeWithAdd,1,2,3,3,4
3,5*x*x*x+2*x+7,10,1,-0.17493041865284664,-0.0203703676129356,0.01913080247611808,0.06425160190759668,NaN,NaN,301383.39978174603,249.31550793650794,0.9598720257154637,0.1936186431449417,0.7863012697252502,0.09844413470077439,-8507058665963221000000000000000000000,17014117331926443000000000000000000000,1525619,1481,(((((3)+(4))*((x)*(4)))*(((9)*(2))*((x)*(x))))+(((2)+((x)+(3)))*(((6)*(8))/((9)-((6)+(x)))))),((x)*(9)),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|MutateTerminalR|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,AddXD|AddXD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|DivXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,AddTreeWithAdd,1,2,4,4,4
4,5*x*x*x+2*x+7,10,1,-0.16475891949789687,-0.03738852118349352,0.08584457249178126,0.05831611077953729,-2177807018486584200000000000000000000,3538936405040700600000000000000000000,842563.3949142857,260.21663094230183,0.9652321275132453,0.4898725906566481,0.8990178980577371,0.39601213894929665,-13611293865541154000000000000000000000,6805646932770577000000000000000000000,1760821,936.9,(((((4)*(4))*((x)*(x)))*(((1)*(7))*((3)*(5))))-(((9)*((9)+(8)))*((7)+((7)/((x)+(x)))))),(((x)*((0)+(8)))*((x)+(8))),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|SkipD|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,AddToLeafR|SkipD|AddToLeafR|AddToLeafR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,AddToLeafR,4,4,5,5,4
5,5*x*x*x+2*x+7,10,1,-0.18956046344434285,-0.01091571173525521,-0.07400108672266499,0.0726758488495666,-2268548977590192500000000000000000000,3629678364144307700000000000000000000,23941.590513888885,233.843536002886,0.5207827788649706,0.43215724708700853,0.6176400576755294,0.08199818645791822,-11342744887950962000000000000000000000,5671372443975481000000000000000000000,127750,1042.9,(((((7)*(0))-((x)+(8)))*(((8)+(9))*((9)+(1))))*(((0)*((9)+(0)))*((5)*((2)*((x)+(x)))))),(((1)+((5)*(x)))*((6)*(3))),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|MutateTerminalR|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,AddXD|AddXD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchR,3,5,6,6,4
6,5*x*x*x+2*x+7,10,1,-0.16654709147086685,-0.020797769107307008,0.01805913132939381,0.0644018878051057,-2333364662664197800000000000000000000,3500046993996297000000000000000000000,5723792.717999999,249.03949285714282,0.999785425291576,0.5556463029511053,1.0183611533740327,0.4324501598039628,-14583529141651237000000000000000000000,4861176380550412000000000000000000000,285308555,816.0999999999999,((((x)*((9)*(8)))*(((5)*(8))+((0)+(8))))*(((x)+((x)*(9)))*((8)+((x)*((x)+(x)))))),((((x)*(7))*((4)/(5)))*((3)*((x)+(1)))),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|SkipD|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,AddToLeafR|SkipD|AddToLeafR|AddToLeafR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,AddToLeafR,6,5,7,7,4
7,5*x*x*x+2*x+7,10,1,-0.16876607050086392,-0.020996366049074573,0.024589554201570794,0.08109573746899593,-2211835253150437700000000000000000000,3572964639704553000000000000000000000,537481.0556571429,218.37956856444214,0.9919791032186698,0.5004355874986388,0.7986468563180509,0.16143438492280981,-12760587998944832000000000000000000000,21267646664908054000000000000000000000,7632563,917.5,(((((3)*(9))*((6)*(1)))-(((8)*(x))*((x)*(2))))*(((x)+((0)-(6)))*(((4)*(9))*((4)/((x)+(x)))))),(((((x)*(8))*((7)-(6)))+(((x)+(8))*((7)*((x)*(3)))))+(((6)-((x)-(0)))+(((x)+(1))*((2)/((1)+(3)))))),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|SkipD|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,AddXD|AddXD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|DivXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,AddTreeWithAdd,7,3,8,8,4
8,5*x*x*x+2*x+7,10,1,-0.15424365543991875,-0.001200047638340267,0.06377578096761001,0.08952992849105229,-1663602583566141000000000000000000000,3175968568626269000000000000000000000,300167.5168095238,202.88933333333335,0.9732280179593558,0.360775345747577,0.6481704527460486,0.060257097206002336,-7561829925300641000000000000000000000,15123659850601283000000000000000000000,2286719,1174,(((((5)*(x))*((x)*(x)))*(((9)*(9))-((2)*(9))))*(((2)-((3)*(4)))*(((7)*(8))/((1)+((2)+(x)))))),((((x)*(0))+((4)*(2)))*((9)+((x)+(0)))),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|SkipD|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,AddXD|AddXD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,AddTreeWithAdd,8,7,9,9,4
9,5*x*x*x+2*x+7,10,1,-0.15215712554244487,0.00245651339540094,0.07345488118603308,0.06415408892811796,-2041694079831173600000000000000000000,2722258773108230300000000000000000000,149996.525,249.49460027461856,0.9804625854682102,0.3575002685040491,0.7992527199092445,0.060223419984896796,-10208470399155866000000000000000000000,13611293865541154000000000000000000000,3133475,1180.0150068654634,(((((5)*(5))*((1)-(5)))*(((2)+(3))*((x)-(9))))*(((5)+((2)*(x)))-(((x)*(6))*((5)*((x)+(x)))))),(((((7)*(1))*((5)*((6)*(0))))+(((x)-(5))+((5)*((4)+(5)))))*((((6)+(9))*((8)/(x)))+(((4)+(9))*((4)+((7)*((x)-(2))))))),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|SkipD|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,AddXD|AddXD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,AddTreeWithAdd,7,8,10,10,4
10,5*x*x*x+2*x+7,10,1,-0.17166121006824397,-0.014180515912698128,0.034353184298240844,0.12517021533897177,-1856085527119248300000000000000000000,3093475878532080300000000000000000000,1976380.9934285711,137.43238250844442,0.9180592270369751,0.43106307159364554,0.9037675091800861,0.08725944777894314,-9280427635596242000000000000000000000,15467379392660402000000000000000000000,747125,1044.9095627111105,(((((5)*(7))*((9)*(9)))*(((3)*(8))*((x)+(x))))+(((2)+((5)*(6)))*((5)*((x)/((x)+(x)))))),(((((x)+(4))*((x)*(x)))+(((1)+(9))+((0)*(x))))*(((x)/((2)/(4)))+(((x)+(x))+((1)-((4)*(7)))))),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|SkipD|SkipD|AddTreeWithMult|MultXD|DivXD|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddXD|MutateNonTerminalR|AddTreeWithMult,AddXD|AddXD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,7,10,11,11,4
