gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.9087966918012609,0.12930411322554364,0.19609039636737413,0.39164248438107996,AddTreeWithMult,SkipD,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|DivXD|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult,SkipD|MutateTerminalR|AddXD|SkipD|AddTreeWithSub|DivXD|MutateTerminalR|SubXD|AddToLeafR|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|SubXD,0,0,30922690,30922690,(((((((((5)*(x))*(((((x)*(2))*(8))*(5))*(x)))+((2)*(((7)+((3)+(4)))+(7))))-((0)*(6)))*(x))*((1)-(8)))/(2))*(x)),((((((((((8)+(5))-((9)+(9)))/(((1)*(x))*((1)+((2)*((1)-(1))))))+(((x)*((1)-(5)))+(((6)-(4))+((x)/((x)-(x))))))+(x))-(x))-((1)*(5)))/(x))-(x)),5*x*x*x+2*x+7,2
2,-0.7548434254939435,0.15129564510402083,0.2235606566762041,0.36889937205138024,MultXD,SubXD,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|DivXD|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult,AddRandomSubTreeR|DivXD|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MutateTerminalR|SubXD|SubXD|AddTreeWithDiv|SubXD|MutateTerminalR|AddTreeWithAdd|SubXD|SubXD,0,0,62318794.6,62318794.6,(((((((((5)*(((7)*(6))*(x)))*((x)*(x)))+((2)*((((0)+(2))+(0))+(7))))-((x)*((8)-(6))))*(x))*((x)*(9)))/(6))*(x)),(((((((((((1)+((0)/(0)))*(((8)+(6))-(7)))*((((x)-(8))-(5))-((0)*(x))))+(((2)*((3)+(4)))+((2)*((0)+(((8)-(8))+(x))))))/((8)+(9)))-(x))-(x))-(x))-(x))-(x)),5*x*x*x+2*x+7,2
3,-0.585638076157354,0.11588084648149337,0.6241143960112077,0.39237959229106,MultXD,AddTreeWithDiv,MultXD|MultXD|AddRandomSubTreeR|AddXD|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|MutateTerminalR|MutateNonTerminalR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithMult|AddToLeafR,AddToLeafR|SkipD|ReplaceBranchXR|AddTreeWithMult|AddXD|AddToLeafR|MutateNonTerminalR|SkipD|SkipD|AddTreeWithDiv|AddTreeWithDiv|SubXD|MultXD|AddTreeWithDiv|MutateTerminalR,2,2,3924453226.8,3924453226.8,((((((((((((9)+(7))*(8))*((7)-((x)-(x))))*((x)*(x)))+(((2)-(2))*((x)+(7))))*(((4)+(9))+(x)))*(x))+(x))*(x))*(x))*(x)),((((((((5)*((2)*(4)))*(((8)/(x))-((x)-(9))))-((((7)*(4))*((5)+((1)/(6))))*((3)/(((8)-(0))+((5)/(0))))))*((x)*(8)))-(x))-(x))*(x)),5*x*x*x+2*x+7,2
4,-0.296098662306411,0.10020712141614398,0.7123990863753921,0.43812551794152066,MultXD,AddTreeWithDiv,MultXD|MultXD|AddRandomSubTreeR|AddXD|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithMult|AddToLeafR,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|SubXD|MutateTerminalR|AddToLeafR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithDiv,3,3,31411682570,31411682570,(((((((((((6)-(1))*(x))*((((6)+((x)*(x)))*(2))*((5)*(6))))+((((3)-(x))*(2))*(((3)+(6))+(7))))*(x))*((6)*(9)))+(x))*(x))*(x))*(x)),(((((((3)+(7))+(((((5)+(x))*((9)/(9)))*((3)*(0)))+(x)))*(((8)/((0)/(4)))-(5)))-(x))-(7))+(x)),5*x*x*x+2*x+7,2
5,0.1007174963041777,0.07491501550236827,0.8541342552067513,0.3657717251827202,MultXD,AddTreeWithDiv,AddTreeWithSub|MultXD|MultXD|SkipD|MultXD|SkipD|SubXD|AddTreeWithMult|MultXD|AddTreeWithSub|MultXD|SkipD|AddTreeWithAdd|AddXD|MutateNonTerminalR,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddXD|AddTreeWithDiv|ReplaceBranchXR|DivXD|AddToLeafR|SkipD|AddTreeWithDiv|SubXD|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,4,4,6088368700,6088368700,(((((((((((5)*(x))*((x)*((((2)-(9))*(x))-(7))))+((2)*((x)+((4)+(9)))))*(x))*(x))*(x))*(x))*(x))*(x))+(x)),((((((x)-(3))*(((6)*((1)*((7)-(4))))+((0)-((8)/((1)/(0))))))+((1)/(x)))/(x))-(x)),5*x*x*x+2*x+7,2
6,0.3308672377941334,0.1141225252422156,0.7930346250213229,0.4456334374142822,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|DivXD|AddTreeWithAdd|MultXD|SkipD|MultXD|MultXD|AddTreeWithSub|SkipD|AddTreeWithMult,DivXD|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddToLeafR|SkipD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddToLeafR,5,5,480905011,480905011,(((((((((((5)*((9)*(9)))*((x)*((4)+(8))))+((2)*((x)+(7))))-((x)+(9)))*(x))*(x))/((9)-(7)))*(x))*(x))*(x)),(((((((((((5)*(((8)/(0))+((4)-(0))))*((2)+((1)*(x))))+((((5)+(4))-((1)/(0)))+((5)*((8)*(x)))))+((((5)*(3))+((7)*(x)))-(((x)+(7))*(((4)-(0))*((x)*((x)*(x)))))))/(x))-(x))*(x))/(x))*(x))+(x)),5*x*x*x+2*x+7,2
7,0.5565584168140467,0.14891874847447098,0.8630054837710331,0.40245490765368447,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|DivXD|AddToLeafR|SubXD|MultXD|MultXD|MultXD|MultXD|AddTreeWithMult|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddXD|AddTreeWithDiv|ReplaceBranchXR|DivXD|AddToLeafR|SkipD|MutateTerminalR|AddToLeafR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,5,6,8152225264.3,8152225264.3,(((((((((((((((7)*(7))+(5))*(x))*((x)*((9)*(x))))+((2)*((x)+(7))))-((3)*(3)))*(x))*(x))/(x))-(x))*(x))*(x))*(x))*(x)),((((3)*(((0)/(0))+(0)))-(((3)/(4))+(1)))/((1)/(6))),5*x*x*x+2*x+7,2
8,0.6723588159625655,0.16654643129207516,0.9174044874973812,0.47759314794063407,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|DivXD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR,ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddXD|AddTreeWithDiv|ReplaceBranchXR|DivXD|AddTreeWithDiv|SubXD|MutateTerminalR|SubXD|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,7,7,2679261848.6,2679261848.6,((((((((((((((9)+(5))*(x))*((x)*(x)))+((2)*((x)+(7))))-(x))*((2)+(x)))*(x))*(x))-((2)+(x)))*(x))*(x))*(x))+(x)),((((((((5)*((7)/(8)))+(((6)*((0)/((0)/(3))))-(8)))*(((x)-((8)*(4)))-((2)+(6))))*((((9)-(3))/(0))+((2)+(5))))+(x))/(x))/(x)),5*x*x*x+2*x+7,2
9,0.6990308841773124,0.21336129562874073,0.9823888426426522,0.4883564759634079,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|DivXD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|AddXD|MutateNonTerminalR,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|SkipD|AddTreeWithDiv|DivXD|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,8,8,32980870344,32980870344,((((((((((((((5)*((9)+(3)))*((x)*(x)))*(((x)+(x))*((x)+(7))))-(x))*(x))*(x))/(x))-(x))*(x))*(x))*(x))*(x))+(x)),((((((4)/(1))+(3))*(((((8)/(8))*(8))/(0))/((8)*(7))))*((4)*(0)))/((0)/(4))),5*x*x*x+2*x+7,2
10,0.7949410849414222,0.24962592937927897,0.9900891324569774,0.49187675542783593,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|DivXD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|AddXD|MutateNonTerminalR,ReplaceBranchXR|DivXD|SkipD|SubXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithDiv|SubXD|MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithDiv|AddTreeWithDiv,9,9,70938192481.6,70938192481.6,(((((((((((((((7)+(7))*(x))*((x)*(x)))*(((9)+(x))*((x)+(7))))-(x))*(x))*(x))/(x))-(x))*(x))*(x))*(x))*(x))+(x)),((((((((x)+(x))*(((4)/(0))*((x)*(((4)*((6)/(5)))+(5)))))+(((2)*(x))-(((2)/(4))*(((9)/(8))+(1)))))*((((3)-(x))*((2)-(5)))+(((x)+(9))*((x)*((x)*(((9)+(6))+(5)))))))+(x))-(3))+(x)),5*x*x*x+2*x+7,2
11,0.8208191251446599,0.25581285934180675,0.9937729402173283,0.5711223828583737,MultXD,AddTreeWithDiv,SubXD|MultXD|MultXD|SkipD|SkipD|AddTreeWithAdd|DivXD|AddTreeWithAdd|SubXD|MultXD|MultXD|MultXD|MultXD|AddXD|MutateNonTerminalR,ReplaceBranchXR|ReplaceBranchXR|SkipD|SubXD|AddTreeWithDiv|ReplaceBranchXR|DivXD|AddTreeWithDiv|SubXD|MutateTerminalR|AddToLeafR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv,9,10,13242999427.5,13242999427.5,((((((((((((((5)*(x))*((x)*(x)))*(((1)+(8))*((x)+(7))))-(x))*((7)+(3)))*(x))/(x))-(x))*(x))*(x))*(x))*(x))+(x)),(((((((((0)+((6)+(4)))-((x)+(x)))*(((x)*(x))+((2)*((x)+((4)*(9))))))-((((x)*(1))+(((9)/(5))*(x)))*(((x)-(((6)/(7))/((1)*(3))))*((x)*(((5)/(8))*(x))))))+((5)/(0)))/(x))-(x))-(x)),5*x*x*x+2*x+7,2
