gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.8925902508963746,0.09938583662117964,-0.2387477025224674,0.41758684438783944,MultXD,SkipD,SkipD|MutateTerminalR|MultXD|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|SkipD|DivXD|SubXD|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddTreeWithMult|MultXD,AddTreeWithDiv|AddTreeWithMult|SkipD|AddXD|DivXD|AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|MutateTerminalR|SkipD|SubXD|AddXD|SubXD|DivXD|MutateNonTerminalR,0,0,43682652.9,43682652.9,((((((((((5)*((2)+((8)*(x))))*(((6)*(8))*(x)))+((9)*((x)+(((x)+(0))+(9)))))*(x))*(x))/(x))-(x))*(x))*(x)),(((((((((((9)*(7))-((0)*((1)*(7))))*(((6)-((3)+(x)))*((x)+((2)*(5)))))-(((7)-((7)*(5)))*((((4)*(2))+(x))+(((0)/(5))/((x)-(x))))))+(x))/(x))-(x))+(x))-(x))/(x)),5*x*x*x+2*x+7,3
2,-0.7787101740800615,0.14781593431086695,0.21560205238501637,0.3809474364837151,MultXD,ReplaceBranchR,SkipD|MutateTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|MultXD|SkipD|DivXD|SubXD|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddTreeWithMult|MultXD,SubXD|AddXD|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddXD|AddRandomSubTreeR|MultXD|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult,1,1,12646303.6,12646303.6,((((((((((5)*((5)*(x)))*(((x)/((2)*(1)))*((8)+(x))))+((2)*((x)+(7))))*(((7)+(x))+(8)))*(x))/(x))-(x))*(x))*(x)),((((((x)-((9)/(9)))+(x))+(x))+(x))*((4)/((0)*(1)))),5*x*x*x+2*x+7,3
3,-0.5489523069167314,0.19059480205865384,0.5615234036048816,0.4979721714521093,MultXD,AddTreeWithDiv,SkipD|MutateTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|MultXD|SkipD|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddTreeWithMult|MultXD,DivXD|DivXD|AddToLeafR|DivXD|AddTreeWithDiv|SkipD|SubXD|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult,2,2,465734976.6,465734976.6,((((((((5)*((x)-(5)))*(((9)+(7))*((7)*((8)*(9)))))+((2)*(((4)+(2))+((1)/(2)))))*((6)+(5)))*(x))*(x))*(x)),(((((((((x)-((x)/(8)))/((1)+((4)/(1))))*((((4)+((7)+((5)*(4))))+(1))/(((5)-(5))*(x))))*(((x)+(((4)/(x))*(0)))*((x)*((4)+((x)*((2)/(5)))))))/(x))/(x))/(x))-(x)),5*x*x*x+2*x+7,3
4,-0.224185595337843,0.20476402851012143,0.7616504332775236,0.4361446999865432,MultXD,AddTreeWithDiv,SkipD|AddTreeWithSub|AddTreeWithDiv|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|MultXD|SkipD|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddTreeWithMult|MultXD,DivXD|DivXD|AddToLeafR|DivXD|AddTreeWithDiv|SkipD|SubXD|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult,3,2,372798498.2,372798498.2,(((((((((9)*((8)+(7)))*(x))*(((x)-(2))*((5)+(4))))+(((x)/(4))*((x)+((7)*(7)))))*((2)+((9)+(7))))*(x))*(x))*(x)),(((((((((5)*(((5)*(5))-(x)))*((x)*((x)+(2))))*(((((8)/(5))/(9))+(9))*((9)+((2)-(x)))))-((((x)+(7))*(((4)+(2))*(x)))/(((3)+(4))-((x)*(((6)/(1))*(x))))))/((0)+(9)))/(x))/(x))-((x)/(0))),5*x*x*x+2*x+7,3
5,0.14501120097781947,0.2188171524159468,0.7987453251069134,0.44628208509773776,MultXD,AddTreeWithDiv,MultXD|MutateTerminalR|AddXD|SubXD|AddXD|AddToLeafR|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MultXD|AddTreeWithMult|MultXD,DivXD|DivXD|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddXD|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv,4,4,2001252790.5,2001252790.5,((((((((((((5)*(x))*(((7)*(8))*((((0)+(9))+(x))+(9))))+((2)*((x)+(7))))*((x)*((9)+(3))))+(x))-(x))+(x))+(x))*(x))*(x))*(x)),(((((((((2)*(3))/((1)*(8)))+(((5)/((3)-(8)))/((1)*((4)/((7)/(0))))))*(((((6)-(3))*(6))+(((2)+(1))-(5)))+((x)*(((1)+(8))*(((7)/(2))*(x))))))+(x))/((0)/(8)))/(x))+(x)),5*x*x*x+2*x+7,3
6,0.4449950535382182,0.24466895047538167,0.8691622489935833,0.5037481267527457,MultXD,AddTreeWithDiv,MultXD|MutateTerminalR|AddXD|SubXD|AddXD|AddToLeafR|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MultXD|AddTreeWithMult|MultXD,DivXD|DivXD|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|DivXD|SkipD|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult,4,4,1252529718.7,1252529718.7,((((((((((((5)*((3)+(0)))*((((7)*(9))*((3)+(7)))*(x)))+((2)*((7)+(7))))*(x))+((3)+(4)))-(x))+(x))+(x))*((6)*(x)))*(x))*(x)),(((((((((8)/(4))*((0)-((7)*(7))))*(((x)+(x))*(((1)/(5))+((8)+(((x)/(0))*(3))))))-((((5)*((6)/(0)))-((9)+(5)))*(((x)*(0))+(((4)*(4))*((x)*((9)*(3)))))))/(x))/((6)/(9)))/(x))*((2)/(7))),5*x*x*x+2*x+7,3
7,0.6172247964611001,0.26863737134324756,0.9242411341392867,0.49020273402075476,MultXD,DivXD,MultXD|MutateTerminalR|AddXD|SubXD|AddXD|AddToLeafR|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MultXD|AddTreeWithMult|MultXD,DivXD|DivXD|SkipD|DivXD|AddTreeWithDiv|AddTreeWithAdd|DivXD|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult,6,5,282096581.4,282096581.4,(((((((((((((4)+(9))*((x)+(x)))*(((6)*(x))*(x)))+((2)*(((0)*(x))+(7))))*(x))+(x))-((4)+((3)-(x))))+(x))+(x))*(x))*(x))*(x)),((((x)*(4))/((7)*(8)))/(((3)/(0))/(3))),5*x*x*x+2*x+7,3
8,0.6913322630148647,0.29679868255990227,0.974459680224034,0.5512534563769464,MultXD,AddTreeWithDiv,MultXD|MutateTerminalR|AddXD|SkipD|MultXD|MultXD|AddTreeWithAdd|AddXD|AddTreeWithAdd|MultXD|MultXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|AddXD,DivXD|DivXD|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddXD|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,7,7,135611173761.4,135611173761.4,((((((((((((((2)+(7))*(x))*((x)*((9)+(7))))*((2)*((x)+(7))))*(x))+(x))*(x))*(x))+(x))*(x))*((7)+(9)))*(x))+(x)),((((((((((6)*(9))*(8))+((x)*(((9)/(0))+(3))))-(((3)+((5)/(9)))+((x)+((7)+(8)))))*((((2)/(8))-((x)+((0)/(2))))*(((x)+((5)/((0)+((5)+(2)))))+((x)*(((x)*(9))*(x))))))/((x)*(4)))/(x))/(x))+((x)/(2))),5*x*x*x+2*x+7,3
9,0.7384458617202512,0.3218755904944721,0.9750771782732276,0.49497221644878636,MultXD,AddTreeWithDiv,MultXD|MutateTerminalR|AddXD|SkipD|MultXD|MultXD|AddTreeWithAdd|AddXD|AddTreeWithAdd|MultXD|MultXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|AddXD,DivXD|DivXD|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchXR|DivXD|MultXD|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult,7,8,67931367533.3,67931367533.3,(((((((((((((5)*(x))*(((2)+(3))*(x)))*((9)*(((3)+(8))+(7))))*(x))+((8)+(0)))*(x))*(x))+(x))*(x))*(x))*(x))+(x)),((((((((((2)+(1))*((x)+(5)))*((((0)/(2))+(x))+((2)*(((5)/(x))+(8)))))+((((3)+(8))*((6)-((7)+((2)/(4)))))+(((x)*(1))*(((2)*((2)*(7)))*(((6)/(0))*(x))))))/(x))/((0)/(1)))/(x))/(x))*(x)),5*x*x*x+2*x+7,3
10,0.8022763848016377,0.31251083229884463,0.9597221851187853,0.4977885128286637,MultXD,AddTreeWithDiv,MultXD|MutateTerminalR|AddXD|SkipD|MultXD|MultXD|AddTreeWithAdd|MutateNonTerminalR|SkipD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD|SkipD,DivXD|DivXD|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddXD|ReplaceBranchXR|DivXD|MultXD|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,9,9,829905064752,829905064752,((((((((((((5)*(x))*((x)*(4)))*(((7)+((7)+(2)))*((x)+(7))))*(x))+(x))*(x))*(x))*(x))*(x))*(x))*(x)),((((((((((2)+(9))+((7)*((x)*(1))))*(((x)-(3))+((x)*(8))))+((((0)*(x))+((1)*(x)))*(((9)/(0))*((x)*((x)*((0)/(7)))))))/((6)+(6)))/(x))/(x))+(x))/((9)/(8))),5*x*x*x+2*x+7,3
11,0.8304374154508549,0.34812470026150505,0.9993431196057314,0.5705698271180524,MultXD,AddTreeWithDiv,SkipD|MutateTerminalR|AddTreeWithMult|SubXD|MultXD|AddRandomSubTreeR|MultXD|SkipD|AddTreeWithAdd|MultXD|MultXD|MultXD|AddToLeafR|MultXD|MultXD,DivXD|DivXD|AddToLeafR|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,10,10,226922806287.8,226922806287.8,(((((((((((((x)*(6))*((8)*(6)))*((x)*(5)))+((2)*((x)+(((6)*(9))+(3)))))-(x))*(x))*(x))*(x))*(x))*(x))*(x))*(x)),(((((((((((5)*(x))*(((3)/(x))-(4)))+(((2)*(5))*((x)+((3)+(1)))))*((((x)+(9))*((7)+(9)))*(((x)+(0))*(((9)/(9))*((x)*((0)/(x)))))))/(x))/((3)+((1)/((6)*(3)))))/(x))+((4)/(0)))/(x))*(x)),5*x*x*x+2*x+7,3
