gen,avgA,avgP,topA,topP,topABest,topPBest,topASD,topPSD,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topABestDelta,topPBestDelta,topAEquation,topPEquation,spec,run
1,-0.980371257966325,0.1791719489339344,-0.9750449199607971,0.18708483066535986,0,0,0.0007700171852189357,0,SkipD,DivXD,SkipD|SubXD|AddToLeafR|MultXD|ReplaceBranchXR|SkipD|ReplaceBranchXR|ReplaceBranchXR|SkipD|SkipD|SubXD|AddToLeafR|AddToLeafR|ReplaceBranchXR|ReplaceBranchR,AddTreeWithSub|AddTreeWithMult|MultXD|AddXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|DivXD|SubXD|DivXD|AddToLeafR|ReplaceBranchR|AddXD|ReplaceBranchXR|MultXD,0,0,1528.5,1492,(((((5)-(5))*(x))*(x))-((3)-(5))),((((((x)*(1))-(x))/(x))+(x))*(x)),5*x*x*x+2*x+7,2
2,-0.9821255237421114,0.5796422225455655,-0.9750239216616625,1,0,0,0,0,AddTreeWithMult,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,1,0,1530.5,0,(((((0)*(5))/(6))-((8)*(0)))/((3)*(6))),((((((((6)+(3))*((2)/((5)-(7))))*((2)*((1)-((x)*(0)))))/((1)*((8)+((x)-(2)))))/(x))/((0)/(1)))+((1)+(x))),5*x*x*x+2*x+7,2
3,-0.9831337214729081,0.1987786863500648,-0.9787674429458161,0.2244385662098759,0,0,0.06290742352605334,0,AddTreeWithMult,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,1,0,1516.5,1342.7,((((6)+(8))*(x))/(x)),((((7)*(6))*(9))+((4)+(((6)+(3))+(0)))),5*x*x*x+2*x+7,2
4,-0.5668966413018697,0.17972067951649784,-0.171997238347531,0.18730262441467926,0,0,0.016478367763685182,0,AddTreeWithMult,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,1,2,165910.8,1471.2,((((((x)+(7))*((x)*((((x)*(8))*(x))*(9))))+((2)*((x)+(7))))*((8)-(4)))/((4)*(2))),(((((6)+(8))+((6)+((7)*(6))))+(7))+(x)),5*x*x*x+2*x+7,2
5,-0.9875398455608967,0.19829502578440833,-0.9750796911217934,0.2051344876402047,0,0,0.0497816110244041,0,SkipD,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SkipD|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,4,4,1530.5,1395.2,((8)-(8)),(((((6)*(x))+((x)+(x)))*((0)+(3)))+(x)),5*x*x*x+2*x+7,2
6,-0.9752391229523498,0.19014483410367783,-0.975028705993995,0.2000163345311989,0,0,0.021906988919478718,0,SkipD,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SkipD|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,5,5,1530.5,1440.8,((((((5)*((7)*(7)))*(((3)*((x)+(0)))*(x)))+((x)*(7)))*((0)/(8)))/(x)),((((8)*((8)+(8)))-((x)*(1)))+((2)+(6))),5*x*x*x+2*x+7,2
7,-0.9830636132760847,0.16928795748194353,-0.9786272265521694,0.16994580464805314,0,0,0.0003573892183276072,0,SkipD,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SkipD|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,6,6,1528.014761904762,1524.0134037001044,((((x)-(2))*(((2)*(6))/(2)))/((1)*(x))),(((((((((1)+(x))*((x)-(2)))-(((1)/(4))*((5)-(5))))/((1)+(6)))+((7)-(1)))/(x))/(x))+(x)),5*x*x*x+2*x+7,2
8,-0.9739839565086624,0.27725272307006216,-0.9729552083819479,0.376221297895179,0,0,0.2974052499808657,0,SkipD,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SkipD|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,7,6,1785.5222222222224,759.4,(((((3)-(3))+((2)*((x)+(5))))*((x)-((7)*(8))))/(x)),((((8)+(7))*((((7)+(9))+(0))*(x)))+(x)),5*x*x*x+2*x+7,2
9,-0.9749873384696359,0.2076857138247751,-0.9749473723443423,0.23750068060546659,0,0,0.10234009652300399,0,SkipD,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SkipD|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,6,7,1536.9437301587302,1267.5,(((((7)+(2))-((8)*(4)))+(1))/(x)),((((((((6)-(5))*(1))/((x)-(8)))*((0)/((x)-((9)+(5)))))/(x))/((2)*(4)))+(x)),5*x*x*x+2*x+7,2
10,-0.9690554557334204,0.7839758248938256,-0.9610911466840901,1,0,0,0,0,AddTreeWithMult,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SkipD|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,6,9,3261,0,((((((x)*((1)/(x)))*(((6)*((3)*(5)))*(x)))+(((x)+(9))*((x)+(7))))*((x)*(7)))/(x)),(((((((x)-(0))-(((3)+((x)+(6)))-(6)))*((x)*((6)*(1))))/((4)/(0)))/(x))+(x)),5*x*x*x+2*x+7,2
11,-0.975046085902781,0.1758312940291204,-0.9750126012481656,0.1835456822389197,0,0,0.019635438223082842,0,SkipD,AddTreeWithAdd,SkipD|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SkipD|AddTreeWithDiv|DivXD|AddTreeWithMult|SkipD|AddTreeWithMult|ReplaceBranchR,AddTreeWithSub|AddTreeWithDiv|DivXD|DivXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddRandomSubTreeR,10,9,1530.2071031746032,1474,((((6)-(5))-(0))/(x)),(((5)*((x)-((x)+(3))))+(((1)+(x))*((8)+(3)))),5*x*x*x+2*x+7,2
