gen,avgA,avgP,topA,topP,topABest,topPBest,topASD,topPSD,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topABestDelta,topPBestDelta,topAEquation,topPEquation,spec,run
1,-0.9386344331917674,-0.07062800053657228,-0.9021341065011435,0.13399760426875745,0,0,0.041195919409213,0,SkipD,AddXD,MutateTerminalR|AddTreeWithDiv|SubXD|DivXD|AddToLeafR|AddXD|AddTreeWithMult|AddTreeWithAdd|SubXD|MutateNonTerminalR|SkipD|AddXD|AddTreeWithMult|SkipD|MultXD,DivXD|ReplaceBranchR|AddRandomSubTreeR|AddXD|AddRandomSubTreeR|SubXD|AddXD|AddToLeafR|AddToLeafR|SubXD|AddTreeWithSub|SubXD|MutateNonTerminalR|SkipD|AddXD,0,0,10833.5,1537,((((((((((5)*(x))*((6)*((6)/(5))))+(((9)-(4))*(((2)*(5))+(7))))-((6)*(8)))*(x))+((5)+(4)))-(x))+(x))*(x)),(((((((((1)-(2))*(3))+((2)+((x)-(x))))-(x))+(x))-(x))-(x))+(x)),5*x*x*x+2*x+7,5
2,-0.9752420835861296,0.1688956495698573,-0.975083154431325,0.20913644778394858,0,0,0.03734583348311834,0,ReplaceBranchXR,AddXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|ReplaceBranchR|AddTreeWithSub|AddXD|AddXD|AddXD|MultXD,1,0,1530.8357936507934,1404,(((x)-(8))/((x)*(4))),(((((((5)-(6))+(3))+(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
3,-0.9751429271479909,0.15466721417595308,-0.9751143417183927,0.16928699771316558,0,0,0.02593995392706285,0,ReplaceBranchXR,SubXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|SubXD|AddTreeWithSub|SubXD|AddXD|AddXD|MultXD,1,1,1533,1492,(((((7)*(0))*(6))-((x)+(1)))+(4)),(((((((((x)+(x))-((1)-(1)))-(x))-(x))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
4,-0.977034400231017,0.14813718283785252,-0.9757162691930741,0.16666666666666663,0,0,0.04774106548357393,0,ReplaceBranchXR,SubXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|SubXD|AddTreeWithSub|SubXD|AddXD|AddXD|MultXD,3,2,1514,1468.5,(((x)*(5))-((x)*(2))),(((((((((((((x)+(8))*((x)+(4)))+((x)-((x)-(6))))+(x))/(x))-(x))-(x))-(x))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
5,-0.9751303482625764,0.1747131247958183,-0.9751293150386584,0.2031641348143308,0,0,0.07702578155893154,0,ReplaceBranchXR,SubXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|SubXD|AddTreeWithSub|SubXD|AddXD|AddXD|MultXD,3,4,1529,1363.4375,(((x)-(4))+((x)-(x))),((((((((((((x)*(4))*(((0)+(x))+((8)*((4)/(x)))))+(x))/(8))-(x))-(x))-((9)-(2)))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
6,-0.9759008946072711,0.1619853902454904,-0.9750011113314976,0.17415332679952084,0,0,0.023293019852872777,0,ReplaceBranchXR,SubXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|SubXD|AddTreeWithSub|SubXD|AddXD|AddXD|MultXD,5,5,1534,1486.5,((x)-(9)),((((((((x)-(1))-(x))-((6)-(8)))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
7,-0.9751523096500162,0.16092689389814507,-0.9749905902064174,0.21008929543722094,0,0,0.12070019378306801,0,ReplaceBranchXR,SubXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|SubXD|AddTreeWithSub|SubXD|AddXD|AddXD|MultXD,6,6,1531.65213512625,1294,((((x)*(8))+(x))/((5)-((8)+((x)*(7))))),(((((((((x)*(8))-((8)-(2)))-(x))-(x))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
8,-0.9751512201635527,0.19447976282960236,-0.9750150536965303,0.33500535409633747,0,0,0.26809752505866413,0,ReplaceBranchXR,SubXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|SubXD|AddTreeWithSub|SubXD|AddXD|AddXD|MultXD,7,6,1531.1568253968253,873.1583333333332,((((((5)-((2)-(2)))*(((x)+((6)*(9)))*((x)-(x))))+((x)-((x)*(4))))+(8))/(x)),(((((((((((((4)*(8))*((x)*(5)))+((5)/((x)-((3)-((5)-(9))))))+(x))/(x))-(x))-(x))-(x))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
9,-0.9752933215102442,0.1426412936948709,-0.9750925234517198,0.15972449090711094,0,0,0.047933569779878685,0,ReplaceBranchXR,SubXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|SubXD|AddTreeWithSub|SubXD|AddXD|AddXD|MultXD,6,6,1530.1714285714286,1481,(((x)+(6))/((0)+((7)*(5)))),((((((((x)+(1))-(x))-((x)-(8)))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
10,-0.9760625968757911,0.15366710225416524,-0.9749911452639524,0.17143090493302837,0,0,0.014437822222855034,0,ReplaceBranchXR,SubXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|SubXD|AddTreeWithSub|SubXD|AddXD|AddXD|MultXD,8,9,1531.584173881674,1503,(((((x)*(6))*(0))+(x))/(((x)+(3))-((8)+(8)))),((((((((x)-(6))-((2)-(6)))-(x))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
11,-0.9749759935867519,0.3527539241766618,-0.9749264946096048,0.57734400522705,0,0,0.5977258400261979,0,ReplaceBranchXR,SubXD,ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR,MutateNonTerminalR|AddXD|DivXD|MutateTerminalR|MutateTerminalR|SubXD|SkipD|ReplaceBranchXR|SubXD|SubXD|AddTreeWithSub|SubXD|AddXD|AddXD|MultXD,9,10,1572.5,0,(((x)-(9))-((x)*(7))),((((((((((((x)*(4))+((x)-((1)-(0))))+(x))/(0))-(x))-(x))-(x))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,5
