avgA,avgP,topA,topP,topAEquation,topPEquation
-0.6856844548440929,0.16986089422719494,-0.570777600233562,0.24802109099111708,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),(((((((((9)*(2))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9269032818147404,0.1918984129195241,-0.8750952449661125,0.4022542114087244,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.8699126966790939,0.08519915942705417,-0.7914521493202913,0.24302389801495083,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.7449333364370408,0.05802155331360455,-0.5329266978685073,0.07759953717476578,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.8692645840068064,0.0137865285112439,-0.8107615490178495,0.07187825407730657,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9517999456784245,-0.04904274800877251,-0.9323194819046003,-0.02107565965424647,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9611894898050103,0.2034286246815787,-0.9466583822199158,0.3316506156708595,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.845716504825932,0.1820560744101834,-0.7216392442572166,0.2584304554447619,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.950647141240975,0.1656959713381284,-0.9375961270307972,0.2355848502396467,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9527534428206552,0.18897991469503994,-0.9291341323523659,0.4448519585880743,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
