gen,avgA,avgP,topA,topP,topABest,topPBest,topASD,topPSD,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topABestDelta,topPBestDelta,topAEquation,topPEquation,spec,run
1,-0.9750612789613832,0.28215180224327563,-0.9750286343683723,0.36292605902210606,0,0,0.27755269441216496,0,SkipD,MultXD,AddRandomSubTreeR|AddToLeafR|SkipD|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,0,0,1529.8579365079365,809.6,(((((((((x)*(1))-(4))+(2))+(((3)-(5))*((8)+(1))))/(x))+(x))+(x))-(x)),(((((((((9)*(2))*(x))+(x))/(x))*(x))*(x))*(x))/(x)),5*x*x*x+2*x+7,1
2,-0.8779108076258925,0.11028026141464019,-0.7749648690903999,0.46591527823151474,0,0,0.4232014449963264,0,AddTreeWithSub,MultXD,AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,1,0,25860.55142857143,431.3,((((((((x)-(6))*(((4)*((0)-(9)))*((x)+(7))))+((2)*((x)+(((9)-(2))+(4)))))/(x))*((8)*(9)))+(x))-(x)),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x)),5*x*x*x+2*x+7,1
3,-0.9794794534932562,-0.1690374756789003,-0.9714548233537126,0.05325443786982248,0,0,1.3389004140810368,0,AddTreeWithSub,MultXD,AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,2,0,2223.5,0,((((((((4)+(7))-(4))+(((9)-(x))*((((1)-(3))-(9))+(4))))*(x))*((9)*(2)))+(x))-(x)),((((((((((9)*(8))+(((7)/((0)*(((4)*(6))*(8))))*((x)+((x)-((0)*(9))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x)),5*x*x*x+2*x+7,1
4,-0.7808992159425024,-0.392340740046742,-0.63171839268213,-0.3688243468159756,0,0,0.7827092209082914,0,AddTreeWithSub,MultXD,AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,3,3,39280.4,1497.5,(((((((((2)-(3))*(((x)-(9))+(x)))*((x)*((((4)-(0))*(2))*(x))))+((2)*((x)+(7))))/(x))*((x)+(x)))+(x))*(x)),((((((((2)-(3))+(x))/(x))*(x))*(x))*(x))/(x)),5*x*x*x+2*x+7,1
5,-0.908258599125973,-0.5295524319210954,-0.8489024481702732,-0.3961230774789154,0,0,0.8006360945260614,0,AddTreeWithSub,MultXD,AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,4,4,16923.5,1524.3557142857144,((((((((((5)+(4))-(7))+((1)*(((7)-(0))*(x))))*((x)*(x)))+((x)*(2)))/(x))*(x))+(x))*(x)),(((9)*(4))/(x)),5*x*x*x+2*x+7,1
6,-0.9633758820183888,-0.9007805244299666,-0.9565430904007108,-0.8031876635462951,0,0,0.05000672251644465,0,AddTreeWithSub,MultXD,AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,1,3,3819,7910.5,(((((((((x)+((7)+(4)))*((4)-(6)))*((x)*((4)+(8))))+(((((6)-(0))+(1))+(0))*((x)+(7))))/(x))*(x))+(x))-(x)),((((((((((((x)+(7))+((4)*(4)))-(((6)*(x))*((4)*(((0)+(1))+(6)))))-((x)+(x)))-(x))+(x))/(x))*(x))*(x))*(x))/(x)),5*x*x*x+2*x+7,1
7,-0.9340178704308686,0.28531968038767286,-0.9141277042723874,0.3440461390008106,0,0,0.2492737063381683,0,AddTreeWithSub,MultXD,AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,5,5,8917,881,((((((((5)*((6)+(7)))*(((4)-(7))*(7)))+(((7)-((6)+((0)-(3))))+((5)*(5))))-(x))*(x))+(x))-(x)),(((((((((6)*(3))*(x))-(x))/(x))*(x))*(x))*(x))/(x)),5*x*x*x+2*x+7,1
8,-0.9418980725253185,0.20822639345462934,-0.8965329957530219,0.2507895023412828,0,0,0.11819763793110644,0,AddTreeWithSub,MultXD,AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,7,5,11018,1222.5,(((((((((6)-(4))-((8)*(4)))*((x)*(x)))+(((2)-(4))*((x)+((((4)+(8))-(x))*((2)+(4))))))/(x))*(x))*(x))-(x)),(((((((((1)+(6))*(x))+(x))/(x))*(x))*(x))*(x))/(x)),5*x*x*x+2*x+7,1
9,-0.9717061964482334,0.0892252050414664,-0.9680239184206842,0.17728411194598712,0,0,0.018865421037863907,0,AddTreeWithSub,MultXD,AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,7,7,2254.5,1486.5,((((((((5)-((6)*((2)*(2))))*((x)*(x)))+((7)-((((6)-(2))+(1))-(x))))/(x))*(x))+(x))-(x)),((((((((9)-(8))+(x))/(x))*(x))*(x))*(x))/(x)),5*x*x*x+2*x+7,1
10,-0.9313280246106936,-0.34550732719080685,-0.8873366546880105,0.17115866274637914,0,0,0.01905792533416863,0,AddTreeWithSub,MultXD,AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|SkipD|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|SubXD|MutateNonTerminalR|AddTreeWithSub|SkipD,AddTreeWithMult|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|SkipD|AddTreeWithMult|DivXD|MultXD|MutateNonTerminalR|MultXD|MultXD|DivXD|ReplaceBranchR,7,9,12270,1497.5,((((((((5)*(x))*((x)*((((0)+(0))-((6)*(8)))-(x))))+((x)+(9)))/(x))*(x))-(x))-((0)-(4))),((6)*(x)),5*x*x*x+2*x+7,1
