gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-1.2269308624514281,-0.7483436458854504,-0.1884715230680418,0.3600095959322904,NaN,NaN,668148270.2985979,979.5053134256298,0.998781511408048,0.1456386801698792,1.1839343541813137,0.1532485876916265,NaN,8502.778812710243,37681928.5,1307.6,(((((9)+(8))*((x)*((x)*(5))))*(((5)*(5))*((0)+((x)+(5)))))+((((4)+(6))*((6)-(4)))-(((x)-(x))*((7)*((x)+(x)))))),(((4)*((8)*(x)))+((3)+(x))),AddTreeWithAdd|AddTreeWithDiv|SubXD|AddRandomSubTreeR|AddTreeWithMult|SubXD|MultXD|MultXD|AddTreeWithMult|MutateTerminalR|ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|AddXD|AddToLeafR,AddToLeafR|AddToLeafR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchR|AddRandomSubTreeR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|SkipD|AddToLeafR|AddRandomSubTreeR|AddXD|SkipD,SubXD,ReplaceBranchR,0,0,1,1,0
1,5*x*x*x+2*x+7,10,1,-0.9941091873055791,-0.33989418217783873,0.029884276157084503,0.3219539613398809,NaN,NaN,2845505.049547973,1037.749462169312,0.9990992469398379,0.4309049330284221,0.979240117205001,0.0855320400983031,NaN,3402823466385288500000000000000000000,50974015,871,(((((9)*(6))*((6)*((x)*(7))))+(((6)*(x))+((0)*((2)/(x)))))+((((1)*(x))+((9)*(6)))-(((x)-(x))*((8)*((5)*((x)+(x))))))),(((((5)*(2))*((2)+(2)))+(((7)-(5))+((9)+((5)+(4)))))*(((x)+((1)+(1)))+(((4)*(2))*((8)-((x)-(1)))))),AddTreeWithAdd|AddTreeWithDiv|SubXD|AddRandomSubTreeR|AddTreeWithMult|SubXD|MultXD|MultXD|AddTreeWithMult|MutateTerminalR|ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithSub|SkipD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR|AddTreeWithAdd,MultXD,AddRandomSubTreeR,0,1,2,2,0
2,5*x*x*x+2*x+7,10,1,-0.9491813683556803,-0.2794300651675395,0.1688089443299951,0.42209746405171183,NaN,NaN,6492372.094411564,884.4798312688549,0.9971900071108151,0.4456060111074812,0.8658664128576153,0.1861561462621834,NaN,NaN,16339899,848.5,(((((5)*(x))*((x)+(7)))*(((x)+(x))*((6)*((x)+(4)))))*(((8)*((x)*(1)))+(((7)+(4))*((5)-((x)*(x)))))),((((7)*((x)*(1)))+((2)*((1)-(5))))+(((6)-(1))-((1)-((x)+((5)*(x)))))),AddTreeWithDiv|SkipD|AddToLeafR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|SubXD|MultXD,SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|ReplaceBranchXR|MultXD|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,2,2,3,3,0
3,5*x*x*x+2*x+7,10,1,-0.8696643592734911,-0.17103032904290824,0.340640982321595,0.42134923520819645,NaN,NaN,12628938.415247813,885.6249955138555,0.99719232610227,0.9850375694217576,1.3187726104738817,0.24866221824162443,NaN,NaN,16353394.9,22.9,(((((5)*(x))*((x)*(2)))+(((2)+(9))*((4)*((4)+(3)))))-((((1)+(1))*((x)+(7)))*(((x)*(x))-((x)-((x)*(x)))))),((((x)*((5)-(4)))+((3)*((0)+(x))))-(((x)-(5))-((8)*((x)+(2))))),AddTreeWithDiv|SkipD|AddToLeafR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|SkipD|AddToLeafR|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|ReplaceBranchXR|MultXD|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,3,2,4,4,0
4,5*x*x*x+2*x+7,10,1,-0.7498804135012844,-0.19186852905084342,0.7780700981758802,0.5009174288697746,NaN,NaN,43753457.23000331,763.8458751148099,0.9980177664936268,0.8758575628879451,1.2958112652217189,0.23521526228012202,NaN,NaN,23163265,190,(((((5)*(x))*((3)*((9)*(9))))*(((7)+(4))-((0)*((6)/(9)))))*((((3)+(7))*((x)*(6)))-(((3)*(3))-((x)-((x)*(x)))))),(((x)+((4)*(3)))*((x)*(x))),AddTreeWithDiv|SkipD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|SkipD|AddToLeafR|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,4,4,5,5,0
5,5*x*x*x+2*x+7,10,1,-0.5122633926771247,-0.18372654021680518,0.9731217613670899,0.5479192651944953,NaN,NaN,323604534.8720913,691.9095646198248,0.9999265750279337,0.22933681803332245,1.3104168922746762,0.043393232582329695,NaN,4537097955180385000000000000000000000,625332209.3,1179.5,(((((5)*(x))*((5)*((9)*(x))))+(((2)*(6))-((x)-((x)+(9)))))/((((6)*(x))*((7)*(2)))*(((9)-(0))*((x)-((x)-((x)*(x))))))),((((x)-(2))*((x)+((2)*(7))))+((3)+((6)-((x)+(x))))),AddTreeWithDiv|SkipD|AddToLeafR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|SkipD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,AddXD|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SubXD|MutateTerminalR|AddRandomSubTreeR|AddXD|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR,MultXD,ReplaceBranchXR,5,5,6,6,0
6,5*x*x*x+2*x+7,10,1,-0.30752562424887087,-0.19292802951877275,0.9964631714567485,0.523775991155193,NaN,NaN,374893600.58694047,728.860845536977,0.9990511709215205,0.3149297615158445,1.0761051606276477,0.07688232334338112,NaN,NaN,48391223.5,1048.5,(((((5)*(9))*((5)*((4)-(9))))*(((9)+(8))+((5)*((1)*(2)))))-((((3)+(x))-((3)*(x)))*(((x)*(x))-((x)-((x)*(x)))))),(((((5)*(x))-((2)-((4)*(2))))+(((7)*((x)*(3)))-((3)*((4)*(1)))))+((((3)*(4))*((4)*(x)))-(((3)*(0))-((x)/((x)-((x)-(x))))))),AddTreeWithDiv|SkipD|AddToLeafR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|SkipD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithSub|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd|DivXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithSub|ReplaceBranchXR|SubXD|SubXD,MultXD,SubXD,5,6,7,7,0
7,5*x*x*x+2*x+7,10,1,-0.19131254990880062,-0.18024678066399885,0.9965029043793802,0.5557405568115716,NaN,NaN,1043069209.7229999,679.9390777998897,0.9997083617903426,0.5671933126947828,0.7662823008176516,0.10084516708825143,NaN,NaN,157438217.9,662.410634920635,(((((5)*(5))*((x)*((4)+(2))))+(((9)*(x))+((2)*((x)+(2)))))/((((4)*(x))*((8)+(7)))-(((2)-(6))*((x)-((x)-((x)*(x))))))),(((((0)+(8))*((x)-(8)))+(((0)+(x))+((6)*((x)*(x)))))*((((x)-(x))-((x)*(x)))-(((x)-(x))/((9)-((7)/(x)))))),AddTreeWithDiv|SkipD|AddToLeafR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|SkipD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,SubXD|ReplaceBranchXR|SkipD|AddTreeWithSub|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd|DivXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,5,7,8,8,0
8,5*x*x*x+2*x+7,10,1,-0.013461827623169942,-0.19094880190940156,0.9994524610243144,0.5521165816767094,NaN,NaN,816465236.6120018,685.4855717437962,0.9997564386444265,0.3046763170039876,0.8125900324305727,0.009317494441861274,NaN,NaN,188515127.5,1064.192896825397,(((((7)+(9))-((0)*((4)*(x))))*(((x)+(3))*((3)*((x)*(7)))))*((((9)*(2))*((x)*(x)))*(((5)*(x))-((x)-((x)*(x)))))),(((((1)*(2))*((x)*(1)))+(((x)-(6))*((5)+(7))))*(((x)*((x)*(x)))-(((4)-(x))/((x)-((x)/(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|AddToLeafR|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|SubXD|MultXD,SubXD|ReplaceBranchXR|SkipD|AddTreeWithSub|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd|DivXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,8,7,9,9,0
9,5*x*x*x+2*x+7,10,1,0.09423750322190036,-0.1521242784170558,0.9997260285178708,0.4576240161377265,NaN,NaN,4798014004.065715,830.1064433012097,0.99968209378309,0.8143743874550801,0.6576635589998338,0.2824966175708358,NaN,NaN,144429386.9,284.1,(((((0)-(8))-((7)+((7)*(3))))*(((4)*(8))*((9)*((x)+(2)))))*((((x)+(7))*((0)-(3)))*(((x)*(x))-((x)-((x)*(x)))))),((((x)*((6)*(x)))*(((x)-(5))+((6)-(x))))+(((2)+(x))-((5)+((7)/((x)*(x)))))),AddTreeWithDiv|AddRandomSubTreeR|AddToLeafR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|SkipD|MultXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,MutateTerminalR|ReplaceBranchXR|SkipD|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd|DivXD|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd,MultXD,ReplaceBranchR,6,9,10,10,0
10,5*x*x*x+2*x+7,10,1,0.16760510771329154,-0.1250694171362252,0.999768559923619,0.5342791966906335,NaN,NaN,3126940972.726013,712.7856894649856,0.9999071727545817,0.6047043449852989,0.7462931278097128,0.09740940657247876,NaN,NaN,494628487.5,605,(((((x)*(7))*((4)+(6)))*(((x)*(x))+((2)*((0)-(x)))))+((((7)*(0))-((8)*(5)))*(((8)*(x))-((x)-((x)*(x)))))),((((x)*((3)*(0)))-(((9)+(x))+((9)*(x))))*(((0)+((x)*(7)))+((x)-((x)-((x)/(x)))))),AddTreeWithAdd|MutateTerminalR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|AddToLeafR|MultXD|AddToLeafR|AddRandomSubTreeR|SubXD|AddTreeWithSub|SubXD|MultXD,MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddToLeafR|SubXD|ReplaceBranchR|AddToLeafR|SubXD|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|DivXD,MultXD,ReplaceBranchR,10,10,11,11,0
