gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-1.2134234003974536,-0.7732623389441302,-0.077141843822399,0.4841511270892187,NaN,NaN,1772658.147535564,789.5066999899506,0.9982008699772279,0.9882391375367527,0.7623848258757834,0.4663636196877383,844203.834,7613.044273809524,25520668,18,(((((3)*(5))*((7)-(2)))*(((9)+(5))+((6)*(x))))*(((6)*((x)+(1)))*(((x)*(x))+((2)+((2)-(x)))))),(((x)*((6)-(x)))*((1)*((x)*(x)))),MutateNonTerminalR|SkipD|MultXD|ReplaceBranchXR|MultXD|AddXD|AddToLeafR|MutateTerminalR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|AddTreeWithAdd|AddTreeWithMult|SkipD,MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|DivXD|AddXD|ReplaceBranchR|AddXD|SubXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|MultXD|AddTreeWithMult|SkipD,AddTreeWithAdd,AddXD,0,0,1,1,1
1,5*x*x*x+2*x+7,10,1,-0.9580187880920523,-0.47732302810269384,0.3234475324238232,0.5978583925652361,NaN,NaN,37153647.93689241,615.4777301789063,0.9999710622067299,0.1851682456713493,0.9048953729504842,0.034518088063088634,NaN,4854.705813974568,1586679384,1247.1,(((((5)*(x))*((4)+(2)))*(((x)*(4))*((9)*(x))))*(((x)*((x)+(0)))*((2)*((x)*((x)-(x)))))),(((6)+(2))*((x)*(7))),MultXD|MutateTerminalR|AddToLeafR|SkipD|AddRandomSubTreeR|MultXD|SubXD|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|SkipD|SkipD,ReplaceBranchXR|AddXD|ReplaceBranchR|MutateTerminalR|DivXD|AddXD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|ReplaceBranchR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchR,AddToLeafR,ReplaceBranchR,1,1,2,2,1
2,5*x*x*x+2*x+7,10,1,-0.8530233137818287,-0.34519188886023444,0.3043506355830328,0.7421196171971506,NaN,NaN,28283950.104091514,394.6859258797606,0.998973888830774,0.8269737558532071,0.8927090671984287,0.3902908841994055,-4537097955180385000000000000000000000,6805646932770577000000000000000000000,44746613.6,264.8166666666667,(((((8)-(1))*((x)+(1)))+(((5)+(3))*((x)*((x)+(7)))))*(((6)*((x)-(0)))*(((7)+(x))*((x)*((x)-(x)))))),((((1)+((x)*(4)))+((8)/((6)/(x))))+(((x)+(4))*((7)*((x)*(x))))),AddToLeafR|MultXD|AddTreeWithSub|MultXD|AddTreeWithMult|MutateNonTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddTreeWithSub|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|SkipD|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddTreeWithMult|SkipD,MultXD,SkipD,2,2,3,3,1
3,5*x*x*x+2*x+7,10,1,-0.6704383624281143,-0.2550565681480441,0.7521754479753683,0.6502033728331997,NaN,NaN,879484954.9391731,535.363737878788,0.9999138120422121,0.9630186213655668,0.7938418872699904,0.432261370342193,NaN,8507058665963221000000000000000000000,532731035.5,56.6,(((((9)+(2))*((5)-(5)))*(((0)*(x))*((x)*((2)*(x)))))+((((1)-(9))*((9)*(x)))*(((x)*(x))*((x)-((3)-(3)))))),((((x)*(3))+((0)*(1)))+((9)+((x)*((x)*(x))))),MultXD|MultXD|AddTreeWithSub|MultXD|AddRandomSubTreeR|MultXD|SubXD|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|SkipD|SkipD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|SkipD|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddTreeWithMult|SkipD,MultXD,SkipD,3,3,4,4,1
4,5*x*x*x+2*x+7,10,1,-0.3767657950212622,-0.3116089314289229,0.9683230445086459,0.7848289444781505,NaN,NaN,1149307355.4758644,329.31930047619045,0.9999873151837186,0.8706958510290754,0.8333208744270616,0.4452008872842869,NaN,NaN,3619681908,197.9,(((((9)-(3))-((6)+(3)))*(((x)*(x))*((7)*((9)*(9)))))*(((5)*((x)*(x)))*(((2)*(7))*((2)*((6)-(x)))))),((((x)+(9))*((3)+(5)))-((4)+((x)*((x)*(x))))),MultXD|MultXD|AddTreeWithSub|MultXD|AddRandomSubTreeR|MultXD|SubXD|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|SkipD|SkipD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|SkipD|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|AddToLeafR|MultXD|AddTreeWithMult|SkipD,MultXD,SkipD,3,1,5,5,1
5,5*x*x*x+2*x+7,10,1,-0.14101687607855745,-0.24243518578549242,0.9957350926121374,0.6668602985978229,NaN,NaN,2851914449.5698333,509.87031299603154,0.9992651586887531,0.8688872762706301,0.6994569364554966,0.4780212955173023,NaN,NaN,62482878,200.6680236678005,(((((5)*(x))*((4)*((9)+(5))))*(((x)+(2))*((x)*((3)+(9)))))-((((0)+(7))*((0)-(x)))*(((4)+(6))*((x)*((x)-(x)))))),(((((3)+((8)*(6)))+((8)+((1)/(7))))*(((8)*((x)+(2)))*(((x)+(x))-((8)*(x)))))*((((x)+((6)*(x)))-((x)*((x)-(x))))/(((x)/((x)+(x)))+((7)*((5)*((x)*(x))))))),AddToLeafR|MultXD|AddTreeWithSub|MultXD|AddRandomSubTreeR|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|SkipD|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddTreeWithMult|SkipD,MultXD,SkipD,5,3,6,6,1
6,5*x*x*x+2*x+7,10,1,0.07195325866388966,-0.22273378561580387,0.9998315776657601,0.7224325537769066,NaN,NaN,5361495359.99925,424.81697644444444,0.9999957596106822,0.9692910813459654,0.6102621994342551,0.8571891470740564,-1944470552220165000000000000000000000,NaN,10828015203.2,47.000000000000014,(((((6)-(9))-((x)*(x)))*(((x)*(x))*((0)+((x)*(8)))))+((((8)*(7))+((7)*(x)))*(((x)+(4))*((x)*((x)-(x)))))),(((((x)+(7))*((1)+((9)-(5))))+(((0)*((x)+(x)))-((3)*((x)*(x)))))-((((0)+(0))-((x)/((5)/(x))))+(((4)+(x))*((2)+((x)*((x)*(x))))))),MultXD|MultXD|AddTreeWithSub|MultXD|MultXD|MutateNonTerminalR|AddToLeafR|MutateTerminalR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|AddTreeWithAdd|AddTreeWithMult|SkipD,DivXD|MutateTerminalR|AddTreeWithSub|DivXD|AddXD|AddXD|ReplaceBranchXR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddTreeWithMult|SkipD,MultXD,AddXD,5,6,7,7,1
7,5*x*x*x+2*x+7,10,1,0.2747873182223277,-0.1370129625356012,0.9995159052991738,0.658625285854296,NaN,NaN,39099310443.736916,522.474,0.9997596420927694,0.9882391375367527,0.49796601632523574,0.5773837105667432,NaN,NaN,191027624.3,18,(((((5)*(8))*((8)*(9)))*(((x)+(2))*((x)+(7))))*(((1)*((3)*(x)))-(((x)*(x))*((x)*((x)-(x)))))),((((0)+(1))*((3)*(x)))+((x)+((x)*((x)*(x))))),MultXD|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|MultXD|MutateTerminalR|MultXD|SkipD|SubXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|AddTreeWithSub|DivXD|AddXD|AddXD|ReplaceBranchXR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddTreeWithMult|SkipD,MultXD,AddXD,7,6,8,8,1
8,5*x*x*x+2*x+7,10,1,0.4311387953205529,-0.12546365137441715,0.9999195616830002,0.6400816259859055,NaN,NaN,23843241212.764008,550.8550714285716,0.9999613486686046,0.9882391375367527,0.5071563365750595,0.47138010488868737,NaN,NaN,1187928031,18,(((((5)*(x))*((7)*(6)))*(((x)+(2))*((5)+((5)+(2)))))+((((0)-(7))*((8)*(4)))*(((8)*(x))*((x)-((x)*(x)))))),(((x)*((3)+(1)))*((2)*((x)*(x)))),MultXD|AddToLeafR|SkipD|MultXD|AddRandomSubTreeR|MultXD|SubXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD|SkipD|AddTreeWithMult|SkipD|SkipD,DivXD|MutateTerminalR|AddTreeWithSub|DivXD|AddXD|AddXD|ReplaceBranchXR|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddTreeWithMult|SkipD,MultXD,AddXD,7,6,9,9,1
9,5*x*x*x+2*x+7,10,1,0.5700352338861806,-0.11793147302803857,0.9999747323829089,0.610276859414135,NaN,NaN,65130364598.23,596.4712666666668,0.9999964986837303,0.8764456060111075,0.2987984377057456,0.45218789593272085,NaN,NaN,13113639689.5,189.1,(((((9)*(x))-((2)*(x)))*(((x)*(x))+((2)*(x))))+(((5)*((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((x)-(2))+((x)+(x)))*((x)+((5)*(x)))),MultXD|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD|SkipD|SkipD|SkipD|AddTreeWithMult|SkipD|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|SkipD|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|ReplaceBranchR|SkipD,MultXD,SkipD,8,8,10,10,1
10,5*x*x*x+2*x+7,10,1,0.6123509244725406,-0.07508311062636695,0.9999455146324496,0.546668562509399,NaN,NaN,70236036650.156,693.823765079365,0.9999939829274789,0.9355112708265273,0.4626914458730233,0.44500296195164296,NaN,NaN,7630787204,98.7,(((((8)*(8))*((1)-(8)))+(((4)*(3))+((3)*((x)+(2)))))*((((x)+(7))*((x)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((x)+(2))*((x)+(3)))+((x)+((x)*((x)*(x))))),MultXD|AddToLeafR|SkipD|AddXD|MultXD|MultXD|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithAdd|MultXD|SkipD|MutateNonTerminalR|AddToLeafR|SubXD,DivXD|MutateTerminalR|SkipD|DivXD|AddXD|AddXD|SkipD|MultXD|SkipD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithAdd|ReplaceBranchR|SkipD,MultXD,SkipD,10,8,11,11,1
