gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-1.166132448754088,-0.7276998708865265,0.06841747812646137,0.4743916643079625,NaN,NaN,4964066.406379374,804.4435577766632,0.9996624627293408,0.13655668082326036,0.7183675612101863,0.020335569020412086,3929218.4179999996,1521.7309379477333,136029422.5,1321.5,(((((5)*(x))*((8)*(7)))*(((x)*(2))*((3)-((9)+(3)))))-(((8)*((x)-(x)))-(((x)+(x))*((x)*((x)+(x)))))),((((x)*((x)-(1)))*(((2)*(x))-((0)+(x))))-(((8)+(7))+((8)*((x)+((x)/(x)))))),MutateNonTerminalR|MultXD|SubXD|SkipD|AddXD|SkipD|MultXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|AddXD|AddTreeWithMult,AddXD|SubXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddXD|AddTreeWithSub|MutateNonTerminalR|AddXD|DivXD|AddRandomSubTreeR|ReplaceBranchR,AddTreeWithSub,AddXD,0,0,1,1,2
1,5*x*x*x+2*x+7,10,1,-0.9700978566311173,-0.2832475958493179,0.02888700766923535,0.5015653368072832,NaN,NaN,6012686.749417679,762.8542520164531,0.9997439721329265,0.8624632473048024,0.7464592838870611,0.34404321214673733,2489682.0409999997,NaN,179335947,210.5,(((((9)*(8))*((3)*(x)))*(((x)*(9))*((5)*((9)-(x)))))+(((7)-((1)-(x)))+(((x)*(x))*((x)-((2)+(3)))))),(((x)*((4)+(x)))*((x)-((1)*(x)))),SubXD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|MutateTerminalR|AddTreeWithSub|AddTreeWithMult|AddXD|MultXD|MultXD|AddTreeWithMult|AddTreeWithMult|SubXD|AddToLeafR|AddRandomSubTreeR,AddXD|ReplaceBranchR|AddTreeWithSub|SubXD|DivXD|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchR|AddXD|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD,MutateTerminalR,ReplaceBranchR,0,0,2,2,2
2,5*x*x*x+2*x+7,10,1,-0.7550977774720417,-0.17245811308474873,0.6825059245868094,0.590825154832342,NaN,NaN,66250555.253288515,626.2421005291006,0.9999326016818125,0.5649787651094413,0.869653197228946,0.05343351387028286,8301023.334,NaN,681248453,665.8,(((((2)-(7))*((3)*((8)*(6))))*(((6)*(x))*((9)+((6)*(6)))))+((((2)*(6))+((7)*(x)))+(((x)*(x))*((x)-((9)*(6)))))),(((((x)*((8)*(x)))+(((x)+(4))*((x)+(7))))*(((5)*((x)-(x)))*(((5)-(9))+((x)*(1)))))*((((9)-((4)*(x)))+((9)-((x)-(x))))*(((x)+((x)+(x)))*((4)-((0)/((x)-(x))))))),SkipD|AddRandomSubTreeR|MultXD|MutateTerminalR|MutateTerminalR|AddTreeWithSub|AddTreeWithMult|AddXD|MultXD|MultXD|AddTreeWithMult|AddTreeWithMult|SubXD|AddToLeafR|AddRandomSubTreeR,AddTreeWithMult|SubXD|ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchXR|AddXD|ReplaceBranchR|MultXD|SkipD|AddRandomSubTreeR|MutateNonTerminalR|MultXD|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,2,2,3,3,2
3,5*x*x*x+2*x+7,10,1,-0.5246950234466593,-0.10793962260582561,0.8584248308033854,0.5504667895645681,NaN,NaN,145011348.38262498,688.0105785714288,0.9996918110174124,0.74171839268213,0.8517046811796702,0.3048024224129916,8088578.75,NaN,148983262.2,395.3,(((((5)*(x))*((4)*((x)*(8))))*(((6)*(7))+((7)*((5)-(1)))))*((((x)+(7))*((7)*(x)))+(((x)*(x))*((x)-((0)+(7)))))),((((x)+(5))/((6)-((0)+(x))))*((x)*((7)-((2)*(x))))),SkipD|AddRandomSubTreeR|MultXD|MutateTerminalR|MutateTerminalR|AddTreeWithSub|AddTreeWithMult|AddXD|MultXD|MultXD|AddTreeWithMult|AddTreeWithMult|SubXD|AddToLeafR|AddRandomSubTreeR,AddXD|ReplaceBranchR|AddTreeWithSub|SubXD|DivXD|ReplaceBranchR|AddTreeWithSub|AddXD|SubXD|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD,MultXD,AddTreeWithSub,2,1,4,4,2
4,5*x*x*x+2*x+7,10,1,-0.3596266167295808,-0.06443344898113412,0.9020245501684387,0.5442740555788905,2310024.5651638852,NaN,104474463.65,697.4885579365078,0.9995366171417015,0.3903299575302189,0.7402660586532108,0.05823931373696581,2124372.2163742855,NaN,99086531.1,933.1,(((((5)*(x))*((x)*(x)))+(((9)*(x))*((7)-((8)+(7)))))*(((3)+((8)*(8)))*(((x)*(x))*((x)+((x)-(x)))))),((((x)*(5))*((x)-((6)*(x))))*(((4)+(x))*((x)/((x)-(x))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddXD|ReplaceBranchR|MultXD|SkipD|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,4,3,5,5,2
5,5*x*x*x+2*x+7,10,1,-0.023630551251009196,-0.060461098803961236,0.9964924949387206,0.5581535077757556,7811861.52772562,NaN,980036372.228,676.2460563492064,0.9997250858089278,0.8024506204529073,0.5033153248835875,0.2406975633676992,3518425.0763119045,NaN,167015750.7,302.3493253968254,(((((5)*(x))*((x)*(4)))*(((6)*(9))+((2)*((x)+(9)))))-(((0)*((7)*(0)))+(((x)*(x))*((x)+((x)-(x)))))),((((x)*((x)*(4)))+(((3)*(x))*((5)+(1))))-(((x)+((1)-(x)))+((x)-((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,AddTreeWithMult|SubXD|ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchXR|AddXD|ReplaceBranchXR|SubXD|DivXD|AddRandomSubTreeR|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,5,5,6,6,2
6,5*x*x*x+2*x+7,10,1,0.25241879117701815,-0.06568096762400034,0.9985659876346592,0.5384468370643477,14619065.33906179,NaN,1417776444.024,706.4071158730158,0.9999328455454409,0.6979400859766753,0.7402206016985167,0.02991535988995584,10244547.779124489,NaN,683722327.9,462.3026984126985,(((((8)*(9))*((3)+(5)))*(((x)*(x))+((3)*(x))))-(((9)*((x)*(6)))*(((x)*(x))*((x)+((x)-(x)))))),((((x)*((9)*(3)))*(((4)*(x))*((x)-(5))))+(((x)-(4))+((x)+((x)/((x)-(x)))))),MultXD|MutateTerminalR|MultXD|MutateTerminalR|MutateTerminalR|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,AddTreeWithMult|AddTreeWithMult|AddXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddXD|AddXD|SubXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,6,6,7,7,2
7,5*x*x*x+2*x+7,10,1,0.33531662787948624,-0.042482185276247274,0.9995862563458182,0.5814934309256752,60926554.984335214,NaN,5141725735.82,640.5243039682538,0.999700563510127,0.8537079385821627,0.4195666992405492,0.1495544211743214,3245588.1777339284,NaN,153338025.1,223.9,(((((8)*(2))*((4)+((8)*(5))))*(((8)-(1))*((x)+((8)-(5)))))*((((x)+(7))*((9)-(0)))*(((x)*(x))*((x)+((x)-(x)))))),((((x)+((3)-(5)))*(((x)*(9))*((x)*(7))))+(((x)+(x))+((x)-((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MultXD|AddXD|SubXD,AddTreeWithMult|AddTreeWithMult|AddXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddXD|AddXD|SubXD|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,7,3,8,8,2
8,5*x*x*x+2*x+7,10,1,0.4279574802812515,-0.032417110809151356,0.9997798984350633,0.5393081473804391,62293499.62069679,NaN,2127398994.41,705.0888804342379,0.9997612585098622,0.42508983992159427,0.5075470799153989,0.07815822199654734,14558125.705763493,343707.9640344152,192320991.1,879.9,(((((2)-(8))+((x)*((x)*(8))))*(((0)-(8))*((x)+((4)*(4)))))*((((1)*(x))+((7)*(x)))*(((x)*(x))*((x)+((x)-(x)))))),((((x)*(5))+((x)*((4)*(x))))+((8)-((x)-((x)+(x))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,AddXD|SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddXD|AddTreeWithSub|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,6,7,9,9,2
9,5*x*x*x+2*x+7,10,1,0.4440555035890613,-0.03873575973785235,0.9998637792361865,0.5717486046085768,49257850.38939515,NaN,2410240350.3840003,655.4387606465735,0.9999020119015608,0.7299575302188828,0.6007024405024535,0.20904988388545345,16576058.702187141,NaN,468577314.3,413.3,(((((9)*(5))-((8)*((8)*(x))))*(((x)+(2))*((9)-((5)+(7)))))-((((x)*(6))+((2)*(x)))*(((x)*(x))*((x)+((x)-(x)))))),((((x)+((2)+(1)))*(((x)+(x))*((9)*(x))))+(((2)*(x))*((3)+((x)/((x)-(x)))))),MultXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,AddTreeWithMult|AddTreeWithMult|AddXD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|DivXD|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,9,9,10,10,2
10,5*x*x*x+2*x+7,10,1,0.5308731680037618,-0.0344031428899811,0.9998195118891973,0.46481809474670116,54727976.83953742,NaN,2699248583.833999,819.095905990174,0.999997915168806,0.6490035935968638,0.05800264932333194,0.10243483622909338,143304156.01944286,NaN,22023365791.5,537.2,(((((6)*(5))*((6)-((6)*(x))))*(((x)*(5))*((3)+((4)+(2)))))*((((x)+(7))*((x)*(x)))*(((2)*(x))*((x)*((x)+((x)-(x))))))),(((((1)*(x))*((x)*((x)-(3))))-(((x)*(6))+((x)+((x)+(6)))))*((((x)+(0))*((x)+(1)))+(((x)+(x))-((x)/((x)-(x)))))),MultXD|AddRandomSubTreeR|MultXD|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MultXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SubXD,ReplaceBranchXR|ReplaceBranchR|SkipD|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddXD|AddXD|SubXD|DivXD|AddRandomSubTreeR|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchXR,MultXD,ReplaceBranchXR,10,10,11,11,2
