gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-1.0679037209103825,-0.8248797107483594,0.007870116606240254,0.4823906072252233,NaN,NaN,249444048.70324677,792.2011756417955,0.9999295048341933,0.1637630611430023,1.296185192478875,0.02336741823172579,-13611293865541154000000000000000000000,1521.3715761904762,651321256.9200001,1279.860634920635,(((((5)*(x))*((2)+((9)*(8))))*(((1)+(6))*((x)*((7)+(2)))))*((((3)-(2))/((5)+(0)))*(((x)-(1))*((x)*((x)*((x)-(x))))))),(((((5)-(5))+((x)-(8)))*(((x)+(1))*((4)*((1)+(4)))))-(((7)*((x)+(5)))+(((6)-(x))-((x)+((x)/(x)))))),AddTreeWithAdd|SkipD|AddTreeWithMult|ReplaceBranchR|DivXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|SubXD,AddTreeWithMult|AddRandomSubTreeR|SubXD|ReplaceBranchXR|AddToLeafR|ReplaceBranchR|MutateNonTerminalR|SkipD|SubXD|AddToLeafR|AddXD|AddTreeWithAdd|AddRandomSubTreeR|DivXD|ReplaceBranchXR,MultXD,AddRandomSubTreeR,0,0,1,1,4
1,5*x*x*x+2*x+7,10,1,-0.7483122022027371,-0.44222085365907937,0.43115892570350156,0.6322334609700969,NaN,NaN,545158878.2823077,562.8666879852665,0.9991165816090827,0.6198627899379288,1.0741839050629085,0.24512605775965277,-10208470399155866000000000000000000000,NaN,51974240.6,581.8,(((((8)*(7))*((x)*((6)*(x))))*(((6)+(1))+((2)*((x)+(2)))))*((((9)*(6))-((3)/(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((x)+(6))+((x)*(x)))+((1)*((x)+(x)))),AddTreeWithAdd|SkipD|AddTreeWithMult|ReplaceBranchR|DivXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|SubXD,AddTreeWithDiv|ReplaceBranchXR|AddXD|SkipD|AddTreeWithAdd|AddXD|ReplaceBranchR|MultXD|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddXD|SkipD|MutateTerminalR|ReplaceBranchXR,MultXD,AddXD,0,1,2,2,4
2,5*x*x*x+2*x+7,10,1,-0.42547868287845936,-0.28117785022635133,0.8780712023405991,0.6460537936775814,NaN,NaN,416788092.67549986,541.7146687764617,0.999989318789129,0.877482848742241,1.0367277474084018,0.46601884449956316,-15879842843131346000000000000000000000,11342744887950962000000000000000000000,4298669931.2,187.5125,(((((8)+(7))*((5)*((8)*(x))))+(((7)*(7))*((x)*((7)*(7)))))+((((2)*(3))-((x)*(8)))/(((x)*(x))*((x)*((x)*((x)-(x))))))),((((x)+((8)-(2)))*(((x)/(1))+((1)+(4))))+(((2)+((5)*(5)))+((x)+((x)*((x)*(x)))))),AddTreeWithAdd|SkipD|AddTreeWithMult|ReplaceBranchR|DivXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|SubXD,DivXD|AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddXD|AddTreeWithSub|AddTreeWithAdd|AddXD|AddXD|MultXD|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|MultXD,MultXD,AddTreeWithAdd,2,2,3,3,4
3,5*x*x*x+2*x+7,10,1,-0.190875521352184,-0.23070742825662335,0.9933491554578378,0.6370794167326479,NaN,NaN,499218163.231,555.4499526906825,0.9999559984265417,0.1509310682783404,0.5713235736936828,0.11951962528110933,13777197.445999999,8507058665963221000000000000000000000,1043485411.8,1299.5,(((((2)+(6))*((8)+((9)+(9))))+(((4)-(0))-((9)*((x)*(x)))))*((((2)*(x))+((7)*(7)))*(((6)-(x))*((x)+((x)-((x)*(x))))))),((((x)+((4)-(6)))+((2)+((5)-(7))))*(((x)*(8))+((x)-((x)+((x)+(x)))))),AddToLeafR|AddTreeWithAdd|AddTreeWithSub|MultXD|SubXD|MultXD|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|SkipD|AddXD|SubXD|MultXD,AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR|AddXD|SubXD|MutateTerminalR|SkipD|ReplaceBranchR|ReplaceBranchXR|AddXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchR|AddXD,AddTreeWithAdd,AddXD,3,2,4,4,4
4,5*x*x*x+2*x+7,10,1,0.041450771385841224,-0.2793315076130025,0.9967172979965656,0.6907162243684192,NaN,NaN,7844134008.125355,473.3588186041343,0.9999992128581692,0.8320810192747469,0.47391614578134184,0.25704094925532,-12250164478987039000000000000000000000,1361129386554115500000000000000000000,58331292022.7,257,(((((5)*(2))*((0)-((9)*(4))))+(((8)*(9))+((9)*((x)*(2)))))*((((1)*(7))+((7)*(x)))*(((x)+(x))*((x)*((x)*((x)-(x))))))),(((((x)-((7)*(7)))-((8)-((4)+(5))))*(((x)*((x)+(2)))*((3)-((2)-(8)))))-((((4)-(8))*((4)+((x)+(0))))-(((x)*((x)-(x)))-((x)+((x)+((x)*(x))))))),AddTreeWithAdd|SkipD|AddTreeWithMult|MutateNonTerminalR|MultXD|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|SubXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|AddTreeWithSub|MutateTerminalR|ReplaceBranchR|MultXD|AddRandomSubTreeR|AddTreeWithSub,MultXD,MutateTerminalR,4,3,5,5,4
5,5*x*x*x+2*x+7,10,1,0.2717970064838801,-0.22566423847380343,0.9997297361261894,0.6544570402890152,NaN,NaN,32236051121.41743,528.8534998376624,0.9999679882790766,0.8443645867363606,0.3709751555752718,0.31522285994761623,59539424.781333335,1134274488795096300000000000000000000,1434318389.5,238.2,(((((5)*(x))*((x)*(x)))+(((2)*(x))+((3)*((x)-(x)))))*(((9)+((8)*(x)))*(((x)*(x))+((x)-((x)*(x)))))),(((((5)*((x)*(2)))+((4)+((2)*(3))))*(((x)-((5)+(5)))+(((8)+(4))*((3)+(1)))))*((((x)-((x)-(0)))+((2)-((x)*(x))))-(((x)-((x)+(x)))+((5)-((4)+((x)*(x))))))),AddTreeWithMult|ReplaceBranchXR|SkipD|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MutateNonTerminalR|SkipD|AddXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchXR|AddXD|MutateTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithSub,MultXD,ReplaceBranchXR,5,4,6,6,4
6,5*x*x*x+2*x+7,10,1,0.49427179673482285,-0.12768481038979382,0.9992694453584811,0.7085566808232602,NaN,NaN,37570349526.74308,446.0540000000001,0.9999886042744819,0.6699771316563216,0.2177313399138431,0.22429668711033154,-8750117484990742000000000000000000000,4861176380550412000000000000000000000,4029142324.2,505.1,(((((6)*(8))*((5)*((x)*(x))))*(((x)+(7))+((2)*((x)+(2)))))+((((7)*(0))-((x)-(x)))*(((x)+(x))*((x)*((x)*((x)-(x))))))),(((((x)-(1))*((x)+((9)-(0))))*(((7)+((x)+(7)))-((x)*((9)*(4)))))-((((4)+(x))-((9)*(x)))*(((0)*(x))-((x)+((x)-((x)+(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|SubXD,AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR|AddXD|SubXD|MutateTerminalR|SkipD|ReplaceBranchR|ReplaceBranchXR|AddXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchR,MultXD,MutateTerminalR,6,6,7,7,4
7,5*x*x*x+2*x+7,10,1,0.7037369259336337,-0.11683021361163272,0.9999393434018106,0.6690846128716106,NaN,NaN,7019389471.5999975,506.46599999999984,0.9999786178938231,0.7613198301208756,0.07251904346801614,0.22092713576267722,-7656352799366900000000000000000000000,4253529332981611000000000000000000000,2147356281,365.3,(((((5)*(9))*((6)*((6)*(x))))*(((x)+(5))+((7)*((7)-(2)))))-((((x)*(7))+((3)*(x)))+(((x)*(x))*((x)*((1)*((6)-(x))))))),(((((x)*(9))*((x)*(6)))-(((1)+(x))+((8)-((7)-(x)))))+((((1)*(3))*((x)-(x)))*(((x)+(2))-((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|MultXD|MultXD|AddTreeWithAdd|AddXD|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|SubXD,AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR|AddXD|SubXD|MutateTerminalR|SkipD|ReplaceBranchR|ReplaceBranchXR|AddXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,MutateTerminalR,6,5,8,8,4
8,5*x*x*x+2*x+7,10,1,0.7446306805689521,-0.10039611660942016,0.9999458162888217,0.6421964333680763,NaN,3417947126235891000000000000000000000,20923716507.264004,547.6183587301589,0.9999814985247413,0.7599477295001633,0.2176844783271145,0.19849990852691576,-6805646932770577000000000000000000000,3780914962650320700000000000000000000,2481693992.4,367.4,(((((3)+(9))*((x)*((x)*(x))))+(((4)+(9))*((4)*((8)+(7)))))*((((x)-(x))*((x)+(x)))*(((2)*(6))*((9)*((x)*((x)-(x))))))),(((((5)*((x)*(3)))*((0)*((x)+(3))))+(((6)*((8)-(4)))-((1)*((1)-(8)))))-((((3)+(1))*((x)+((x)-(x))))+(((6)-((x)*(8)))+((x)-((x)+((2)*(x))))))),AddTreeWithAdd|SkipD|SkipD|MultXD|SubXD|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|SubXD,AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddXD,MultXD,ReplaceBranchR,8,7,9,9,4
9,5*x*x*x+2*x+7,10,1,0.835094417306035,-0.10709538749979795,0.9999853568363166,0.5779908848130343,-3511713817309618000000000000000000000,3647826755965030000000000000000000000,50556710775.64801,645.8849507936507,0.9999992310905328,0.7708909320016801,0.21945478768395882,0.11373810245038765,2381456177.3766,2041694079831173000000000000000000000,59714442283.1,350.65142857142854,(((((5)*(x))*((x)*((x)*(4))))+(((4)+(2))*((x)+((7)*(x)))))-((((x)*(x))*((x)+(7)))+(((3)*(x))*((x)*((x)-((x)*(x))))))),(((((5)*(x))*((x)*((x)*(9))))+(((6)-((x)-(x)))+((8)-((3)+(5)))))-((((7)*(x))*((8)+(x)))-(((6)-(x))-((x)+((x)+((x)/(x))))))),AddTreeWithMult|ReplaceBranchXR|SkipD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|AddXD|MultXD|AddToLeafR|MultXD|MultXD|SubXD|MultXD,ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|AddTreeWithAdd|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|ReplaceBranchXR|DivXD|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub,MultXD,ReplaceBranchR,8,9,10,10,4
10,5*x*x*x+2*x+7,10,1,0.8425427568860843,-0.08970486839693159,0.9999936001602159,0.40370475983053566,-2697510966079973600000000000000000000,3873031799922166000000000000000000000,116052053906.512,912.6298650793651,0.999999950021737,0.7510617445279321,0.036999728163349344,0.2146851493676346,3290805038.106909,3093475878532080300000000000000000000,918699395392.5,381,(((((7)+(3))*((5)*((x)*(9))))*(((x)*((8)+(x)))+((2)+((3)*(x)))))+((((7)*(x))-((x)*(7)))*(((x)*(x))*((x)*((x)-((x)*(x))))))),((((9)-((9)+(3)))*(((x)*(x))*((x)-(3))))*(((4)-((2)+(x)))+((x)+((x)+((x)+(x)))))),AddTreeWithAdd|SkipD|AddTreeWithMult|MultXD|SubXD|MultXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|MultXD|MultXD|SubXD|MultXD,AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR|AddXD|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|ReplaceBranchXR|AddXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchR|AddXD,MultXD,AddXD,9,9,11,11,4
