gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.8169809358965271,-0.03555663389948981,0.01982478892984746,0.30138684157466544,AddTreeWithMult,AddRandomSubTreeR,SkipD|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|MultXD|SkipD|SubXD|AddRandomSubTreeR|SubXD,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,0,0,1744818.5,0,(((((((5)*((6)*(1)))*(((4)*(((2)*(3))*(7)))*((7)*(9))))+((3)*(0)))*(x))-(x))-(x)),((((((((x)-(0))*(0))-((4)-(((8)*(0))*(3))))/(((8)*(0))*((7)*(7))))*(((3)*((6)*(1)))*((2)+((3)*(2)))))/(x))/(x)),5*x*x*x+2*x+7,2
2,-0.8473298530891157,0.08524652446396673,-0.6945814283046344,0.17799796958675684,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,1,1,210983,1409.879517904384,(((((((((((1)+((6)*(5)))-(5))*((9)*(3)))*((x)*(x)))+((2)*((x)+(7))))*(x))+(x))*(x))-(x))/(x)),((((((((x)*(7))/(6))*(((3)-(0))*(x)))*((((7)-(3))-(0))*(((5)-(2))*(5))))+(((7)*(9))-((2)*(6))))/(x))/(x)),5*x*x*x+2*x+7,2
3,-0.7764491021525988,0.16066043173010439,-0.5284334820674823,0.1819111200199148,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,1,2,75012,1360.711507936508,((((((((((9)-(3))*(x))*((x)*((5)*(x))))+((2)*(((x)*(6))+(7))))*(x))+(x))*(x))-(x))/(x)),(((((((5)*((x)-(6)))-((6)*(x)))*(((x)+(1))*(((4)-(6))*((3)*(9)))))+(((8)-(((5)+(4))*(x)))+(((x)*(9))+((6)-((6)*((0)+(9)))))))/((9)-(7)))/(x)),5*x*x*x+2*x+7,2
4,-0.8838854151902208,0.017860004213227674,-0.6899040740611101,0.15904279406791874,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,2,3,60206,1520.4549206349207,(((((((((5)*(x))*((x)*((5)*(1))))+((2)*((x)+(7))))*((8)*(x)))+(x))*(x))-(x))/(x)),(((((8)+(1))-((x)/(x)))*(((6)+(7))*(4)))/(x)),5*x*x*x+2*x+7,2
5,-0.8254064121432099,0.0040195613812553,-0.6421801991815355,0.1489004737777841,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,4,3,930448.5,1276.7568253968252,((((((((((3)+(8))*(x))*((x)*(x)))+((0)*(6)))*(x))+(x))*(((8)*(7))*(5)))-(x))/(x)),(((((((5)*(x))*((1)*(((1)+(7))-(3))))*(((8)*(((1)-((4)+(7)))*(0)))+((2)*(x))))+(((1)+(1))-(((7)-(1))*((x)-((x)/(x))))))-(x))/(x)),5*x*x*x+2*x+7,2
6,-0.8163326781699426,0.10248705844945571,-0.6557909698224968,0.3385799087614962,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,4,5,67552.6,0,((((((((((0)+(x))*(x))*((x)*(x)))+((2)*((x)+(7))))*((3)*(9)))+((5)*(2)))*(x))-(x))/(x)),(((((4)+(1))*((((x)+(0))*((4)-((6)*(3))))+(((4)+(0))*((x)-((x)/((0)+(0)))))))/(x))/(x)),5*x*x*x+2*x+7,2
7,-0.8896074285125671,0.13093343731647467,-0.5674759519353078,0.18805036374821124,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,6,6,170758,1301.5453968253967,(((((((((5)*((4)*(x)))*(((0)-(x))*(x)))+((2)*(((3)-(7))+(7))))*((4)*(7)))+(x))*(x))-(x))/(x)),((((((1)-((1)+(2)))-((x)+((9)-(3))))*((((x)*(6))+(x))*(((1)-(x))-(((x)-((1)-(9)))-(((3)+(5))/(x))))))/((8)+((7)-(8))))/(x)),5*x*x*x+2*x+7,2
8,-0.883297477044385,0.1457433911588418,-0.6603555549195738,0.3059303666493841,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,4,5,208071.5,0,(((((((((5)*(((5)-(8))*(9)))*((x)*(x)))+((2)*((x)+(7))))*(x))+((x)*(9)))*((5)*(8)))-(x))/(x)),((((((5)*(((0)-(8))*(x)))+(((9)+(1))*((x)*(9))))*(((7)+(((4)+(3))*(8)))*((((7)*(8))+(9))+((1)-((x)/((0)*(x)))))))/((6)*((4)-(9))))/(x)),5*x*x*x+2*x+7,2
9,-0.8987158951297104,0.06752055463897723,-0.7425163361948841,0.16582517313394865,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,8,5,95428,1521.1972222222223,(((((((((5)*(x))*(((8)*(8))*(x)))+((2)*((x)*(2))))*(x))+((1)*(x)))*(x))-(x))/(x)),(((5)*((9)+(5)))/(x)),5*x*x*x+2*x+7,2
10,-0.8177907716173104,0.08277161553326341,-0.6549666197355277,0.2544515529006039,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,9,8,1133546.4,0,((((((((((x)*((7)+(9)))*(x))*((x)*(((4)*(7))*(1))))+((2)*((x)+(7))))*(x))+(x))*(x))-(x))/(x)),(((((((x)*(7))+((6)*((4)-((1)-(6)))))+((5)+(3)))-((6)*(8)))/((9)*(0)))/(x)),5*x*x*x+2*x+7,2
11,-0.8213254947455714,0.12404963179071547,-0.682508344125504,0.30649302636660564,SkipD,AddRandomSubTreeR,MultXD|AddXD|AddTreeWithMult|MultXD|SkipD|AddRandomSubTreeR|SkipD|SkipD|AddToLeafR|SkipD|SkipD|SubXD|AddToLeafR|DivXD|ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|SkipD|ReplaceBranchXR|SkipD|DivXD|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|DivXD|AddRandomSubTreeR,10,8,211186.695,0,(((((((((5)*(x))*((x)*(x)))+((2)*(((x)+((9)*(0)))+(7))))*((9)*(7)))+(x))*((8)+(9)))-(x))/(x)),((((((6)*((2)*(x)))*(((0)+((2)+(2)))*((1)-((9)-(6)))))*((((3)-(6))*(((1)+((8)*(7)))+(9)))*((8)*((8)-(4)))))/((0)*(3)))/(x)),5*x*x*x+2*x+7,2
