gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.9101782867810709,0.06058795125407366,-0.5809884587074738,0.32593896624623503,SkipD,ReplaceBranchR,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,AddTreeWithMult|MutateNonTerminalR|AddToLeafR|SubXD|SkipD|ReplaceBranchXR|AddTreeWithAdd|AddXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|DivXD|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR,0,0,900008.6,0,(((((((7)+(6))*(x))*((x)*((6)/(3))))*(((3)+(4))*((x)+(8))))+(x))*(x)),((((((2)+(0))-(((x)*(((9)-(3))/(2)))/(((x)-(1))/(((0)*(5))*((0)-(x))))))-((2)+(7)))+((5)+(x)))/(x)),5*x*x*x+2*x+7,3
2,-0.966250316724937,0.23948874261436306,-0.9446983556571925,0.4193234131065358,SkipD,AddTreeWithDiv,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddXD|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR,0,1,13736.9,0,(((((((x)/(2))*(x))*((x)*((6)+(6))))+(((x)+(7))-((2)+(7))))+(x))*(x)),((((((((6)+(1))-((7)/(2)))*((4)-((9)+((4)/(2)))))+(((7)/(1))*((x)+((4)/(0)))))*((6)*(2)))-(6))+(x)),5*x*x*x+2*x+7,3
3,-0.9374929728785527,0.3201068872209349,-0.8840672982685397,0.4597289569098891,SkipD,AddTreeWithDiv,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddXD|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR,0,2,36622.99999999999,0,((((((5)*(x))*(((7)/(5))*(3)))*((x)*(6)))+(x))*(x)),(((((8)/((3)+(3)))*(((3)/(3))/(0)))+((x)-(3)))+(x)),5*x*x*x+2*x+7,3
4,-0.9755897955551713,0.2155284594502959,-0.9642966169370939,0.3195907206034615,SkipD,AddTreeWithDiv,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|SkipD|AddRandomSubTreeR|ReplaceBranchR|AddXD|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR,0,3,5314.166666666667,0,(((((((x)-(4))*(x))*((x)*(5)))+((((6)+(x))/(3))*((x)-(7))))+(x))*(x)),((((1)/(((9)+(2))/(0)))-((6)/(0)))+(6)),5*x*x*x+2*x+7,3
5,-0.8738704750898623,0.26574607192601474,-0.48071665854188445,0.5832794520672256,SkipD,ReplaceBranchXR,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR,0,4,202685.6,0,(((((((9)+(9))*(((x)+(x))/(4)))*((8)*(x)))*((1)*((x)+(1))))+(x))*(x)),((((0)/(8))/(0))-((9)/(8))),5*x*x*x+2*x+7,3
6,-0.8533490150104401,0.42334152779619094,-0.41321563390064187,0.5846545721994921,SkipD,ReplaceBranchXR,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR,0,5,211811.6,0,((((((5)*(x))*(((2)+(6))*(x)))*((2)*((x)+((x)-(8)))))+(x))*(x)),(((((8)/(5))/(7))-(2))+((0)/(0))),5*x*x*x+2*x+7,3
7,-0.9140629989565423,0.39758804906886724,-0.6809257359440523,0.5872155411252792,SkipD,ReplaceBranchXR,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR,0,6,334879.2,0,(((((((7)/(7))*(x))*((8)*(x)))*((((x)*(0))+(8))*((x)+(9))))+(x))*(x)),(((((3)/((5)/(0)))/(1))-(5))-(3)),5*x*x*x+2*x+7,3
8,-0.9559053356299626,0.401410328747039,-0.9244194889106684,0.72487274118209,SkipD,ReplaceBranchXR,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR,6,4,21808.2,0,((((((x)*(9))*((x)*(x)))+(((2)+(5))*((x)+((4)+(2)))))+(x))*(x)),((((4)/(4))/(3))*(((3)/(0))-(3))),5*x*x*x+2*x+7,3
9,-0.8514012990173185,0.4719027462061225,-0.6690813499213714,0.5840671250562489,SkipD,ReplaceBranchXR,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR,6,7,171873.5,0,(((((((2)+(5))*(5))*((x)*(x)))*((x)+(8)))+(x))*(x)),(((8)/(4))+((2)*(((3)/(0))/(9)))),5*x*x*x+2*x+7,3
10,-0.9569685694234861,0.32583176055907487,-0.8495441110125853,0.5848618867852778,SkipD,ReplaceBranchXR,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR,6,8,42606.46666666667,0,((((((((x)-(0))+(x))*(x))*((x)*(x)))+((2)*(((1)/(3))-(7))))+(x))*(x)),((0)*((4)-(((9)/(9))/((0)/(7))))),5*x*x*x+2*x+7,3
11,-0.859765017359244,0.4258940324726752,-0.6776630718289823,0.7222548912846202,SkipD,ReplaceBranchXR,SkipD|MutateNonTerminalR|SkipD|SkipD|SkipD|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|AddXD|SkipD|AddTreeWithAdd|MultXD|SkipD|ReplaceBranchXR,SubXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR,9,8,363580.4,0,((((((9)*((7)/(1)))*((x)-(0)))*(((x)+(2))*((x)+(7))))+(x))*(x)),((((1)/(1))/(3))*((7)/(0))),5*x*x*x+2*x+7,3
