gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.9392598854047135,0.06621716481768362,-0.7702648916476097,0.2342658767712924,AddTreeWithMult,AddTreeWithMult,SkipD|AddXD|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|MultXD|MultXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithAdd|DivXD,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|SkipD|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,0,0,59983.7,996.9,(((((((((x)*(6))*(x))*(((1)*(4))*(x)))+(((5)-(2))-((x)-(8))))+((9)*((7)+(x))))*(x))*(x))/(x)),((((((6)*(5))*(x))-(4))*(4))+(((3)+(6))*(4))),5*x*x*x+2*x+7,4
2,-0.8378619883401045,0.0015077730155716729,-0.16442549513488597,0.30297302820195016,SkipD,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithSub|AddXD|SkipD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|SubXD|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,1,1,653552.5,0,((((((((9)*((6)*(7)))*(((5)+(4))+(6)))*((x)*(3)))+((2)*((x)+((9)-(1)))))+(x))*(x))-(x)),((((((2)-(8))*((6)/((2)+(9))))-(((8)*(((5)*(5))*((5)+(6))))*((6)+(3))))*((((0)+(9))*(((2)*(4))*((5)/(0))))-((3)*((x)*((x)-(x))))))/((1)-(5))),5*x*x*x+2*x+7,4
3,-0.8860130736530043,0.042466465639588634,-0.6958499107847461,0.37008599615770194,SkipD,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithSub|AddXD|SkipD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|SubXD|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,1,1,99345,0,(((((((5)*(x))*((x)*(((5)+(8))*(5))))+((((9)-(3))*(x))*(((x)/(3))+(7))))+((9)*(x)))*(x))-(x)),(((((0)-(((1)/(6))*((6)*(3))))*(((x)*(((4)-(1))*(7)))+((3)*((x)*(8)))))*(((x)/((3)-(3)))+((6)+((x)*(((9)*((3)*(5)))*((3)+(3)))))))/(x)),5*x*x*x+2*x+7,4
4,-0.9003403018880792,0.19914120715502784,-0.5574259121038908,0.46575679798823105,MultXD,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithMult|MultXD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|SubXD|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,3,1,273167,0,(((((((5)+((6)/(7)))*((((7)*((3)+(8)))*(2))*(x)))+((3)*((2)*(8))))*(x))*(x))-(x)),((((x)*(((1)*(1))*(9)))/(x))+((6)*((1)/((7)*(((3)*(0))*(2)))))),5*x*x*x+2*x+7,4
5,-0.7058055091979396,0.047150179649243174,-0.2865376393270878,0.14511711862675325,AddTreeWithMult,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithMult|MultXD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,3,4,2125759.2,1514.5116304855276,((((((((1)-(x))*(x))*(((9)*((6)+(2)))*(x)))-(((9)*((((x)*(x))*(2))/(1)))*((x)+(7))))*(x))*(x))-(x)),(((((5)/((2)-((9)*(4))))*((x)-(((7)*(9))-(4))))+((x)*((9)+(x))))/(x)),5*x*x*x+2*x+7,4
6,-0.871998931636001,0.11242085516548507,-0.6538384311036756,0.37865784385916695,AddTreeWithDiv,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithMult|MultXD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,4,4,70367.7,0,((((((((9)/(6))*(x))*((x)-(7)))+(((((9)+(2))-(3))*((0)+((6)*(3))))*((x)+((5)/(1)))))*(x))*(x))-(x)),((((((8)*(9))+((8)/(((0)*((7)*(x)))+(0))))+(((2)*(7))+(0)))*(((4)-(9))+((x)*(((4)+(5))*(5)))))+(x)),5*x*x*x+2*x+7,4
7,-0.8542462486593033,0.03971930992112215,-0.7086068077109721,0.2966943480269735,AddTreeWithDiv,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithMult|MultXD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|SubXD|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,6,6,113686.8,0,(((((((5)-((3)-(4)))*(((6)*(x))*(x)))+((((5)-((4)/(2)))*((7)+(7)))*((x)+(7))))*(x))*(x))-(x)),(((((((8)-((2)*(6)))*(((6)*((7)*(7)))*(1)))+(((x)+(x))*((2)-(2))))+(((((6)+(3))+((9)*(6)))*((x)/((1)+(5))))-(((4)*(6))/((7)*((x)-(x))))))/((6)/(5)))-(x)),5*x*x*x+2*x+7,4
8,-0.7278961075901892,0.15460319110504328,-0.2738854414553859,0.3959863223524753,AddTreeWithMult,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithMult|MultXD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|SubXD|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,6,7,2310604.6,0,((((((((5)+(9))*((3)+(x)))*((x)*((6)*(8))))+((2)*((((2)-(6))/(2))+((1)/(1)))))*(x))*(x))-(x)),((((((((1)/(0))*(4))*((2)*(1)))/((6)-(4)))+(((x)+((8)+(x)))+((((0)+(5))*((3)*(x)))*((0)*(((8)-(8))-((5)*((7)+(6))))))))/((4)-((x)*(4))))*(x)),5*x*x*x+2*x+7,4
9,-0.7000476786552502,0.16502708424585247,-0.6133905574021133,0.4496230054602021,AddTreeWithDiv,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithMult|MultXD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|SubXD|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,8,8,310614,0,(((((((8)-(8))-(9))*((((9)-(5))*(7))*((x)+((4)*(6)))))*(x))*(x))-(x)),((((((4)*((4)/(1)))+(((2)*((8)/(0)))+((4)+(2))))-(((1)*(((x)*(2))/((x)-(9))))*(((1)*((0)+(1)))-(((6)*(7))*(0)))))/((x)+(3)))-(x)),5*x*x*x+2*x+7,4
10,-0.5852488114805058,0.17980404558195248,-0.36386923861046844,0.5886662264697765,AddTreeWithDiv,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithSub|AddTreeWithMult|MultXD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|SubXD|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,8,9,421326,0,(((((((5)*(((x)/((7)-(0)))+((5)-(1))))*(((9)*(6))*(x)))+((2)*((x)+((7)*((4)-(8))))))*(x))*(x))-(x)),(((((((5)*(x))-((x)-((9)+((9)+(6)))))/(((5)+(5))*((x)/((0)*(7)))))-(((6)+((0)*(3)))*(((7)*(0))*(4))))/((2)*(0)))-(x)),5*x*x*x+2*x+7,4
11,-0.6285972974665901,0.02964049394281687,-0.3902828393129106,0.11453357819606562,AddRandomSubTreeR,AddTreeWithMult,MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithMult|MultXD|MultXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddToLeafR|ReplaceBranchR,ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|DivXD|SubXD|AddToLeafR|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult,9,6,303611.85714285716,0,(((((((5)*((5)+(2)))*((((3)*(x))+(((4)+(8))/(3)))*(x)))+((((4)/(7))-(9))*((x)+(2))))*(x))*(x))-(x)),(((((7)*(8))*(((2)+(4))+((7)-(8))))/((1)*((6)*(0))))-((1)*(1))),5*x*x*x+2*x+7,4
