gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
1,-0.9163643513638808,0.18665020880123206,-0.6202042965935367,0.469018839159316,MutateTerminalR,AddXD,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,AddToLeafR|AddXD|AddXD|AddTreeWithDiv|AddXD|SubXD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|SubXD|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult,0,0,126227.9,0,((((((((6)+((9)*((9)*(0))))*(x))*((x)*(x)))+((2)*(((4)+(6))*(7))))*((x)*(8)))/(x))*(x)),(((((((((5)*((x)*(9)))*((((8)/(0))+(1))-((4)+((9)*(6)))))*(((4)*(5))+(8)))+(x))+(x))-(x))-((6)-(1)))-(x)),5*x*x*x+2*x+7,5
2,-0.7349548394631676,0.14079591984488926,-0.07941409279510954,0.305979666911113,MutateTerminalR,MutateTerminalR,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,SkipD|SkipD|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|AddXD|ReplaceBranchR|AddXD|ReplaceBranchR|DivXD|DivXD|MutateTerminalR|AddTreeWithDiv,0,0,732048.5,0,(((((((5)*((8)+((x)*(0))))*((x)*(x)))+(((1)*(9))*((3)+(7))))*(x))*((7)+(0)))*(x)),((((x)*((0)/(0)))/(2))/(x)),5*x*x*x+2*x+7,5
3,-0.5942424421585227,0.22009907484821445,-0.3279324507124896,0.37327842421302004,MutateTerminalR,MutateTerminalR,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,SkipD|SkipD|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|AddXD|ReplaceBranchR|MutateTerminalR|SubXD|SubXD|DivXD|MutateTerminalR|AddTreeWithDiv,0,2,3128739.5,358.5551638437911,(((((((5)*(x))*(((x)*(7))*(4)))+((2)*(((6)+(((4)-(3))*(2)))*((1)*(8)))))*(x))*(x))*(x)),((((((((((x)/(9))*(3))*((9)*(x)))*(((x)*((8)+(4)))+((1)-(4))))+(((x)*(9))+((5)*((7)/((x)*(x))))))+(x))-(5))-(x))/(x)),5*x*x*x+2*x+7,5
4,-0.8695608496045343,0.04345132711382887,-0.7374115954151853,0.16444554543682077,MutateTerminalR,SubXD,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,MultXD|AddTreeWithMult|SubXD|MutateTerminalR|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|AddXD|ReplaceBranchR|MutateTerminalR|SubXD|SubXD|DivXD|MutateTerminalR|AddTreeWithDiv,0,3,62533.5,1529.7546031746033,(((((((((3)*(9))*(4))*(x))*(((x)*(0))*(4)))+(((9)+(4))*((9)+(7))))*(8))*(x))*(x)),(((((((((((0)/(7))*(1))-(((0)-(8))*(4)))-((x)*(4)))*(2))-(x))+(x))-(x))-(x))/(x)),5*x*x*x+2*x+7,5
5,-0.7570713670173328,0.04960561584245163,-0.4762227633772563,0.29657396866347446,MutateTerminalR,SubXD,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,MultXD|AddTreeWithMult|SubXD|SkipD|MutateNonTerminalR|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,4,0,170921.5,0,((((((((8)*((8)*(5)))*(x))*(((x)+(0))*(2)))+(((7)-(7))-(4)))*(7))/(x))*(x)),((((((((((x)-((2)-((1)-(2))))-((1)*(9)))+((4)/(((x)-(x))*(3))))*(x))+(x))/(x))/(2))-(x))-(x)),5*x*x*x+2*x+7,5
6,-0.6582776865777274,0.04789525661878052,-0.4682790222572267,0.14800556956230948,MutateTerminalR,SubXD,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,MultXD|AddTreeWithMult|SubXD|SkipD|MutateNonTerminalR|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,5,5,1024643,0,(((((((5)*(x))*(((9)*(x))*(9)))+((((0)+(5))+(x))-(((x)*((6)*(0)))+(7))))*(x))-(x))*(x)),(((((((((((3)*(8))*((2)+(5)))*((3)*((3)*(x))))*(((2)+((x)-(8)))+((x)+(x))))*(x))-(2))/((8)*(0)))/(x))+(x))-(x)),5*x*x*x+2*x+7,5
7,-0.8549266699261704,0.21652983694764893,-0.6419639477695793,0.3255576772060564,MutateTerminalR,SubXD,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,MultXD|AddTreeWithMult|SubXD|SkipD|MutateNonTerminalR|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,6,5,768183.5,0,(((((((5)*(x))*((((x)-(4))+(((7)+(1))*(7)))*(x)))+((2)*((x)-((0)*(4)))))*(x))+(x))*(x)),(((((((((((x)+(4))-((x)*(x)))-(((6)*(0))+((7)*((0)-(9)))))+(((9)+(((8)*(3))-(7)))+((7)*((4)/((x)-(x))))))*((6)*(5)))-(x))/(x))/(x))-(x))-(x)),5*x*x*x+2*x+7,5
8,-0.8362796221401746,0.20717239604011786,-0.6016482805108748,0.28465716887311754,MutateTerminalR,SubXD,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,MultXD|AddTreeWithMult|SubXD|SkipD|MutateNonTerminalR|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,5,7,8897668.6,0,(((((((((7)*(x))+(2))*(x))*(((3)-(0))*(x)))*((((9)+(x))-(3))*((8)+(3))))*(x))/(x))*(x)),((((((((((5)*((x)*(7)))*(((x)-((4)+(8)))+((1)-((9)-(8)))))*(((4)-((2)-(4)))-(((7)+(1))*((x)/((x)*(x))))))*(x))-(3))/(x))/(0))-(x))-(x)),5*x*x*x+2*x+7,5
9,-0.8032134598954134,0.14495943831884198,-0.6560150469172903,0.31144839817015374,MutateTerminalR,SubXD,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,MultXD|AddTreeWithMult|SubXD|SkipD|MutateNonTerminalR|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,8,8,544652.5,0,((((((((9)+(6))*((9)*((5)+(x))))*((1)*(x)))*((x)*(1)))*(x))/(x))*(x)),((((((((((4)+(x))*(((3)-(1))*(8)))*((x)/((x)-(x))))*(x))-(x))/(x))/(4))-(x))-(x)),5*x*x*x+2*x+7,5
10,-0.72979913292767,0.04895441111067739,-0.5611690742360699,0.29945952375813684,MutateTerminalR,SubXD,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,MultXD|AddTreeWithMult|SubXD|SkipD|MutateNonTerminalR|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,9,9,281213.5,0,(((((((5)+(x))*(((7)-(0))*((6)+(0))))*((x)*(6)))*(((1)+(x))*(2)))/(x))*(x)),((((((x)*(0))-(x))/(0))-((1)-(6)))-(1)),5*x*x*x+2*x+7,5
11,-0.7853078092874104,0.17800700638352396,-0.4257701021712039,0.4173088067423701,MutateTerminalR,SubXD,AddTreeWithAdd|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|MultXD,MultXD|AddTreeWithMult|SubXD|SkipD|MutateNonTerminalR|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,9,10,1655355.5,0,((((((((1)*(6))*((8)*(4)))*(((x)*(7))*((4)*(8))))+((4)*((x)*(7))))*(x))/(x))*(x)),((((((x)-(4))/(6))/(0))-((0)-(6)))-(x)),5*x*x*x+2*x+7,5
