stratNum,runTopAStrategy,runTopPStrategy,runFinAStrategy,runFinPStrategy
1,AddTreeWithAdd,MultXD,AddTreeWithAdd,MultXD
2,MutateTerminalR,AddTreeWithMult,MutateTerminalR,AddTreeWithMult
3,AddToLeafR,SubXD,AddToLeafR,SubXD
4,SkipD,SkipD,SkipD,SkipD
5,MultXD,MutateNonTerminalR,MultXD,MutateNonTerminalR
6,MutateTerminalR,DivXD,MutateTerminalR,DivXD
7,AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR
8,MutateNonTerminalR,DivXD,MutateNonTerminalR,DivXD
9,ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,SkipD
10,AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,MutateTerminalR
11,MutateTerminalR,SubXD,MutateTerminalR,AddToLeafR
12,DivXD,SubXD,DivXD,SubXD
13,MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR
14,AddToLeafR,AddTreeWithSub,AddToLeafR,AddTreeWithSub
15,MultXD,DivXD,MultXD,DivXD
