generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.8766845803786009,0.15357743840120225,-0.4781313395334471,0.3960275804865684,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategySkipD|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyMultXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyMutateTerminalR|,StrategyMultXD,StrategyAddToLeafR,0,0,2250864,2250864,(((((((8)+((0)+(9)))*(x))*((x)*((x)*(6))))*(x))-(x))*(x)),(((((7)+(5))/(((x)*((0)/(9)))/((x)*(1))))-((4)-(x)))*(x)),5*x*x*x,1
2,-0.7628962503886777,0.026717405655359357,0.772597934551267,0.21218433628359748,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR|StrategySkipD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|,StrategySubXD,StrategyAddTreeWithAdd,1,1,2694483,2694483,((((((((6)+(x))+(3))*(x))*((x)*(((2)-((8)+(9)))*(4))))*(x))-(x))*(x)),(((((0)+(1))*((x)*((6)-(x))))*(((4)-(4))+((1)*((((6)+(6))-(0))/((3)/((0)*(3)))))))+(x)),5*x*x*x,1
3,-0.9043347375061815,0.1573345388193262,-0.24661147022319949,0.4963959771393678,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddToLeafR|StrategyAddXD|StrategyDivXD|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|,StrategySkipD,StrategyAddTreeWithAdd,1,2,700320.5,700320.5,((((((5)*(x))*((((3)-(8))-((9)*(8)))*(x)))*(x))-(x))*((2)+(4))),((((((((x)+(4))/((0)*(5)))+((6)*(0)))/(((0)+(2))*(x)))/(x))+((6)*(6)))/(x)),5*x*x*x,1
4,-0.7073447286230408,0.06778272731213039,-0.1136578692858738,0.3883746178913156,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|,StrategySubXD,StrategyAddTreeWithMult,3,3,758439,758439,((((((5)*(x))*(((((6)-(0))*((6)+(5)))-(6))*(x)))*(x))-(x))*(x)),((((((4)-((7)+((0)+(7))))-(((7)*(9))*(((0)+(5))*(0))))/(((7)/(0))*((1)*((x)-(x)))))/(x))*(x)),5*x*x*x,1
5,-0.6798574664775734,0.09471453016289945,-0.09816401147324867,0.42526782525987217,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyDivXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|,StrategyAddTreeWithSub,StrategyMutateTerminalR,4,4,2418449,2418449,((((((5)*((4)*(x)))*(((7)+(9))*(((6)-(1))*(5))))*(x))-(x))*(x)),(((((((4)/((6)*(0)))*((x)*((9)-(0))))-((5)+(7)))/((3)*(3)))/(x))*(x)),5*x*x*x,1
6,-0.7022783501106338,0.11581852744609278,-0.39959869387972685,0.3046342117877286,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|,StrategyAddTreeWithMult,StrategyMultXD,5,5,1366431,1366431,(((((((((5)+(7))-(6))*(9))*(x))*((x)*((5)*(2))))*(x))-(x))*(x)),((((((5)*((6)/(0)))/(((6)+(8))-((7)*(1))))*(((9)+(9))*((2)*((x)-(x)))))/(x))*(x)),5*x*x*x,1
7,-0.5959909666108079,0.03495107164752547,-0.17703456471599416,0.4100424228511005,StrategyAddTreeWithDiv|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|,StrategyMutateNonTerminalR,StrategyDivXD,6,6,1721555,1721555,((((((5)*(x))*((x)*(((x)+(1))*(((6)-(4))*(7)))))*(x))-(x))*(x)),((((((5)*((0)*(7)))+(((5)+(0))*((x)*((4)+(6)))))/(((0)-(4))*((0)*(((9)*(8))-(x)))))/(x))*(x)),5*x*x*x,1
8,-0.5820468634087755,0.10284654231202299,-0.21671336407346536,0.662015954624608,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|,StrategyMultXD,StrategyAddTreeWithAdd,7,7,476740,476740,(((((((4)-(9))*((9)*(8)))*(((x)-(1))*(x)))*(x))-(x))*((2)+(3))),(((((((4)*(8))*(x))*((x)*((x)-((8)+(8)))))/(((7)/(3))-((4)*((5)-(9)))))/((0)+(0)))*(x)),5*x*x*x,1
9,-0.38421701256960017,-0.1439463587067022,-0.04144659470021671,0.3402142662191905,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,8,7,1331533.5,1331533.5,((((((5)*((((4)-(7))*(5))*((1)+(6))))*((x)*(x)))*(x))-(x))*(x)),((((((5)*((7)*(2)))*((0)-((9)/(2))))/(((6)*(x))*((6)*((x)-(x)))))/((7)+(4)))*(x)),5*x*x*x,1
10,-0.3382420398047941,-0.06566683553228811,-0.008743439686244903,0.22534373620712622,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategySkipD,StrategyAddTreeWithAdd,9,9,310101,310101,((((((5)-((9)*((3)+(7))))*((x)*((7)+((8)-(3)))))*(x))-(x))*(x)),(((((8)+(9))/(((2)*((3)*(4)))*(((0)+(7))*((x)-(x)))))/(x))*(x)),5*x*x*x,1
11,-0.6204960630654113,0.013856772817754626,-0.036363337139283566,0.20187502871573598,StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyMultXD|StrategySubXD|StrategyMultXD|StrategyAddTreeWithAdd|,StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD|StrategySkipD|StrategyMutateTerminalR|,StrategyAddTreeWithAdd,StrategyMutateTerminalR,10,10,1150776,1150776,((((((5)*((9)-(2)))*(((6)-((8)*(x)))*((9)+(6))))*(x))-(x))*(x)),(((((4)*(3))+(7))/(((0)*((1)+(9)))*((x)-((x)*(x)))))/(1)),5*x*x*x,1
