generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.7607404446794365,0.014367424958906383,0.5361005563931325,0.17211061083623455,0.5361005563931325,0.17211061083623455,StrategyAddAddX,StrategyAddAddX,1,1,((((x)+(x))*(((x)*(x))*(x)))*((x)*(x))),((((5)-(1))*((5)-(5)))-((9)+(4))),5*x*x*x,5
2,-0.6066062434305745,0.03718895469159492,0.5456095599015278,0.17265380805117167,0.5456095599015278,0.17265380805117167,StrategyAddAddX,StrategyAddAddX,2,2,((((x)*((x)+(1)))*((x)*(x)))*((x)*(x))),(((x)*(5))-((((x)+(7))+(7))+((2)*(x)))),5*x*x*x,5
3,-0.2709605470751036,0.044862324282616745,0.696407619083535,0.16976790324833751,0.696407619083535,0.16976790324833751,StrategyAddToLeaf,StrategyMutateNonTerminal,3,3,((((x)*((x)+(4)))*((x)*((x)*(5))))*((x)*(x))),((((9)+(5))-((x)*(0)))+((x)+((1)-(8)))),5*x*x*x,5
4,0.14705136078382544,0.06160565592983815,0.7895678524624404,0.16992105827831833,0.7895678524624404,0.16992105827831833,StrategyAddToLeaf,StrategyAddRandomSubTree,4,4,((((x)*((x)*(4)))*(x))*(((x)*((x)+(6)))*((x)*(x)))),((((5)*((9)*(8)))*((7)*((x)-(1))))+((4)-(5))),5*x*x*x,5
5,0.40328584990706373,0.08746834528158189,0.7634916102174184,0.17811139756412314,0.7634916102174184,0.17811139756412314,StrategyAddAddX,StrategyReplaceBranchX,5,5,((((x)*(x))*((x)*(4)))*((x)*((x)*((x)*((x)+(5)))))),((((5)*(3))+((8)-(5)))*((x)*((0)*(1)))),5*x*x*x,5
6,0.5427890109421157,0.12618621533954955,0.7984818068641536,0.1804575008815915,0.7984818068641536,0.1804575008815915,StrategyAddMultX,StrategyReplaceBranch,6,6,((((x)+(9))*(x))*(((x)*((x)*((x)*(x))))*((x)+(0)))),(((x)+(8))+((5)*(0))),5*x*x*x,5
7,0.5714898400453998,0.14352065153375293,0.7808778609114428,0.1786121309390858,0.7808778609114428,0.1786121309390858,StrategyAddMultX,StrategyReplaceBranchX,7,7,((((x)*((x)*(x)))*(((x)+(x))+(3)))*((x)*((x)+(8)))),((1)*(1)),5*x*x*x,5
8,0.5987956905069692,0.1470655467479462,0.7708467269162798,0.17474093501139024,0.7708467269162798,0.17474093501139024,StrategyAddMultX,StrategyMutateTerminal,8,8,((((x)+((x)*(x)))*(x))*((x)*((x)*((x)+((x)+(2)))))),((0)-(0)),5*x*x*x,5
9,0.6283595387297901,0.15458142764924526,0.8236431143551873,0.19019605005901535,0.8236431143551873,0.19019605005901535,StrategyAddMultX,StrategyMutateNonTerminal,9,9,((((x)+(7))*(x))*((x)*(((x)+(x))*((x)*((x)+(3)))))),((((5)-(x))*((8)+(1)))+((6)*(8))),5*x*x*x,5
10,0.646616911477385,0.15435259211701288,0.8360778894280753,0.18129666738187847,0.8360778894280753,0.18129666738187847,StrategyAddAddX,StrategyMutateNonTerminal,10,10,((((x)*((x)+(x)))*(x))*((x)*((x)*((x)+((x)+(8)))))),((7)+(0)),5*x*x*x,5
11,0.6565817208905774,0.15764123613809755,0.8882396096135845,0.17318776771187447,0.8882396096135845,0.17318776771187447,StrategyMutateTerminal,StrategyReplaceBranch,11,11,((((x)*((x)+(x)))*(x))*(((x)*((x)+(1)))*((x)+(1)))),((7)-(3)),5*x*x*x,5
12,0.6788604862800048,0.15772048448401635,0.8526288072139354,0.18601001057177385,0.8526288072139354,0.18601001057177385,StrategyAddMultX,StrategyMutateNonTerminal,12,12,((((x)*((x)*((x)+(x))))*((x)+((x)+(7))))*((x)*(x))),((((8)-(7))+((2)*((x)+(x))))*((4)*((8)-(0)))),5*x*x*x,5
13,0.6800155782545244,0.1603721520405504,0.8336346113066618,0.18156638610467263,0.8336346113066618,0.18156638610467263,StrategyAddMultX,StrategyReplaceBranch,13,13,((((x)*(x))*(((x)+(x))+(x)))*((x)*((x)*((x)+(5))))),((4)+(x)),5*x*x*x,5
14,0.6781891988929176,0.15997269165642858,0.8417662207057578,0.17747947609894676,0.8417662207057578,0.17747947609894676,StrategyAddMultX,StrategyReplaceBranch,14,14,(((((x)+(1))+((x)*((x)*((x)+(0)))))*(x))*((x)*(x))),(((1)+(2))*((8)-(x))),5*x*x*x,5
15,0.6771741504435671,0.15980615360261494,0.8614560055923319,0.1840348145207523,0.8614560055923319,0.1840348145207523,StrategyAddAddX,StrategyReplaceBranch,15,15,(((((x)+((x)+(0)))*(x))*((x)*((x)+(x))))*((x)*(x))),((4)*(5)),5*x*x*x,5
16,0.6804357804339359,0.15900754344884793,0.9078792380357755,0.18121183886767653,0.9078792380357755,0.18121183886767653,StrategyAddAddX,StrategyMutateNonTerminal,16,16,((((x)*(((x)+((x)+(8)))*((x)+(2))))*(x))*((x)*(x))),((2)-(9)),5*x*x*x,5
17,0.6872930451818544,0.15829396648302935,0.8829847578623241,0.17546014372228286,0.8829847578623241,0.17546014372228286,StrategyAddMultX,StrategyReplaceBranch,17,17,((((x)+(x))*(x))*(((x)*((x)+(x)))*((x)*((x)+(2))))),((((5)*(4))*((5)*(8)))+((8)*(3))),5*x*x*x,5
18,0.7063287837942052,0.16134277892239623,0.8705784773239992,0.18525441061941358,0.8705784773239992,0.18525441061941358,StrategyAddAddX,StrategyReplaceBranch,18,18,((((x)*(((x)*((x)+(4)))*((x)+(9))))*(x))*((x)*(x))),((2)*(5)),5*x*x*x,5
19,0.7271897680282575,0.15857707488613526,0.898371717663465,0.1796105007795399,0.898371717663465,0.1796105007795399,StrategyAddMultX,StrategyReplaceBranch,19,19,(((((x)+((x)+(8)))*(x))*((x)+(0)))*(((x)*(x))*(x))),((4)*(1)),5*x*x*x,5
20,0.7233167033510761,0.16008839123738713,0.8643865051716852,0.17661152589848858,0.8643865051716852,0.17661152589848858,StrategyAddAddX,StrategyReplaceBranch,20,20,((((x)*((x)+(x)))*((x)+(x)))*((x)*((x)*((x)+(x))))),((7)*(5)),5*x*x*x,5
21,0.72646192703862,0.1605684739812598,0.880028757531317,0.17827372374927603,0.880028757531317,0.17827372374927603,StrategyAddAddX,StrategyReplaceBranch,21,21,((((x)*(((x)+((x)+(7)))+(5)))*((x)*(x)))*((x)*(x))),((5)-(3)),5*x*x*x,5
22,0.719471954800243,0.16188189239202685,0.865545707790719,0.1763298330797464,0.865545707790719,0.1763298330797464,StrategyAddAddX,StrategyReplaceBranch,22,22,((((x)*(x))*(x))*((((x)+(x))*((x)+((x)+(7))))*(x))),(((6)+(2))*((9)+(7))),5*x*x*x,5
23,0.7382720291416196,0.16055365297897392,0.926458020085258,0.18986451257149292,0.926458020085258,0.18986451257149292,StrategyAddMultX,StrategyReplaceBranch,23,23,((((x)+(0))*((x)*((x)*((x)+(9)))))*((x)*((x)+(x)))),(((x)*(7))+((4)-(1))),5*x*x*x,5
24,0.7338994666431969,0.15930169197665164,0.9365684419601094,0.1848604396807122,0.9365684419601094,0.1848604396807122,StrategyAddAddX,StrategyReplaceBranch,24,24,((((x)+((x)+(1)))*(x))*(((x)*((x)*((x)+(x))))*(x))),((x)+(2)),5*x*x*x,5
25,0.7478175619363898,0.16213468125797828,0.8772143068373345,0.17679189961936095,0.8772143068373345,0.17679189961936095,StrategyAddAddX,StrategyReplaceBranch,25,25,((((x)*((x)+((x)+((x)+(4)))))*((x)*(x)))*((x)*(x))),((((6)+(9))+((5)*(5)))*((1)+(x))),5*x*x*x,5
26,0.7180441432574266,0.16082664848933947,0.8895549973734735,0.17506660860663603,0.8895549973734735,0.17506660860663603,StrategyAddAddX,StrategyReplaceBranch,26,26,(((((x)*((x)+((x)+(3))))*((x)+(x)))*(x))*((x)*(x))),((((6)+(x))*((6)*(4)))+((5)-(5))),5*x*x*x,5
27,0.723585255510656,0.16042614419343715,0.8791807397694973,0.17462810162984518,0.8791807397694973,0.17462810162984518,StrategyAddAddX,StrategyReplaceBranch,27,27,((((x)*((x)+(5)))*(x))*(((x)*((x)+((x)+(4))))*(x))),((x)+(2)),5*x*x*x,5
28,0.7420466274114055,0.16228153705279397,0.886079092794954,0.18263957493002286,0.886079092794954,0.18263957493002286,StrategyAddAddX,StrategyReplaceBranch,28,28,((((x)*((x)+(3)))*(x))*((((x)+((x)+(1)))*(x))*(x))),(((7)+(7))*((x)+((8)-(7)))),5*x*x*x,5
29,0.7286827388542924,0.16043382759535882,0.8888879422966062,0.18446182851742776,0.8888879422966062,0.18446182851742776,StrategyAddAddX,StrategyReplaceBranch,29,29,((((x)+(x))*(x))*(((x)+(1))*((x)*((x)*((x)+(1)))))),(((0)-(5))*((x)+(7))),5*x*x*x,5
30,0.7241286361786078,0.16212324999090547,0.9198152113249796,0.17825894107234017,0.9198152113249796,0.17825894107234017,StrategyAddAddX,StrategyReplaceBranch,30,30,((((x)*((x)+(0)))*(x))*((x)*((x)*((x)+((x)+(1)))))),((7)-(5)),5*x*x*x,5
31,0.7400799863545532,0.16045952103445746,0.8706347799635918,0.18005279228617835,0.8706347799635918,0.18005279228617835,StrategyAddAddX,StrategyReplaceBranch,31,31,((((x)+(x))*(x))*(((x)*(((x)+((x)+(2)))*(x)))*(x))),((1)-(4)),5*x*x*x,5
32,0.7433917388603518,0.15998399171811153,0.904543834596828,0.17773543625941254,0.904543834596828,0.17773543625941254,StrategyAddAddX,StrategyReplaceBranch,32,32,((((x)*(((x)+(1))*((x)+(x))))*((x)+(0)))*((x)*(x))),(((9)+(7))*((x)*((8)-(4)))),5*x*x*x,5
33,0.735467783311136,0.16113373042721985,0.8706845825697396,0.1798950542474091,0.8706845825697396,0.1798950542474091,StrategyAddAddX,StrategyReplaceBranch,33,33,((((x)*(x))*(x))*(((x)*((x)+(2)))*((x)+((x)+(1))))),(((5)-(8))+((6)*(7))),5*x*x*x,5
34,0.7313628554023016,0.16143945148776478,0.8679873703647722,0.17584892994591508,0.8679873703647722,0.17584892994591508,StrategyAddAddX,StrategyReplaceBranch,34,34,((((x)*((x)*((x)+((x)+(x)))))*(x))*(((x)+(4))*(x))),((((0)*(1))+((4)*((3)*(x))))+((9)-(8))),5*x*x*x,5
35,0.7193176512771557,0.161377798901446,0.8747377705929589,0.17813367770027116,0.8747377705929589,0.17813367770027116,StrategyAddAddX,StrategyReplaceBranch,35,35,((((x)*(((x)+((x)+(6)))+(2)))*(x))*(((x)*(x))*(x))),((x)-(5)),5*x*x*x,5
36,0.7300499858269821,0.16253538467027973,0.879919864734413,0.18125113488054473,0.879919864734413,0.18125113488054473,StrategyAddMultX,StrategyReplaceBranch,36,36,((((x)+(3))*(x))*((((x)*(((x)+(x))+(6)))*(x))*(x))),((0)-(6)),5*x*x*x,5
37,0.7241431459958035,0.1616844732027484,0.8782588044596278,0.18306651133882576,0.8782588044596278,0.18306651133882576,StrategyAddMultX,StrategyReplaceBranch,37,37,((((x)*(((x)+(1))*((x)+((x)+(2)))))*(x))*((x)*(x))),((x)+(2)),5*x*x*x,5
38,0.7316373696728624,0.15986032048315643,0.8828445553134229,0.18273341617187508,0.8828445553134229,0.18273341617187508,StrategyAddAddX,StrategyReplaceBranch,38,38,((((x)*(x))*(x))*((x)*((x)*((x)+(((x)+(x))+(2)))))),((((7)-(1))*((4)-(2)))+((x)+(0))),5*x*x*x,5
39,0.7361037075774641,0.1622926559423845,0.9066174557615538,0.17659641425366032,0.9066174557615538,0.17659641425366032,StrategyAddAddX,StrategyReplaceBranch,39,39,((((x)+((x)+(5)))*((x)*(x)))*((x)*((x)*((x)+(x))))),(((5)*(8))*((1)+(0))),5*x*x*x,5
40,0.7304910718902045,0.16241179988145615,0.8936529476311553,0.18105337863707457,0.8936529476311553,0.18105337863707457,StrategyAddAddX,StrategyReplaceBranch,40,40,((((x)*((x)*((x)+(2))))*((x)+((x)+(1))))*((x)*(x))),(((4)*(x))*((4)-(2))),5*x*x*x,5
41,0.7334233038801738,0.16112150936061606,0.9067840062059234,0.18310247388080444,0.9067840062059234,0.18310247388080444,StrategyAddAddX,StrategyReplaceBranch,41,41,((((x)+(1))*(x))*((((x)+((x)+(0)))*((x)*(x)))*(x))),((7)*(0)),5*x*x*x,5
42,0.7327159445115732,0.1626818603019534,0.8706413570643129,0.1833925478289639,0.8706413570643129,0.1833925478289639,StrategyAddMultX,StrategyReplaceBranch,42,42,((((x)*((x)*((x)+((x)+(8)))))*(x))*((x)*((x)+(1)))),((2)+(4)),5*x*x*x,5
43,0.739276460189829,0.16168056696158162,0.9209242307754709,0.18116136881481093,0.9209242307754709,0.18116136881481093,StrategyAddAddX,StrategyReplaceBranch,43,43,(((((x)+(2))*((x)*((x)+((x)+(x)))))*(x))*((x)*(x))),((4)*(6)),5*x*x*x,5
44,0.7143342874124734,0.1610231286769266,0.8401132997760173,0.1765523273012961,0.8401132997760173,0.1765523273012961,StrategyAddAddX,StrategyReplaceBranch,44,44,((((x)+((x)+(4)))*((x)*((x)*((x)+(x)))))*((x)*(x))),((8)+(2)),5*x*x*x,5
45,0.7467382350998293,0.16161331794053832,0.8623898303398754,0.1750918601073326,0.8623898303398754,0.1750918601073326,StrategyAddAddX,StrategyReplaceBranch,45,45,((((x)+(0))*(x))*(((x)*((x)+(4)))*((x)*((x)+(x))))),((3)+(1)),5*x*x*x,5
46,0.7391193462455423,0.16150704237958116,0.8845858530641881,0.18797074545625148,0.8845858530641881,0.18797074545625148,StrategyAddAddX,StrategyReplaceBranch,46,46,((((x)*((x)+(1)))*(x))*(((x)*((x)+((x)+(1))))*(x))),((1)+(8)),5*x*x*x,5
47,0.729382614052723,0.1639580132130808,0.8747348315804057,0.18180268586120882,0.8747348315804057,0.18180268586120882,StrategyAddAddX,StrategyReplaceBranch,47,47,((((x)*((x)*(x)))*((x)+(0)))*((x)*((x)+((x)+(x))))),(((1)-(4))*((4)-(1))),5*x*x*x,5
