generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,0.8414368703207322,0.1585631296792677,0.9959834454483207,0.25103647501054743,0.9959834454483207,0.25103647501054743,StrategyReplaceBranchX,StrategyReplaceBranchX,1,1,(((3)*(3))*(((x)+(3))-(x))),((x)*((x)*((x)-((5)*(0))))),5*x*x*x,4
2,0.9359392022844011,0.06406079771559867,0.999961123570783,0.12357288587697342,0.999961123570783,0.12357288587697342,StrategyAddTreeWithAdd,StrategyReplaceBranchX,2,2,(((9)*((6)-(8)))*((x)*(x))),(((9)-(4))*((x)+((8)*(((x)-(1))+(9))))),5*x*x*x,4
3,0.9726902535904474,0.027309746409552405,0.9999212793718396,0.07313934420289986,0.9999212793718396,0.07313934420289986,StrategyAddSubX,StrategyAddMultX,3,3,(((6)-(0))-((x)*((x)-(7)))),(((x)-((x)*(x)))*((x)-(((x)-(3))-(3)))),5*x*x*x,4
4,0.983565875306576,0.016434124693424014,0.9998801403813979,0.06974807002901456,0.9998801403813979,0.06974807002901456,StrategyAddTreeWithAdd,StrategyAddRandomSubTreeX,4,4,(((5)*((2)+(x)))*((7)-(1))),(((x)+(1))+(3)),5*x*x*x,4
5,0.9838203847978129,0.016179615202186796,0.9999561678025611,0.0622755361162634,0.9999561678025611,0.0622755361162634,StrategyMutateNonTerminal,StrategyAddMultX,5,5,((4)+(9)),(((x)+(((x)-(2))*(8)))*(0)),5*x*x*x,4
6,0.979442256171835,0.02055774382816514,0.9998224766920251,0.06412616452238033,0.9998224766920251,0.06412616452238033,StrategyAddRandomSubTree,StrategyMutateTerminal,6,6,((((6)-(3))-(8))+((1)+(x))),(((7)+((x)*(x)))+(((x)+(0))*(2))),5*x*x*x,4
7,0.9784050328672177,0.02159496713278226,0.9998864551905112,0.0688320897673285,0.9998864551905112,0.0688320897673285,StrategyAddRandomSubTree,StrategyAddMultX,7,7,(((1)*((2)+(5)))*((7)*((5)-(6)))),((((((x)*((x)-(x)))-(1))-(2))+(5))+(((x)*(3))+(9))),5*x*x*x,4
8,0.9745255087869201,0.02547449121307965,0.9993851650669328,0.08840926047143126,0.9993851650669328,0.08840926047143126,StrategyAddRandomSubTree,StrategyAddRandomSubTreeX,8,8,(((3)-(6))*((4)-(1))),(((6)+(((x)*(4))-(1)))-(((x)-(((x)-(2))*(0)))*((x)-(8)))),5*x*x*x,4
9,0.9721411917704466,0.027858808229553614,0.9984600183780326,0.062073527455099885,0.9984600183780326,0.062073527455099885,StrategyReplaceBranch,StrategyAddSubX,9,9,((3)-((1)-(0))),(((x)-(((x)*(4))-(9)))*((x)+(((x)-(2))-(((x)-(1))*(x))))),5*x*x*x,4
10,0.9709558855996089,0.029044114400390862,0.9955216687619113,0.08017844152491813,0.9955216687619113,0.08017844152491813,StrategyAddTreeWithSub,StrategyAddSubX,10,10,(((6)*(2))+(((0)-(8))*(x))),((4)+((((x)-(6))*(x))*(((x)-(2))*(5)))),5*x*x*x,4
11,0.9658578211399304,0.034142178860069546,0.9937807008822103,0.08246612408954049,0.9937807008822103,0.08246612408954049,StrategyAddTreeWithSub,StrategyAddRandomSubTreeX,11,11,(((6)-(9))*(6)),((7)+(((x)*((x)*(((x)+(1))*(1))))*(7))),5*x*x*x,4
12,0.9666506999466478,0.03334930005335199,0.9934999787349965,0.07788388916264326,0.9934999787349965,0.07788388916264326,StrategyAddTreeWithSub,StrategyAddToLeaf,12,12,(((9)-(x))*(8)),(((((x)-(((x)-(2))*(6)))*(6))+(1))+(6)),5*x*x*x,4
13,0.9638699914246369,0.03613000857536279,0.993768509635282,0.09199592614937874,0.993768509635282,0.09199592614937874,StrategyAddTreeWithAdd,StrategyAddRandomSubTreeX,13,13,(((3)-((4)-(1)))*((9)+(9))),((((x)*(x))*((x)+(6)))+((x)*((x)+((x)*(3))))),5*x*x*x,4
14,0.9654718694410721,0.03452813055892759,0.9969364796243653,0.0765480678772673,0.9969364796243653,0.0765480678772673,StrategyMutateNonTerminal,StrategyAddSubX,14,14,(((3)*((4)-(3)))+((x)*(x))),(((((x)*(8))*(0))+(0))-((7)+(((x)-(4))-(6)))),5*x*x*x,4
15,0.9645281007575853,0.03547189924241473,0.989537285998654,0.07381134821757117,0.989537285998654,0.07381134821757117,StrategyAddTreeWithSub,StrategyAddSubX,15,15,(((8)+((0)-(0)))*((3)*(7))),((((x)*(x))+(((x)*(9))-(((x)-(4))*(6))))+(((x)*(x))-(8))),5*x*x*x,4
16,0.9629160793217559,0.037083920678244175,0.9944767599258278,0.10845794061200328,0.9944767599258278,0.10845794061200328,StrategyAddTreeWithSub,StrategyAddSubX,16,16,((((7)-(5))-(6))-(x)),((((x)*(4))*(8))-(((x)-(x))*(((x)*(2))*(0)))),5*x*x*x,4
17,0.9612700962820965,0.038729903717902615,0.9954660320674392,0.08680460927794126,0.9954660320674392,0.08680460927794126,StrategyAddTreeWithSub,StrategyAddMultX,17,17,(((1)*(8))*((x)-((7)-(9)))),((9)-((((x)*((x)-(3)))*(2))+((x)*((x)-(0))))),5*x*x*x,4
18,0.9639906179717727,0.03600938202822752,0.9949259818024985,0.07008061236006259,0.9949259818024985,0.07008061236006259,StrategySkip,StrategyAddMultX,18,18,(((5)*(x))+((1)*((1)-(7)))),(((3)-((x)+(5)))+((((x)-(6))*(6))*((((x)*(8))*(5))+((x)*(4))))),5*x*x*x,4
19,0.9653047078106384,0.034695292189361626,0.9948865283480598,0.07666926326622363,0.9948865283480598,0.07666926326622363,StrategyAddTreeWithSub,StrategyAddSubX,19,19,(((2)*(x))*(((7)-(7))-(3))),(((x)*((x)*((x)-(4))))-((3)-((x)*((x)*(7))))),5*x*x*x,4
20,0.9625730828874991,0.0374269171125011,0.9956781372462754,0.07871945086179669,0.9956781372462754,0.07871945086179669,StrategyAddTreeWithSub,StrategyAddSubX,20,20,((4)-(((5)-((5)-(0)))-(5))),((((3)+(4))*((x)-((x)*(0))))*(((x)*(7))-(((x)*(((x)-(9))*(x)))-(8)))),5*x*x*x,4
