generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9237421892532741,-0.00019373340007094065,-0.3233819824539197,0.08114007195964863,-0.3233819824539197,0.08114007195964863,StrategyMultXD,StrategyMutateTerminalR,1,1,((((((8)+(5))*(x))*(x))*(((9)-(4))*(((2)-((8)*(x)))-(5))))*((x)*(x))),(((((4)+(7))*((x)-(1)))-(x))/(x)),5*x*x*x,2
2,-0.8360957720664952,0.07623690463174912,-0.06654506777284616,0.16710792531299515,-0.06654506777284616,0.16710792531299515,StrategySkipD,StrategyReplaceBranchR,2,2,((((((((6)*(x))*(x))*((x)*(x)))-((x)/(((3)/(8))*(2))))*(x))*(x))*((6)-(0))),(((((((x)+(9))*((6)*(5)))-((9)*(0)))+(x))+(x))+(x)),5*x*x*x,2
3,-0.5941310668361998,0.2286443009296358,0.5392213172781016,0.368851081000834,0.5392213172781016,0.368851081000834,StrategySkipD,StrategyAddTreeWithMult,3,3,(((((((((5)-(x))*(x))*(((x)*(x))*(x)))*(x))+(x))*(x))+(x))+(x)),((((9)+(4))+(x))/(x)),5*x*x*x,2
4,-0.2214805796396389,0.426713622476627,0.8217294405259236,0.5867877614784787,0.8217294405259236,0.5867877614784787,StrategyAddXD,StrategyAddXD,4,4,((((((((((x)-(1))*(x))*((x)*(x)))*(x))*(x))+(x))*(x))+(x))*(x)),((((((((5)*((8)+(x)))-(((2)*(9))-((3)-(x))))*(((x)*(1))*((((9)+(5))-(9))*((x)*(((2)+(9))*(x))))))/(x))-(x))+(x))/(x)),5*x*x*x,2
5,0.1512793546651957,0.609764869306844,0.8700827871056842,0.7632478391284725,0.8700827871056842,0.7632478391284725,StrategyMutateNonTerminalR,StrategyAddTreeWithSub,5,5,((((((((((0)-(3))+(x))*((x)*(((4)*(2))*(x))))+(x))+(x))*(x))*(x))*(x))*(x)),(((((((x)-(7))*((((6)*(1))*(7))+((7)*((9)+((1)+((0)-(0)))))))-(x))+(x))/(x))/(x)),5*x*x*x,2
6,0.3805230883430169,0.7144444589172797,0.8419884598471233,0.8185330386434633,0.8419884598471233,0.8185330386434633,StrategyMultXD,StrategyDivXD,6,6,(((((((((9)-((0)-(9)))*(x))*((x)*(x)))*(x))*(x))*(x))*(x))*(x)),((((((((x)*((1)*(7)))*(((5)+(0))*((0)*(x))))*(((x)*(3))*((6)+((1)-(6)))))-(x))+(x))/(x))/(x)),5*x*x*x,2
7,0.5830412246106805,0.8030934754855498,0.9722420845594318,0.9049177781515919,0.9722420845594318,0.9049177781515919,StrategyAddTreeWithMult,StrategySkipD,7,7,((((((((((5)*((x)*(x)))*((x)*(x)))*((x)*(6)))+(x))*(x))*(x))*(x))+(x))*(x)),((((((((4)-(3))+(x))*(((x)*(x))*((x)*((x)+(2)))))+(x))-(x))/(x))/(x)),5*x*x*x,2
8,0.7052512099301773,0.858021571221138,0.9766236480476224,0.930170172578253,0.9766236480476224,0.930170172578253,StrategyMultXD,StrategyAddTreeWithAdd,8,8,((((((((((6)-(x))*(x))*((x)*((x)*(x))))-(x))*(x))*(x))*(x))+(x))*(x)),(((((((((6)-(9))*(x))*((x)+(((x)+(3))*(x))))*(((x)*(2))*((x)*((x)*(x)))))/(x))-(x))/(x))/(x)),5*x*x*x,2
9,0.7716336423168723,0.8938357183004804,0.9999476645263947,0.967323904112138,0.9999476645263947,0.967323904112138,StrategySkipD,StrategyReplaceBranchR,9,9,((((((((((5)*(x))*((x)*(x)))*(x))*(x))-(x))*(x))*(x))*(x))*(x)),(((x)-(4))-(x)),5*x*x*x,2
10,0.8266312302086186,0.9211834478871479,0.9998882824409047,0.9620221901805762,0.9998882824409047,0.9620221901805762,StrategyAddXD,StrategyMutateNonTerminalR,10,10,(((((((((((5)*(x))*((x)*(x)))*(x))*(x))-(x))*(x))*(x))*(x))+(x))*(x)),((((((((((5)*((0)+(x)))*((4)*(3)))*(((x)*(x))*((x)*((x)+((x)*(x))))))/(x))/(x))-(x))+(x))/(x))/(x)),5*x*x*x,2
