generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.8788699477689009,0.056686991166464536,-0.33643024736217647,0.17344822805387294,-0.33643024736217647,0.17344822805387294,StrategyReplaceBranchR,StrategyReplaceBranchXR,1,1,(((((((((8)+(x))+(8))*((x)*(x)))*(x))*(x))-(x))+(x))*(x)),((x)*(5)),5*x*x*x,1
2,-0.8069057079478981,0.09656961273404562,0.441122283072492,0.16933152938023693,0.441122283072492,0.16933152938023693,StrategySubXD,StrategyReplaceBranchXR,2,2,(((((((((((0)/(2))+(8))*((3)-(x)))*((x)*(x)))*(x))*(x))-(x))+(9))+(x))*(x)),((((1)*(3))-(9))-((6)-((x)*(2)))),5*x*x*x,1
3,-0.5387646412303245,0.11030905505450064,0.601735354221975,0.1865851996483187,0.601735354221975,0.1865851996483187,StrategyMutateTerminalR,StrategyReplaceBranchR,3,3,(((((((((((8)+(9))*((7)-(x)))*((x)*(x)))*(x))*(x))-(x))+(x))+(x))*(x))*(x)),(((x)+(3))-(x)),5*x*x*x,1
4,-0.1594069005963216,0.10752813640783884,0.8781359117407235,0.18458257796610933,0.8781359117407235,0.18458257796610933,StrategyAddTreeWithSub,StrategySubXD,4,4,(((((((((x)*(x))*((x)*(x)))*(((3)+(x))-(9)))*(x))-(x))+(x))*(x))*(x)),(((x)-(x))-(x)),5*x*x*x,1
5,0.19628541793918475,0.12278148764986169,0.8483762865087869,0.18237422122048103,0.8483762865087869,0.18237422122048103,StrategyMutateTerminalR,StrategyAddTreeWithMult,5,5,(((((((((0)+(5))*(((8)+(x))-(3)))*((x)*(x)))*(x))*(x))+(x))+(x))*(x)),(((3)+(1))/(x)),5*x*x*x,1
6,0.5190486346950266,0.12453404726192087,0.9605004667234677,0.1941778027273326,0.9605004667234677,0.1941778027273326,StrategySkipD,StrategyAddTreeWithAdd,6,6,((((((((((((x)-(4))*(x))*((x)*(x)))*(x))*(x))-(x))+(x))*(x))*(x))-(x))*(x)),(((((9)-(5))-(x))/(x))/(x)),5*x*x*x,1
7,0.7049235707749113,0.1395018282007887,0.920727363589227,0.18088117472854046,0.920727363589227,0.18088117472854046,StrategyAddTreeWithSub,StrategyAddTreeWithDiv,7,7,(((((((((((5)*(x))*((x)*(x)))*((1)-((9)+(x))))*(x))-(x))+(x))+(x))-(x))*(x))*(x)),(((((1)*(6))/((1)+((5)+(3))))/(x))/(x)),5*x*x*x,1
8,0.7658297691965291,0.158009434285286,0.9999999796337126,0.1881948459743756,0.9999999796337126,0.1881948459743756,StrategyAddXD,StrategyReplaceBranchR,8,8,(((((((((((((x)-(1))*(x))*((x)*(x)))*(x))*(x))-(x))+(x))*(x))*(x))-(x))*(x))*(x)),(((x)*(5))-(x)),5*x*x*x,1
9,0.7635909334330512,0.15939526797108713,0.955516487862002,0.18647568674157192,0.955516487862002,0.18647568674157192,StrategySubXD,StrategySkipD,9,9,((((((((((5)*(x))*((x)*((x)-(8))))*(x))*(x))*(x))+(x))+(x))*(x))*(x)),((((((x)*(0))+(((x)+(0))+((x)+((6)-(7)))))/(x))/(x))-(x)),5*x*x*x,1
10,0.7857910965895458,0.16166140073986793,0.9603893228678503,0.180673927104062,0.9603893228678503,0.180673927104062,StrategyAddTreeWithAdd,StrategyAddToLeafR,10,10,((((((((((((4)-(x))*(x))*((x)*(x)))*(x))*((8)+(7)))-(x))+(x))+(x))-(x))*(x))*(x)),(((4)*(8))/(x)),5*x*x*x,1
11,0.8125334478056275,0.1636130366815419,0.9597253487817659,0.18032602822302932,0.9597253487817659,0.18032602822302932,StrategySubXD,StrategySkipD,11,11,(((((((((((x)+(3))*(((4)+(x))-(9)))*((x)*(x)))*(x))*(x))+(x))+(x))-(x))*(x))*(x)),((5)-(2)),5*x*x*x,1
12,0.8065473988760887,0.16110934060071813,0.9999905806230118,0.17250522395354514,0.9999905806230118,0.17250522395354514,StrategyAddTreeWithAdd,StrategyReplaceBranchR,12,12,((((((((((((7)+((4)+(2)))-(1))*(x))*((x)*(x)))*(x))*(x))+(x))+(x))*(x))*(x))*(x)),(((3)+(2))/(x)),5*x*x*x,1
13,0.8273146536130694,0.1604863138270853,0.9649921123676428,0.17983503640255644,0.9649921123676428,0.17983503640255644,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,13,13,((((((((((((7)-(0))*((2)+(x)))*((x)*(x)))*(x))*(x))-(x))+(x))+(x))*(x))*(x))*(x)),(((9)*(6))/(x)),5*x*x*x,1
14,0.8590543701512656,0.15869243267080355,0.9999909488127652,0.18283436422876734,0.9999909488127652,0.18283436422876734,StrategyAddTreeWithAdd,StrategySkipD,14,14,(((((((((((((5)+(x))-(0))*(x))*((x)*(x)))*(x))*(x))-(x))+(x))+(x))*(x))*(x))*(x)),((((((((7)+((3)*(7)))-(((x)-(8))*((x)*(x))))*(((6)+(((6)-(0))+(x)))+((x)-((2)+(4)))))+(x))/(x))/(x))/(x)),5*x*x*x,1
15,0.8569395270881494,0.15841784358046843,0.999486212503698,0.18448786846669646,0.999486212503698,0.18448786846669646,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,15,15,((((((((((((x)-(7))*(x))*((x)*(x)))*(x))*(x))-((3)+(4)))+(x))+(x))-(x))*(x))*(x)),((((4)-(4))/(x))/(x)),5*x*x*x,1
