gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-0.08991543473110639,-0.0724392612471294,-0.06706439232409381,-0.016936957406018326,NaN,NaN,13.000285714285717,3.9417818920673415,-0.6716275764036956,0,0.583533019039498,0.5651675809612219,101.2494047619048,2817.375,330.01428571428585,33.5,((((x)*((7)+(8)))*((4)-((4)-(7))))+(((2)+(1))-((1)/((7)-(x))))),((((x)-(1))-((1)-((2)-(x))))*((x)*((x)+((x)-(x))))),AddTreeWithAdd|SkipD|AddRandomSubTreeR|SubXD|AddTreeWithAdd|SkipD|AddToLeafR|SkipD|AddXD|AddTreeWithSub|SkipD|AddTreeWithDiv|MutateNonTerminalR|MutateTerminalR|AddToLeafR,AddTreeWithAdd|MutateTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|SubXD,SkipD,MutateNonTerminalR,0,0,1,1,0
1,x*x,20,-10,-0.06340372083245743,-0.05764158502065758,-0.024172097260177983,-0.023327317501445427,20.645,297.64475,71.97,6.44,0.5774647887323944,0.014925373134328358,0.7728960181741019,0.3851819257700244,618.5,138.625,2378.5,33,((((1)+(8))*((8)*(x)))-((x)+((x)*(x)))),((((4)*(4))+((3)-(8)))+((4)-((x)-((x)+(x))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,AddTreeWithMult,SubXD,1,0,2,2,0
2,x*x,20,-10,-0.06438869635813817,-0.04398560562917748,-0.030108019263398438,0.016358208955223878,146.3815,904.446,572.91,2.1319999999999997,0.9642507781236105,0.2537313432835821,0.9371089638793278,0.508759343321154,7097.475,269.8,28112.5,25,((((5)+((2)*(x)))*((8)*((9)+(6))))+(((x)-(7))+((5)-((x)*(x))))),((((9)+((2)+(1)))+((0)-((4)-(2))))-(((5)-(3))-((3)-((x)+(9))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,ReplaceBranchR,AddTreeWithMult,1,0,3,3,0
3,x*x,20,-10,-0.0664088038070517,-0.052820464705727044,-0.04232775254163963,0.0007199297629499568,13.663499999999999,541.6682500000001,37.878,2.694,0.028985507246376812,0.014925373134328358,0.4631636413794377,0.4823651054137238,364.8,1043.975,1035,33,((((x)*(2))+((2)*(x)))-((x)-((0)-((3)*(x))))),((((0)*((3)*(6)))-((7)*((8)*(3))))*(((1)+(6))-((1)-((x)-((x)+(x)))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,MultXD,AddTreeWithMult,3,0,4,4,0
4,x*x,20,-10,-0.07908351101634684,-0.04953511575240765,-0.06370149253731343,0.005074626865671641,5.946071428571429,648.4682977001626,16.38,2.51,-0.7164179104477612,0.029850746268656716,0.12497724468649933,0.4770583424900791,96.60357142857143,746.575,285,32.5,(((x)*(7))+((1)*(7))),((((8)*((6)-(5)))+(((0)+(3))-((3)*(2))))*(((1)*(x))-((9)*((x)-((x)+(x)))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,MultXD,MutateNonTerminalR,1,4,5,5,0
5,x*x,20,-10,-0.07116268656716418,-0.06511618069783659,-0.05771940298507463,-0.013406339245517752,8.881499999999999,358.26599999999996,22.392000000000003,3.4,-0.27094527363184073,-0.33663366336633666,0.3237818946641817,0.3510830468466037,262.65,1015.075,732.7,50.5,(((2)+((x)*(3)))*((x)*(x))),((((9)+((2)*(x)))*(((9)*(0))*((7)-(7))))+(((6)+((4)+(2)))+((5)-((7)-((4)+(x)))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,ReplaceBranchR,SubXD,5,4,6,6,0
6,x*x,20,-10,-0.046192816304430645,-0.06397797477956785,0.008666377739252981,-0.03485636844116335,143.1365,14265.464000000002,519.092,17.52,0.9290003532320734,-0.4017857142857143,0.9034693350448942,0.2596725528970441,3656.425,815.25,14155,56,((((7)*((8)-(x)))*((0)/((3)+(4))))*(((x)*(x))-((x)-((x)*(x))))),(((((9)*(5))+((7)*((7)+(x))))-(((0)+((6)*(8)))-((x)*((0)/(3)))))+((((4)*(x))*((x)-((6)-(x))))*(((x)-(x))-((9)*((x)-((x)+(x))))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,SubXD,SubXD,5,5,7,7,0
7,x*x,20,-10,-0.07451243781094527,-0.06111843982044115,-0.0672995024875622,-0.019987500846888124,5.515,6253.91325,12.764000000000001,7.794,-0.812636815920398,-0.06293706293706294,0.07157350601443893,0.4042809484716698,85.075,211.4125,188.3,35.75,((((x)*((x)-(8)))+((1)-((6)+(0))))+(((2)*(x))+((0)/((2)*(x))))),(((((x)-(x))*((1)+((6)-(8))))-(((0)+(3))+((3)*((6)+(6)))))-((((1)-(5))*((x)+(6)))*(((x)*(9))-((x)-((x)-((x)+(x))))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,AddTreeWithMult,AddTreeWithAdd,1,5,8,8,0
8,x*x,20,-10,-0.07573233830845771,-0.04416598157117343,-0.07173930348258707,0.0009159816113487062,4.289,85.98424999999999,8.302,2.891,-0.7640796019900498,0.026865671641791003,0.09671503165615185,0.34331779709295746,100.875,81.225,237.1,32.6,(((4)+((x)+(4)))*((x)*(x))),((((8)-(2))+((4)+((x)-(5))))-((4)-((x)-((x)+(x))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,ReplaceBranchR,SubXD,1,8,9,9,0
9,x*x,20,-10,-0.047124320734889695,-0.046304005229647366,0.03875445835397358,-0.007253738126002574,189.868,13277.4925,746.66,10.436000000000002,0.9398959392380839,0,0.9398860073587727,0.4712001168622425,4227.725,284.3,16721,33.5,((((4)*(7))*((9)+((x)*(x))))+(((x)-(1))*((8)-((x)*(x))))),((((2)+(0))*((6)-(6)))*((9)+((1)-((x)+(x))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,MultXD,SubXD,8,9,10,10,0
10,x*x,20,-10,-0.07562039800995025,-0.054882793698529185,-0.07257711442786069,-0.018490692476970532,4.4014999999999995,7323.154250000001,7.46,5.858,-0.8855721393034826,0.21194029850746274,0.029469651366133647,0.482965659190131,81.5,109.875,115,26.4,(((8)+((7)+(7)))-((9)-((9)*(x)))),((((0)*(2))+((8)+((5)-(2))))-(((2)+(8))-((x)-((x)+(x))))),MultXD|AddTreeWithMult|MutateNonTerminalR|SubXD|SubXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MutateNonTerminalR,MultXD|SubXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|SubXD|AddXD|MutateTerminalR,AddTreeWithMult,SubXD,9,9,11,11,0
