gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-0.13415671641791044,-0.14465034413520556,-0.12796019900497513,-0.09860137654082221,NaN,NaN,NaN,NaN,-0.39800995024875624,0.06865671641791046,0.2597209904170492,1.0343283582089553,293.625,24583.05,605,31.2,(((3)+((8)*(x)))-((x)*((7)+(5)))),(((1)-(3))*((0)-(2))),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddTreeWithSub|SkipD|AddRandomSubTreeR|DivXD|MultXD|MultXD|MutateNonTerminalR|AddXD|ReplaceBranchR|AddToLeafR|AddTreeWithMult,MultXD,MultXD,0,0,1,1,1
1,x*x,20,-10,-0.11181524051297764,-0.10163062400894583,-0.07973459389270655,-0.05510877895066391,NaN,NaN,NaN,NaN,0.8035190615835777,0,1.1522190350809742,0.17577346288874668,1365,42.25,5115,33.5,((((x)*(4))*((x)*((5)-(x))))+((3)+((7)-((x)*(x))))),((x)*(0)),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,SubXD,AddTreeWithDiv,1,1,2,2,1
2,x*x,20,-10,-0.09950733964727107,-0.08989117216713607,-0.07863924889658291,-0.035116417910447756,NaN,NaN,NaN,NaN,0.6849529780564263,0.22388059701492538,0.914591846310815,0.19026917885077116,1531.825,32.95,3190,26,((((x)*(2))*((x)-((x)+(9))))-(((5)*(2))+((4)-((x)*(x))))),(((x)+((0)+(8)))+((9)+(9))),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MultXD,AddTreeWithDiv,0,2,3,3,1
3,x*x,20,-10,-0.04548988642847804,-0.05113348372182422,0.007750292447061602,0.006346914078257359,49.91900000000001,821.07875,130.75,2.474,0.6859963756795601,0.1044776119402985,0.9049248826154278,0.043867831215341095,1472.5500000000002,31.8,3200.6,30,((((x)-(0))*((8)-((x)+(1))))+(((7)*(x))-((x)*((9)+(5))))),((x)+(6)),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MultXD,AddTreeWithDiv,0,3,4,4,1
4,x*x,20,-10,-0.04742264283642004,-0.0445655553307427,0.01575420477372285,0.04149692712906058,NaN,NaN,129.362,1.29,0.6750202101859337,0.08955223880597014,0.5235991478523867,0.19436210779668267,1313.375,38.475,3092.5,30.5,((((8)*(8))+((x)*(2)))+((x)+((8)-((x)*(x))))),((x)+((7)+(x))),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MultXD,MutateNonTerminalR,4,4,5,5,1
5,x*x,20,-10,-0.035741132646826934,-0.04508452361827776,0.040422652963962455,-0.0004502751998696092,2077.922125,495.41580952380946,8231.341999999999,2.7060000000000004,0.9974253914301656,0.06268656716417914,0.9566480371710986,0.17955104204473132,98386.525,41.925,390350.6,31.4,((((x)*((x)*(3)))*((8)*((x)-(x))))+(((6)+(x))*((4)+((4)-((x)*(x)))))),((((8)+(x))+((0)-((4)+(5))))-((x)*((3)-((7)+(x))))),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MultXD,AddTreeWithDiv,5,4,6,6,1
6,x*x,20,-10,-0.045412711518721886,-0.04689868124108763,0.027183482283321424,0.008597014925373132,79.882875,664.3479999999998,288.21,2.3920000000000003,0.8842925728496264,0.08656716417910444,0.8732616202560757,0.47593109159064517,2298.775,378.9,8685.7,30.6,((((x)*((0)+(2)))*((2)*((x)-(x))))-(((9)+(5))+((3)*((x)-((x)*(x)))))),((x)+(5)),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MultXD,MutateNonTerminalR,6,5,7,7,1
7,x*x,20,-10,-0.05329348151363101,-0.04782805702892981,0.015440999318610284,0.01334716767041983,39.7855,663.9579583333334,127.6,2.247,0.49242424242424243,0.11641791044776115,0.6714838516754466,0.5304634685235311,634.15,344.89166666666677,1980,29.6,((((3)+(7))-((x)+((x)*(1))))+((8)*((x)-((x)*(x))))),((x)+(7)),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MultXD,AddTreeWithDiv,5,7,8,8,1
8,x*x,20,-10,-0.04645876638701676,-0.03660989929242131,-0.006702230005489062,0.026215588723051405,43.16541666666667,657.2962222222221,100.294,1.8017777777777781,0.5906313645621182,0.19270315091210594,0.8309206726503189,0.08501940532307264,1194.375,30.386111111111113,2455,27.04444444444445,(((4)*((9)*(x)))-((x)*((5)+(9)))),((((9)+(x))+((x)+(6)))+((8)/((9)*((5)+(5))))),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MultXD,AddTreeWithDiv,8,7,9,9,1
9,x*x,20,-10,-0.030649875920605245,-0.07716499300835321,0.025544153033996944,-0.0009675796055590058,190.98516666666666,1149.596,620.749,2.74,0.9248738553541395,-0.014705882352941176,0.9718209337995853,0.12077598456272558,4510.3,37.975,13377.5,34,((((8)-(7))-((x)*((9)*(6))))+(((0)+(x))*((x)-((x)*(x))))),((x)*(1)),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MultXD,MutateNonTerminalR,7,9,10,10,1
10,x*x,20,-10,-0.05573826683934389,-0.05947983802916404,-0.010533166859863092,0.002945478204757034,158.2065,833.034125,605.1080000000001,2.5885000000000002,0.9650196307743714,0.07462686567164178,0.9452218366678404,0.9650653184233106,7239.225,8219.5,28730.4,31,((((x)*((x)+(5)))*((x)-((x)+(x))))*(((7)+(9))-((4)+((7)*(x))))),((x)+((6)+(x))),AddTreeWithMult|MultXD|ReplaceBranchR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd,DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|AddTreeWithSub|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,MultXD,AddTreeWithDiv,10,7,11,11,1
