gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-0.09531745480318349,-0.08512622125721142,-0.02747175398332545,-0.05034135255863172,NaN,NaN,NaN,NaN,0.5905813337678738,0.09850746268656718,0.7586870070849049,0.2792039210295328,672.9430555555555,45.175,2454.7,30.2,((((8)+((x)-(3)))-((3)*((0)-(x))))+(((3)-(x))*((x)*((x)+(x))))),(((5)*((1)-(7)))-((x)-(6))),ReplaceBranchR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|SkipD|AddTreeWithSub|DivXD|MutateNonTerminalR|SkipD|MultXD|AddXD|AddRandomSubTreeR,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,MutateTerminalR,0,0,1,1,2
1,x*x,20,-10,-0.11394828197982396,-0.08706986726563867,-0.07937403291811122,-0.030251426266490827,NaN,NaN,NaN,6.9879999999999995,0.9929898963829958,-0.18292682926829268,0.9776566520249261,0.3372678470301405,35870.03869047619,188.8,143364.5,41,((((6)/((6)-(3)))+(((x)*(7))*((4)+(4))))+(((2)*(x))*((x)+((x)+((x)*(x)))))),((((x)+(7))+((5)*(0)))*((0)-((x)-((x)*(8))))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,MutateTerminalR,1,0,2,2,2
2,x*x,20,-10,-0.07472598349563646,-0.058177953594051264,0.007488879726685755,0.0033476733977172964,NaN,NaN,4179.919379340958,2.568,0.9945091118693332,-0.014705882352941176,0.946322026280989,0.9235299361542484,45853.625,8233.1,183030.5,34,((((x)+((x)/(8)))*((x)*((5)*(x))))*(((4)*(4))+((x)+((x)*(x))))),(((x)-(1))-((x)-(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,2,2,3,3,2
3,x*x,20,-10,-0.06820012375274855,-0.03648556096165234,-0.03947195517051404,0.012417910447761195,19.198315476190476,59.54510714285714,49.98844444444445,2.2640000000000002,0.4863801298103951,0.026865671641791003,0.6293286059083215,0.4522722604737192,727.1907738095238,125.76249999999999,1956.7,32.6,((((x)-(4))*((7)/((1)*(x))))+(((0)+(x))+((0)+((8)*(x))))),((((x)*((x)+(0)))+(((x)+(0))+((x)-(3))))-(((6)*(1))*((0)*((1)-((x)-(x)))))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,MutateTerminalR,3,3,4,4,2
4,x*x,20,-10,-0.06368577649223249,-0.02190782215378512,0.00866267406613354,0.002652040999820174,753.6215833333334,19.873166666666666,2965.396222222222,2.6220000000000003,0.9913310952320161,0.11641791044776115,1.3764210781619006,0.22423871225988865,29530.5875,39.65833333333333,115931.6,29.6,((((6)*((7)+(8)))/(((8)-(x))*((0)-(9))))*(((x)*(x))*((x)+((x)+((x)*(x)))))),(((x)+(7))*((1)+(0))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,MutateTerminalR,4,3,5,5,2
5,x*x,20,-10,-0.07165257544260795,-0.04317546873704417,0.02815595030253669,-0.003135765823789123,NaN,NaN,3582.107818181818,2.8280000000000003,0.9940136096563752,0.14029850746268654,0.9740726026112644,0.34999583755129954,42005.340625,44.099999999999994,167880.8,28.8,((((9)-((8)*(9)))*((x)*((9)*(x))))*(((x)-(7))/((9)+((x)+((x)*(x)))))),((x)+(9)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,MutateTerminalR,2,0,6,6,2
6,x*x,20,-10,-0.0766542483074083,-0.02776051382190432,-0.0030070668316365713,0.03892537313432836,13338.896379761905,299.7005,53315.08228571429,1.376,0.9996223406156208,0.40298507462686567,1.2507429077129004,0.5377273126686748,665312.555,85.3,2661128.1,20,((((x)*((x)*(x)))*((x)*((9)*(x))))*(((0)+(2))+((9)/((5)+((x)*(x)))))),(((x)-(4))*((x)+(0))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,MutateTerminalR,2,6,7,7,2
7,x*x,20,-10,-0.07218355493345348,-0.028240245412560795,-0.016256969793041608,0.04240893796911397,29.724613174603178,342.97625,91.23808888888888,1.26,0.6675854465270121,1,1.1206245685134246,0.762935720358409,961.748,28.9,3023.3333333333335,0,((((x)*(6))*((2)+((0)*(x))))+(((x)-(2))/((6)+((x)*(x))))),((x)*(x)),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,2,6,8,8,2
8,x*x,20,-10,-0.09931178356177836,-0.032138141096183376,-0.030351806099667727,0.004595364884122105,NaN,NaN,2612.4756666666667,2.546,0.9922770250331973,0.04776119402985079,1.020729176526429,0.15195816756403743,33121.94226190476,39,130131.2,31.9,((((x)*(8))*((x)*((8)*(x))))+((x)+((0)/((5)*(x))))),((x)+((2)-(x))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,MutateTerminalR,8,8,9,9,2
9,x*x,20,-10,-0.034571662315540826,-0.03289905097408653,0.01010558679191796,0.010388059701492536,NaN,NaN,12550.735428571428,2.332,0.9982408157013762,0.16417910447761194,1.4381389868294279,0.1224071401520834,148780.41666666666,33.5,571287.5,28,((((x)*((x)-(6)))/(((8)*(6))*((x)*(9))))*(((6)*((8)+(6)))+((x)+((x)*((9)/(3)))))),(((4)+((x)*(2)))-((x)*((3)-(x)))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,MutateTerminalR,9,9,10,10,2
10,x*x,20,-10,-0.07573873688165754,-0.017005847278771618,0.005873481755530443,0.008119402985074624,6532.351857142857,168.607,26118.18,2.408,0.9992277007228875,0.11641791044776115,0.9418974393327944,0.17974050292470967,325432.64642857143,40.15,1301309,29.6,((((8)*((5)*(2)))+(((0)*(x))*((x)*(8))))*(((x)-((0)+(x)))+((8)/((4)+((4)*(x)))))),((x)+((9)-(2))),ReplaceBranchR|MultXD|AddToLeafR|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddXD|MultXD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithDiv,SubXD|MultXD|SubXD|AddToLeafR|SubXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,SubXD,8,8,11,11,2
