gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-0.0990965469600034,-0.11338209527377324,-0.04130161072558571,-0.036770907367922295,NaN,NaN,58.77879999999998,657.243111111111,0.6162129960590228,0,0.7844542765441096,1.1537470297417212,690.5599999999997,NaN,2618.639999999999,33.5,((((3)+(0))*((2)+((9)*(9))))/(((5)*(x))-((2)*((x)-(4))))),(((x)-(x))/((2)+(8))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchR|SkipD|SkipD|AddToLeafR|ReplaceBranchR|ReplaceBranchR|DivXD|AddRandomSubTreeR|SkipD,AddRandomSubTreeR,ReplaceBranchXR,0,0,1,1,3
1,x*x,20,-10,-0.04758455924232861,-0.10411155914843122,0.035287633677451725,-0.03699063505999414,120.153,1640.5048333333334,446.066,657.2493333333333,0.9117259552042161,0.07462686567164178,0.927925716412363,0.954588012475595,2889.25,8274.625,11385,31,((((1)+((5)-(5)))*((8)*((6)-(5))))*(((x)+(9))*((8)-((4)*(x))))),(((1)+((x)+(x)))-((3)-(8))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|ReplaceBranchR|MutateNonTerminalR|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,AddToLeafR,1,0,2,2,3
2,x*x,20,-10,-0.06636207152830746,-0.1078530920518639,-0.012970674172931303,-0.03969710272168569,404.01550000000003,1642.9275,1608.5020000000002,657.34,0.9872871868758231,0.014925373134328358,0.9794528426385403,0.9583554245325551,19784.925000000003,8219.625,79054.1,33,((((8)*((x)*(2)))*((6)-((x)*(3))))-(((5)+(6))*((x)+((x)-(1))))),((x)-((x)-(x))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|SkipD|SkipD|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,SkipD,2,1,3,3,3
3,x*x,20,-10,-0.048268215080410924,-0.09779975173706315,0.0002588271058803548,0.0041878841088674275,73.47,1486.0075,245.39,2.54,0.8967695547224077,0.11940298507462686,0.8981505787979309,1.190167883785421,2522.025,16399.25,9735.5,29.5,((((7)*(0))-((5)-((6)*(1))))*((6)*((4)*((5)+(1))))),((x)+((6)-(x))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|SkipD|SkipD|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,SkipD,2,1,4,4,3
4,x*x,20,-10,-0.0576468969685597,-0.11015071161732845,0.001412412125761211,0.0013823903737128346,281.385,1644.5324583333336,1117.5,2.6756666666666664,0.9810924962608295,0.08084577114427868,0.971477447533155,1.1381624382019966,13317.15,16401.072916666668,53153.5,30.791666666666664,((((8)*(3))+((7)*((2)+(9))))*(((7)+(6))*((0)-((5)-(3))))),((((2)*(3))+((x)+(8)))/((2)*((6)*((x)-(x))))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|SkipD|SkipD|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,SkipD,4,1,5,5,3
5,x*x,20,-10,-0.05699435930332209,-0.09419516592778215,0.0014852493538758148,0.020823880597014927,874.4455,1478.8716,3487.192,1.9824000000000002,0.9933517016005531,0.2537313432835821,0.9689335289064981,1.212003541379605,37834.25,16398.875,151166.5,25,((((4)+(0))+((4)*((5)*(9))))*(((7)*(2))*((5)+((5)*(3))))),(((x)-(4))*((x)-(x))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|SkipD|SkipD|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,SkipD,5,1,6,6,3
6,x*x,20,-10,-0.05817810594456034,-0.11347140746573964,0.008326382191907894,-0.04578716008996115,NaN,NaN,421.11,NaN,0.9379763631314222,0.1044776119402985,0.9189363982414516,1.1816176133714558,4137.45,16399.5,16203.5,30,((((5)-(0))*((7)*((7)*(5))))+((5)+((1)*((2)-(8))))),((x)+((5)-(x))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|SkipD|SkipD|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,SkipD,2,6,7,7,3
7,x*x,20,-10,-0.043490771450890885,-0.13018655777832328,0.013193631826765933,-0.04074623111329309,1355.5225,2578.65075,5358.922,2450.523,0.9962018858298218,-0.03179190751445091,0.9152890891761528,0.9841040462427747,66763.75,24583.9,264605,34.6,((((8)*(8))+((x)*(6)))*((4)*((x)*((5)*(7))))),((x)*((3)-(x))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|SkipD|SkipD|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,SkipD,6,1,8,8,3
8,x*x,20,-10,-0.05083769934731959,-0.11768638059701492,0.005803431466443034,-0.03880522388059701,80.61033333333333,1966.645,291.4413333333333,657.44,0.917351294007352,0.5522388059701493,0.8377247663034613,1.4317470988119936,3280.85,16392.25,12159.9,15,((((8)-(6))-((x)*((3)*(3))))+((x)*((4)*((6)*(5))))),(((x)-(2))*((x)-(x))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|SkipD|SkipD|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,SkipD,7,7,9,9,3
9,x*x,20,-10,-0.044873523075791226,-0.1172904542737504,0.02827761899991726,0.00034939433268440373,176.7653575351006,1804.308,674.672,2.69,0.9626088250613885,-0.1625,0.8507229901591149,0.9724127073093825,7011.8875,16410.375,26878,40,((((5)*(6))*((5)-((1)*(2))))-(((6)-(4))*((x)+((4)*(5))))),((x)*((7)-(x))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|SkipD|SkipD|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,SkipD,7,9,10,10,3
10,x*x,20,-10,-0.06010026789131267,-0.13685091981950712,-0.020578185993111363,-0.04597014925373134,21.182,2293.93,64.45,1310.88,0.38153846153846155,0.8507462686567164,0.6429052550460013,1.4253731343283582,493.85,24576.5,1625,5,(((x)*((1)*(6)))*((9)*(6))),(((x)+(0))*((x)-(x))),AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|SkipD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR,AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|MultXD|SkipD|SkipD|AddToLeafR|SubXD|SkipD|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,SkipD,10,9,11,11,3
