gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-0.16,-0.08876657394904573,-0.16,0.005851809522769797,NaN,NaN,NaN,2.4844821428571424,-2,-0.008325624421831638,0,0.4666579597038313,NaN,670.3203125,0,33.78125,((((6)*((x)*(5)))*((7)+((x)/(x))))/(((8)+(x))/((x)/((x)/(x))))),((((x)*(6))-((7)-(2)))-((x)*((3)/((6)*(8))))),AddTreeWithDiv|SubXD|MutateNonTerminalR|AddXD|AddTreeWithAdd|ReplaceBranchXR|SkipD|MutateTerminalR|MutateTerminalR|DivXD|AddTreeWithDiv|AddXD|DivXD|DivXD|DivXD,AddToLeafR|DivXD|ReplaceBranchXR|AddToLeafR|SubXD|AddToLeafR|DivXD|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,DivXD,AddToLeafR,0,0,1,1,4
1,x*x,20,-10,-0.1496836650082919,-0.07613723308919981,-0.1187346600331675,0.013966675016724684,NaN,NaN,NaN,2.212116386939723,-0.9650912106135986,0.2328358208955224,0.5174543946932006,1.0473342000745305,8.770833333333334,8214.775,35.083333333333336,25.7,((((x)+((5)*(x)))-(((x)/(0))-((2)/(8))))*(((3)*(x))+((x)-((x)-((x)/(3)))))),((3)*(6)),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddRandomSubTreeR,1,1,2,2,4
2,x*x,20,-10,-0.14964842454394695,-0.07131629472627457,-0.11859369817578774,-0.029313432835820896,NaN,NaN,NaN,NaN,-0.9626865671641791,0.17014925373134326,0.5186567164179104,0.21764788927415252,9.375,36.05,37.5,27.8,((((x)*((0)/(7)))/((2)*((9)/(6))))-(((1)*(x))+((x)-((4)-(x))))),((9)-((0)-(x))),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddTreeWithMult,2,2,3,3,4
3,x*x,20,-10,-0.15475248756218904,-0.10713938412733831,-0.1390099502487562,-0.05171433703096968,NaN,NaN,NaN,NaN,-0.950497512437811,0.19104477611940293,0.5247512437810945,1.0420942024190183,NaN,NaN,49.75,27.1,((((x)+((1)*(0)))*(((8)-(x))/((1)/(2))))/(((5)-(1))*((x)+((x)-((x)-(x)))))),((8)+(4)),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddTreeWithMult,1,3,4,4,4
4,x*x,20,-10,-0.14461344073284374,-0.07675578771201791,-0.11874176735370766,0.011880597014925373,NaN,NaN,NaN,2.282,-0.9691127694859039,0.06865671641791046,0.5904619944554638,0.9755961078948857,NaN,NaN,31.041666666666664,31.2,((((x)*((x)/(3)))-((5)/((2)*(4))))*(((x)+(x))-((2)/((3)-(x))))),((1)*((4)+(x))),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddRandomSubTreeR,4,4,5,5,4
5,x*x,20,-10,-0.16,-0.10829284536133069,-0.16,0.011078358208955223,NaN,NaN,NaN,2.33,-2,0.23880597014925373,0,1.133384387817868,NaN,NaN,NaN,25.5,((((x)*((7)-(6)))-(((x)*(6))*((6)/(x))))/(((x)*(4))+((x)-((x)-((2)/(7)))))),(((5)*(4))-((x)+(x))),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddRandomSubTreeR,1,3,6,6,4
6,x*x,20,-10,-0.16,-0.11678682949827132,-0.16,-0.007954060919033525,NaN,NaN,NaN,3.032,-2,-0.25555555555555554,0,0.8537438473542367,NaN,NaN,NaN,45,((((x)*((2)*(0)))-(((x)+(0))-((3)/(8))))/(((6)/(x))*((x)+((x)-((x)-(8)))))),((x)-((8)+(3))),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddRandomSubTreeR,1,6,7,7,4
7,x*x,20,-10,-0.13615446993316685,-0.08974843132931827,-0.06461787973266736,0.022741245969007732,NaN,NaN,70.23255158730159,5.894,0.7087800637496378,1,1.354390031874819,1.0126394158481657,NaN,NaN,3451,0,((((5)*((3)*(x)))*(((7)-(x))/((2)/(2))))/(((9)-(8))*((x)+((x)-((x)-(x)))))),((x)*(x)),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddRandomSubTreeR,6,6,8,8,4
8,x*x,20,-10,-0.14972330016583746,-0.05348828708450862,-0.11889320066334992,0.011582089552238805,NaN,NaN,NaN,2.292,-0.9664179104477612,0.11641791044776115,0.5167910447761195,1.035009072952758,NaN,NaN,33.75,29.6,((((7)*((4)-(8)))-((x)-((x)/(5))))/(((3)/(8))*((x)+((x)-((x)-(x)))))),((x)+((5)*(9))),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddRandomSubTreeR,6,8,9,9,4
9,x*x,20,-10,-0.14445236837349695,-0.08193975519323413,-0.09780947349398783,0.010781808134707612,NaN,NaN,2.201479138542244,2.3188094274872952,-0.9615020137408198,0.18208955223880602,0.51924899312959,1.0142637357819306,NaN,NaN,38.69047619047619,27.4,((((x)+((x)/(7)))/((1)*((1)/(1))))-(((4)*(x))+((x)-((2)-(x))))),((5)+(6)),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddTreeWithMult,6,6,10,10,4
10,x*x,20,-10,-0.15483594527363184,-0.09111090557562021,-0.13934378109452739,0.010345662989400822,NaN,NaN,NaN,2.3339999999999996,-0.9671890547263682,-0.028985507246376812,0.5164054726368159,0.9479843916034327,NaN,NaN,32.975,34.5,((((x)-((x)-(1)))/((2)/((3)/(6))))*(((4)*(x))+((x)-((x)-(x))))),((4)-(5)),SubXD|AddRandomSubTreeR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub|MultXD|AddXD|SubXD|AddTreeWithMult|SubXD|SkipD|AddTreeWithDiv|SkipD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|DivXD|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR,SubXD,AddTreeWithMult,9,8,11,11,4
