A,P,AFinal,PFinal,AGen,PGen,count,run
MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,0,0,0,4
SubXD,AddXD,SubXD,AddXD,0,0,1,4
ReplaceBranchXR,ReplaceBranchR,ReplaceBranchXR,ReplaceBranchR,0,0,2,4
ReplaceBranchXR,MultXD,ReplaceBranchXR,MultXD,0,0,3,4
AddXD,AddTreeWithDiv,AddXD,AddTreeWithDiv,0,0,4,4
MutateTerminalR,AddRandomSubTreeR,SkipD,AddRandomSubTreeR,0,0,5,4
AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,MutateNonTerminalR,0,0,6,4
AddToLeafR,AddXD,AddToLeafR,AddXD,0,0,7,4
AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchXR,AddRandomSubTreeR,0,0,8,4
MultXD,MutateTerminalR,MultXD,MutateTerminalR,0,0,9,4
SkipD,MutateTerminalR,SkipD,MutateTerminalR,0,0,10,4
AddTreeWithDiv,ReplaceBranchXR,AddTreeWithDiv,ReplaceBranchXR,0,0,11,4
ReplaceBranchXR,SkipD,ReplaceBranchXR,SkipD,0,0,12,4
AddXD,MutateTerminalR,AddXD,MutateTerminalR,0,0,13,4
AddTreeWithMult,MultXD,AddTreeWithMult,MultXD,0,0,14,4
