gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-2.8174955636107866,-2.7029082453757955,-0.7731890368349457,-0.035890792756262765,NaN,NaN,NaN,NaN,0.9992023366377497,1,0.6492710077129307,0.8012930003588392,69298.07199999999,159.74285714285716,1259930,0,((((8)+((0)-(2)))*(((1)-(x))*((x)-(x))))*(((3)+(9))*((x)*((x)-((x)*(x)))))),((x)*(x)),AddToLeafR|SkipD|AddTreeWithAdd|ReplaceBranchR|SubXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,SubXD|MultXD|SubXD|AddTreeWithMult|AddTreeWithDiv|AddXD|MutateNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR,AddTreeWithAdd,ReplaceBranchXR,0,0,1,1,1
1,x*x,20,-10,-1.226183721975,-1.2610038873095653,0.3756075123191714,0.647967034321579,NaN,NaN,820765.3146943002,12.041246591179775,-0.8756218905472637,0.22462686567164175,0.5707626816448198,2.2266510999413884,NaN,NaN,125,25.975,((3)*((8)*(x))),(((3)/((4)*(9)))+((3)+(6))),ReplaceBranchXR|AddXD|ReplaceBranchXR|DivXD|MutateTerminalR|MutateNonTerminalR|SkipD|MutateNonTerminalR|SubXD|AddXD|AddTreeWithDiv|ReplaceBranchR|ReplaceBranchXR|MultXD|ReplaceBranchR,AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|AddXD|SkipD|ReplaceBranchXR|AddTreeWithAdd|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithDiv,ReplaceBranchXR,MutateNonTerminalR,0,1,2,2,1
2,x*x,20,-10,-0.3628269424290385,-0.4843621225548389,0.8730491301175981,0.7825671641791045,NaN,NaN,1758393.115933334,7.284,0.9959426242116142,0.37910447761194027,2.020665536495649,0.8086173097938874,NaN,NaN,247697.04666666657,20.8,((((x)*((x)+(1)))*(((x)*(x))/((5)-(8))))+(((8)+((3)/(9)))*((x)*((x)*((x)+(x)))))),(((x)+((4)*(x)))-((6)-(0))),AddRandomSubTreeR|AddTreeWithDiv|SubXD|AddXD|AddTreeWithDiv|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddTreeWithDiv|MultXD|AddTreeWithAdd|MultXD|MultXD|ReplaceBranchXR|AddXD,MultXD|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|AddXD|SkipD|AddToLeafR|ReplaceBranchR|SubXD|MutateTerminalR|MutateNonTerminalR|MutateTerminalR,MultXD,MultXD,0,1,3,3,1
3,x*x,20,-10,0.0516592501189359,-0.29155630879961797,0.9873418885131201,0.6615701492537315,473098.1605704179,276635.97517977556,14655874.506,11.3374,0.9999954604833723,0.8507462686567164,0.5278280186738085,0.11965132871560033,5709139.924,30.61,221389210,5,((((x)*((8)+(8)))*(((6)*(2))+((9)-(2))))*(((x)*((x)*(x)))*((9)+((6)-((x)*(x)))))),(((x)*((x)+(x)))+((x)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR|AddXD|AddXD|AddToLeafR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,AddXD,3,2,4,4,1
4,x*x,20,-10,0.5029095883513424,-0.1870455111059459,0.9984643615608648,0.6266524520255864,3599463.0049000005,190072.15780000002,134176562.22100002,12.507142857142858,0.9999997929694205,1,0.8487208212166484,0.24893751179602172,114161802.39,39.263999999999996,4854355345,0,((((4)-((x)*(9)))*(((5)*(x))*((x)*(x))))*(((x)+(x))*((x)*((x)*((x)*(x)))))),(((7)*((0)+(x)))*((x)+((x)-(x)))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,4,3,5,5,1
5,x*x,20,-10,0.5976325670161221,-0.08319635623085432,0.9999034205845996,0.641850746268657,2107845.9734199997,16048.153100000001,61395944.29999999,11.998000000000001,0.9999987738334073,0.2537313432835821,0.6704881912170568,0.2332057591478939,16935053.524,40.215,819627615,25,((((4)+((4)*(7)))*(((x)*(9))*((4)+(7))))*(((x)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((5)*(5)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR|AddXD|AddXD|AddToLeafR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,AddXD,5,4,6,6,1
6,x*x,20,-10,0.5896669735117505,-0.0698567954576138,0.9999192855528191,0.7479402985074626,1278599.4358199993,30353.217320000003,29608314.812,8.444,0.9999938706635543,0.2537313432835821,0.6366230071037002,0.15477969662794444,5137091.351,31.578000000000003,163965546.5,25,((((8)*((8)*(5)))*(((9)+(5))*((2)*(x))))*(((x)*((x)+(x)))*((2)+((7)-((x)*(x)))))),(((x)-((7)+(2)))+((5)*((6)-(x)))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchR,6,6,7,7,1
7,x*x,20,-10,0.5880211167821263,-0.0543429240540769,0.9999110307718072,0.5889552238805972,1280001.3889600001,2979.6322199999995,35122062.15199999,13.770000000000003,0.9999878609426409,1,0.6810449016134847,0.2924687763826842,4108566.1539999996,42.31399999999999,82790613,0,((((0)+((5)*(6)))+(((9)-(1))*((8)-(0))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((x)*(x)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,6,6,8,8,1
8,x*x,20,-10,0.5754492929096658,-0.0431862161135699,0.9998614730223163,0.6410746268656718,1660680.3229799995,4597.69882,47749399.453999996,12.024000000000001,0.9999959144392103,1,0.6408854514636319,0.25728770149195634,7765007.11,41.60799999999999,245988262.5,0,((((5)*((5)*(9)))*(((4)*(3))+((7)+(6))))*(((x)*((x)*(x)))+((x)*((x)-((x)*(x)))))),((x)*(x)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,8,6,9,9,1
9,x*x,20,-10,0.5222170243560702,-0.046845393088185444,0.9999152296930164,0.5558805970149255,NaN,NaN,43064823.359,14.878000000000002,0.9999767807090804,1,2.5451037183243597,1.0441883131126177,NaN,NaN,43282975.5,0,((((7)*((9)*(7)))*(((x)*(x))-((5)*(x))))*(((5)+((0)+(4)))+((7)*((x)-((x)*(x)))))),((x)*(x)),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|DivXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|MultXD|SubXD|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR|AddXD|AddXD|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,AddXD,7,6,10,10,1
10,x*x,20,-10,0.5963435848538734,-0.0434341716060031,0.9999135851255575,0.5155223880597015,1960333.1503799993,8568.994679999998,49573421.017,16.229999999999997,0.9999970117298701,0.2537313432835821,0.6164016080848652,0.198810924043647,11228465.84,33.098,336314977,25,((((x)*((6)+(3)))+(((7)+(8))*((9)*(9))))*(((x)*((5)-(x)))*((x)*((x)-((x)*(x)))))),(((8)+((6)+(4)))*((2)-(x))),AddToLeafR|SkipD|MultXD|AddToLeafR|MultXD|ReplaceBranchR|MultXD|AddTreeWithSub|AddXD|MultXD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|SubXD|MultXD,AddXD|SkipD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddXD|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|SubXD|ReplaceBranchR|ReplaceBranchR,MultXD,ReplaceBranchXR,10,10,11,11,1
