gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-2.7938788269478265,-2.9300108410871566,-0.6594326380292282,-0.6141588758743188,NaN,NaN,NaN,NaN,0.9987715438210488,0.8417910447761194,0.7928961315927816,1.0214394332908572,22799.319000000003,NaN,818100,5.3,((((x)*((5)*(8)))+((4)*((5)-(4))))*(((0)+(x))*((6)*((9)+((x)*(x)))))),((((4)*(0))+((x)*(x)))-((2)+((x)-((x)+(x))))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub|AddToLeafR|MutateTerminalR|MutateTerminalR|ReplaceBranchXR|AddXD|AddToLeafR|AddToLeafR|MultXD|ReplaceBranchXR,ReplaceBranchXR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddXD|SkipD|MultXD|MutateNonTerminalR|AddRandomSubTreeR|MutateTerminalR|SubXD|MutateTerminalR|AddXD|SubXD|AddXD,AddToLeafR,SubXD,0,0,1,1,2
1,x*x,20,-10,-1.539915791641958,-1.5198194287898865,0.18107186831215485,0.43060409712784886,NaN,NaN,NaN,19.074762746217072,0.9805843248850997,1,2.1349635130495117,1.8769042292343292,NaN,NaN,51762.3,0,(((((x)+(x))-((7)*(5)))*(((4)*(3))+((9)-(8))))*(((2)+((0)-(5)))-((6)-((0)/((4)*(x)))))),(((((9)*(0))-((0)*(x)))/(((2)-(1))*((5)+((2)*(1)))))+(((x)-((6)+(5)))*(((8)*(8))*((2)+((x)*(x)))))),AddTreeWithAdd|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SubXD|MutateNonTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithSub|MultXD|AddTreeWithSub|AddTreeWithSub,AddTreeWithDiv|AddXD|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithDiv|AddToLeafR|ReplaceBranchR|AddToLeafR|MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithAdd,AddToLeafR,0,1,2,2,2
2,x*x,20,-10,-0.6892358223037622,-1.0459932708797433,0.7066176859293796,0.4845346718471172,NaN,NaN,124343.53526984128,26.284619047619046,0.9856590214743668,1,1.8177574601876274,0.9883998184106515,NaN,NaN,70078.9,0,((((5)-((6)-(3)))*(((9)*(x))+((3)-(x))))-(((2)-((3)*(x)))+((5)-((3)*((x)*(x)))))),((((6)+(3))*((x)*((x)*(x))))*(((0)*(1))+((2)+((x)*(x))))),SubXD|AddToLeafR|AddTreeWithSub|MutateTerminalR|MultXD|AddToLeafR|AddTreeWithSub|AddXD|SkipD|MultXD|AddTreeWithDiv|AddTreeWithSub|MultXD|AddTreeWithSub|ReplaceBranchR,SkipD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|SkipD|MultXD|AddToLeafR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|SkipD|MultXD|AddRandomSubTreeR|MutateNonTerminalR|SkipD,AddTreeWithSub,SkipD,2,2,3,3,2
3,x*x,20,-10,-0.3098405361851404,-0.86224794876361,0.9139813890974746,0.5077164356470767,NaN,NaN,497560.2100833333,20.192333333333334,0.9960687672358153,0.18208955223880602,0.9824440353250165,0.90008589453277,NaN,NaN,255645,27.4,((((3)+(9))*((6)*((8)-(1))))+(((9)-(x))*((x)*((8)*(7))))),(((8)-((3)-(0)))-((2)*(3))),SkipD|AddXD|AddTreeWithDiv|ReplaceBranchR|SubXD|MutateTerminalR|MultXD|MultXD|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR|SkipD|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR,AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|SkipD|ReplaceBranchR|MultXD|AddTreeWithSub|AddRandomSubTreeR|MutateNonTerminalR,SkipD,MultXD,2,1,4,4,2
4,x*x,20,-10,0.07547046945501207,-0.8326881397191385,0.9850340860345529,0.569332748024583,NaN,NaN,399371.5320000001,14.427500000000004,0.9948444353245954,0.7014925373134329,1.0670101194816173,1.2029774491906717,NaN,NaN,194935,10,((((6)-((1)-(x)))*((8)*((3)-(2))))+(((7)*(8))*((x)-((5)*(x))))),((x)+((2)*(x))),AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|MultXD|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|SkipD|MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithAdd|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|AddRandomSubTreeR,AddTreeWithSub,SkipD,2,3,5,5,2
5,x*x,20,-10,0.30011659430676313,-0.6662580557522456,0.9950990136382966,0.7138507462686567,NaN,NaN,1278799.6719999998,9.586,0.9966671364732997,1,1.3226848261032416,0.8111753834526859,NaN,NaN,301542.5,0,((((2)+((6)-(x)))*((x)-((9)*(5))))*(((6)-(2))-((9)*((x)*(x))))),((((x)*((0)*(3)))-((2)-((1)*(7))))-(((3)-(2))+((3)*((x)*(x))))),AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|MultXD|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|SkipD|MultXD|AddToLeafR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|SkipD,AddTreeWithSub,SkipD,2,5,6,6,2
6,x*x,20,-10,0.4645926634917425,-0.6888557195456841,0.9957734803259006,0.7190820895522388,245234.87033965322,874002.0969435512,7300697.935000001,9.41075,0.9999954008561496,0.7313432835820896,0.61159398327768,0.45812660570976055,5492193.035,721.638,218518931.5,9,((((7)*((x)*(x)))+(((8)+(8))*((7)+(3))))*(((3)*((9)*(7)))+((8)*((3)*((x)*(x)))))),((x)*((x)-(9))),AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|AddTreeWithAdd|MultXD|MultXD|MultXD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,AddTreeWithAdd,ReplaceBranchR,6,6,7,7,2
7,x*x,20,-10,0.5586842770241058,-0.6072523022406986,0.9983022331140939,0.5010746268656717,566973.4589811285,1113334.1844882914,10012941.353999998,16.714000000000002,0.999986171716868,0.7910447761194029,0.4707472459895659,0.45072799084758197,4759939.242000001,887.0759999999999,72677135,7,(((((3)+(7))+((3)*(9)))+(((7)*(9))-((x)*(5))))*(((3)+((4)-(4)))-(((1)*(x))*((x)*((x)*(x)))))),((x)*((x)-(7))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,MultXD,ReplaceBranchR,7,7,8,8,2
8,x*x,20,-10,0.6435914713555902,-0.5724714959720403,0.999418210835442,0.5811940298507463,1438544.79296,2890636.4012221275,23616297.023000002,14.029999999999998,0.9999976885969137,0.8507462686567164,0.8465691083536124,0.4175759093859125,19349585.086,1021.8140000000002,434800838.5,5,(((((9)+(7))+((6)+(5)))*(((7)*(7))-((5)*(8))))-(((2)*((9)*(8)))*((x)*((x)*((x)*(x)))))),((x)*((1)+(x))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|AddTreeWithDiv|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,MultXD,SkipD,8,8,9,9,2
9,x*x,20,-10,0.6590865356648372,-0.5291181110896251,0.9991913923612912,0.6161791044776119,1211622.3459400001,789920.25444,17839077.625,12.858000000000002,0.999986726478081,0.5522388059701493,0.6433165324696671,0.3929441017312082,6688483.6389999995,311.853,75714645,15,(((((9)-(7))*((5)+(8)))*(((8)*(8))*((3)-(6))))+(((7)*((4)*(5)))+(((9)*(x))*((x)-((0)*(x)))))),(((x)*(x))-((1)*(3))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR,MultXD,SkipD,9,8,10,10,2
10,x*x,20,-10,0.6397520312849464,-0.49695725078148123,0.9988994370851602,0.7601492537313436,1948084.9124999996,640158.0039980594,36572794.88,8.035000000000002,0.999997815450167,0.7014925373134329,0.5939225322163127,0.4183916712225825,16199733.899,849.605,460049015.5,10,(((((x)*(x))-((1)+(5)))-(((x)*(x))*((x)+(0))))+(((2)-((7)*(x)))*(((x)*(8))*((6)*((x)*(x)))))),(((x)-((0)*(3)))+((x)-((5)-(1)))),AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddToLeafR|MultXD|AddTreeWithSub|MutateTerminalR,SkipD|SkipD|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|SkipD|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|SkipD,MultXD,SkipD,9,8,11,11,2
