gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,-10,-2.4348108622735882,-2.8746653637378468,-0.28090125663164306,-0.4151979328748394,NaN,NaN,NaN,NaN,0.9956379261702728,-0.014705882352941176,0.6263791321135403,0.7050270553595285,5352.455,34,230395,34,((((9)*((8)-(2)))-((2)*((8)*(8))))*(((x)-(9))-((x)*((x)-(x))))),((((3)*(3))*((9)*((0)*(7))))*(((0)*(x))/((8)-((4)+(x))))),ReplaceBranchR|SubXD|SkipD|MultXD|ReplaceBranchXR|SubXD|SkipD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|MultXD|SubXD|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub,AddRandomSubTreeR|AddTreeWithSub|AddTreeWithSub|AddRandomSubTreeR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithMult|DivXD|AddXD|AddTreeWithSub,SubXD,AddRandomSubTreeR,0,0,1,1,3
1,x*x,20,-10,-1.503331490925535,-1.2359125355757432,0.19495435888395118,0.5799167130187572,NaN,NaN,10620.297722222223,14.072790113871633,0.9226923076923077,0.7014925373134329,1.0122990135988559,1.0376461983952776,NaN,NaN,13000,10,((((2)-((5)*(x)))/((9)/((4)-(7))))+(((5)*(9))*((x)*((8)+(x))))),(((1)-(3))+((x)*(x))),AddTreeWithSub|MultXD|AddTreeWithMult|SkipD|SkipD|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|AddXD|AddTreeWithAdd,MultXD|SkipD|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|ReplaceBranchR|AddXD|SubXD|MutateTerminalR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddTreeWithDiv,ReplaceBranchR,0,0,2,2,3
2,x*x,20,-10,-1.0877351828979538,-0.500135110112036,0.4771811953084505,0.659584461251114,NaN,NaN,149913.4018888889,11.403920548087685,0.11764705882352941,1,1.2620137118055068,1.0159989460293313,NaN,NaN,1139,0,(((x)*(7))*((5)*(x))),((x)*(x)),SubXD|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|MutateNonTerminalR|SkipD|AddXD|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR,AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|SubXD|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchR|ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,0,1,3,3,3
3,x*x,20,-10,-0.8027125677545857,-0.25751262359357985,0.6242191487520548,0.778089552238806,NaN,NaN,117500.82066666667,7.434000000000001,0.09049773755656108,0.8507462686567164,1.2985971735172686,1.0237581196410293,NaN,NaN,1105,5,((((2)+(9))*((2)*((4)+(6))))+(((x)*(x))-((6)-((8)+(x))))),(((x)*((x)-(x)))+((4)+((1)+(x)))),ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddXD|AddTreeWithAdd|MultXD|SubXD|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|AddTreeWithAdd|SkipD|AddXD|SkipD|ReplaceBranchR,AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddToLeafR|SkipD|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddXD,SkipD,ReplaceBranchXR,0,2,4,4,3
4,x*x,20,-10,-0.5689392531166867,-0.17324563939742224,0.8456452488988134,0.8323582089552238,11810.098397795875,70706.7697722504,407572.93200000003,5.615999999999999,0.9998150124825159,0.2537313432835821,0.8184572614495479,0.19004892159895176,160584.547,35.19,5432799,25,((((4)*((9)+(9)))*(((6)*(5))+((6)-(9))))*(((2)-(0))*((8)*((9)*((8)-(x)))))),(((7)*((3)+(1)))+((6)-(x))),AddTreeWithSub|MultXD|AddTreeWithMult|AddXD|MutateNonTerminalR|SkipD|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|SubXD|AddTreeWithAdd,MultXD|SkipD|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|SubXD|ReplaceBranchXR|AddTreeWithAdd|AddXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddTreeWithMult,ReplaceBranchXR,4,4,5,5,3
5,x*x,20,-10,-0.3617128356902256,-0.12618407154032193,0.9544716056614928,0.76465671641791,34711.775980000006,14166.634313800456,1413580.656,7.884000000000001,0.9999694667606726,0.5522388059701493,0.8277162592072046,0.15660015005325684,720936.9969999999,32.412,32914948.5,15,((((6)-((4)-(4)))*(((8)*(x))+((3)*(x))))*(((8)*((8)*(5)))*((9)*((x)+((x)-(x)))))),(((x)*((x)-(6)))+((8)-((7)-(6)))),AddTreeWithSub|MultXD|AddTreeWithMult|AddXD|MutateNonTerminalR|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddXD|ReplaceBranchXR|AddTreeWithMult|AddToLeafR|SubXD|AddTreeWithAdd,MultXD|SkipD|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|SubXD|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddTreeWithMult,ReplaceBranchR,3,5,6,6,3
6,x*x,20,-10,-0.185862369113233,-0.1105937624255119,0.9950700239786072,0.8032835820895522,34200.93522000001,3225.336291111111,1122343.3730000001,6.59,0.9999392612995514,1,0.7946137616007684,0.20560505336917906,365923.21699999995,35.45399999999999,16546287.5,0,((((7)*((7)+(7)))*(((7)+(1))*((9)+(9))))*(((5)*(7))*((x)*((x)-((x)-(x)))))),((x)*(x)),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|MutateNonTerminalR|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,MultXD|SkipD|AddTreeWithAdd|ReplaceBranchR|SkipD|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,6,4,7,7,3
7,x*x,20,-10,-0.18748309615498293,-0.06728146478841354,0.9932652312458309,0.6068656716417911,33026.06073999999,1782.5443999999998,1172223.8120000002,13.169999999999998,0.9999208710950771,1,0.78265250988686,0.21427098514599047,258505.89899999998,37.022,12700795,0,((((1)+((5)*(9)))*(((4)*(3))+((9)*(5))))*(((4)*(7))*((7)*((x)-((x)-(x)))))),((x)*(x)),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|MutateNonTerminalR|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,MultXD|SkipD|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|SubXD|MutateTerminalR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,6,7,8,8,3
8,x*x,20,-10,-0.14878306869496596,-0.048409941145022985,0.994193776028779,0.5632835820895523,24190.571719999996,81109.29969999999,789270.3250000002,14.630000000000003,0.999860180201287,1,0.7625751364299331,0.22070171980877437,148469.10799999998,32.251999999999995,7187823.25,0,((((7)*((6)*(9)))*(((x)*(x))*((6)*(7))))*(((5)+((4)-(x)))-((x)+((x)-((x)-(x)))))),((x)*(x)),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,8,8,9,9,3
9,x*x,20,-10,-0.0937051000828988,-0.05336081104449847,0.9940508279721242,0.543462686567164,18929.119400000007,5012.93638,577282.3979999999,15.294000000000004,0.9998693263755154,0.8507462686567164,0.7996835451099046,0.19211924196634397,169833.687,31.756,7690917,5,((((x)*((9)*(5)))*(((x)*(3))*((6)*(4))))+(((5)*((5)*(6)))-((x)+((x)-((x)-(x)))))),((((x)+(9))+((2)-((5)-(1))))+(((3)-(1))*((x)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateNonTerminalR|SubXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,8,7,10,10,3
10,x*x,20,-10,-0.0677729126878153,-0.012331633411079337,0.9928320906779099,0.6376119402985077,20835.631000000005,3077.28432,668779.3829999999,12.14,0.9998827720388567,1,0.8200026361191953,0.20247036225587,183463.395,31.293999999999997,8573040,0,((((7)+((5)*(x)))-(((0)-(4))*((6)*(9))))*(((7)*((9)*(6)))*((7)+((x)-((x)-(x)))))),((x)*(x)),AddRandomSubTreeR|AddToLeafR|MultXD|AddXD|AddTreeWithSub|SkipD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|SkipD|SubXD|AddToLeafR|SubXD|AddTreeWithAdd,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,9,9,11,11,3
