gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,1,-0.23901310283691943,-0.178375504794564,-0.16509435766319305,0.04149664672228978,NaN,NaN,150.26879025995382,22.745255079593345,-0.07105781996991352,0.2383275261324042,0.2829218748231573,2.1442682985845214,533.8533745064758,131.71978577839553,3999.0960850295223,109.3,((((2)+(6))*((6)*((5)*(4))))*(((6)*(4))-((x)-((x)/(x))))),((((6)-((1)-(4)))+((2)*((x)+(x))))-(((0)-(7))+((x)/((2)+(x))))),AddToLeafR|DivXD|SkipD|SubXD|SkipD|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|DivXD|AddToLeafR|SkipD,AddRandomSubTreeR|DivXD|AddToLeafR|ReplaceBranchR|AddXD|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|SubXD|SkipD|AddXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchR,SkipD,AddRandomSubTreeR,0,0,1,1,0
1,x*x,20,1,-0.2700282247105807,-0.17090189262899322,-0.1517134996998182,0.06182145273472275,NaN,NaN,236.51923284888642,19.828621532567283,0.4339622641509434,0.5268292682926828,0.443230825001938,0.16371342297153674,894.1200000000001,130.45244133745672,7605.5,67.9,((((5)*(9))*((2)*((8)+(9))))+((9)*((x)-((x)+(x))))),(((x)*((x)*(7)))/((x)+(x))),AddToLeafR|DivXD|SkipD|SubXD|SkipD|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,1,0,2,2,0
2,x*x,20,1,-0.24964653717552637,-0.10166946010231143,-0.18986979686847594,0.04771318955866703,NaN,NaN,43.61052448121111,21.85315729833128,-0.9190913004466459,1,0.014871974949228562,0.30954138041263957,166.80282053120544,122.3230009994415,348.31195157718963,0,((((7)*(4))*((5)*((8)/(8))))-(((9)-(8))+((5)-((x)/(x))))),(((x)-(4))*((0)*(x))),AddToLeafR|DivXD|SkipD|SubXD|SkipD|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|DivXD|AddToLeafR|SkipD,ReplaceBranchR|DivXD|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR|MutateNonTerminalR|DivXD|MutateNonTerminalR,SkipD,ReplaceBranchR,0,2,3,3,0
3,x*x,20,1,-0.30554496143762877,-0.08630282738588001,-0.18491892908369362,0.043646772450373524,NaN,NaN,64.92401029469879,22.436688153371396,-0.8313008130081301,0.2780487804878049,1.9602539316554302,1.6175852505933506,246.4535774961723,127.5351767763669,726.25,103.6,((((x)*((4)+(9)))*((6)+((5)+(4))))/(((1)/(6))-((8)-((x)-(x))))),(((x)*((7)*(9)))+((0)/((x)+(x)))),DivXD|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|SubXD|SubXD|SkipD|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,1,3,4,4,0
4,x*x,20,1,-0.22567407305329365,-0.06625698255230787,-0.19039457729172501,0.035222463536100125,28.41204299528108,26.613006773977368,41.351344759123805,23.645576482569627,-0.9354239256678281,0.5254355400696864,0.014052725480172069,0.16556892222613886,161.01459059233449,130.73682841006035,278,68.1,((((0)+(8))*((8)+((9)*(6))))-(((7)*(7))-((x)-((0)-(8))))),(((8)+((x)*(x)))*((7)/((x)+(x)))),DivXD|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|SubXD|SubXD|SkipD|AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SubXD,DivXD,4,0,5,5,0
5,x*x,20,1,-0.25278486965774727,-0.11489975748166309,-0.1429046010394798,0.05788850174216027,NaN,NaN,261.0693546366516,20.393,0.304125817039136,0.4146341463414634,0.40107561596037944,1.6182752717057611,757.8799114952385,127.23846406008377,6186.463164479998,84,((((x)*(8))*((6)*((6)+(x))))*(((8)-(4))*((7)-((x)/(x))))),(((x)*((5)*(x)))/((x)+(x))),AddToLeafR|DivXD|SkipD|SubXD|SkipD|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|DivXD|AddToLeafR|SkipD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,2,5,6,6,0
6,x*x,20,1,-0.2251523033558699,-0.13857750819382,-0.18881767271829403,0.025960335959118605,NaN,NaN,48.139918947744206,24.97469178986648,-0.8615563298490128,0.1721254355400697,0.034259759800273785,0.03410562576377818,183.15180548768285,131.9863157221165,596,118.8,(((3)*((9)*(3)))*((9)+(x))),(((x)*((x)+(4)))+((1)/((x)+(x)))),MutateNonTerminalR|ReplaceBranchR|DivXD|DivXD|SkipD|ReplaceBranchXR|DivXD|SkipD|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|ReplaceBranchXR|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,DivXD,DivXD,4,6,7,7,0
7,x*x,20,1,-0.23113665722650878,-0.015253868575441547,-0.16914745376685641,0.03615414616542976,NaN,NaN,134.21765605766308,23.51188002526083,0.11954187544738726,0.30313588850174217,0.34325366278978936,0.07275699436284312,689.2053306333205,129.5391275297989,4889.5,100,(((7)*((5)*(x)))*((x)+(x))),(((9)*((x)*(2)))*((5)/((x)+(x)))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|DivXD|SkipD|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,6,6,8,8,0
8,x*x,20,1,-0.22550038739117068,-0.03776475669260589,-0.19102739579092035,0.028582283103102717,29.128634655511913,26.995744816689175,38.62706112008777,24.59844237470476,-0.9022346310764683,0.21724344888004118,0.02141402520728899,2.14888276249794,167.0611912738822,129.8275226491399,420.8799132158041,112.32556508571409,((((5)-(3))/((x)/((x)/(x))))-((8)*((4)*((9)+(x))))),(((5)+((x)*(7)))*((5)/((x)+(x)))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|DivXD|SkipD|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,8,7,9,9,0
9,x*x,20,1,-0.21553563738411213,-0.09572192227836951,-0.17393767321000592,0.03734151446650098,37.39586758477342,26.452204114608275,112.19831683092451,23.34149267405711,-0.3308943089430894,0.4731707317073171,0.2011469950491709,1.6377673736240332,419.41894311316685,121.56242356705398,2880.5,75.6,(((3)*((x)*(7)))*((x)+(x))),(((x)*((6)*(x)))/((x)+(x))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|DivXD|SkipD|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,9,9,10,10,0
10,x*x,20,1,-0.22972569731710948,-0.09474980369430723,-0.15174547557439394,0.049512990292484044,73.9087905015058,26.25089507516194,445.6475887832292,21.59488589302854,0.7798854688618468,0.5121951219512195,1.4446523090939278,1.6284146953956367,2287.890056098493,124.86741541691589,19558,70,((((x)*(x))*((9)-(1)))*((x)-((x)+(x)))),(((x)*((6)*(6)))+((x)/((x)+(x)))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|DivXD|SkipD|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,9,10,11,11,0
